FSC-A,FSC-Width,SSC-A,HA,pAKT,GADPH,p38,pS6,pCREB,Time
14832100,25077.4,255562,747.776,-1367.3,1606.35,-2545.05,8057.11,-7254.53,1.27189
8077270,13742.9,2552510,-313.296,16983.1,11054.5,-12622.3,29881.9,7717.85,1.29298
13738600,23235.6,314458,154.173,-1072.4,871.304,-466.933,3613.42,-6103.25,1.55328
490349,1669.4,783519,2006.44,98210.9,1915.36,-501.417,-1637.52,4366.71,1.93438
10062800,18738.1,-61153.2,-766.284,-4465.34,-851.694,400.1,-10066.1,-10345.6,3.82752
1215670,3063.96,706514,90742,249671,134806,322958,3694.17,47161.8,4.15026
1407450,4485.55,16222400,-7305.71,-9007.53,15214.5,-20304,32825,77267,4.15361
7626050,13023.5,14074200,-9744.72,57734.9,31161.2,-39496.1,72141.7,69188.3,4.19959
527198,1887.48,212070,280468,38941.4,37737.2,113062,10155.3,39905.3,4.25333
618815,2319.7,456665,55008.9,37175.5,39322.3,101565,11493.1,26686.4,4.28466
1883570,4727.39,649016,80250.6,93429.2,110181,200903,2820.86,45214.9,4.2959
314730,1272.16,59104.3,3540.67,11031.9,10412.9,24202.9,874.498,10739.8,4.296
1686390,3666.93,1157040,36636,97851.7,126382,183077,22618.4,67038.9,4.2967
401895,1571,295148,9875.31,33925.9,36325.6,85746.4,1246.5,18623.7,4.29737
400625,1437.62,200504,3999.05,16417.1,19226.1,41490.8,-274.877,22131.6,4.30366
1112610,2919.7,11293400,12966.7,51922.8,87907.5,82153.3,22992.2,51011.3,4.31975
363620,1316.31,134492,8717.79,7715.12,14933.2,22704,4027.74,9009.08,4.36731
802498,2484.51,445673,9958.67,43745.4,50029.1,93884.1,2185.56,16908.6,4.36905
751991,2770,264589,11550.6,49916.3,68195.1,73175.8,9871.36,18781.1,4.36962
739888,2586.88,523765,181508,24772.2,42002.9,63983.1,2993.25,19995.8,4.37886
612502,2142.02,267500,13401.1,18220.9,14970.8,40832.7,7732.24,7660.07,4.38662
540414,1742.74,154022,4095.98,22835.8,29132.4,57170.6,846.234,9333.35,4.39508
493671,1856.18,312715,9365,22559.1,34413.4,69709.8,31944.6,41131.9,4.40961
2564580,4858.52,19242000,15339.5,117032,28394.8,-37017.7,40314.1,92434.1,4.41342
432367,1710.22,88952.4,2682.96,17419.1,12774.1,33323.8,-342.535,5836,4.41448
