FSC-A,FSC-Width,SSC-A,HA,pAKT,GADPH,p38,pS6,pCREB,Time
993441,2409.62,2382740,3622.74,24365.3,5929.28,-7359.21,8693.58,16166.5,0.224271
289150,1174.17,1354720,1085.2,4436.97,1168.2,-1429.08,1882.16,3638.25,0.230793
12349400,20951.9,1048890,-1094.13,26812.1,860.631,-1587.01,2419.66,2761.07,1.19038
10116600,17218.7,6905530,-808.315,129575,10880.4,-14583.3,22481.9,3370.19,1.21829
3344770,5913.98,20947400,30736.1,167214,44720.9,-39891.5,56960.8,125393,1.23238
546686,1989.81,285622,27155,12989,13228.2,35591,5654.74,14921.2,1.23251
7122850,12265.2,32602500,-18371.4,88903.1,71399,-89734.7,141346,230487,1.25868
721192,1907.01,613521,114805,85884.8,48283.7,182412,13719.8,34928.8,1.27109
528059,1989.74,387442,84758.6,28201.1,10612.6,33092.5,4785.74,11976.1,1.32148
4785740,8231.76,15373300,21824.5,192869,45825.5,-59335.3,73277,105380,1.3233
814722,2169.7,302238,34369.5,41383.2,24832.9,102999,1656.3,23468.7,1.32691
988132,3292.66,655188,55174.3,67453.3,67038.7,159686,2629.09,26494.8,1.32706
999235,3642.17,547813,31084.6,54930.9,21884.9,215863,6543.63,30736.5,1.32708
549806,1653.44,178546,6091.07,17169.9,11213.8,45716.4,2510.31,9928.79,1.33809
1442550,4054.24,949561,1730740,83558.4,83767.9,196970,20191.6,67581.4,1.34642
520322,1826.24,312532,112163,36123.1,18587.5,95226.4,4770.92,13511.2,1.34648
642324,2217.89,158221,1172110,32979.9,16081.1,68355.3,2247.61,5603.81,1.34763
650124,1887.07,346576,150585,31223.8,16548,57514.8,8049.79,17260.7,1.34765
372283,1416.19,82355.8,4736.01,10541.9,6925.56,42054.4,40.9199,6410.46,1.36969
1532550,4721.66,769906,68261.6,79018.5,57067.8,186345,2921.11,52247.4,1.38799
600801,1924.2,195350,5547.01,11848.2,21822.2,46639,-721.526,8810.83,1.3893
741176,2584.25,309650,36805.7,35067.8,19184.5,106160,2146.91,13022.8,1.40575
715943,2224.83,268754,9009.62,17837,14025.3,107436,12646,10877.8,1.40948
317774,1237,80300,4862.88,9101.99,10776.3,20737,1841.79,5614.12,1.41379
2283630,4328.19,10435700,16711.4,85502.4,32453.2,40594.6,16700.4,57774.7,1.41871
508979,2023.71,127745,3901.85,21136.3,17025.1,51698.5,1653.84,25975.2,1.43986
929734,2953.81,321248,13576.8,33395.2,26824.4,44492.2,1394.95,10686.5,1.51008
2236620,4342.82,7986760,14035.9,71061.9,35155.8,34817.5,19168.2,53541.1,1.54187
1628460,3455.51,4487220,14598.1,46843.6,16448.8,13647.2,19495.9,28884.8,1.75051
3335960,5824.86,7644760,11350.7,104971,25167.3,-30699.6,38749.5,48885.2,1.7679
313815,1189.32,609820,1644.67,77625,1109.01,623.478,-1561.91,3193.23,1.76891
387760,1399.9,92414.6,3365.99,4419.16,6874.54,18574.2,979.92,5754.13,1.81027
2082190,3897.07,9215670,10283.9,66330.1,15319.6,-2672.76,18245.5,48688.9,1.81327
980396,2283.39,3281470,4502.07,23145.7,4666.12,-5268.31,4613.06,13411.7,1.83521
468125,1858.62,154299,5178.37,17106.8,20978.1,40070,1397.38,17987.1,1.83872
400204,1537.03,286718,54772.7,32982,14662.1,78293.2,1759.34,6838.81,1.83899
435910,1532.62,155961,6565.3,12317.6,20586.7,35784.2,1832.37,5501.75,1.86569
336796,1264.96,201903,23096.5,4404.26,21318.7,16019.6,10231.1,10716.5,1.86762
2635800,4882.52,15294800,18552.9,114178,31096,-6153.33,36477.3,78184.7,1.86834
1339380,2798.25,4948780,10436.2,35395.5,16055.4,12465.8,10619.5,24408,1.94078
522457,1772.96,254988,5548.63,22091.9,12886.7,9538.58,6355.53,8498.64,1.96584
548855,2024.24,251564,52142.8,22419.2,20573.8,75626.5,-1448.81,9810.6,1.98524
385406,1523.48,156914,5356.99,10048.6,14374,28715.6,-2369.08,13797.7,1.99184
530086,1623.93,221580,5979.45,9990.31,10085,24770.2,2990.7,12615.7,2.02677
1612920,3672.77,1207720,36795.9,45148.9,48863.3,150178,16311.5,20445.9,2.03461
2242030,4154.91,11114600,9770.15,78149,17004.4,-20655.8,21417.7,53038.2,2.06291
392035,1388.23,91654.8,10578.3,4998.42,7508.51,18015.1,2425,3902.44,2.06783
767150,2165.61,436270,8169.53,22779.5,20127.6,68036.7,4968.88,19454,2.10015
282299,1113.71,156786,6544.79,15894.6,4874.33,5958.15,7377.24,5072.94,2.1013
