FSC-A,FSC-Width,SSC-A,HA,pAKT,GADPH,p38,pS6,pCREB,Time
2675610,4820.11,4168220,4539.53,69106.9,14555.6,-18081.2,22420.9,22333.4,0
591153,2272.1,152808,3991.62,18683.9,18587.8,95013.1,1741.11,19679.4,0.00487858
1610360,3277.2,3775730,3084.23,33739.3,10513.9,864.246,10531.4,22894.1,0.00493931
5328100,9346.01,36321900,-27.2356,72914,69047.6,-91524.6,115079,400012,0.00694337
3317200,5792.34,9143350,11734.3,118989,26194.9,-30501.9,36567.3,55364.4,0.0135021
376819,1436.99,78278.8,2366.68,6510.19,8357.21,46994.5,-670.844,8804.56,0.0157491
1325680,2791.68,2878850,3382.93,30161.7,6686.23,-8201.78,8876.53,15960.5,0.0163159
369439,1425.07,100769,2488.13,9200.88,8802.47,26328.3,2199.55,6640.45,0.0412351
1150450,2510.06,2831780,3205.3,25851.6,5304.21,-6573.63,7884.4,13160.3,0.0503445
1073490,3415.26,439287,11928.8,34651.9,52030.1,104319,5980.21,24688.7,0.0741301
2881350,5369.71,2001730,-393.447,58227.6,8449.12,-9993.93,13814.4,3306.71,0.0838266
4992370,8555.79,3246010,-1515.98,130961,20442.6,-17795.8,32340.2,13602.1,0.0844946
4656010,7995.5,5076920,3669.12,131001,28958.8,-28569.5,46597.1,29321.4,0.129151
897879,2890.84,400837,7591.68,26873.7,41565.9,75790.7,2132.8,39254.7,0.142795
820510,2041.35,2408680,2857.7,20980.5,4324.88,-5557.6,7265.85,11324.4,0.19901
2435920,4497.89,3097950,2998.75,53994.3,12262,-15084.5,19628.5,16592.5,0.230326
3465860,6038.17,11472400,8123.67,120622,25765.5,-33705.8,38597.9,65781.4,0.232897
403934,1487.66,279898,2530.75,4616.6,6450.22,1372.27,1563.6,2040.97,0.236095
2254550,4312.93,13904000,8183.56,81747.3,25162.3,14350.1,26902.9,58191.1,0.258646
8548650,14597.7,27118500,-4996.62,167640,60878,-76315.1,132896,32029.7,0.277877
2856120,6416.21,34481700,40210.6,-21285.2,47659.4,-59701.6,83625.2,161942,0.278423
361612,1434.74,91898.3,1145.78,3262.76,6752.59,3392.87,415.987,2036.51,0.280225
2539280,4987.15,24667200,10552.2,89937.9,26105.5,-33690.7,37648.7,77794.5,0.282978
1100360,2786.43,1476430,2789.15,28413.7,14456.7,34761,9147.87,20886.3,0.286379
1931380,3839.19,12990500,8226.15,67902.4,14013.7,-18772.3,20552.5,44626.9,0.302108
277975,1141.95,57597.2,1847.57,5475.73,10283.2,14974.9,1987.41,1746.78,0.30561
1204750,2658.77,3220820,5454.14,31806.4,7404.27,3297.73,9462.24,18810.9,0.319294
503889,1646.78,183553,4150.84,25520.3,20186.4,53629.7,-509.887,16441.6,0.412291
8325510,14225.7,26915700,-10809.9,170325,104219,73092.6,120188,76022.2,0.416623
901110,2690.88,683307,9557.48,43265.4,43098.1,137346,3119.87,40380.2,0.417554
418622,1470.02,178342,1776.77,11174.5,10305.6,26335.1,163.129,5152.31,0.419376
10144600,17268.5,7341090,-718.628,119884,12000.5,-16789.4,27801.6,3985.19,0.422999
632414,1935.42,2245520,1177.15,12034.2,4025.63,-110.148,3375.17,12027.8,0.423323
469954,1831.51,84411.2,1884.02,12913.6,18829.2,36565,1769.65,4526.23,0.425266
1033730,2495.09,1348900,1591.66,23061.8,4807.34,-5620.96,6039.41,8236.85,0.42721
1214290,2687.18,2186630,1790.84,23653,5174.37,-6392.79,9313.72,10007.5,0.431177
1672320,3340.61,2809410,2319.82,36754.1,8383.05,-9938.43,11037.2,14191.7,0.43389
2513830,4539.65,5271000,6100.17,68239.5,15120.2,-19275.2,23127.8,28752.3,0.435307
494459,1807.37,180792,2578.33,10755.9,13794.2,20267.8,2580.32,12073.5,0.439983
634158,2038.68,430917,2426.05,26957.5,17623.4,60035.8,1615.75,7980.33,0.473587
695029,2336.72,305864,6310.58,40136.5,33598.1,109093,8434.85,19080.3,0.473607
883390,3063.67,444104,10364.5,46610.9,35984,135028,7488.29,30164.9,0.473607
597756,2138.18,339147,7539.02,12787,24677.8,98592.5,-1425.55,23527.3,0.473627
3312080,7120.36,1351880,22841.9,214292,71369.9,325561,18359,53591,0.473668
871994,2558.04,612591,9324.02,21556.7,18761.7,62112.4,8882.88,34812.1,0.474113
837895,2818.16,294693,6399.47,28790.8,25082.6,93343.3,-363.698,23862.8,0.474194
2095380,3854.18,5698760,51155.7,55212.9,16482.2,472.996,16646.2,35957.3,0.521563
770850,2495.16,142947,3689.43,17566.8,13538.4,40504.3,-1854,8945.48,0.521664
673294,2464.02,122303,3768.61,13257.2,6233.48,31674.9,-67.1049,6287.44,0.521664
816594,2969.6,248652,4729.36,35396.7,36713.6,75557.1,-1511.49,46826.6,0.53385
1067050,3156.89,455354,6850.37,30705.8,56591.9,108211,1010.77,14911.7,0.543668
509714,1535.17,191586,2987.66,5616,12395.4,27768.9,1143.39,5990.09,0.549437
354417,1330.95,125247,2514.65,9479.17,10485,9900.39,707.316,4986.93,0.557859
360943,1466.97,119260,881.546,13967.3,14959.2,12960.4,26147.8,6372.17,0.585794
1606360,3232.66,7590720,9359.25,51747.2,14332.7,-18548.6,22565.8,49754.2,0.595065
484839,1636.89,322371,11192,17826.2,9827.23,28283,4110.91,4829.79,0.609883
479671,1581.44,141571,2023.21,9295.75,18642.5,27150.1,818.335,13995.9,0.63373
534241,1871.24,92670.8,2376.94,13002.4,18352.8,17740.5,1450.02,3397.26,0.676807
525079,2087.59,131380,2011.09,11927.7,20601.5,47640.5,-1361.9,14034.8,0.696989
357711,1441.38,75207.3,1471.85,8315.54,7672.05,38549.1,2107.36,25542.3,0.726119
407742,1656.02,103058,3251.21,6915.83,15594.4,6529.34,2284.45,3233.8,0.736949
387699,1433.1,253637,4509.23,18889.2,14726.5,39470.4,2221.32,14102.4,0.741625
959424,2607.13,715423,10462,40180.5,22502.5,132588,11360.5,34505.6,0.823853
418617,1627.37,123785,4183.77,14267.7,21727,34015.1,887.483,9673.32,0.823934
353103,1354.22,75652.3,1782.54,8831.92,5655.56,13298.2,2873.97,3000.44,0.833266
718328,2780.18,180637,4011.75,21021.4,42848.8,33769.9,643.952,9450.15,0.838245
1637080,3625.8,429626,11183.2,13634.8,8329.3,18647.5,5874.01,63818.8,0.85612
412495,1575.53,235801,5561.97,11728.3,9104.91,46541.4,3116.56,15684.4,0.86031
309710,1202.14,444499,821.696,3001.41,629.942,-539.768,502.442,2688.27,0.925331
613761,1797.08,2098100,1228.8,12525.2,2322.3,-3150.73,4255.13,5817.63,0.927032
1059660,3357.68,622773,11196.8,26864.6,53931,165854,7252.78,28786.2,1.01831
376369,1470.95,99207.3,1560.92,19972.9,10849.7,47299.5,2864.64,5502.84,1.01837
695662,1867.67,2697870,889.358,13872.2,3000.22,-3677.37,4106.82,8017.14,1.06507
1692460,3287.03,6512370,3665.72,43114,9274.8,-10639.3,12847,23403.1,1.12011
