FSC-A,FSC-Width,SSC-A,HA,pAKT,GADPH,p38,pS6,pCREB,Time
9763050,16555.4,372495,1116.36,27785.8,935.524,1523.49,-377.145,5398.58,0
7482690,12830,73833600,22398.4,60164.9,103632,-57575.9,204028,136650,7.99559e-05
5833060,10204.5,48450900,82160.6,-30640.3,103904,-110784,174077,380049,0.0802158
2833910,5016.74,5306790,7282.92,82624.1,23245.3,-7666.31,27833,29198.3,0.0929288
505462,1901.52,202418,4897.85,23794.1,20057.3,73086.5,1385.76,9642.4,0.0933086
1131600,3139.46,866645,13697.5,44859.9,60373,158007,340.563,19316.5,0.0933286
368572,1348.5,121855,3815.4,20635.6,17369.9,37149.9,-173.049,6674.96,0.100505
353360,1427.04,86602.1,3611.16,16101,14048.1,47930.8,-614.991,10173.7,0.100864
923866,2490.99,559202,11812,66300.6,49573.9,167120,-2417.99,33843.1,0.101624
1439800,3259.19,3786200,11747.3,44885.7,47821.3,84699.5,6494.72,35634.9,0.112518
764862,2762.09,252112,8390.8,42905.2,64943.1,88608.9,3058.9,16590.3,0.113278
404678,1511.49,118596,5065.88,25790.2,26382.2,59168.2,-2349.53,17196.5,0.113397
807294,3104.04,405876,18242.1,76296,63319.3,181544,3280.97,40726.5,0.113417
5839880,9980.83,2363050,1271.51,75370.6,8864.86,6832.83,2656.68,10196.8,0.114217
3904470,7566.24,39446900,70476.1,-15670.3,76638.4,-66599.5,123379,268497,0.114877
321972,1321.72,194398,7758.93,20090.5,18389.7,71430.2,416.602,11890.3,0.115157
434345,1554.05,329962,5002.08,12699.1,20210.1,24250.2,-81.023,7149.5,0.115396
2940630,5538.48,11372500,36398.8,228711,134534,357847,27058.4,93862.2,0.117035
2952150,5839.62,27655500,49192.7,121506,79870.8,32790.8,76797.3,190127,0.117475
468417,1727.58,218100,8814.76,45236.2,34572,89275.7,8186.78,17243.1,0.117655
420622,1533.93,190309,6740.86,7062.76,6635.73,19094.7,2892.57,8099.77,0.119934
787649,2618.2,305966,12701.4,36097.9,33171.5,102258,25741,31775.6,0.121893
5649440,9637.08,4584470,2952.94,109205,12295.3,-16428.8,20324.8,26579.7,0.151357
3057160,5349.07,10223000,14035.4,143597,60460,120331,32547.4,53329.2,0.156034
569079,2102.23,130254,6453.83,24117.5,27049.9,79482.3,666.126,14814.9,0.160232
397315,1583.42,124355,5512.61,20071.1,26083.8,26383.8,781.291,11483.8,0.168207
671924,2097.15,189010,6581.36,19442.5,30068.2,86123.5,-910.915,19202.3,0.172565
1278960,4154.27,597513,16998.5,74547.7,101358,233385,-6012.85,38631,0.179381
4037550,6959.32,9868020,10743.9,139146,32747.2,-41628.8,46516.1,68738.7,0.185598
443646,1662.76,96604.5,4150.23,18832.1,20282.6,42692.6,-264.258,12099.8,0.187557
355185,1404.84,124050,3474.87,10310.8,18150.5,40759.6,435.979,6261.56,0.194293
2935340,5170.35,7828460,8912.69,92982.3,20607.3,-26213.2,32243,49215,0.219719
453864,1622.48,145250,5111.42,29155.5,32477.1,54119.4,-1833.08,6607.93,0.222397
1872110,5170.01,947001,34479.7,156452,169279,406473,-1400.06,86892.5,0.222417
1681140,4501.32,1394430,33911.5,87114.3,116087,273412,16492.9,54839.6,0.225296
666999,2055.02,335901,10998,48452.7,30580.1,80080,60107.9,18247.9,0.252921
381878,1455.38,128017,4546.15,19225.4,26716.6,68431.1,-1064.5,10235.1,0.257638
717097,2796.55,205947,8475.87,32020,51984.3,76173.5,-771.815,25784.8,0.262775
477111,1815.13,159072,4587.84,15039,27294.7,71577.8,146.487,8699.01,0.263195
405976,1534.74,306049,10971.6,6585.05,12883.8,19465.1,5848.12,4247.32,0.27165
2972760,5276.71,3290120,2063.72,74841.3,14682.4,-17173,21626.8,14186.3,0.275328
2002220,5326.6,1276750,31956.5,117612,109225,396114,31652.5,29644.1,0.302993
1629150,3342.49,2045520,2486.16,33583,7534.32,-8603.36,12151,10442.5,0.322082
941326,2432.32,466829,14625.6,28032.2,34679.1,73154.8,7213.34,21125.3,0.329878
962697,3411.83,248855,7935.09,45305.8,56912.5,125214,-1554.3,17995.9,0.340932
860918,2386.52,422068,12572.7,28909,32757.6,80984.5,5666.7,22533.5,0.371075
494755,1628.48,308080,3276.07,9903.79,12617.8,17523.1,2492.54,3933.43,0.403278
394840,1382.83,142585,4386.14,19436.8,24396.5,43640.7,171.965,10121.1,0.413732
1210840,2965.25,574467,12918.2,80415.4,84344,106564,-3704.54,23467.8,0.421708
403876,1501.79,154172,3333.91,8011.46,7286.42,20895.6,3126.32,3334.78,0.428564
509878,1683.15,167707,5626.75,18737.6,16949.8,45628.9,3939.49,11111.1,0.441956
755311,2008.3,3977510,2275.7,20983.6,4116.43,-4620.9,5515.88,11020.1,0.443216
958978,3222.36,361882,15296.8,62292.8,62746,143043,6231.69,36219.7,0.458327
