FSC-A,FSC-Width,SSC-A,HA,pAKT,GADPH,p38,pS6,pCREB,Time
1451260,2927.4,6165210,3666.44,39171.6,7566.27,-9118.55,10234.9,19427.2,0.0318198
835009,2013.24,3640920,1681.7,23349.8,4278.86,-4607.06,5089.33,9638.54,0.192768
12906600,24387.2,-64102.9,-5842.59,-2429.6,-854.736,2358.67,9452.89,-20624.9,0.490865
1145450,3624.67,351663,23797.5,29082.7,78474,33702.6,2285.3,9522.23,0.730464
9820270,18364.5,-266102,-1442.78,-14901.2,589.085,2724.37,941.976,-17619.4,1.96185
1307260,3964.76,354011,11205.5,68432,47814.3,181534,9092.94,12076,1.96208
6762430,12015.6,15125400,-13216.8,64884.4,32357.2,-41780.3,71009.1,79776.4,1.96224
8707350,14775.4,5522150,-891.938,30395.3,17983.3,-22369.5,42368.9,11389.5,1.96279
2995870,5902.29,27089600,42372.6,64636.8,52336.4,-71965,90896.4,262576,1.99158
4677550,8450.26,36382800,-16569.2,6424.98,61707.8,-81538.9,112580,296487,2.00165
10903500,18458.6,1881080,-866.546,31858.3,4895.65,-5564.35,11687.9,6659.67,2.08403
5845980,10199.9,49363500,53437.7,-13317.4,83866.1,-102480,128370,231999,2.08423
8613820,14643.3,6321220,162.351,32619.3,18670.2,-15523.3,45215.8,25128.6,2.08478
1725600,4854.76,26435900,17403.6,-7909.92,25216.6,-30449.6,43203.4,55929.4,2.08533
3920680,7231.75,9100400,-12266.1,45034.2,22715.1,-30267.6,64747.1,66264.9,2.08543
2393200,5518.17,26525100,20174.6,-10737.9,42974.9,-55624.1,77049.5,193869,2.08674
2957090,6169.44,9461690,-12983.6,18949.4,25020.7,-32223.7,57604,80790.6,2.08727
9521950,16145.3,8553130,128.677,84944,18565.3,-24358.9,46020.2,14134.7,2.11561
6153390,10656.2,29939000,-12612,53494.5,71061.6,-91922.2,130650,235703,2.11844
3258780,5725.25,17207400,21304.2,135816,33918.7,-45453,51690.4,134859,2.13277
4993360,8806.87,35748800,-2817.78,48768.2,67103.1,-90955.3,118475,360563,2.13327
2498510,5122.77,23537200,35973.1,108971,46042.6,-62657.1,75258.1,195796,2.15487
4313110,7394.37,8288180,5608.81,100250,19224,-21851.4,33614.7,56155.3,2.21219
