FSC-A,FSC-Width,SSC-A,HA,pAKT,GADPH,p38,pS6,pCREB,Time
866311,2086.79,1556280,2350.06,16864.7,3397.7,-4216.7,5365.26,8825.66,0.0906462
401677,1535.63,110524,1994.6,18762.5,18520,38246.9,5288.97,11097.9,0.0966107
2919430,5156.36,11999600,12164.4,109375,22735.5,-29667,31097.8,61029.1,0.357176
439986,1658.17,111432,3248.72,2817.54,20438.3,14786,5449.61,7114.64,0.381342
2838770,5100.68,16340500,12861.6,122247,25132.2,-32745.5,34022.1,83947.2,0.387266
574199,2043.07,142984,4366.65,23680,45094.4,52382.5,-2315.16,10346.3,0.506534
662462,1854.38,179306,5523.16,8140.26,48898.3,84504.9,-641.515,35735.5,0.594521
352822,1320.66,242807,2852.64,4883.94,16024.4,3622.06,1098.92,1349.35,0.663091
411375,1500.13,1400800,482.689,7701.19,1239.76,-1540.25,774.335,5600.84,0.736598
357899,1428.29,124154,3300.43,1711.53,19861,13193.6,4603.63,8614.34,0.758338
2077390,3884.51,4564860,4082.01,55588.3,12774.6,-16343.4,18661.2,24709.8,0.822713
3030050,5344.51,13744700,11610.6,117583,24955.1,-32561.6,32415.1,72066.3,0.827546
1695130,3277.58,5264170,4203.66,41892.2,8434.87,-10603.6,13208.9,20940.2,0.827958
2923780,5150.98,8341580,8716.38,95623.1,20712.9,-27118.1,32835.9,47608,0.834909
4884830,8497.79,33853500,45581.5,259096,70392.5,-94032.4,108076,200381,0.835567
4394280,7573.07,12825300,16311.8,166419,38505.5,-50751.6,61823.9,90797.7,0.866171
6495160,11218.2,45674200,75392.2,114544,107927,-138578,190304,293670,0.87228
1007940,3335.31,384594,9375.72,52871.8,105835,147905,44016.9,20994.1,0.944285
520658,1923.24,151185,5547.58,21421.2,27382.7,58723.7,871.412,12129.9,0.955042
515380,1818.87,204217,4176.84,36023.3,47345.5,67143.8,8234.1,18160.7,0.957325
707377,2756.04,330093,8179.81,32932.7,73031.8,95902.5,10046.5,24159.4,1.02824
1145950,3206.84,585114,16200.7,101738,139077,254415,4079.48,43843.3,1.0435
646064,2443.81,239127,6005.38,44082.6,56206.6,139423,61685.3,44938.7,1.06742
794152,2591.03,367725,11075.5,34455.6,46642,100248,64088.8,17339,1.07653
536718,1927.99,1618600,26.3218,162643,1137.79,-1035.86,-1432.49,-3421.72,1.09113
1019960,3413.65,628019,12561.2,63876.5,86365.2,185975,111206,101789,1.1154
563698,1995.01,116186,3623.91,16713.7,31580.9,43671.7,8527.42,15229.8,1.16734
1069630,2387.74,4273320,2684.05,22071.7,4707.81,-5286.81,6626.96,14001.5,1.20329
345428,1407.13,164501,2593.6,9421.36,12126.7,17056.9,4910.75,668.524,1.36914
298845,1221.72,116901,2291.6,1073.01,23759.1,10638.9,-123.009,7437.17,1.39617
1517830,4122.86,448526,15511.4,81543.5,183213,143258,5875.96,26902.7,1.43516
446359,1518.91,214399,6305.33,8985.27,17618.2,26489.1,1900.57,8907.14,1.43518
397559,1476.8,1159420,974.876,6426.57,1537.52,-1962.41,1988.22,4858.33,1.43656
1196010,2568.28,4993310,2637,23750,6424.38,-6829.92,9231.43,16295.4,1.45869
1294370,2687.37,5010360,2498.21,28316.6,6837.88,-8319.34,10203.8,17089.9,1.46912
2014720,3750.23,6793160,4664.57,52292.4,11441.6,-15016.4,16347.8,27421.5,1.48337
2419880,4368.13,7641650,5328.99,68828.2,14629.3,-18307.2,20818.5,34948.7,1.49156
1905790,3674.75,7704820,8463.08,47722.7,17469.1,7868.87,13819.1,38660.2,1.49427
2229400,4169.36,13396100,8092.03,77338,16041,-21025.7,22661.6,51242.8,1.4953
3146000,5524.9,4199100,4093.12,77627.1,18145.8,-22457,25706,25057.4,1.49546
4083300,7048.81,8081820,9958.21,126955,35488.6,-21213.1,48541,63441,1.49655
2706390,5098.43,21272100,17150.2,130946,32152.8,-42453.2,46391.1,101062,1.49927
4688050,8044.71,3121780,1591.13,110669,24021.3,-28078.2,40423.8,19399.1,1.49962
2618050,4815.43,19381100,10197,103998,20795.7,-27652.3,30891.2,64803.7,1.50007
7264000,12456.9,43043300,57477.3,185214,107888,-138560,191719,246197,1.50098
376025,1341.04,158649,2967.26,3720.37,16696.4,19272.3,6797.51,15660.8,1.50785
2157300,3988.02,5340280,5970.63,59261.8,13497.3,-16220.6,19634.2,29999.8,1.57134
1325750,4667.37,547649,19539.9,96986.9,123909,224496,1027.41,39260.8,1.58516
875622,2859.68,452074,14912.9,20588.5,24661.1,81639.2,11316.9,44880,1.60466
369826,1383.78,113968,3651.41,12058.3,16446.2,51613.3,2282.55,7302.12,1.60468
3230770,5649.04,8686160,10663.5,107476,25330.4,-31430.7,39375.5,53562.6,1.60834
413175,1625.77,96425,4053.58,9765.26,16158.3,45648.4,1394.45,11790.4,1.60889
811447,3016.36,286821,5967.7,33198.5,45640,75667,-1146.69,20498.1,1.61819
2463710,4892.41,1637700,3510.59,54033.7,21492.8,20668.2,10613.5,12418.5,1.62347
1101690,2460.2,3374740,2922.97,22990.3,5879.87,-7421.54,9330.73,18639.3,1.64102
5637950,9856.55,45258900,77849.9,50723.5,99752.8,-124906,161162,279455,1.64268
377020,1398.07,321761,10811.7,9518.23,9170.45,15355.9,13743.8,7607.77,1.64577
444777,1615.99,227899,7511.55,37604.5,18226.2,70233.3,997.912,8639.33,1.65379
311724,1279.11,210018,5293.91,38635,23462.2,77049.1,860.61,12210.9,1.65381
845308,2896.75,407853,8450.02,58739.4,112548,218403,11371.9,82096.3,1.65986
927739,2971.73,327137,8268.79,51832.6,75949.3,130275,21198.3,60554.5,1.65986
430544,1540.88,141721,4690.32,23228.2,47738.9,30992.1,-963.158,16861.3,1.67442
362734,1446.6,83113.5,3728.04,5722.6,13978.2,43703.8,-845.757,11866.2,1.71401
528937,1853.17,521394,12475.6,51351.1,44855,158902,16869.3,54061.6,1.71691
801472,2813.95,208381,7539,24816.9,92310.9,87973.9,1873.55,42683.2,1.74231
348106,1404.36,145698,3331.34,20619.5,18167.4,37007,4584.01,12366.4,1.76199
791983,2444.98,520927,12266.9,25052.6,48915.5,72116.2,8562.72,16026.3,1.79768
333093,1367.89,118109,2794.98,4815.89,13674.9,28255.8,10649.4,12212.9,1.80021
1723620,4991.7,810091,31224.9,121160,143916,361634,16051.5,74245.6,1.80393
733024,2053.65,6464410,1000.68,20446.6,5484.25,-6397.51,7838.95,13095.8,1.81026
5554200,9585.88,28096900,34745,263226,68102.2,-85420.1,110029,173227,1.81057
515136,1946.55,166006,5535.1,26414.6,41872.8,79122.7,-1396.05,15258,1.82407
408845,1572.29,88101.8,2603.31,5806.2,19329.3,35360.3,2158.39,10474.6,1.85547
622237,2439.99,159986,8291.81,38013.9,74689.4,65994.1,7827.22,16133.2,1.89782
1142900,3710.92,570146,16483.2,75417.3,87953.2,218164,20831.1,40594.5,1.90792
535072,1977.91,409971,6529.45,20095.2,15110.1,75962.5,16561.6,6430.22,1.91378
440066,1475.61,198024,3255.57,6732.48,42930.8,20592.1,22314.3,6794.52,1.92733
955726,2896.14,202308,7373.14,31045.5,74401,96303.2,-2860.53,56598.6,1.93272
306835,1226.76,87543,3654.54,8338.95,16329.9,27729.3,2610.14,16408.1,1.95504
523620,2103.22,280093,4138.17,6005.32,18093.1,19543.1,1811.8,2719.77,1.95966
572917,2096.19,215498,5431.4,44109.2,57106,111752,17220.4,7346.14,1.97186
1573720,3128.57,4455380,3725.62,32012.9,8268.87,-9914.79,13861,13539.1,1.97661
907244,2141.35,2938530,2843.91,18686,6163.95,-7564.41,9020.23,11968.8,1.9768
