FSC-A,FSC-Width,SSC-A,HA,pAKT,GADPH,p38,pS6,pCREB,Time
11591400,19636.7,951065,414.9,11780,1497.8,-1927.18,5089.44,6191.72,0.218988
7813800,13344.6,13482600,-7698.45,71368.5,26733.2,-34642.8,66646.9,52049.5,0.383887
2888400,5283.15,20207700,17670.1,136123,30982.1,-42082.8,45928.7,101301,0.455339
1685820,3508.87,10586500,9949.95,61826.2,14970.7,-20087.9,22289.2,46227.4,0.458884
1358980,2878.71,6999400,4593.52,42295.4,8629.51,-11113.6,9899.65,27566.5,0.509584
1455710,2949.87,5663600,3763.51,43811.1,8258.18,-11176,11774.5,27159.1,1.25119
1220070,3568.76,608808,18517.3,27773.9,42192.8,118468,9896.51,35567.2,1.3209
490169,1619.68,1694570,668.359,8091.53,1753.81,-2343.36,2381.71,3922.44,2.08029
1136680,2468.9,3964600,3238.68,39958.5,6538.32,-8121.17,7893.07,16145.1,2.11921
1872110,3559.67,8328980,5501.49,56594.2,11054.2,-14965.3,14699.7,34745.7,2.12606
725940,2796.87,220987,17798.6,33035.2,33364.7,103100,2722.2,21499.4,2.15795
803135,2097.73,3325870,2770.01,14341,3322.02,-4191.2,3896.06,13061.9,2.21594
2950400,5305.96,18577100,14618,129556,25835.9,-35412.6,36534.6,90108.5,2.23844
574060,1620.85,2203170,871.836,13234.4,2311.29,-2771.25,2766.47,7464.68,2.25188
8457680,14406.8,21695500,-2993.79,218370,61439.1,-77880.7,122801,12022.7,2.33182
5887240,10090.2,18365100,-3750.5,124025,32171.5,-32750.3,67944.5,82218.2,2.38541
741477,2265.4,430309,40205.2,56666.5,59609.9,151402,1913.63,21567.5,2.42781
666252,2084.12,263752,10448.7,31254,43287.5,84622.6,476.276,13870.2,2.42783
427533,1682.22,150972,5943.87,14047.1,21571.5,49227.7,-197.78,5641.99,2.4434
600661,2149.29,331955,10589.3,24351,33849.7,46277.7,9730.14,17101.1,2.45219
322338,1252.9,115012,1411.19,9651.61,7195.56,14010.6,2104.1,2606.28,2.47042
704968,2185.95,274856,6072.89,17301.1,27751.1,44741,1854.55,8464.12,2.50169
994544,2661.82,424746,15165.7,39817.8,45632.2,157290,5709.34,39584.3,2.55497
476620,1506.13,382496,10745,61167.7,32016,81342.3,2738.4,22449.6,2.57448
318199,1295.26,143764,3149.52,4274.06,7140.81,5961.98,1993.35,5449.6,2.57871
1569570,5482,814596,195165,94808.8,128320,378155,12553,52465,2.62138
823181,2404.82,460099,156340,27043.4,41501,109850,-765.831,44589.4,2.63147
482574,1621.76,227190,5018.72,11215.1,22026.3,26188.1,-96.4844,7056.18,2.8103
318126,1276.21,115148,19964.6,12521.5,11739.3,32639.5,3247.85,6395.43,2.89815
1403860,3498.79,1239500,27424.3,94121.8,126264,328320,30746.6,57586.7,2.95208
1519050,3661.45,875913,20734.5,73281.4,86061.1,100783,14978.6,31354,2.95558
323002,1234.05,172334,7607.98,4955.74,11392.5,13656.2,2063.26,4031.36,3.08507
596168,2040.14,196248,8141.08,24223.7,23785.5,72036.2,-884.847,9722.23,3.25369
1175040,3210.98,6336490,21960.3,79326.2,54817.7,110925,10618,67143.1,3.33312
368706,1453.03,126327,5866.36,20419.5,14018.8,58660.6,-1054.04,13257.9,3.46979
508035,1675.69,1151510,1359.4,116216,2262.05,-853.33,-547.817,2650.62,3.49737
1050130,3032.95,344408,14474.6,59310.4,105076,77157.2,-2772.8,10630.9,3.61015
791051,2640.96,205831,9036.59,48091.8,38294.2,110332,75.426,13995.6,4.40995
392716,1449.55,212590,1886.74,2431.77,7646.92,6381.06,270.132,956.207,4.44202
347996,1398.23,104999,4501.93,9961.86,20455.8,44851.4,-848.798,11799.5,4.55714
623073,2010.26,292152,3652.66,7568.78,9064.34,5966.09,3706.05,5452.64,4.59389
304861,1240.06,161222,562926,13694.8,13423,35952.8,5444.48,-233.14,4.67138
584204,1840.46,187928,8270.67,19105.9,35269.6,31147.6,2163.13,9059.9,4.74906
371399,1466.21,218782,2789.51,4938.33,6688.41,5926.04,3335.72,1897.26,4.92728
1218030,2459.3,1327550,1255.38,24676.2,3624.88,-4466.07,3967.86,7043.31,5.06632
1597640,4686.66,863148,31450.5,79486,71776.7,206569,7581.21,35572.7,5.09095
1465000,5478.56,473364,28436.5,79718.3,50572.2,178178,7782.39,27134.1,5.12651
1179020,2699.57,1129370,18719.4,45287.7,77046.5,73812.6,7170.69,24715.6,5.14234
382452,1503.5,161436,8586.97,30866.2,29240.7,68067.2,28597.9,17926.9,5.26753
544506,2200.23,291688,9922.08,54316,50117.6,136959,600.939,23114.1,5.29562
2419320,5661.18,1146920,69643.6,132278,114095,378343,33414.1,69824,5.2957
270927,1099.51,48890.4,2670.27,9774.91,11668.8,13384.6,388.256,1413.38,5.29572
892271,2805.19,398913,21434.6,50908.6,48432.2,143274,14831.9,19939.2,5.2958
501430,1776.45,158958,21477.5,35062.6,33492.9,78980.2,-1827.86,16840.3,5.31386
820007,2938.84,330076,16309.8,73644.2,76347.1,144576,-809.905,27237.5,5.31947
454942,1720.92,114280,5616.61,15880.1,21397.8,29841.9,1096.52,5008.86,5.33808
530274,2051.9,125297,6254.49,21996.5,38903.4,56657,-1392.54,18068.6,5.34227
451032,1742.43,104132,6191.01,18031.6,30796.3,55000.5,5242.14,9504.22,5.40519
574584,1640.61,341167,12648.6,27008,23621.8,58106.2,3366.59,10851.5,5.40521
290339,1187.06,75610,4137.99,9675.44,10690.4,37542.2,960.537,9685.33,5.51752
3933650,7365.42,36121700,57776.7,51185.3,72331.3,-89706.1,111026,196329,5.556
1938140,3997.9,1045630,3704.97,22870.7,7377.83,7957.82,4585.96,9355.4,5.60494
1975440,3911.04,5107130,3720.83,71893.2,10700.3,-13919.8,18628.4,18964.6,5.60604
7102830,12097.6,7045390,1782.37,225623,36928.8,-26816,60239.6,17488.5,5.60684
546676,1737.29,337209,15236.9,63718.4,21945.7,120287,12907.1,9908.69,5.60747
1059470,2900.05,656399,697618,73507,35913.6,210086,6783.34,24435.7,5.60747
550087,1816.31,188656,11399.7,24295.1,11377.2,58107.9,1729.13,12316.2,5.60747
1356260,3206.1,1395330,257315,104428,124357,237069,46423.9,47421.6,5.61141
3176740,6707.85,2278990,215574,302964,214126,506097,44826.5,76708.5,5.68749
2101730,6103.84,1901110,85010.8,76755.3,88197.7,189845,6610.87,23413.9,5.68791
562483,2133.52,436132,7580.27,10508.6,18100,11035.5,720.464,3444.97,5.68791
1011700,3861.46,362238,16646.3,70975.8,59138.5,154612,-433.043,18809.5,5.68805
501352,1796.96,321622,18268.6,56523.3,30776.4,103118,9900.99,20277.1,5.69516
366709,1484.27,107837,8130.35,28063.1,15434.8,48170.9,7426.71,7770.67,5.69518
849377,2295.17,712119,18716.2,60397.3,43082.4,131244,7991.76,13105.8,5.7093
587352,2193.08,385347,15011.2,58147.7,35853.4,129310,6346.32,20591.2,5.7191
334306,1311.33,149973,16477.6,14119.7,18190.3,76366.7,17671.2,7812.75,5.72733
700165,2537.54,339062,23412.9,82953.8,105682,182283,-3096.02,59523.7,5.72916
647055,2633.82,210496,13972.4,42787.9,62330,131925,3780.41,55927,5.72918
1389410,5334.28,429815,370693,82099.3,88370.3,187546,8016.01,38457.1,5.76425
396621,1452.57,130368,4897.98,26468.7,22949.4,41420.8,-552.696,12213.9,5.781
598422,1929.03,175077,7064.94,26326.1,34826.6,29179.7,280.59,4688.15,5.79167
922819,2720.42,343830,19795.8,70426,74922.3,144862,-1313.73,36624,5.79167
1452520,4839.6,663297,117978,111302,102295,332862,-1498.4,43931.8,5.79738
332658,1354.16,120430,11467.1,16017.6,20487.4,50181,6066.12,5939.83,5.79891
571311,1762.45,226104,5791.29,14876.2,31199.5,39321.1,-400.596,2936.12,5.79893
1592060,4332.77,679941,26324.7,94832.1,129747,201963,3079.6,62769.3,5.80179
334682,1318.01,146449,6802.98,16583.4,21929.8,42533.8,-656.657,14228.9,5.82431
344004,1249.15,193950,9733.97,44872.1,33623,107577,2912.62,21796.2,5.82745
897983,2469.53,298289,51216.3,32706,46371.7,71050.9,36273.3,29015.3,5.83266
469240,1839.48,103086,4970.97,16401.3,14217.9,48063.9,529.304,4205.19,5.83486
728238,2918.51,415950,15542.3,37502.4,65005.7,127783,1151.7,41017.2,5.83646
846918,2170.54,441805,647679,32617.8,45833.3,118196,55218,32705,5.83999
304806,1249.76,65436.4,4265.3,7582.3,16251.5,30772.3,-4.03513,4253.69,5.8433
622377,2155.71,137285,6789.99,41173.5,50117.8,68381.2,-947.038,11157.4,5.86158
422063,1672.88,140063,18050.5,22313.1,21880.1,77884.6,-1969.98,15498.4,5.86481
946702,3526.91,427516,19609.6,56252.6,96607.2,178522,5718.9,41943.4,5.87114
999363,2767.96,686301,25155,89191.1,119203,123102,3919.75,21847.3,5.8833
1714980,5021.67,515669,227171,93224.5,201970,151904,-1454.72,19481.3,5.88574
1191730,3578.6,244247,13093.9,44859.2,79751.7,108340,-4088.65,18437.7,5.88815
679712,2444.32,278380,324905,52165.5,37706.6,165484,12979.2,24149.2,5.90032
476674,1793.11,239433,13103,25769.2,35343,58716.5,3517.45,12640,5.90219
555976,2053.28,207290,48133.2,46258.2,47242.7,88942.7,-1698.41,24288.9,5.90221
387460,1480.97,140239,30486.2,29289.5,17420.1,58333.9,1983.36,6373.65,5.90241
1180850,3447.67,459722,17935.7,60452.7,89720.4,145376,6104.84,35289.4,5.91124
853617,2628.47,268448,9284.51,44308.1,56142.4,53966.2,13116.9,16219.3,5.91126
380979,1534.9,142099,5531.28,8383.31,10219.1,18161.2,21661.1,9322.78,5.92242
493540,1652.96,242965,13089.8,15433.5,20242.2,47296,947.953,5063.23,5.95569
697007,2432.83,213114,11463.8,44239.4,23595.2,89339.4,2951.13,11888.5,5.95695
688194,2172.89,418298,13836.6,34419.7,30650.2,103331,6098.13,32552.5,5.96693
319330,1311.59,83564.6,68615.6,10930.5,15799.2,25688.9,8536.68,9463.33,5.97386
672865,2044.79,204617,9485.08,9621.52,32917.4,47468.2,5494.4,8800.14,5.98446
295771,1190,63958.8,7417.53,6787.3,9462.07,19793,5245.51,3978.24,5.99431
3892130,6745.91,10776700,8332.28,98069,20468.5,-26357.5,33419.2,81129.9,5.99612
461063,1734.39,123628,6562.33,28834.7,29126.1,70931.2,-683.442,6933.83,5.99816
658663,2461.64,136488,6110.2,15038.8,31541.8,24048.2,371.698,5201.75,6.00655
449998,1737.08,158834,8169.17,14003.2,20928.9,47976.4,10354.6,16836.6,6.01044
1594910,3169.27,6348990,3958.52,48931.4,9395.39,-11305.2,12619.6,26370.5,6.02019
284276,1115.42,90985,4548.34,21015.5,23052.2,37217.4,-1118.24,13343.1,6.02859
1344410,4933.89,383921,21203.3,79211.3,93778,154269,-2269.3,21054.5,6.0351
674481,2118.2,311262,671349,15770.5,22867.5,59547.4,4586.81,3008.57,6.03688
529914,1845.08,652739,4763.53,9305.44,23009.9,10491.6,2610.99,3377.51,6.05373
475902,1583.08,275040,7182.45,24016.5,39024,41867.2,2275.9,4274.81,6.05627
388981,1434.77,83896.3,13143.3,2047.48,10831,3282.67,215.727,2379.28,6.06811
992344,2936.27,777338,12840.7,38900,37326.3,78760.3,2979.88,18171,6.09653
598163,1873.14,132070,7001.9,18014.4,32473.3,53272.5,941.34,21168.7,6.09655
323991,1318.41,89194.4,4792.38,14335,13784.1,44133.7,860.868,9292.62,6.09659
541671,2017.22,108687,6574.15,25071.4,32681.6,80145,1526.54,11012.6,6.09661
367458,1338.15,134619,4565.12,7228.71,20169,22526.1,3899.25,8262.29,6.10334
340995,1328.73,128329,4511.5,11219.3,7334.32,36964.5,546.719,4124.91,6.11035
632451,1993.44,224247,7119.14,17970.9,32722.7,52280.7,-136.298,7812.55,6.11278
498755,1875.9,169956,5173.08,11827.3,20141.8,29691.3,720.076,9329.96,6.12504
956582,2774.77,320517,12908.4,73895.4,71511,122634,-423.08,37561.4,6.13393
929841,2367.18,663149,24071,63264.1,66510,112939,34776,69115,6.14258
795901,2597.67,334013,11932.7,27206.5,30067.9,71799.3,18079.3,19263.4,6.15939
392794,1575.95,211882,281353,8947.06,25308.4,55581.6,3654.71,14485,6.16662
720098,2004.54,323801,14555.8,51848.4,56242.1,205759,69428.4,31705.8,6.27415
347889,1428.84,72776.8,13867.3,12088.5,19025,37134.6,-357.283,7826.22,6.28441
1972560,6228.27,1271520,353629,217622,305968,354506,17039.6,48444.7,6.41153
1209480,3320.11,400306,96717.6,60063.3,85340.4,166458,-4058.91,35564.1,6.455
653625,2146.38,346855,203405,63145.2,62902.5,147307,2421.93,16946.7,6.58484
911876,3249.81,217259,11125.5,39601.6,49120.3,95044.4,5609.24,27813.3,6.63045
303644,1232.25,85853.3,5791.86,10970.3,13622.5,54695.2,-1593.23,19828.7,6.63183
733307,2218.31,247200,13011.8,62597.3,47982.4,145373,-582.788,26426.7,6.63185
464436,1497.39,283477,10280.4,38335.3,25444.1,92068.3,26854.9,13983.6,6.65146
464983,1841.23,106903,5282.62,29193.3,38617.9,48170.9,-1445.84,4085.91,6.65148
736368,2471.68,303204,880639,28156.1,34768.2,110427,37111.3,11058.1,6.65204
596599,1777.08,308957,10612.4,28426.2,31630.5,57349.7,55.674,11549.5,6.67778
288520,1173.18,69523.7,2135.39,8383.63,6357.81,27158.6,1019.3,979.129,6.68395
