FSC-A,FSC-Width,SSC-A,HA,pAKT,GADPH,p38,pS6,pCREB,Time
477020,1555.47,204846,5127.52,14719,25626.1,36652.1,-65.7093,8034.3,0
2624540,4729.3,5025230,5456.56,70625,14799.4,-19566.9,24102,25194.8,0.0277467
1076380,2381.2,3443300,2777.79,22658.6,5032.7,-6533.56,6236.25,14693.8,0.0315606
349472,1349.68,107553,4860.25,15339,12813.4,21245.6,2027.19,3755.72,0.0388857
399537,1381.99,1051830,2749.6,8647.19,2148.39,-2140.25,2792.05,4665.38,0.041953
3118000,5488.23,3462840,3157.59,72115.2,16138.7,-20540.2,27015,19360.9,0.042175
559686,1976.32,204498,7837.12,32478.1,39003.5,54011.9,-888.656,13357,0.0455651
1369960,2831.45,3574050,4809.15,33065,7859.65,-10442.1,11721.8,21807.7,0.0580562
1762670,3477.03,8707470,10893.4,56109.4,15480.1,-21229.2,26500.8,49888.5,0.0623342
2308120,4243.36,4640410,3865.18,53808.5,12530.7,-16053.9,19274,23241.4,0.0763791
509786,1841.52,189418,3267.97,7648.18,11460.9,15557.6,630.711,5500.46,0.0775898
1763200,3479.92,3056970,3429.48,40999.7,9241.83,-12082.6,15572.9,17035.8,0.0779329
599449,1714.51,1653910,1004.47,11394.5,2452.07,-3103.5,2724.59,7226.69,0.0889912
1172320,2627.52,1513080,31313.1,47689.3,57176.1,145230,7119.32,26788.5,0.10683
859567,2054.69,3196790,2547.63,15919,3655.17,-4437.04,5738.95,9594.75,0.112985
1058880,2359.59,3390700,3044.34,22469.7,4968.74,-6040.83,6857.75,12601.4,0.114276
791126,2007.89,1819480,2314.47,17158.4,3528.66,-4149.55,5191.12,8451.18,0.13155
1020680,2318.82,2760710,2863.95,21725.7,4763.86,-5983.19,6310.85,12071.3,0.134375
1596710,3159.36,4664450,3165.75,34575.4,8081.47,-10379.4,10530.5,19269,0.140388
1570110,3115.16,6572210,5113.18,39600.3,8330.65,-10658.8,11661.1,23320.9,0.149307
1348290,2794.2,4096400,4796.87,33142.2,6687.93,-8720.45,10230.7,20572.9,0.217373
366741,1306.76,967574,1610.97,8251.68,1481.15,-1578.87,1370.2,4072.2,0.23737
521798,1579.34,1379040,1080.59,9928.52,1945.88,-2685.55,2551.63,6554.79,0.459061
1718610,3487.51,1981350,1894.46,39149.6,8154.05,-9348.64,13903.3,7712.89,0.460918
641617,1774.45,1739060,2305.36,12329.5,2731.01,-2844.73,3434.44,7814.68,0.462411
520742,1814.13,509808,801.108,17326,5461.26,3015.42,4012.12,2765.44,0.462956
3927630,6798.43,11105600,15212.6,142776,32557.5,-42387.2,49947.1,76702.6,0.463057
1356170,2817.73,3525540,3120.2,30028,6532.52,-8453.79,10292.2,18171.7,0.477203
1631380,3271.34,7688600,10889.7,55986.5,14416.9,-18003.3,20045.1,41654.5,0.485476
3461810,6057.66,5020980,22191,113799,60170.6,90204.8,36410.9,49463.4,0.509752
1462200,2974.92,3360740,4005.01,33015.3,6777.54,-8569.63,10287.7,17403.2,0.520629
536206,1957.4,219503,282865,14528.9,14795.7,36138.9,-3757.29,5594.85,0.555983
669394,1814.34,1742720,1843.79,11665.9,2400.68,-2980.52,3879.55,7789.87,0.571925
804344,2007.68,2785090,3209.66,18662.4,5174.58,-6780.77,6260.12,15957.7,0.583023
1256520,2721.49,2285070,2686.47,28063.9,6337.77,-7927.44,9227.86,12688.2,0.623665
1366500,2804.42,4912830,3660.61,30483.8,6891.11,-8779.64,9175.62,18235.6,0.624633
1348160,2903.06,6675050,7219.94,39865.2,10400.7,-13998.2,16965.9,35393.6,0.672882
826588,2087.26,1694130,3335.33,17463.3,4198.84,-4718.69,5785.77,8939.72,0.680611
336419,1339.6,1254060,922.771,7148,1648.1,-2125.14,2064.23,5070.84,0.695382
1301140,2713.1,4188530,3318.8,25933,5987.67,-7615.59,8957.08,14516.9,0.700609
523872,1615.06,1086140,1794.43,10308.7,2022.78,-2600.41,3083.53,4961.29,0.741795
559910,1621.42,2097190,2511.84,14254.7,3767.22,3620.71,4417.85,5295.76,0.767221
440677,1485.36,921304,1287.34,8692.35,1878.68,-2399.08,2343.37,4537.91,0.776786
1573260,3117.5,5503930,7022.6,41895.1,8821.84,-10695.5,11219.7,24685.7,0.776847
1448110,2929.4,4823320,3524.72,32601,7181.36,-9077.63,10563,20999.6,0.781407
782661,1993.01,1984620,2150.44,13363.8,3350.65,-4151.9,3675.24,7335.64,0.781448
651596,1892.58,2421910,1981.4,9248.29,2834.38,-3106.25,2977.04,7547.28,0.782638
452499,1511.83,200388,28775.4,12019.7,14778.6,30542.4,813.8,10596.2,0.801082
418563,1427.44,970921,1438.85,9828.27,1957.49,-2181.16,1737.33,4349,0.80425
599420,1977.88,221738,7538.18,28968.7,26318.6,79859,862.973,5800.96,0.82221
1931530,3648.26,8789420,7536.72,55075.5,11557.9,-14763.9,15400.6,34550.7,0.845215
382573,1442.6,131078,6014.78,5099.11,5790.92,24521.7,-213.444,7739.67,0.898024
465562,1662.4,107944,8696.59,16910.1,15021.4,37251.5,2518.04,7448.77,0.899961
3569570,6244.43,20740100,24964.1,174664,41691.9,-34465.5,53924.9,116420,0.90204
632284,1943.39,230941,5803.6,16471.9,28765.7,40970.1,7566.41,8751.18,0.918244
283247,1163.49,318619,455.116,35992.4,764.719,86.8481,-114.812,704.19,0.920282
869263,3172.58,368355,16017.4,78688.2,94487.4,107584,4224.96,18996.9,0.93913
360872,1326.46,101048,4554.35,15275.3,9886.98,29103.1,4710.81,9690.19,0.958461
443498,1457.98,1021670,1141.11,8768.93,1795.39,-2252.71,2568.91,4523.69,0.966352
363982,1482.24,603477,440.294,109709,613.216,-248.101,199.104,1833.94,0.97404
321059,1247.74,62862.1,1054370,1123.63,9447.13,29955.5,3094.72,1979.47,1.01848
2161590,4035.81,4895670,8762.56,61811.8,17824.8,-7034.4,21741,28592.1,1.08527
375434,1426.49,91477.9,3040.22,12797.5,12681.5,52195.3,-802.792,14420.6,1.091
5318430,9285.78,40931400,92360.9,174993,141259,37832,132145,229242,1.12567
586424,1691.35,1767690,1856.07,16764,2807.62,-3721.19,3029.84,8550.54,1.14306
2798950,7709.28,1370740,44384,201973,135250,609780,11476.5,115692,1.26323
305870,1224.86,116475,4929.96,17827.5,11315.9,40341.5,96.3168,8440.01,1.2847
776292,2355.91,457975,852716,24297.1,44801.4,95141.9,6546.01,10028,1.29679
1148940,2495.79,3757440,3937.21,26957.2,5843.83,-6914.54,7840.32,16033.6,1.39016
406282,1619.26,94508.5,2100740,5775.31,17035.7,44301.8,-13032.8,6111.85,1.39845
1138070,3713.78,848017,224749,103459,69461.5,223978,4997.08,29904.6,1.41777
1756510,4098.09,1409230,707533,94160.2,82221.1,166095,15942.7,63250,1.42118
528856,1914.25,198720,4860.94,9817.85,20939.5,19331.6,88.6716,9305.01,1.4311
289752,1190.18,96765.1,4041.36,10673.7,11706.8,17780.9,1854.86,2541.1,1.46575
2685170,7319.98,1660920,64014.3,218009,183267,529481,4015.96,94057.5,1.46809
436230,1702.36,115047,7456.49,26844.9,19700.8,62940.2,-50.6357,9275.02,1.47848
880664,3309.79,324754,12271,37744.3,43506.3,98190.1,2861.02,18191.1,1.49465
493481,1764.2,187946,7854.03,21154.5,12968.6,51333.5,765.206,6263.97,1.55769
385218,1425.41,87224.7,1778.91,5345.58,5738.78,15759.2,-408.715,1850.05,1.56647
526176,1656.11,142566,7345.64,22263.8,20000.4,41767.4,-1409.76,5960.98,1.60287
385981,1454.43,75998.1,2518.7,8752.43,9302.29,23289.3,1729.75,1831.14,1.65168
332179,1340.91,117069,3138.18,9030.93,9480.02,25058.3,3174.16,5175.84,1.65746
319744,1280.9,156117,5700.91,22203.2,9867.49,51943.4,1838.08,9776.68,1.65812
370668,1380.03,141134,8628.37,30095.7,15922.5,74524.4,-1680.67,8165.52,1.65812
344073,1317.81,126601,4608.79,17197.8,10034.5,37651.1,1499.11,6417.52,1.65814
353197,1334.78,171091,3722.78,8710.24,10178.5,23528.1,281.342,6257.29,1.69194
487999,1716.37,217082,5628.16,6711.73,11223.5,8099.14,315.979,3814.59,1.70447
1054440,3092.19,726806,43711.3,70168,35495.2,173110,16315.7,25524.1,1.80049
1059740,4105.64,336310,16021.8,40096.1,31096,87742,6369.89,22766.5,1.80277
331321,1284.89,172070,2681.35,5378.85,1892.29,1611.31,2904.02,1689.49,1.822
741978,2621.4,267649,16098,22138.9,31475.9,82563.5,3405.52,17732.3,1.82829
479810,1639.06,265243,7351.64,15190.2,12771,25824.5,3967.28,6799.73,1.82829
491847,1913.8,126483,4945.77,19796.2,14266,74138.1,-1219.23,12558.1,1.83895
392658,1578.62,116920,4975,12739.4,10664.4,53980.6,1236.63,3407.81,1.8691
468240,1755.71,223795,8455.52,38919.5,36754.3,53746.6,-393.297,9770.34,1.88698
417640,1602.17,146415,5077.53,21908.8,25337.9,48416,3162.87,7921.97,1.90712
346948,1413.5,140208,3320.12,5844.69,6466.93,2027.06,2070.1,1791.04,1.91408
332282,1332.79,94886.8,3674.59,10419.4,14102.2,16302.8,3268.56,11302.9,1.91428
443451,1702.41,137939,7048.4,12528.9,13289.3,30943.5,12546.1,14277.5,1.9236
1461140,3730.08,1117800,50061.8,107593,89355.2,455010,20770.9,71226.1,1.92572
1681690,3276.14,5107370,5039.2,39696.7,9196.09,-10581.4,12551.4,18082,2.01974
770228,2632.27,778749,26794.7,87444.1,97144.4,245747,6233.67,38441.7,2.03154
556395,1917.88,454283,15281.7,39986.1,52159.9,123491,-2213.99,24787.2,2.03156
