FSC-A,FSC-Width,SSC-A,HA,pAKT,pERK,GADPH,p38,pS6,pCREB,Time
423941,1452.55,226838,7653.46,234895,-5463.54,-2077.94,-2836.93,-919.062,-10388.6,3.92304
484131,1643.03,148485,17309.9,3315.83,4514.75,4276.49,2609.28,-2012.07,4036.95,4.11337
1250410,3935.99,19422700,15566.1,-3732.7,-2770.2,18250.8,-22487.7,31781,43959.8,4.61986
2030200,4496.96,8165640,12659.2,48592.2,-3446.6,9861.1,-12628.4,18837.4,27986.3,4.85808
1641530,3370.59,1526660,6792.29,36836.3,-2085.7,7301.86,-9026.44,13292.8,10653.2,6.58283
1132590,3119.55,635433,18619.9,78391.2,67140.4,83679.8,180971,-2016.37,84163.4,6.73311
618990,2160.4,234672,4638.24,34794.4,19495.6,23558.9,83859.7,5453.55,13122.5,6.77268
565397,2255.87,247806,75285.6,36292.6,11967.8,21035.6,80412.6,9242.27,24554.7,6.77272
319863,1297.57,67972.9,21946.9,4812.19,6063.41,4249.63,23565.7,1011.84,5773.69,6.77405
288776,1176.46,82937.2,2924.49,3588.12,1897.01,9337.3,5952.25,-48.6459,3033.99,6.7842
1361100,3474.76,585103,81584.2,80908.9,44762.7,50724.7,172190,32756.7,70199.2,6.78422
348024,1413.96,93534.7,774.961,6927.34,1618.58,6295.88,10666.5,889.932,4562.34,6.78468
534801,2086.96,168811,14698.9,15330.3,18498.7,12791,28801.9,550.366,21647.5,6.78765
742530,2616.41,619617,24050.5,23991.3,26809.6,31754.8,156715,2890.5,38604.9,6.79495
422989,1620.02,185547,545.414,6801.57,6329.13,4583.84,25825.9,215.073,6330.04,6.80763
444501,1631.19,72594.1,10202.3,12836.9,1717.22,16021.5,21538.2,1676.77,6638.14,6.81419
1589110,3345.94,429757,125031,37874.5,14952.4,40497.8,111584,2410.11,20650.9,6.81421
1097200,3280.28,643881,44906.8,34405.3,9875.95,25054,99250.9,5423.03,13476.7,6.83033
483841,1528.8,160814,10730.9,11134.2,11809,16756.3,25926.9,3914.32,12257.3,6.83167
683785,2101.73,200456,37950.6,18443.1,18553.9,15992.1,58883.1,6905.81,17409.3,6.84511
321515,1280.93,132005,1406.28,10265.5,4307,13928.3,14523.5,705.13,3523.51,6.84871
587105,1973.15,159273,32403.2,15104.4,15182.8,18967.3,41691.6,7380.41,19515.9,6.85192
393508,1531.39,173118,37232.7,4040.29,3000.68,4143.95,2891.4,-1994.32,2762.03,6.8526
827955,2467.77,318659,-183.988,23185.3,16653.5,15054.9,55762.9,-613.085,19158.8,6.85436
399535,1467.49,74157.6,1507.46,5313.48,6253.14,7086.93,15450.5,-1731.23,14332.6,6.85557
932974,2496.41,441608,5139.27,30178.4,8741.98,17025.9,68410.8,12584.1,26377.2,6.85587
351582,1317.13,133981,6035.24,5703.62,7155.48,9191.36,6988.82,3370.82,4953.15,6.85862
559679,1737.37,170106,16236.6,12496.9,13899.3,12780.7,25903.9,10768.8,18309.5,6.86261
515065,1739.85,141575,-479.365,13274.8,20497.2,14985.2,41324.1,-1331.56,15322.2,6.86973
352841,1407.14,73543.2,36933.6,4010.86,1314.78,17094.1,17255.1,1763.96,4296.09,6.87194
329419,1286.79,131587,1241.97,8778.32,5393.3,12746.6,6244.62,219.532,2295.82,6.87706
389518,1449.88,113912,7734.61,5237.16,16636,11760.1,19502,25945.1,31284.5,6.89714
273765,1118.4,49920.4,6067.57,3802.99,6332.89,7046.99,9570.11,-1986.89,8800.8,6.91426
537683,1825.12,189482,23468.6,13929.2,21291.5,14762.9,49743.8,31800.8,22966,6.91624
578200,1952.81,271500,19073.9,15945.4,12176.9,20727.6,48892.1,3261.92,10216.3,6.91662
318463,1278.04,70396.7,44613.4,4152.68,3791.18,3881.66,7143.95,-962.583,4288.59,6.92236
407906,1432.86,167501,1975.48,8591.41,4598.49,7493.26,11235.6,490.618,4664.76,6.92312
441057,1582.31,210585,3392.55,11869.4,10749.3,16854.3,22956.1,2521.09,8553.74,6.92848
596426,2122.39,255943,21420.3,14656,8051.29,17106.6,30700.3,-1629.32,8406.04,6.93932
421355,1499.48,79056.9,-147.697,5989.58,5108.85,4520.69,3841.48,-1010.1,2431.94,6.96392
350743,1386.33,89147.2,2905.61,6006.91,3693.12,7068.85,11961.8,4289.13,5014.51,6.96925
480117,1606.79,145048,11356.2,12792.8,4293.6,9794.94,33587.2,61.6735,14995.2,6.98639
314919,1221.24,79550.7,5288.26,4803.36,3397.52,3059.33,4334.74,1280.23,4136.33,7.00842
1158230,3260.69,1583910,-247327,40898.6,162013,54965.8,86818.1,-109800,105435,7.01269
335704,1323.7,128589,5584.7,1723,1194.25,8538.03,814.906,-56.2165,1622.69,7.04199
487518,1786.13,152169,-1535.11,8241.3,9792.22,14215.1,25917.8,14815.6,14980.3,7.04817
386303,1439.12,234126,510.387,10570.3,8309.26,10818.6,13305.2,4180.9,4208.44,7.06631
381009,1518.01,158503,14029.9,13951.7,8266.56,12533,38049,5225.53,12539.6,7.07668
366977,1409.46,85257.2,15276.3,3313.55,6095.13,9163.63,19709.8,3408.21,11789.7,7.07732
527041,1768.59,131478,-5423.97,8019.74,14206.7,12192.3,18742,5433.69,12598,7.1393
670743,2027.9,309603,609.466,16380.3,17602,18542.2,24575.2,-314.044,18288.1,7.16544
304269,1200.56,127187,29358.6,2185.52,1403.04,1756.82,3643.14,-766.859,2504.54,7.18758
664072,2022.2,190704,1285.27,9313.43,14132.1,7507.48,13453.7,-1642.14,8189.46,7.19209
493460,1585.93,306739,-3835,5999.18,6419.22,10352.2,3338.12,-3106.28,3071.25,7.24045
586844,1809.41,311097,183197,12698.3,4857.3,15934.8,16314.4,1014.68,5971.79,7.25042
364611,1350.76,179777,-10169.1,7130.69,12913.7,7425.68,15604.2,1182.22,14355.4,7.27642
451997,1681.16,102702,1258.06,6470.73,3433.01,7815.57,11678.4,-621.087,4101.46,7.27664
419285,1587.35,182761,567.769,10810.4,12915.3,9205.72,38653.1,1631.38,15795.6,7.28557
271829,1116.45,73580.7,-3084.36,4953.25,4990.33,12082.1,5207.75,-837.83,4287.86,7.31398
541772,1672.09,205748,-14961.6,16598.9,17002.5,22127.1,23802.4,-2327.43,10914.1,7.31757
532284,1690.08,336997,-5839.53,6279.06,6521.17,7403.62,2597.2,-2932.13,4756.67,7.34205
302565,1231.5,71043.7,87391.9,5618.11,1188.16,2987.75,14226.6,975.894,6103.54,7.35369
966143,3116.35,293368,439709,31392.7,7752.43,29497.3,63929.6,8386.92,19030.6,7.35756
312293,1232.41,186065,-1912.21,6658.93,7183.27,10839.7,8487.89,-2191.22,5650.91,7.43056
304065,1217.78,57160.4,9354.8,4977.45,5494.33,6792.61,9178.48,-2399.53,9343.11,7.47163
811737,2358.47,251333,3714.39,15502.5,5831.3,11734.2,5266.52,-1938.27,6712.18,7.53682
474197,1714.37,240724,8679.79,25913.3,10996.9,19736.9,57800.2,5248.35,11615.6,7.54314
694618,2183.42,421528,-9519.94,12740.7,8494.46,6743.03,10750.6,-2539.13,6285.89,7.61341
562258,1868.11,156206,59010,17588.1,15479.6,13988.2,37345.3,4586.18,15575,7.73775
358881,1342,156305,3737.25,2613.61,707.189,3704.75,339.285,488.81,790.192,7.75002
404628,1531.96,93422.8,-428.113,6542.76,2693.07,9381.96,6368.11,-335.079,3429.36,7.95426
703006,2028.33,350282,-7905.06,14747.4,10657.3,13991.6,15873.3,-2336.53,11561.9,8.01867
286472,1166.74,60963.8,-423.456,3220.86,3792.61,6076.71,10523.1,-330.223,7977.71,8.12122
367461,1420.74,138628,-1480.82,8672.49,6249.88,9159.17,22877.7,-57.7299,6507.67,8.36332
418637,1624.25,116572,13108.6,4570.19,4651.39,6091.91,7347.54,-2189.39,8561.24,8.67055
484548,1631.3,163264,-6277.5,9842.62,17720.5,12515.2,11188.3,-3445.73,12953.1,8.69912
451134,1734.51,262369,17693.8,16242.6,12034.1,15773.6,28870.1,13497.3,26521.9,8.74677
317362,1267.39,114457,-5364.09,12232.6,13002.5,10172.7,27356.9,6089.68,2981.79,8.88451
506189,1661.21,147817,-2399.86,10478.5,9157.9,7664.27,11456,-327.798,10253.9,8.9677
781499,2282.53,333536,6834.37,16352.7,8292.31,23860.4,33396.8,4887.5,7193.25,9.02711
840484,2359.36,353299,80222.6,53348.6,11838.3,22882.5,52116.3,7119.81,17047.9,9.07619
1272030,2862.57,735631,47269.3,49483.3,53281.7,39420.4,118014,12194.3,79865.1,9.12984
534779,1755.44,190044,19936.9,31314.8,9628.83,20345,57115.5,8886.81,11322.9,9.12994
525153,1851.01,204872,18982.4,17497.7,7781.62,15218.3,43798.5,3237.81,9920.99,9.13012
1600220,3241.42,4928280,15840.8,56392.3,-4137.99,9578.23,-11505.3,18981.1,27543.3,9.21883
535258,1834.06,352253,1401.65,4848.49,1305.55,18413.3,637.917,-402.217,384.82,9.28958
1245080,2907.43,772806,50914.5,51820.2,18704,64814.1,127249,8687.64,40745.6,9.42802
701162,2176.78,217271,91880.9,29343.9,10402.7,12338.4,78075.4,9731.69,9636.05,9.4283
1740960,4085.57,1336780,58398.3,103331,91271,92883.6,287216,6152.65,119027,9.42836
1286010,3580.32,596008,39921,65433,15794.8,30243.2,98571.3,5404.63,24396.1,9.4284
348888,1424.94,83233.6,21586.5,16436.4,3344.23,7756.04,34734.9,5499.38,5764.24,9.4284
601284,2199.17,191432,14460.5,21406.9,9552.54,15788.8,34527.9,13415.6,19924,9.42929
386907,1460.15,134354,4082.95,8829.27,4062.81,6438.48,13916.7,-1063.89,2725,9.434
669441,2002.39,266577,16492.3,36117.4,18427.7,23886.5,86601.5,12754.1,17159.7,9.43426
674724,2506.74,213138,32960.7,21794.8,16623.7,23264.7,47548.6,5416.54,14942.1,9.43464
420449,1596.25,328667,11346,24960.9,19749.1,31416.9,37783.3,5368.73,16026.5,9.44189
387981,1512.55,75496,3281.16,4149.5,2209.73,3834.55,4620.69,259.473,2508.13,9.44217
660679,2048.57,350573,-2951.69,31323.8,11911.6,13778.8,14474.8,-868.447,11094.3,9.44219
1252790,3798.95,556309,303775,85114.3,44402.8,64076.1,200392,49752.7,59634.4,9.44297
365273,1460.04,153930,19992.5,16619.6,13660.3,13991.6,32747.4,10600.4,13612.2,9.44297
548139,1835.59,256611,72659.8,37083.8,25778,23875.8,59235.5,28546.1,33446.5,9.44299
805775,2603.87,239829,16485.7,23487,11877.3,21763.1,41385.7,2870.93,19933.6,9.44466
2922170,6908.45,1460840,1370250,162512,76929.9,127628,314472,25117.6,75835.7,9.44877
696092,2553.95,175582,18139.4,23986.9,12259.1,16102.1,60467.9,4295.82,23243.8,9.45312
419154,1683.51,140922,11405,8800.87,24156.7,9964.68,19547.1,-1633.92,18543.7,9.45407
499700,1710.8,176562,-10189.6,15944.6,15614.5,11591.6,12400.3,-4133.56,7188.97,9.45421
378863,1531.96,104914,4622.11,6874.85,3058.9,7090.73,7947.4,866.471,4541.21,9.46004
739775,2679.66,210725,20675.8,21682.1,18653.9,27125.5,57643.6,1948.36,23869.9,9.46329
544403,2109.9,164882,31030.2,27893.8,19208.9,18636.9,52162.4,14869.2,23365.2,9.46504
433050,1670.09,197866,6667.98,13247.7,5257.3,10093.3,19357.7,1310.09,5446.08,9.47604
