FSC-A,FSC-Width,SSC-A,HA,pAKT,pERK,GADPH,p38,pS6,pCREB,Time
973110,2456.57,430826,39300,20045.5,5943.45,10578.9,31505.9,3381.89,16309.4,0.108253
1436010,4275.04,1084990,262905,54713.1,47061.6,71672.8,131258,10293.8,47991.1,0.108793
1114310,2792.98,682987,31802.9,41155.5,40314.1,28347.6,97894.6,11242.2,38461.6,0.133757
358158,1335.16,92775.2,241.711,7649.19,8100.66,3787.04,7193.8,-1373.91,4461.47,0.133757
639618,2331.91,303775,-1190.48,5416.79,2878.78,9500.2,2082.98,-888.776,3086.3,0.140337
1064500,3299.18,432192,28547.1,41555.9,37661.4,33630.2,120406,20226.9,36640.2,0.150599
1741010,3670.05,1280220,74597.5,40294,24525.2,32712.4,99186.3,-7203.76,26005.8,0.182763
441680,1603.56,299622,4875.67,15076.2,10994.4,8917.73,21687.2,640.046,6461.66,0.188124
415219,1334.4,169826,3198.68,21085.7,17935.8,19740.6,36267.7,6705.09,19222.6,0.241772
750666,2924.88,299810,14362.3,25426.9,9741,14949,44441.6,8176.2,9804.48,0.283117
1731830,3891.2,13025000,30157.6,74145.9,-5435.54,23326.2,-24970,36907.6,66395.2,0.291238
452217,1484.08,174760,1235.41,13909.4,16245.3,8077.3,33214.9,-268.113,6288.51,0.306481
280067,1122.16,98782.6,-654.013,2290.17,2646.86,1842.81,5924.41,-1366.56,2987.93,0.322923
1081830,2368.12,3485210,14945.4,24889,-1052.88,5190.69,-5438.51,8506.83,15456.3,0.328244
912811,2349.01,414068,-10078.2,22708.3,15633.1,19879.4,27468.6,-5572.63,10616.5,0.391492
974362,2421.67,448937,-12180,36759.2,21809.7,23912,83926.5,5030.94,30056.1,0.460102
1488760,3184.3,899965,-23065.7,20568,18926,22777.4,40800.8,-5454.97,15106.8,0.489586
586702,2087.09,488333,7032.14,23201,18988.9,20716.7,43153.1,-548.877,16880.1,0.499227
763842,2958.48,165343,6340.78,8994.36,1100.98,10872.4,87017.7,-841.361,5971.85,0.502248
