FSC-A,FSC-Width,SSC-A,HA,pAKT,pERK,GADPH,p38,pS6,pCREB,Time
614346,1974.99,261155,319.959,21548.4,11102.9,13804.9,56626.6,-596.686,10066.5,0.0310949
667380,1933.6,256772,875.001,12698.6,5085.48,16116.6,33118.9,5326.32,3027.4,0.156296
430766,1744.82,50295.6,-951.526,7393.46,735.75,724.549,500.249,-592.846,166.355,0.632287
4940120,8701.95,40469700,123141,113989,-26023.1,82304.2,-106701,164980,259269,1.10872
4802780,8318.63,27175200,84593.2,258301,-23407.5,56343,-75765.5,113848,184864,1.44805
3537510,6869.38,34572200,82130.5,20781.7,-15301.4,60513.3,-76141.9,110024,171341,1.45873
5093860,8853.82,36261200,116101,231760,-28135.8,78146.1,-102950,154882,238294,1.46059
6650220,11449.6,46141700,120894,111559,-29531.9,100264,-131397,214348,332682,1.46407
6143050,10467.1,13763200,52999.3,223945,-15169.4,38568,-44377.1,88825.6,106759,1.47648
8921480,15162.7,19902900,17670.6,196999,-8353.5,39150.6,-49835.9,101712,21623.9,1.4778
9830630,16674.4,8276380,11697.2,104922,-5826.31,13706.9,-17703.2,39690,12022.3,1.56781
1352180,2811.09,2558720,10158.6,37168.4,-2774.69,6931.25,-8496.92,14419.7,17366.3,1.58733
1134900,2508.93,2942540,7346.76,27937.5,-1876.11,4892,-5958.85,8048.8,16755.7,1.59435
2711310,5075.36,17156200,56705.8,135975,-13315.2,32697.9,-43979.5,66088.9,110098,1.59563
667015,1894.76,581896,14376,30132.3,17467,20596.1,64076.1,-1099.8,22785.3,1.70215
2001840,3818.71,3638590,11164.8,55481.2,-3420.89,11352,-14151.4,20526.7,19713.3,1.77007
6857130,11787.9,46019300,119496,102777,-29962.9,99122.1,-129665,206669,346858,1.87536
2574380,4627.25,12120800,22282.8,85459.3,-6986.84,16171.5,-21539.1,32415,52216.2,1.87596
1252470,4008,905089,15747.6,97566.4,51908.7,47998.9,189312,14993.5,54651.4,1.96933
648085,2022.25,341538,7024.78,14372.5,7187.81,10097.1,46990.3,2203.21,7509.3,2.05362
550194,2118.29,203832,7912.79,11148.2,10535.9,16251.4,35716.8,-17.0651,10857.7,2.08829
5251550,9109.73,28252900,41683,170110,-8060.92,64029.6,-34652.1,132523,266918,2.28825
4633590,8317.78,40333100,109193,38387.2,-20231.7,75233.9,-94777.7,142919,228240,2.57432
485431,1696.25,360130,903.201,5348.23,1081.58,5329.65,619.123,-262.201,969.755,2.74357
1258340,2615.59,2397060,7922.1,30178.1,-1696.44,4511.7,-5180.27,9009.03,11022.5,2.80157
1987600,5347.61,653135,-1814.59,30213.1,21168.1,19223.4,40743.3,-2906.94,14908.1,2.84957
325898,1288.81,85492,4828.02,11981.1,1171.87,3367.02,10916,3611.6,727.321,2.84959
626440,1976.05,225088,11212.1,30423.3,16382.9,28530.6,71893.5,28440.2,19040.3,2.85563
627514,2016.26,348754,-25832.8,19886.8,26584.3,15690.3,29128,-3044.7,12233.7,2.88124
692967,2368.29,289040,16624.7,23538.3,12025.8,10447.4,47874.1,1398.06,9345.83,2.88172
520141,1738.97,295026,5167.94,16202.2,8460.68,8026.58,19186.8,-1286.97,9894.53,2.88858
1566510,3502.17,764751,-8919.41,71022.4,38389.5,36176,82759.2,-1818.92,45117.2,2.8886
463128,1748.58,161053,-2922.45,5735.2,7858.71,5084.43,17065.6,-718.132,6131.06,2.90642
403237,1529.36,79526.6,653.885,6049.93,2934.43,5998.08,16666.4,29.0166,6624.29,2.93245
385265,1489.08,115329,934.803,8067.34,8679.72,4275.26,29259.9,-1808.98,7357.78,2.9598
404527,1587.69,81215.5,6701.06,9022.11,5138.24,7288.91,24596.9,-397.08,4234,2.98219
432772,1584.47,117234,47.0617,7576.78,3503.62,6187.74,21027.1,4473.67,9950.31,2.99027
677971,1930.89,380450,14509.5,35694.1,27378.1,19674.2,39370.9,-4724.51,19706.1,3.04793
357224,1403.37,185868,-1730.04,5397.95,6452.32,5302.23,12380.8,-1073.36,14984.9,3.05489
3808230,6584.55,5897280,22669.6,113920,-6815.11,23393.2,-29268.6,48013.8,39028.5,3.23094
3826790,6901.53,30145000,84954.5,160998,-19831.2,56993.5,-74232.1,111822,180681,3.23917
716730,2018.82,251776,7663.86,18912.5,5820.13,11503.2,50719.3,1500.58,8202.5,3.29762
430688,1665.05,302447,29476.2,24163,13488.1,17726.1,33902.8,-613.788,11174.6,3.32479
332228,1299.39,117112,-5019.21,4808.01,5635.41,6233.22,4132.05,-2572.56,2066.95,3.4168
