FSC-A,FSC-Width,SSC-A,HA,pAKT,pERK,GADPH,p38,pS6,pCREB,Time
13997100,23650,1175830,2382.26,412.185,-1235.34,827.007,-798.421,4082.21,4942.81,0.0213209
11521100,19452.1,1304060,-2829.78,24223.5,1253.93,1563.03,-2288.42,-2018.7,8741.72,0.0221271
12598900,21306.6,1518720,2580.07,12616.9,-1810.36,1511.65,-2183.64,3934.16,11005.5,0.0451217
5867180,10122.5,20792700,-772.179,122247,-10183.8,38932.6,-53214.3,90379.6,182628,0.046089
8008350,13587.5,1613690,3081.33,40791.3,-2176.7,1030.28,-2544.62,2919.73,9068.33,0.0470967
518986,1751.39,226843,-881.65,27396.9,24485.7,21493.1,69602.1,16339.7,17716.1,0.190687
1118190,2851.62,745204,9522.5,32065.4,22473.5,35968.1,61542.1,11425,14103.3,0.213863
1789740,3498.35,2672270,8322.14,42087.1,-2528.5,8696.85,-10982.2,16567.8,17578.1,0.464809
15879500,26851.2,970531,-304.827,2664.99,-113.183,641.082,-837.777,-326.934,2548.69,1.45265
309436,1240.96,91343.7,7426.48,12815,5539.84,8077.44,20792,3156.81,4370.63,1.60124
411963,1569.1,145731,-6031.52,4622.99,4047.99,9539.18,1687.91,-3118.4,3655.57,1.66601
17086600,28876.7,810675,-50.6789,3201.05,-189.977,652.178,-352.236,1380.84,0.454956,1.70656
15712600,26564.3,1057930,434.911,2261.71,-298.674,1920.38,-2690.34,1895.76,2077.84,1.70747
407434,1481.32,277952,-3769.77,2397.99,3379.81,20431.1,1192.75,-1446.56,2010.79,2.03588
684076,2090.08,384035,-2914.71,11119.4,13635.5,15569.7,16967.3,-208.281,8875.91,2.06232
531400,1621.63,212722,4585.71,10112.3,7393.76,9358.55,20526.7,-592.051,8912.7,2.09068
14249500,24116,1471270,2190.39,10801,-1049.34,1081.09,-865.154,3856.12,5582.4,2.35627
10231500,17305.5,5833010,2722.39,20133.6,-1090.23,1897.38,-1513.1,5061.99,14388.6,2.40325
8384030,14241.9,4726350,2068.49,25154.2,-951.838,1689.58,-2251.95,3717.11,10027.6,2.40396
530704,2078.71,95718.3,7507.71,12422.4,1141.62,14300.5,43583.7,6132.05,20016.6,2.41026
5931150,10117.6,8489030,6849.07,82509.7,-3094.61,13303.4,-17303.9,34543.7,43675.9,2.41303
9319540,15831.1,4381690,-273.5,29763.4,-387.333,12608.6,-15473.9,35100.6,14547.7,2.41488
1009350,2488.63,666444,23702.5,53376.3,17136.3,51052.8,96624.5,19657.4,35632.1,2.41655
985200,3155.87,510581,2169.83,73850.4,37264.9,42942.5,89883.3,23436.2,22392.6,2.41657
6031840,10384.5,30370000,67881.9,170153,-11058.4,73913.2,-77204,139238,239384,2.41766
4406890,7693.11,29485200,113276,250738,-22881.9,68299,-79137.1,142233,329759,2.45893
3685470,6365.32,12223700,39495.7,141114,-12118.9,30020.9,-40787,66212.3,98523.7,2.4601
461610,1647.64,183588,3058.41,12140.2,5024.4,9461.8,22666.5,-801.646,7931.53,2.54759
1249980,3232,723191,-8867.61,51359.3,20443.4,60229.2,73913.3,-516.175,22437,2.55404
543093,1853.36,193243,5273.36,11253.7,7102.32,17443.1,31565.9,5288.89,10276.1,2.55404
269163,1095.23,80615.5,-1487.31,3027.15,5385.77,6152.92,7055.98,-991.336,7635.55,2.55938
1356270,3372.56,814365,35387.6,128173,15727.9,55229.8,142629,32876.9,25409,2.563
1168500,3343.65,548005,14546.1,57077.1,22584.5,68259.5,101286,42651.1,26056.2,2.56315
359432,1372.53,87076.9,-1153.89,14788.3,6924.87,17424.8,16510.5,1036.56,5725.32,2.56943
1417260,3969.05,524885,9687.99,33679.8,20864.8,47332.9,83473,6977.89,27417.2,2.5702
965178,2900.2,256800,12501.8,28722.3,20342.1,36615.8,89619.8,5793.28,20970.6,2.57862
497500,1773.72,182186,278.252,9879.95,2806.25,14920.9,17353.8,5396.22,2195.58,2.57943
1361810,3288.84,740135,-3987.99,40308.5,23817.4,42050.7,141050,2794.77,25378.3,2.58644
626428,2026.05,253296,-303.089,13313.2,16077.7,20053.5,35350.2,-779.478,14298,2.58789
631139,2160.68,436642,-3112.41,18134.6,12304.1,27343.6,25653.2,6812.69,7988.11,2.59146
456012,1794.49,117895,-1526.65,16302.2,8060.78,20675.6,20533.5,428.125,3951.53,2.59253
455314,1773.27,140212,6833.57,14526.3,9096.14,31300.4,18712.9,737.398,11843.8,2.5934
469746,1820.83,175351,372835,14467.6,-310.492,15511.2,29047.9,8223.99,7010.96,2.59777
931829,3600.73,311387,9641.24,28398.8,21830.1,32596.6,68132.2,16587.7,16866.4,2.59811
1122880,3281.18,478880,16155.5,40675.8,48743.8,43958.9,83505.7,8973.81,54204.1,2.60188
338391,1303.31,91876.6,372.88,6502.9,4554.62,10823.1,9896.99,-1531.83,4595.93,2.61623
421214,1525.71,98892.1,15398.5,13394.8,4813.66,8905.86,17242.1,3701.24,6063.38,2.62667
468131,1709.97,188084,2529.99,14844.1,6225.2,10074,34007.1,3580.93,7370.35,2.63114
255728,1046.52,149940,-2352.55,6166.05,2011.17,7582.62,8160.44,-30.5961,997.662,2.65903
