FSC-A,FSC-Width,SSC-A,HA,pAKT,pERK,GADPH,p38,pS6,pCREB,Time
2180740,4027.33,4833300,14806.1,60348.1,-3924.91,11184.9,-14501.7,24122.4,29546.9,0.0154347
325062,1282.45,57346.4,2101.8,1792.88,1742.39,6127.43,1532.41,-213.771,1524.28,0.275263
1424680,4016.55,544678,548040,44251.5,10494,24499.5,103135,17988.2,26778.3,0.51625
882058,2632.39,439245,154667,28351,10167.3,17693.9,53977.7,13042.4,13137.7,0.598193
1547820,3083.41,5147300,14988.5,39453.5,-3199.63,7794.09,-9365.39,12100.3,24603.5,1.05515
2082160,3885.76,5337600,13924.1,60595.4,-2309.81,12609.1,-3719.75,20343,27635.5,1.06367
2045200,3792.4,6526550,15512.9,57802.1,-4246.56,10462.5,-14061.2,20085.4,32636,1.13671
10839000,18362.4,2377750,5422.81,31193,-2526.68,4443.34,-5855.64,15990.3,6822.73,1.15009
1544590,4238.66,19233700,18706,546.127,-3434.8,21986.9,-26537.7,37687.8,46670.2,1.15053
4388080,7865.81,39896200,58151.8,62411.2,-12865.5,51092.3,-65263.9,91332.2,148365,1.15109
4720000,8128.95,16476600,52885.3,209036,-15914.6,41885.8,-55946.1,83006.6,119000,1.15247
4325090,7553.82,28647300,64934.4,187437,-18635.5,45280.5,-60950.5,88540,159826,1.15443
3223030,5617.47,7391600,25671.9,103986,-7289.47,19966.7,-25657.4,41619.4,49808.9,1.15785
2915410,5177.63,14881200,28446.3,111440,-7933.88,20133.9,-27878.6,37578.6,67542.3,1.16033
513398,1657.29,1013080,-530.752,310571,7191.32,1695.81,6487.07,-11271.6,1732.03,1.27459
1664670,3610.57,1045990,10099,68334.2,49683.6,60276.9,106944,-9580.58,35983,1.33322
506714,1720.86,152526,5099.04,8229.27,5657.83,13654.8,15952.5,1848.19,5482.4,1.39276
314424,1230.7,60018.4,4311.87,5518.04,2621.68,8156.33,13515.3,1001.57,2157.71,1.39376
353047,1333.11,80111.6,27356.2,5412.14,5278.57,6865.16,12018.8,931.329,4563.28,1.42636
631083,1812.4,275172,-673.485,16021.6,8005.19,9818.63,31582.4,10255,15449.7,1.4298
1475450,4094.39,989358,141418,41602.6,28745,49710,72684.1,-8386.38,27654.5,1.45216
315838,1274.26,264730,7500.01,16116.2,9999.56,17880.1,34400.4,-527.49,10062.3,1.46174
566088,1875.67,340400,286.449,15054.1,7590.49,9597.43,20201.5,-106.507,6458.12,1.63045
1268620,2697.41,5245950,9038.39,35609.4,-2914.09,7045.54,-9329.03,13960.8,25692,1.70001
416804,1605.31,200883,1494110,12283.2,17737.3,9484.66,21574.2,2043.58,5304.01,1.79121
979790,2592.73,4632110,6950.74,19615.9,-1595.04,4716.92,-5910.13,8646.57,19171.2,1.82349
378619,1539.24,80030.6,5771.74,7492.16,834.811,13746.8,32386.7,2861.12,14038.2,1.83199
9294670,15809.6,15514900,13358.4,176070,-6835.39,26727.8,-34320.8,70004.2,19171.1,1.83317
1872850,4536.29,19325400,36916.1,30974.6,-8127.93,30985.9,-39123.5,61312.6,83256,1.83615
4557930,7934.17,27866600,85706.8,232150,-22167.8,55383.7,-74502.5,107099,182938,1.84341
3579350,6224.45,2960360,10196.4,89087.3,-3250.13,13544.2,-16553.2,27281.7,9873.43,1.84887
1370760,3216.45,8085860,38831.8,60537.2,1957.91,21055,8001.04,26712,42108.6,1.85015
2749290,4898.03,4777200,18152.4,75698.4,-4961.77,15499.7,-19687.9,32685.4,30706.4,1.85657
396796,1503.24,132210,-3401.76,14697.2,18512.6,9580.81,29973.6,-297.175,11246.7,1.953
1726450,3398.88,6689690,13582.9,50778.6,-3713.09,9414.9,-12448.4,18618.7,32069.9,2.09086
471263,1815.33,146807,645.893,9917.04,10615.4,13460.3,14632.7,-1347.03,6334.13,2.11114
524593,1668.89,1290370,2306.01,8934.52,-441.331,2261.15,-2366.36,4088.44,2901.28,2.57533
9990930,16997.2,8186300,7408.71,121125,-4093.7,11906.5,-17155.5,34609.2,8329.66,2.57549
3836460,6939.5,31221700,113354,109137,-18576.2,54684.2,-70381.1,101448,174222,2.58549
3234040,5644.43,8550720,25817,109638,-7986.74,21237.3,-28111.7,43686.9,56629.7,2.59308
1704430,3370.52,2975160,11277.1,43628.1,-3023.03,8207.85,-10547.1,16981.8,19633.1,2.60304
505508,1741.2,190964,117830,17634.5,15920.6,17990,34759.5,-2710.59,14602.1,2.69066
530420,1839.74,162587,1729,16448.9,10352.4,17134.6,29746.6,761.423,12577.7,2.70938
1002930,2257.37,3141080,9409.21,28926.5,-2187.27,5401.02,-6912.98,9993.42,15869.4,2.71766
788857,3057.49,174697,38498.3,27736.5,10753,22107.8,145197,8630.02,16672.3,2.7228
816881,2700.29,395307,132212,28271.1,32505.7,20564.8,95848.1,-1208.95,41970.7,2.74504
958823,3079.93,912751,-5703.57,56330.9,42609.6,37827,95055.8,-3753.92,28755.6,2.8181
335801,1293.52,107617,96688,6375.87,1161.66,3291.04,3276.14,4579.81,3287.46,2.85902
321033,1311.13,91904.4,1047.52,12609.5,4113.77,11040.1,13278.5,8057.84,6404.22,2.87374
333929,1332.51,68184.9,5210.12,13110.2,1413.01,12955.2,17827.4,5125.32,4946.81,2.87374
790127,2762.98,330328,40053.9,35908.9,11289.4,33922.8,76989.8,6408.55,11702.2,2.8903
389640,1527.95,229267,104330,4036.28,7953.53,5529.97,24473.2,-4120.43,12586.6,2.90742
414529,1572.04,199729,46722.6,20000.2,18654.1,24217.7,64667.3,17027.6,13217.2,2.90744
2079140,4014.26,9989660,29721.9,79092.3,-7410.93,19338.3,-25261.4,37951.8,64004.1,2.95473
368133,1407.27,111291,9733.21,13182.6,3229.21,12961.9,10231.5,12734.9,6529.28,3.00833
6293250,10787.2,14011400,10473.4,108672,-5523.72,19692.5,-25736.4,49817,59140.2,3.01031
491596,1562.67,322651,3692.44,176750,-680.492,-231.066,-698.756,-900.848,1518.46,3.02249
769499,1923.26,481706,64712.9,29497.3,18443.8,29338.9,42723.8,-2711.19,15781.4,3.03609
566798,1884.71,222575,43233.2,22694.6,15994.7,9393.36,59836.9,3233.25,10765.8,3.05585
6218610,10705.9,36928700,112478,240321,-29462,82487.5,-110042,178978,279495,3.06035
635851,1986.35,191775,101.526,9595.97,4394.49,7345.42,4919.97,-844.998,3890.14,3.06653
5861330,10205.8,46512000,115211,62822,-24639.1,94990.2,-120200,190559,297977,3.07239
2175280,6551.58,604550,160835,71655.8,31221.1,45124.4,153713,32737.6,37855.1,3.07919
368795,1453.73,106269,5948.06,14460.3,7310.7,8649.85,35491.5,1742.23,10261.7,3.15093
663996,2103.33,330440,95944.8,25723,19141.8,23845.8,31823.4,-2586.99,12562.8,3.15093
419634,1606.49,139650,846.51,14295.5,4491.73,5361.93,17603.8,-593.894,4335.9,3.16007
465610,1835.65,125351,112171,9873.7,3647.53,7908.51,22862.5,578.252,9479.97,3.19655
568591,1840.84,343018,294989,19715.8,8226.54,13942.4,33206.2,18162.7,7211.87,3.20119
425047,1482.93,232698,44145.9,12642.2,5757.51,11621.8,15548.9,-1515.29,6907.84,3.247
355682,1419.75,183878,27565.1,14041.5,14668.4,11877.8,35656.5,11441.9,10248.9,3.30364
405412,1488.69,164615,4245.36,9164.64,20256.2,17712.5,45515.7,18094.6,18788.5,3.32148
303093,1230.05,72967.1,2058.31,4970.63,1199.59,3559.45,12141.2,7053.78,4773.62,3.3917
509123,1937.44,113310,-2306.34,13192.6,2842.97,9793.41,18196.2,-259.189,2474.88,3.42024
545468,1929.63,177136,80757,10214.3,4408.87,8245.39,15177.7,626.437,4541.31,3.48764
776667,2309.41,310663,33663.9,24755.1,14650.5,22392.4,58193,1986.06,22062.4,3.49524
2958240,6366.61,1549930,689001,154985,84571.4,125763,344336,19743.4,88400.7,3.50698
350505,1371.16,98402.6,455.166,7738.15,7493.07,7138.93,17803.8,-2345.81,7208.85,3.51598
551046,1961.29,244501,966101,8137.29,5393.05,5859.72,8849.6,7324.7,4357.37,3.52064
386365,1473.22,101103,5954.96,10855.6,7158.45,10110.3,28149.9,-209.147,10075.4,3.52322
878650,2240.38,298482,13002.4,20009.2,16890.9,18612.4,65899.2,4714.52,13049.8,3.52624
682337,2060.52,314239,307612,27470.6,27237.6,12226.5,39203.4,-2855.11,20762.4,3.53564
335323,1309.49,103222,5896.9,7365.18,10039,10062.9,16767,9639.45,4564.58,3.53938
317306,1293.97,45756.7,3594.84,4949.36,4344.42,3813.8,16105.2,663.439,5991.42,3.58067
1276540,2594.11,812075,-1549.41,71022.6,32273.7,45083.8,92897.9,9564.83,31948.6,3.59713
655032,2038.96,144624,7603.15,17452.1,12393.8,21150.9,32368.3,1083.1,11234,3.71991
439948,1640.54,282357,-11371.4,21502.4,11607.8,17323.7,11873.1,-5404,6824.86,3.74937
752010,1999.11,280291,171240,14481.2,10015.3,9899.21,12708.7,-1216.47,9240.18,3.84235
640683,2030.64,134914,-3789.23,8079.63,5963.1,6176.59,18307.3,-710.944,5634.61,3.85457
1105370,2467.68,3633610,9366.91,28026.8,-1944.06,6512.34,-8235.68,12494.7,19006,3.85861
507697,1844.07,226335,806.863,17148.5,9477.43,8390.16,16903.8,5453.45,7600.54,3.89576
2755270,4971.58,12532700,33121.5,106520,-8684.16,21262.8,-27825.3,41412.1,73607.5,3.93434
2669280,4781.64,7139830,27606.8,83534,-2108.34,18393.6,-12267.4,27179.8,43668.5,3.94478
390355,1528.46,131154,-1195.31,2971.85,2167.08,6377.7,7375.11,407.804,968.972,3.988
306085,1256.58,53210,490.002,8497.99,4957.75,3938.65,26563.6,-638.875,3829.47,4.00146
1099850,4113.86,443511,50354.5,36807.4,27815.3,27438.3,131801,3925.27,25010.8,4.01534
531496,1972.55,134328,7501.03,18843.9,21341.5,20528,37965.1,2732.59,24725.7,4.05138
2826150,5039.8,5177260,19583.7,81279.1,-5325.76,17524.6,-21017.1,32499.3,35267.9,4.07866
403339,1568.55,149498,182067,4674.52,5721.27,11135.8,6103.26,-1210.47,2830.31,4.08722
1951920,4321.02,10080400,28646.5,95387.6,12102.8,39693.2,99219,39559.2,57621.3,4.11684
747889,1973.97,391400,644.45,15753.7,8318.05,11886.8,28601.9,-1853.51,12427.3,4.15198
289932,1177.95,72327.3,3167.36,8787.25,6384.32,5755.12,9983.25,-208.317,5032.85,4.19336
988228,3696.47,525775,22525.6,51532.1,20512.4,33863.1,132062,29642.7,36975.5,4.27179
432144,1573.8,195290,2438.27,12305.2,12851,9729.09,16687.1,1665.51,5145.27,4.28165
721020,2375.13,291504,513.278,23572.1,9429.91,22724.5,40261.2,-1626.23,14810.1,4.30203
590807,1911.95,220586,34869,32570.2,19644.5,17496.8,62048.1,574.257,19848.8,4.41873
1193910,2884.92,3847760,8964.39,27274.8,-2365.68,4566.31,-5898.02,9418.98,17967.8,4.43823
315323,1269.94,141839,-4544.57,4973.93,5136.24,3795.65,2739.67,-2545.19,6423.74,4.45453
942039,2334.8,3960420,7427.94,31999,-2005.1,4952.87,-6488.56,8705.6,16038.7,4.48581
