FSC-A,FSC-Width,SSC-A,HA,pAKT,pERK,GADPH,p38,pS6,pCREB,Time
8284490,19222.9,-427560,2853.8,-15035.3,-1872.57,-3294.75,3488.81,-4045.09,-15231.1,0.912663
6343060,10808.9,11524300,7338.33,101910,-4330.8,15512,-21848.8,39875.1,47959.8,1.12702
6802770,12777,-47707.9,-1887.91,-3104.98,1257.31,-1808.99,-179.61,-8660.34,-7090.98,1.27037
1729310,3336.28,4530850,14265.8,47814.9,-4162.32,9885.81,-13389.4,20398.8,31239.3,1.38591
790705,2111.36,3653480,7190.85,26862.2,-446.094,8345.87,449.767,10623.8,19153.7,1.40549
4994110,8815.84,43996100,61107.1,35708.5,-13503.3,60986.3,-75898.4,109595,171170,1.41345
7184160,12294.4,34565200,19853.9,117790,-14286.4,73847.7,-93245,153400,228061,1.41367
4760290,8238.47,25919900,58382.1,137859,-24766.4,42182.9,-64399,98521.8,328152,1.41383
2018730,4299.67,2400800,1449.01,32198.6,-1561.04,8080.27,-10974.6,23783.8,13187.1,1.41405
1290650,3944.02,26473800,3761.87,-1497.81,-1073.85,12229.1,-14912.8,23526.7,20200.6,1.41407
1430660,3734.5,252614,83.2966,4832.19,-445.672,-406.258,-361.455,-298.79,1630.23,1.41427
7588830,12988,73496900,-60805.7,157981,-25568.7,97592,-133653,226045,620638,1.41433
5261620,9419.67,61710.2,6462.47,4727.15,-1667.77,-1685.67,1475.39,1249.59,341.029,1.41439
1239290,3977.67,26038100,9906.46,4693.39,-5053.43,32571.7,-16419.1,137639,2601.8,1.41451
7031470,12106.6,4774870,5230.77,6942.03,-2053.86,6648.63,-10434.3,26298.9,22925.5,1.41455
2608680,5229.69,73064,1966.11,1235.11,-1233.68,-1310.24,1282.06,5610.76,-2613.23,1.41466
3405160,5983.47,4368800,38162.9,370621,-13572.6,20676.2,-35076.3,44652.8,67481.7,1.41472
3481810,7319.06,40552400,40278,-26483.3,-14635.9,56644.9,-73891.4,121232,238430,1.41474
3466960,7342.1,36886100,56026,-7329.51,-13855.1,47758.9,-63622.1,105088,221185,1.41518
5859020,10260.4,1853030,5891.41,-4796.8,-1005.87,2322.7,-3213.76,4884.68,33554.5,1.41522
10262600,17336.6,11405400,16700.8,196238,-8089.84,19451,-29795.5,58845.3,6906.52,1.4156
9655430,16307.3,1867460,-968.83,16312.3,264.408,8038.63,-9993.51,20549.5,6130.98,1.41639
947367,2233.37,2827170,3590,14945,-1121.79,3983.45,-5281.08,8838.61,8758.97,1.41667
2097650,5627.25,16541400,-8355.68,-8807.86,-2435.6,22253.6,-29638.9,46296.1,94071,1.41734
541127,2194.68,344940,41073.6,19917.5,25282,29858.3,79997.5,8488.72,45492.3,1.43075
6518010,11219.8,9302690,-8516.2,20129.5,-208.543,26707.8,-32371,66332.9,56023.2,1.43863
1118410,3805.73,10907500,-2141.58,-6353.67,-2448.99,12166.8,-16700.6,30286.2,65792.1,1.44637
7050420,12083.6,12299300,-11527.7,27981.5,-625.769,29931.3,-36784.6,76865.6,77536.8,1.45011
7175160,12276.7,11507100,-6291.34,31315.7,-992.889,26531.6,-32948.6,70656.1,57124,1.4614
5028460,9055.44,16084300,-16228.6,-1737.46,-3959.95,43748.2,-45146.7,96632.1,157815,1.46891
3550130,6663.1,28787400,47997.9,57429.3,-19851.7,56998.6,-74526.3,111472,321028,1.46945
920294,2685.64,674951,1800.03,39281.5,13521.3,37170.7,52109.9,22880.6,27635.7,1.4696
4139540,7572.03,36966800,115047,54042.1,-25310.3,70836.1,-93702.8,147878,299893,1.49484
4259890,7618,34966200,109320,124614,-23366.7,72342.5,-93261.7,142841,219390,1.4956
5515730,9677.92,17819100,-8384.02,105736,-8904.67,36606.6,-51295,91687.1,165242,1.49581
3726250,7050.62,30228900,4594.6,-17871.8,-9656.07,53744.8,-49850.7,104383,199736,1.49603
4326040,8018.85,38002300,64237.1,-7356.81,-24011.8,65575.7,-90403.9,143048,386099,1.49643
1253310,2727.83,3810210,6964.12,42734.5,-632.422,12572.8,1305.31,16492.1,16813.3,1.50834
1656710,4161.43,16793700,34252.6,47548,-7951.23,29498,-36160.4,54960.4,76106.7,1.50949
3072560,6095.58,27654700,57786,64865.1,-19409.9,52349.3,-70847.3,111217,261439,1.51069
589947,2124.14,393791,4610.94,7966.94,5106.4,11553,22365.2,5052.53,15292.1,1.51082
6044210,10696.8,18972000,-1163.87,88465.1,7583.42,81016.6,-45499.4,131729,226551,1.51378
2436190,4934.44,20613700,65187.5,112043,-17947,39282.5,-54484.7,87449.3,196960,1.52306
1837740,4128.3,15099000,42362.8,87024.1,-11016.2,29106.3,-38780.4,58671.3,96190.8,1.54913
2165050,4342.72,14819600,48344.1,98982.2,-13451,28882.6,-40347.6,60022.9,143439,1.55222
1103460,2979.25,410716,1462.74,10738.1,9488.14,27135.6,11824.2,7198.32,23108.6,1.55409
3682200,6365.33,9330760,29598.2,124226,-9891.67,25236,-32848.6,58882.8,66182.2,1.56038
3155720,5526.06,5979200,30367.8,121503,-672.115,32220.2,5118.82,49221.1,44008.1,1.5613
3460190,6040.78,15190600,45734.2,158172,-13345.4,35242.4,-44349.1,68419.7,114833,1.56428
2505130,4491.43,7481230,23561.4,83327.9,-6693.21,17981.6,-23238.4,33887.1,52733.3,1.56588
3720210,6433.56,11341700,38318.4,138085,-11642,30013.3,-39748.6,62349.5,83833.7,1.57136
3414300,6377.86,29372900,94145.5,131130,-22802.1,59799.7,-80041.5,124077,218168,1.58397
684636,2168.82,280630,7087.96,10283.5,2137.78,7998.74,14035,4215.14,8631.97,1.58429
