FSC-A,FSC-Width,SSC-A,HA,pAKT,pERK,GADPH,p38,pS6,pCREB,Time
1249390,2691.66,2028940,7316.53,27105,-1933.87,5977.46,-7445.09,11000.1,14125.5,0
1971690,3676.71,5626940,14119.5,53653,-3480.75,10605.4,-14142.5,19712.6,27970,0.0389008
1503770,2989.27,4359730,10660.4,38001,-2598.34,7098.13,-9243.44,14484,22210.2,0.172995
4051730,7272.67,33294100,107239,174763,-24048,68191,-89948.9,136810,223039,0.525101
1590820,3116.86,4718750,12917.3,44366.1,-3339.24,7764.57,-10106.6,14991.7,27363,0.550129
707684,1994.18,316805,-664.338,22756.1,39543.6,23657.5,41560.9,27311.4,18660.6,0.676827
10291900,17469.6,3582870,-2310.56,31411.8,1527.24,8361.93,-9747.26,19647.2,7824.22,1.23631
10039500,17053.7,5381310,6935.93,54336.3,-3020.01,9959.4,-12515.9,27489.5,8961.05,1.48375
889425,2662.89,381259,445602,27697.4,34412.2,59504.5,81048.4,11845.7,21476.1,1.49396
347131,1416.45,144559,9062.39,4743.68,7880.68,14095.6,19203.6,-3773.06,10637,1.4961
897080,3370.4,276874,32639.1,43395.5,25653.5,41520.8,87646.1,3315.88,22761.1,1.57221
371077,1422.13,174561,34717.8,12981.9,8045.16,12998.4,36378.9,12730.4,2244.99,1.59535
273020,1122.02,98765.9,55582.4,9362.14,10106.9,7733.59,23029.2,-167.364,7291.34,1.59549
375228,1419.43,152202,15011.5,27322.5,6227.42,17344.1,28672.4,5362.62,4404.71,1.6167
1755290,3966.98,1072490,76359.8,92841.1,45484.7,88118.5,193312,15170.8,67093.9,1.6291
610040,2125.23,218548,4846.39,23110.5,23805.4,25241.8,46376.3,-1992.6,21704.6,1.6609
463103,1862.31,162577,1206.57,15703.3,15065.3,14428.7,35328.1,1607.73,6154.83,1.6609
537491,1732.66,186484,2828.74,10086.4,4796.03,14074.9,22848.4,1073.14,3741.63,1.67336
333000,1302.53,158666,137710,9710.5,6170.66,9888.32,26378.8,3623.53,8100.51,1.67747
1396630,3218.8,1128220,232188,81739,35477,76100.6,118118,-12340.4,45940.9,1.78734
438248,1553.55,310149,3406.38,5016.53,7458.12,8687.79,3406.79,-219.158,4105.95,1.80625
1088920,3103.23,558062,1145100,18992.8,9851.7,45848.1,69775.3,-230.827,18383.1,1.81197
351334,1292.52,127721,-2027.86,9378.72,8734.57,10519.4,12667.5,5832.51,4868.74,1.85423
386894,1486.4,95390.3,3165.66,2387.24,3140.26,3997.51,12146.5,1394.23,3193.11,1.88175
299958,1228.39,112830,807.221,8474.56,5194.79,9555.17,18712.2,6502.73,1946.67,1.88537
527843,1735.83,229228,17704.1,15583.5,16620.9,12259.1,53722.8,4727.92,10037.7,1.90052
1009100,3560.03,322770,22277.8,43389.8,23533.8,50977.2,102247,17381.1,18090.3,1.9027
659336,1794.99,2220100,4383.03,10219.8,589.201,10302.3,721.405,4251.45,11046.6,1.99864
1230580,3774.32,499120,-13220.3,38491.3,21418.6,4459.17,25068.3,5822.48,45497.9,2.03932
386262,1438.3,163894,-10229.1,9473.65,11224.4,7276.19,19944.4,462.25,7645.64,2.05003
7362720,12674.2,34052100,1165.91,237122,34046.1,94220,-4043.56,157399,267561,2.08343
375463,1448.96,143463,1182.91,11796.3,5362.86,17613.3,23822.5,1956.17,2669.54,2.11578
460347,1453.67,122851,6998.03,3637.54,3933.07,5738.96,13016.6,-2398.01,5808.41,2.12431
527696,1722.87,207502,5663.14,27182.9,8810.99,24781.3,28845.6,-188.474,5709.79,2.14085
649516,2381.36,183719,18296.6,10219,25859.8,21634.5,49319.8,-496.928,24611.9,2.15
689648,2350.24,280988,20227.1,40811.9,16286.2,33995.5,62265,19150.5,17421.7,2.15002
595099,1905.6,441520,8555.15,33762.5,5201.78,36603.5,66908.9,54464.6,7827.92,2.15822
592641,2232.83,339614,81027.8,18119.6,20570.2,37579.2,40088.2,13278.6,24883.8,2.18312
2164110,3953.9,6670390,20052.1,66161,-4867.4,12825.7,-15463.3,23951,37147.6,2.20389
425026,1610.33,204254,11958.5,20121.3,8935.15,25943.1,52487.7,4709.52,19484.9,2.20567
1242240,2800.34,715190,-20500.1,22861.1,18831.3,26650.7,11358.3,-10006.7,11087.2,2.21117
353185,1409.21,168529,-1234.77,10999.9,15559.4,11051.6,22800.1,-3559.71,9300.65,2.22245
306759,1240.25,144656,12289.6,14213.3,9577.97,8860.4,30360.9,2186.29,7856.05,2.22766
691402,2123.05,234025,72179.3,26564.4,26423.8,25093.3,71811.1,2564.66,28286.5,2.23842
910681,2744.76,268767,298368,43401.2,29800.6,29207.3,96814.2,1599.8,25880.5,2.25369
664299,2433.26,1163630,-4203.11,174722,4972.17,2972.04,-934.833,-7462.95,6189.37,2.25393
378612,1467.04,79496.4,13529.5,5928.37,4161.34,5778.18,6618.8,-799.262,3921.16,2.27392
425377,1415.82,173702,-3618.9,2545.92,4566.21,3183.3,2100.23,-1465.5,3599.71,2.27952
721385,1994.37,256060,-7964.01,20372.7,19487.9,14122.8,30415.1,9756.62,27401.9,2.29057
