FSC-A,FSC-Width,SSC-A,HA,pAKT,pERK,GADPH,p38,pS6,pCREB,Time
565397,2255.87,247806,0.278502574031254,0.0978826986780676,-0.0707088449521486,0,0.297509829728659,-0.0944259322411185,0.024612966891284,6.77272
1589110,3345.94,429757,0.313684352198907,-0.0145141713258426,-0.167531483263905,0,0.276611764025466,-0.281671083165007,-0.124166750109418,6.81421
1097200,3280.28,643881,0.116746484453444,0.0589096469896767,-0.116789886866463,0,0.332976714501935,-0.1579975374219,-0.0861099311627096,6.83033
683785,2101.73,200456,0.145203509103642,0.0188317446967731,0.0196640620183209,0,0.24931945401151,-0.0779421001069959,0.0109881012278065,6.84511
393508,1531.39,173118,0.24584946120014,-0.00103711459541117,-0.0115776890024582,0,-0.0127006814567972,-0.066128366176706,-0.0140338890559799,6.8526
352841,1407.14,73543.2,0.130881100770637,-0.114600118748971,-0.142502307927498,0,0.00123775825478176,-0.137727432178559,-0.111750421818734,6.87194
318463,1278.04,70396.7,0.288454872348632,0.00271624294777313,-0.000910613153136464,0,0.0316186573739343,-0.0516564134913984,0.00407200418477872,6.92236
586844,1809.41,311097,0.605018000078621,-0.0262159103605113,-0.0971791202071758,0,0.0029736226542182,-0.136703607784409,-0.086357788535095,7.25042
302565,1231.5,71043.7,0.47642619394101,0.0261973973767624,-0.0188793282396358,0,0.102321020500752,-0.0211612867368229,0.0308640053580698,7.35369
966143,3116.35,293368,0.842686875162105,0.0118005012175264,-0.164943256086237,0,0.176199588121225,-0.159127979928489,-0.0716570580265678,7.35756
562258,1868.11,156206,0.265907688350025,0.0283822322235011,0.011984301317924,0,0.15781524633713,-0.0842756926903308,0.012739760145395,7.73775
840484,2359.36,353299,0.283728923839245,0.173134403294264,-0.0848980666072631,0,0.167320179955131,-0.126927359725754,-0.0427790200715013,9.07619
701162,2176.78,217271,0.404817271586359,0.12359626174785,-0.0165876221852798,0,0.356529902351256,-0.0224888524389751,-0.0233365303403959,9.4283
1286010,3580.32,596008,0.0565735982839885,0.177795726564227,-0.101118190533247,0,0.297170307908756,-0.19184735906759,-0.0381327731401439,9.4284
548139,1835.59,256611,0.248464046445773,0.0824317330148983,0.0128802734575082,0,0.193003005713211,0.0309666631106371,0.0612470667979446,9.44299
581305,2281.37,256768,0.258627501895922,0.0527035650147607,0.142758086901972,0,0.235954926477816,-0.154352708391556,-0.0289157400225029,9.49528
351012,1437.56,74744.8,0.407358307405957,0.0233890602956273,0.00676623998511401,0,0.0929629434243993,-0.00886903386833772,-0.0105104438015724,9.56223
619628,2077.06,243499,0.613002943840796,0.0814572616999191,0.0201630405784243,0,0.227279743191921,-0.10940092967781,0.0346045226453415,9.57092
921327,2610.28,475295,0.519812539704706,0.0713213223205654,-0.034922332821962,0,0.252792994452292,-0.282076341539028,-0.0430020058644268,9.58695
1066610,2884.24,437985,0.514162845372029,0.125961852619141,-0.104770730630716,0,0.252358710809258,-0.137036284280803,-0.0284523009310232,9.59273
732583,2354.57,469054,0.219049072306671,0.00997638794187245,-0.0770611686844063,0,0.0499599925651228,-0.118824495754154,-0.0407336307893804,9.60638
314446,1249.78,89464.8,0.253238283470215,-0.00826966581316034,-0.0139167602550195,0,-0.0151639154024702,-0.0331875981904677,-0.0250002310621315,9.6064
839775,2590.71,266012,0.155021275970388,0.113639090445005,-0.127878518114611,0,0.209954248410351,-0.0166098112667968,-0.0375663207677716,9.64026
949006,2796.21,401637,0.586854493738138,0.103388142199088,-0.115206691149265,0,0.327265983830912,-0.119642916000938,-0.0613536360832443,9.65802
941561,3124.7,464604,0.441485029385089,0.0821344174198068,-0.0567831777841836,0,0.334060437191338,-0.165472951412848,-0.00259860626040772,9.65806
436141,1511.47,226108,0.238123304829303,0.0812909430524904,0.00144556785862728,0,0.170475617491276,-0.101608522711171,-0.0291643662803328,9.67636
792882,1915.79,368075,0.457922124656939,-0.00473210743048158,0.0019195437932665,0,0.126963259675389,-0.116967041240403,-0.00888800507320746,9.72742
655331,1923.07,331919,0.482237737097748,0.0532677852913022,0.0304373790326595,0,0.131156034887083,-0.259398813409581,0.029452039682631,9.78499
415234,1498.57,223647,0.257435772308278,0.00625437000702694,-0.0424015263744157,0,0.0360931277780499,-0.109032963618995,0.00184817687067552,9.79679
393872,1508.95,110341,0.548784670360623,0.0525378852261624,0.0103544620752473,0,0.143009387383901,0.0674613004094219,0.100468167750815,9.81483
483537,1601.07,219263,0.366784566504454,0.0116734967188087,-0.039333205333895,0,0.170966349872687,-0.100126579607028,-0.0320094224388233,9.86384
820694,2132.58,469798,0.431624523677861,0.064982539516259,-0.0315907556369321,0,0.125178009474755,-0.270192248006693,0.00100264928657493,9.89775
284580,1158.41,49852.6,0.615062607582067,0.00840627366232061,-0.0490686322229426,0,0.0625512659318883,0.0031799734830695,-0.0294043355014485,9.89894
727548,2564.4,271121,0.160867964253479,0.0111942713366396,-0.0276527952229835,0,0.202205054758543,-0.0944931863564012,-0.0580277934172744,9.94266
684029,2042.45,198286,0.55236422422199,0.0142485785602612,0.00189701790809901,0,0.238837774104605,-0.0377072012143741,0.0396390311330782,9.98269
332919,1296.27,93238.4,0.376561056159618,0.0176682824309762,0.000382345965190266,0,0.0928332215748254,-0.0809170215547196,-0.0121995409497202,10.1203
521747,2075.19,174983,0.239959269771906,-0.0710876625290312,-0.0671523860636965,0,0.042009852544529,-0.0973741405301272,-0.0149993841457661,12.3763
527216,2144.93,329996,0.468805088504358,0.019179171997529,-0.00629254890710634,0,0.235240972478044,-0.102407003071508,0.0726737570656136,12.8583
1170310,4071.63,282490,0.141163272169152,0.181649589793295,-0.106018705065529,0,0.24251637040195,-0.0162507808099111,-0.0884331697449047,12.8583
877034,2269.26,622128,0.750688848644532,-0.0451193461952503,-0.0631973735797037,0,0.0492113957951553,-0.189658380973745,-0.131736699395,12.86
1061430,2951.81,466124,0.0133971456884724,0.0493146350971732,-0.0524621237582815,0,0.26941941352552,-0.177833591853023,-0.00771293144556165,12.8602
611618,2135.31,377891,0.789804352232907,0.121797870296702,-0.0272821943991038,0,0.320119823550562,-0.0681981612846727,-0.0253622468545097,12.8602
657670,2172.26,312415,0.803391112142285,0.0332061889242494,-0.217404411396326,0,0.188393697084632,-0.145473961851694,-0.106806032980615,12.8683
1429220,3645.01,706139,-0.0434104247633657,-0.000247259959629888,-0.246637182728653,0,0.281621462552005,-0.264988865563645,-0.0909734173992756,12.8683
470633,1706.88,189048,0.291198963940508,0.0761956924708706,-0.00994582639425176,0,0.195816264386127,-0.0826144544626062,-0.0160248673332738,12.8712
658963,2065.66,269873,0.171207416101099,0.127570387078535,-0.00011667312231303,0,0.324918587372312,-0.0263024706601573,-0.00196925221042449,12.8762
391449,1506.29,200077,0.269505916505083,0.0610425627673167,-0.00666061816295532,0,0.218404782689533,0.0344798680027344,0.0233933144159063,12.8835
620389,2128.43,248590,0.29602927488247,0.0628796939306105,-0.0367615139407181,0,0.150249449415473,-0.122673266008536,-0.0385040673606628,12.8865
600548,2223.09,159068,0.282086520253453,-0.00794323480814463,0.0355698628677793,0,0.229182727148357,-0.0287874939767149,0.066587367149213,12.8872
1134130,3751.71,376613,0.125851786805086,0.119448457529264,-0.0495428431611482,0,0.319196533067656,-0.0888126293942711,-0.000550163663184079,12.9057
366063,1485.84,102128,0.768847102485581,-0.027069177053412,-0.110299386466667,0,0.0913609389293193,-0.0774417971936504,-0.0296669099840781,12.9074
810264,2763.19,295077,0.520511877093739,0.0946042863944327,-0.0441825914690275,0,0.317747886969164,-0.130609923262291,0.088621736177404,12.9123
383537,1422.56,193165,0.263738475364626,0.137965700569504,0.0470218438227149,0,0.102462216283163,-0.0819549752568801,0.0169955590252692,12.9215
469716,1749.3,151699,0.450119146842767,0.0716157719724752,0.0513978300676246,0,0.183151966473886,-0.105648668608465,0.0507216804518268,12.9377
673251,2488.55,263886,0.237329845919999,0.0561027908624224,-0.0722893324225724,0,0.243938407117315,-0.132013252757062,-0.0466897072826174,12.9462
1226440,3313.58,512304,0.531504648759675,0.112195108913622,-0.0364227215803924,0,0.319703762353213,-0.14462455584712,0.00349962834962723,12.948
564447,1796.3,340953,0.938970959001804,0.160887398846387,0.0119487538923328,0,0.227825468242094,-0.0712538895344436,0.00468106572846791,12.9528
531852,1647.67,172498,0.717344144449176,0.0143444744233009,-0.0227617166329893,0,0.0188975792918814,-0.0223991092894997,-0.0857225317209814,12.9554
1130690,3411.07,441019,0.163715548480262,0.0282451710652189,0.00453168459424764,0,0.253615321505041,-0.173164532459487,-0.0470613123176893,12.9583
703930,2081.19,338204,0.315150692497057,0.039614229729629,-0.0784799661180038,0,0.109792897408813,-0.0261993501550748,-0.0476668888832965,12.9606
674874,1962.24,127691,0.574388314176863,0.0305053615999258,-0.0422639569374798,0,0.0409400700779642,-0.098962850715289,-0.0265424890286704,12.9627
1482170,3974.99,811469,0.0367522690129179,0.0600312064440131,-0.140975683993743,0,0.22639820583779,-0.217913134334117,-0.0824495165137045,12.964
893237,2730.43,404975,0.0582877862907442,-0.0327758255719039,0.0345353382778099,0,0.146919592978123,-0.185106121420763,-0.0202667554724632,12.968
477344,1785.03,155423,0.241363593743911,-0.00328248469247283,0.02441017197896,0,0.229295058146712,-0.0149320408681672,-0.0106912911737507,13.0007
1267190,3685.52,309055,0.0208637612243563,-0.0506743052279201,0.0130581915437525,0,0.305941448328594,-0.137648905572353,0.0551556031464342,13.0119
862125,2937.7,420211,0.381423132921561,0.0167894095109178,-0.220204831702014,0,0.23443368456315,-0.270193159194811,-0.148437802129946,13.012
1535310,4079.38,604357,0.455300981512467,0.00592884157733043,-0.0302645642635405,0,0.242761067358308,-0.238284101982213,-0.0835718638325117,13.013
725909,2006.66,241958,0.513038156229692,0.0242523556784819,-0.0591371323757394,0,0.265115726364025,-0.127665155098525,0.00807273225568679,13.0215
519866,2036.69,214913,0.533274001074059,0.0272307746098736,-0.0250405732896871,0,0.20694078465276,-0.135317809366186,-0.0749703451492808,13.0215
625552,1909.4,162501,0.533291454754351,0.0334053043984228,0.0920146197783713,0,0.172135105099705,-0.14309478940388,0.0246623791153617,13.0353
