FSC-A,FSC-H,SSC-A,SSC-B-A,SSC-B-H,SSC-H,Comp-AF-A,Comp-AF594-A,Comp-Alexa Fluor 647-A,Comp-Dylight 680-A,Comp-PE-Cy7-A,Comp-PerCP-eFluor 710-A,Comp-eFluor 450-A
775474,337558,320678,2086470,1155950,178356,6598.9,7275.22,-222.415,239.89,266.908,238.272,-65.2853
1078450,427281,582250,3958300,1809440,255222,10620.9,18689.8,502.713,-565.016,-307.605,70.3451,27.7336
911019,469624,429765,2887010,1437440,214661,8681.69,8975.39,-89.8342,-173.715,-436.611,28.2887,-867.47
637936,316220,147387,898582,424091,67797,2161.51,6963.94,-92.7109,199.42,162.435,-518.995,301.955
855438,478854,376440,2786800,1640160,221163,4745.55,14549.3,64.7331,-79.2064,-162.725,184.325,-359.542
689156,344606,198388,1241070,735542,119826,7019.12,6331.38,-528.248,598.037,139.302,-496.692,-201.373
555627,305833,257414,1568390,935081,161957,3239.96,9487.98,-465.716,475.785,154.7,-220.626,-233.257
1126250,508857,740272,4194300,2642220,404359,10627.9,26976.3,-46.0768,117.844,178.266,-299.052,-108.56
916216,453627,505092,3099240,1666480,268806,10241.6,13134.7,-427.759,247.914,-191.813,-551.517,583.673
1181830,448325,678166,3898120,1612770,285813,11624.8,11060.1,0.577776,-633.669,-271.386,-294.159,-358.317
825898,507294,362131,3501150,2379490,233745,6013.94,23015,-285.811,305.693,451.179,-94.5162,-928.973
670708,395417,547360,3660630,2633050,394353,12756,11472.8,-91.4436,136.689,-82.0004,-610.334,830.714
515258,305238,311301,2431050,1384170,176486,5160.3,-75.9155,-85.1408,282.498,185.418,9170.7,-186.148
1009860,415124,521629,3313630,1390160,223004,6030.23,22371.1,184.89,-148.452,-171.562,-116.966,69.4824
649082,302589,339330,2030170,961914,151889,5054.48,12235.9,-398.462,71.6351,-235.55,91.1979,-224.499
492540,275144,178965,1078050,731529,122522,2878.88,7932.85,-183.249,12.3801,203.74,-3.26561,-144.697
1054310,521127,521077,3761040,1731910,245691,5810.55,21899.1,635.758,-141.996,280.112,52.9241,100.508
497873,335691,482113,2933420,2130430,358662,16076.5,-1870.02,-296.364,142.064,-471.332,-904.033,-258.043
564335,321794,337582,1955470,1186600,206925,4941.47,7751.88,-224.993,498.799,-244.852,-147.582,-266.092
966520,554452,615793,4194300,2127670,302542,7856.54,21129,516.102,-387.32,-138.077,87.7416,-440.526
1130400,637364,631873,4194300,2780880,396486,13157,15766.7,-103.176,-316.329,129.47,267.025,479.651
872572,461356,477061,2927300,1933460,320444,14466.5,12763.8,-319.674,-244.431,235.312,597.683,-106.281
568146,252617,491325,2999230,1755470,299543,24793.4,9576.5,-376.17,87.1416,-40.4075,602.905,-360.71
