FSC-A,FSC-H,SSC-A,SSC-B-A,SSC-B-H,SSC-H,Comp-AF594-A,Comp-Alexa Fluor 647-A,Comp-Dylight 680-A,Comp-PE-Cy7-A,Comp-PerCP-eFluor 710-A,Comp-eFluor 450-A
831793,466800,532843,3390480,2003920,320500,13455.2,3026.59,19787.5,57321.1,8205.64,31666.6
503126,287424,254434,2342290,1594210,168088,6873.95,2377.72,100090,37243.2,7561.84,10824.1
600022,372623,295940,1626720,978624,179356,7586.15,2170.58,200739,36905.4,10027,14790.4
432838,244444,385981,2298340,1496120,247087,25511.3,6712.23,221994,48229.2,15699.8,16775.9
823551,433185,536303,3205260,1635110,282949,12430.3,6164.35,6988.56,68888.5,19272.6,43224.3
496155,286426,378325,2150790,1330420,241694,12873.3,2178.72,7247.26,261540,10596.6,17038.6
1199830,456733,656250,4194300,1914940,248617,19227.8,6906.81,107999,74831.7,14092.6,38929.7
667610,216943,447523,2860500,951459,161246,24315.5,2837.38,6358.07,79021.6,24423.4,32034.6
1441450,724422,747060,4194300,2050290,315066,18834,5670.12,759101,65582.3,12070.5,31228.4
611983,355520,253635,1561070,1016740,166836,21730.5,2166.26,5387.74,64114.3,7962.24,32982.9
741295,247446,550718,3527860,1062640,168426,19165.2,2123.24,36650.1,82576.5,13193.7,37873.6
346868,202214,170786,1238140,778295,108148,8244.99,1360.58,12803.1,25165.9,7326.49,9865.09
1220480,523835,483691,4106890,1750520,204771,26078.1,4738.29,29133.4,223710,18857.7,32591
347430,197636,335849,2046990,1330480,222980,12496.3,2906.03,12445.9,129059,12684.6,17108.8
547484,339309,260959,1493880,1072430,186684,9876.68,1322.98,20531.8,42728.9,6440.98,12628.2
1221560,511773,435856,3073570,1313800,193539,17879.6,3541.35,50801.9,38229.2,9328.29,17539.9
553506,276810,564254,4194300,2628120,356037,14320.5,6105.57,441950,56808.9,9411.56,11609.2
988565,423235,488704,3316000,1740960,260502,14308.6,2529.58,29646.4,138468,11740.3,25337.4
691041,427829,416939,2308480,1738390,313326,12953,1733.7,6569.45,21677.6,7522.98,19794
610450,396061,265981,1738440,1238810,186379,13835.6,2296.08,63258.1,197761,6603.41,13285.9
399494,255458,200879,1900060,1317090,133503,23908.4,4169.24,43651.6,95949.8,10973.9,37945.2
633327,402489,243869,1542750,975615,155961,19886.8,1792.81,39171.2,56142.2,11458.4,16683.7
1008300,397386,552937,3668530,2479560,374159,12023.7,6659.42,469252,45960.6,13424.1,17044.1
1082920,500270,491765,3185240,1288560,215727,19059.2,5148.8,17946.3,106794,29852.7,31715.3
466127,295407,209380,1515230,990454,146925,6772.33,2482.29,279952,18355.5,6942.21,8331.89
628987,397404,274486,1789140,1183490,178219,11026.2,2745.59,34947.9,57297.6,7819.44,14077.9
1008810,441448,389308,2729500,1118800,175889,18006,3667.03,493937,71958.1,27534.8,44789.8
795192,393183,226740,1331310,678969,119141,10580.7,4729.62,37521.7,44136.5,11169.5,14824.6
375537,222588,249169,1332830,950728,176201,10344.8,1608.75,32779.3,272054,7584.42,17213
1243490,528261,478745,2513790,1033400,200946,17517.8,6829.17,132767,79148.7,13166.3,35664.9
1110160,642064,431627,2371660,1514350,279267,10635.5,2440.15,5913.72,27741.2,13437.3,26591
720296,382522,457557,3114950,1809580,265432,19089.7,5017.99,11271.7,44455.2,11112.8,17718.2
879359,325504,567953,3632120,1588260,245150,29349.2,3734.7,190684,63252.4,15432.6,20698.7
854921,312809,493839,2958210,1311880,223623,17365.7,5471.81,328107,42031.6,11831.4,19184.5
577284,337073,273839,1870670,1318690,193636,11731.7,3468.61,52159.5,59334.8,7272.74,12719.6
917630,359857,429690,2440690,1133600,203106,7655.06,2097.36,22701.5,55336.3,7035.4,19468.9
676509,360283,344234,2225130,1358340,204926,7274.67,2429.85,5319.65,111709,9639.85,16482.4
778214,411126,605593,3505610,2045660,352904,12452.5,3663.44,193734,44027.4,9995.24,19470
945335,590975,434046,2551770,1716580,291930,16289.9,1563.81,24175,237119,9805.21,30980.6
807717,511073,258686,1590460,1048110,172039,9202.27,4505.58,5181.83,61452.1,13767.5,37222.4
830224,311941,480161,2789080,1484830,260165,10268.5,2954.59,221662,47517.9,6560.76,11502.5
1075140,496843,654221,4172550,1825130,288319,30559.7,7658.57,261191,115374,29699,40046.3
637855,389511,225947,1265480,834739,153571,13033.4,1502.73,25313.3,25245.4,8845.59,14171.8
1003670,444521,441492,3032170,1346830,199078,13729.2,3882.97,6117.75,60117.4,8082.98,37839.7
1053840,607745,639444,3675320,2087000,368451,9855.03,2364.71,504753,22192.9,7628,19681.8
736311,415971,187685,1208780,777552,119902,13141.4,1622.3,27765.4,28620.2,12845.4,11094.6
717047,440673,231056,1522590,1053120,158956,6616.46,3206.01,289147,31498,13409.1,9343.21
767416,423332,302175,1938930,1082200,171726,14453.4,2588.01,167971,44933.6,6475.48,15103.6
572985,287593,220346,1243640,607583,109258,11430.6,2281.33,61271.7,35952.8,9319.59,10523.5
636306,389529,312194,1758010,1036550,183704,4775.23,2755.08,58938.1,29391.8,7971.18,12025.1
563306,353083,209788,1156580,683452,126822,5540.37,1857.38,91970.2,21698.9,9116.99,10492.7
475676,269834,244580,1699540,1110480,165068,17789.4,2490.76,6038.8,220304,6580.29,21599
1496690,703699,832191,4194300,3801460,515336,11435.2,8012.38,7670.9,141828,7294.88,56480.2
695720,405492,308942,1830130,1070050,181501,9634.14,2482.91,22400.4,34306.8,10649.3,18052.3
1496200,746871,885942,4194300,4109240,481520,18811,2936.02,30638.1,107647,12073.7,19197.2
809918,373148,420690,3761180,1248870,160931,17754.9,1759.94,55448.2,257554,7989.79,17079.5
584949,325448,212653,1583050,1063160,149653,9660.88,2793.38,114113,31104.9,6412.2,8582.19
759936,430194,364878,2134470,1450820,244812,17041,2248.68,68504.7,159984,6862.03,13937.9
