FSC-A,FSC-H,SSC-A,SSC-B-A,SSC-B-H,SSC-H,Comp-AF594-A,Comp-Alexa Fluor 647-A,Comp-Dylight 680-A,Comp-PE-Cy7-A,Comp-PerCP-eFluor 710-A,Comp-eFluor 450-A
492357,283693,269067,1477800,857166,158495,5321.32,2859.77,25584.2,23112.6,8588.65,31921
385895,252619,229587,1246360,820467,154623,9681.63,1803.38,9020.35,175042,7296.24,43481.3
358264,196187,246941,1769720,891472,132788,15505.6,3007.55,6097.91,44266.4,12393.2,30682.8
560134,318358,420665,2762840,1601840,246592,12272.9,3941.22,45653.2,214047,12307.7,43351.8
763014,447456,380985,2536180,1663730,251044,7395.58,2488.3,5276.68,14487.8,6976.82,40144.5
765426,266025,495475,3319860,1457840,199162,10641.2,5381.23,14122.7,43929.8,7177.55,59040.9
423169,213371,351539,1902240,1098840,202279,6145.58,1522.96,25875.7,318092,12748.5,47916.1
708443,286146,310588,2278390,944989,135829,23534.6,7023.23,30777.1,80307.6,19580,75034.8
667366,388543,289644,1652350,1123660,192921,6018.97,4372.25,31194.4,59831.4,7384.02,29175.4
754629,414619,282729,1951150,1318970,191691,15867.6,5527.69,13642,144366,11528.8,31694.1
926560,483018,388481,2170700,1202410,213611,23625.4,4070.36,69982.3,62719.1,12727.1,19966.4
434441,187095,297281,1996360,981406,149702,9349.97,6548.99,8594.56,110923,15203.8,15568.3
820938,300728,533375,2914320,940972,171945,16184.2,5938.62,25660.9,50807.7,9523.11,84165.4
1202280,454820,659665,4040390,1351390,214137,15339.6,4062.66,5937.6,61914.1,7834.08,76075
780504,400041,222182,1309670,786506,133397,17386.8,2112.8,33078.6,220498,6644.63,37156.1
620827,407616,284456,1665660,1171130,205100,10585.4,4149.94,28776.7,29826.7,6608.12,20432.5
1148420,475996,554613,2994530,1215990,235122,21893,4943.31,13918.6,75752.8,15755.9,72170.4
753089,283808,536014,3935480,1359890,180483,15641.8,5335.8,35104,159042,11402.1,51779.4
509676,305715,231552,1693360,1039720,150706,10792.2,3903.99,18285.3,151900,6555.55,45720.4
670592,452667,244894,1710430,1171940,170587,9634.15,2137.81,21585.5,40323.4,9394.36,46782.1
686764,309016,558040,3264930,1438520,255960,11124.4,4287.25,34925.7,109053,7383.22,31806.7
647373,351278,343717,2104820,1165330,194851,13045.7,1824.39,36727,47357.8,8705.54,46650.7
602053,368281,271221,1736100,1157130,184305,8842.23,1799.03,14043.7,131093,7866.61,16139
759963,360821,372445,2636260,1393120,191253,10884.1,6644.66,5369.46,103344,12177.5,59650.7
950976,334846,486885,2597760,1037790,190020,11661,5629.76,21179.3,38873.8,18047.3,21254.3
619453,393221,214193,1317380,873829,144027,18994,5089.73,5120.84,42369.1,14522.9,58278.1
620830,337510,386974,2447060,1488550,237046,21597.6,3735.55,9625.14,109272,11577.3,72122
1114270,422155,522102,3793500,1432560,188796,19700.2,7443.07,12892.4,338891,12328.7,77388
561930,322171,394670,2216300,1128060,192736,7538.01,4048.75,36424.4,403188,8709.6,34549.4
573962,359661,244986,1564010,1045990,163256,8277.85,5532.53,8976.43,62101.2,8315.22,22637.8
1011130,509200,455554,3038580,2081130,306630,24321.9,2017.15,10547.2,38171.4,9000.73,35162.5
916626,540097,487073,3100340,1940170,303642,16295.2,2103.99,5342.4,50848,8579.56,49391.3
800096,547982,357648,1843500,1259910,242721,4725.45,852.88,37540.8,210846,7501.87,28273.2
532847,332732,295162,1828100,1173590,192238,10058.7,1642.89,6913.99,49510.7,7389.09,35419.9
912914,545494,373060,1800310,1165390,243701,6763.57,4648.88,8776.25,45174.7,7399.13,38292.9
708663,367946,330017,2669100,1581590,190258,7931.97,4778.52,5723.82,26235.8,7254.1,8722.03
776273,439901,349097,1895730,1281050,235723,14416.8,1164.5,8679.16,31747.9,8290.16,53133.5
731355,382767,299163,2075730,1239250,185566,7311.94,5834.78,6671.49,28431.6,6373.35,30138.6
759144,414059,367661,1912060,1048920,206808,7773.31,1923.68,33659.9,330348,7056.43,44056.4
740883,332930,471658,2954700,1708740,260218,17149.5,2170.87,24324,245500,9652.55,59472.6
1272310,509939,782234,4194300,2637320,388278,23917.7,5190.57,53685.9,286649,19399.3,38152.1
701413,411640,281774,1717380,1031860,170813,7958.34,4079.41,15888.2,295066,9088.94,30430.5
1265740,775400,476734,2953490,1809030,289094,18161.1,1610.74,14604,290389,23122.5,18730.8
804509,430356,318439,1996920,1133010,190143,14765.6,1862.16,9817.15,34396.1,12749.1,59610.6
655898,369477,300464,2074760,1330530,194436,9880.5,1965.62,35450.9,55959.4,7194.83,32162
709235,389587,281266,1607950,1024420,184708,11892.1,1414.77,26912.9,274632,9039.84,30366.7
544445,315574,245136,1527430,990452,159844,22816.4,2064.29,11687.9,62460.9,16753.2,13976.2
491018,314156,329994,1827970,1238680,225646,4879.65,3178.82,17254.8,158581,7000.7,19683.3
1397970,646141,771797,4194300,2426910,391869,20113.2,6159.69,8590.6,91052,10740.4,83811.9
603258,359255,403714,3017480,2063110,274617,15266,2361.99,5107.06,178737,8526.07,47507
415440,271611,365874,2009780,1296220,233594,2655,2079.52,31747.8,230431,9610.55,27392.2
966532,472068,596152,3076710,1408970,281025,8693.76,1411.14,30956.2,363950,7655.11,38743.4
1359120,649794,366761,2193870,935037,151158,11195,3018.32,40057.8,68421,12131.1,28519.7
611167,263643,350569,2319380,1133100,170762,5398.09,2998.51,10848.3,20683.1,6499.42,11783.6
1114230,417961,502656,2908660,1102740,200187,10384.4,3531.44,48020.2,191025,11314.6,31733.8
1445930,688187,686305,3839140,1726980,314973,13210.7,1374.33,10762.8,159609,8525.92,72315.4
571281,331720,435432,2573060,1616040,265147,19413.4,2718.65,11748.7,324764,10780.2,61366.4
1001160,421760,477104,3069940,1208130,208007,15482.5,5451.13,13145.2,75661.3,13233.7,65243.7
422923,220848,262177,1562550,837404,140213,7992.6,2402.66,18914.8,72957.6,7319.27,26347.3
576885,364289,292211,2374770,1594020,197946,12171.4,2668.17,12228.4,56866.9,12994.5,18495.3
425660,246541,385456,2152760,1258870,229794,7717.68,1333.86,9283.6,89791.6,8966.06,33626
514449,354354,171454,1042530,766773,123976,7069.33,1728.79,10325.4,132903,11216.3,19423.7
554794,389023,297040,1543260,1054370,202073,6936.97,1892.2,6319.99,339913,10589.1,22012.4
1083630,418529,448024,2979240,1165080,171095,16712.4,2818.26,5889.59,36710.8,17465.7,63685.8
613771,373625,257535,1344950,905956,174553,9028.08,2199.67,5888.03,31476.6,9640.77,34738.4
1002600,365784,480341,3602070,1335510,195555,15181.5,3853.55,7931.09,62286.5,10745,34072.7
577019,357064,296664,1785770,1116740,185904,13111.9,1714.92,5484.21,29013.4,6429.8,50362.9
633138,373823,212958,1099220,739715,145312,10885.5,989.105,6411.05,184007,6766.11,42576
580482,390762,269757,1543980,1068480,184562,2587.34,1338.55,30539.7,144525,8515.82,12321.7
686580,401682,258215,1587490,1008920,169687,10267.8,1711.86,7924.03,110184,12037.9,21566
976302,477214,428144,2574060,1447400,238661,8891.15,7936.62,9080.54,37730.3,12777.4,16755.1
403227,239336,420503,2223480,1426990,268463,9394.8,3929.19,16352.5,277656,12982.4,41149.5
392563,233224,182478,1102860,716695,115854,11013.1,2099.89,27819.6,58813.2,15877.1,31492
1110760,640353,593105,3463240,2064450,360899,15607.3,3256.1,5290.07,31807.1,8917.7,43972.8
430291,265331,238226,1321710,835496,148647,10742.1,3305.69,41232.4,129391,12844.5,20182.2
558559,311206,335403,1864840,964354,172898,8050.04,1536.37,28050.9,129271,7489.32,29524.1
922066,396323,309586,1500400,786637,168428,8999.69,1781.18,7432.22,107245,7372.06,50795.5
892720,473980,429174,2439020,1509530,268278,9777.69,3190.8,33831.9,269227,10640.2,17956.4
665625,412155,290514,1820080,1193110,186500,8482.4,2979.26,22901.9,68666.4,8725.3,32163
761794,462976,297461,1803780,1074530,184949,6862.65,1599.79,6663.09,105215,6755.34,26507.2
692308,405841,292970,1628270,991927,176908,7511.54,2068.17,37835.1,41201.7,12811.1,33331.7
543115,314798,313341,1956600,1058810,166020,16104.9,2910.16,40106.5,180080,7521.9,47041.5
1046460,621803,386550,2353420,1511740,256833,16710.8,2426.61,14495.9,49776.3,7492.41,26711.4
379738,225748,233660,1484350,924072,144282,7773.8,861.005,5373.26,45740.2,12415.1,14163.1
687220,415074,351826,2514310,1571130,220254,6544.49,2340.78,6057.3,32167,10451.8,19709.2
492206,307003,297432,1819630,1141620,184021,6189.84,1504.83,19329.5,185943,10778.7,26515.3
597190,350488,301226,1741200,1100610,187041,7653.52,3444.68,51602.4,94199.3,11496.5,33054.4
399450,259301,217626,1468130,1068790,162488,6051.18,1786.55,13518.8,66808.6,7279.76,25747.5
818860,480047,505366,2723910,1683380,311000,7350.65,1711.41,50450.7,107169,7537.98,59665.6
489773,298738,270451,1491390,870690,161434,8247.49,1634.91,5447.57,20240.7,6518.22,15704.2
977123,408254,404146,2095430,799646,149148,17123.6,2686.06,16005.4,51686.3,7905.14,64725.6
482752,352713,137238,894205,709972,108434,4580.49,1741.64,5771.87,53549.5,9654.6,5610.18
935136,487395,496877,3497810,1767620,255013,18281.2,4381.1,22603.4,45471.3,8893.03,21487
932987,345404,446311,2305410,832728,168877,9817.33,1922.28,8638.92,26675.3,13482.7,53111.8
1139070,528227,763584,4194300,2763060,448849,14054.1,1859.47,67307.3,173032,18989.4,31732.5
666917,435052,334903,1950030,1322160,229553,7310.43,7202.77,7610.85,35946.6,19550.8,21950.3
813704,435000,363091,2134050,1000130,171137,8867.17,3919.75,10051.9,171704,7678.8,54637.1
555106,301768,430503,2433100,1466000,267688,14425.8,5494.77,5882.98,273215,9923.32,59428.6
931885,345758,531466,3080510,1294640,200926,10057.3,1923.46,9605.72,27696.1,15872.9,41854.2
614691,320807,286892,1456960,840862,161934,9524.77,2132,18861.7,198584,9262.22,28863.6
708972,391092,374424,1803070,1131860,238480,7629.73,5708.69,10951.2,41661.2,9262.18,32011.6
986788,386614,412061,2290490,793543,137860,8021.7,1903.66,6724.96,30453.2,10495.6,74098
480338,252763,332052,1821960,988224,175293,4067.43,965.818,21402.1,197345,6486.77,33149.4
765130,421296,438676,2802760,1420870,220403,8541.78,2676.1,5903.51,76058.1,6912,46550.3
943979,561835,357258,2141870,1274460,215384,11625.8,5164.1,6277.82,44752.2,23497,23889.8
856858,514846,219350,1573760,1114910,153785,9642.38,2975.31,15866,146441,8532.8,30966
541352,385676,325845,1802220,1239380,216285,7105.33,1123.82,37782.4,308590,8676.66,21997.3
477023,290030,232223,1368440,813103,140246,6717.78,2100.7,17037.9,154730,7262.87,47028.9
600859,331505,334820,1872120,1091070,204809,5701.09,2758.48,21381.1,256381,11365.2,37519.6
595904,319129,325953,1747480,1140790,205108,12340.5,2769.29,9985.68,134718,10678.6,44528.8
669822,374700,204945,1325620,776772,114668,9202.7,3127.14,12962.9,39182,8707.67,49110.8
747282,462307,296988,1689320,1164190,207768,7512.44,3034.42,17989.7,373138,19889.7,39902
605645,364451,311520,1684330,923235,174409,4513.57,1400.47,12546.8,163722,8370.91,24614.4
1162180,740994,800895,4194300,2730580,505122,19759.7,3778.93,56327.7,151171,18458.5,36367.6
859706,378341,456274,2502810,1146630,208849,13213.1,2508.22,25460.3,30214.1,10768.9,19141
594500,328257,455573,2456490,1500660,280886,7339.47,2295.86,16571.3,160034,7214.48,53908.9
624909,333941,257605,1437110,867235,157239,12831.9,1839.02,5173.06,30623.6,8232.8,41948.6
938673,363941,470783,3611750,1394860,216640,18583,2831.31,6643,161452,18099.3,42119.6
644505,349049,383594,2214270,1158270,203569,7411.33,1282.58,7364.86,41494.6,11071.4,30376.9
1025140,438225,667349,4194300,1973520,261364,16004.6,5900.77,12853.7,134670,9893.89,47259.5
1004520,498469,493031,3158190,2065600,324341,9198.51,3092.25,10841.3,148212,7357.53,33624.8
877109,536124,443334,1971630,1341010,311318,7909.61,3926.29,54452.3,76452.7,8439.37,42704.8
1061990,637062,411596,1997880,1179230,252486,7309.57,4004.53,5965.61,29632.6,8442.86,43368.6
633911,445920,164383,1007680,713274,118102,7844.46,2734.76,29124.9,16575.3,15962.3,9656.39
815530,471595,223190,1469420,865559,130639,12637,3065.34,20827.2,66720.6,6714.03,44269.8
682605,346249,347877,1846930,1012040,190579,6220.46,3286.47,6740.01,36907.1,13832.3,35306.2
494064,229305,256410,2190440,952975,100491,14327.8,5168.06,37391.9,326737,8675.69,39386.7
986704,377489,372842,3059370,1307610,177152,10769.5,6698.27,36244.1,55769.9,10602.6,31788.8
603122,416319,450036,2360180,1736230,329666,12287.6,6100.19,5854.82,1427.32,7879.13,4631.66
824242,530798,391036,2510260,1818700,284778,6883.75,2706.41,41922.3,30952.7,7843.65,15763.7
631651,344365,354626,1920170,1066260,190912,5710.94,2838.94,12508.8,38615.4,13675.1,32180.7
