HA,p38,pAKT,pCREB,pERK,pS6,variant_ID,variant_ID_num
12605.5,22072,3943.71,13661.5,13304.6,3247.42,WT_1,1
598617,80510,34832.1,26817.6,12000.8,24499.6,WT_1,1
10652.4,24322.7,11572.6,3167.97,7494.41,-2253.27,WT_1,1
15788.7,14394.2,7626.22,10450.7,7079.6,-1652.91,WT_1,1
1281410,183616,90717.7,56674.8,54150,-5007.15,WT_1,1
10230.4,19660.5,6726.44,6812.16,9347.56,963.335,WT_1,1
8389.53,29771.7,540.359,10836.9,3424.42,3452.98,WT_1,1
15655.1,21173,15505.2,1689.73,3333.35,4777.56,WT_1,1
16824.6,18306.2,16446.7,12774.3,6396.84,3588.51,WT_1,1
19714.6,15660.8,8424.9,10176.1,11533.4,-4958.92,WT_1,1
1514.7,25363.7,6402.04,11773.8,3998.81,-2970.17,WT_1,1
11808.1,16999.9,6130.45,9014.13,9074.84,1177.21,WT_1,1
16455.2,17047.3,9293.2,2832.75,2965.03,1973.03,WT_1,1
10038.6,26856.2,7329.8,12999.5,3980.85,-2494.01,WT_1,1
8320.66,19036.5,6871.58,17611.5,4223.99,2051.65,WT_1,1
724479,109698,37919.8,29403.6,32724.7,9638.17,WT_1,1
11251.3,18993.4,8704.12,7875.34,6709.68,2167.11,WT_1,1
13405.7,18240.4,6178.12,6728.21,12812,5998.54,WT_1,1
5503.19,24213.5,5055.31,20275.4,1694.84,808.468,WT_1,1
693869,98938.1,32141.2,13330.2,14989.7,16819.5,WT_1,1
10442.2,18494,8026.19,7482.46,7844.45,7199.61,WT_1,1
3520.51,30232.3,5893.81,2829.2,1406.01,3705.95,WT_1,1
12338.2,17912.2,11100.4,10557.6,8497.2,-1484.17,WT_1,1
587711,73573.4,25108.9,11351,26870.7,10321.6,WT_1,1
14532.8,13628.9,5786.41,8615.02,8000.03,-1591.01,WT_1,1
14849.8,23219.6,3022.4,6509.49,7182.03,2293.27,WT_1,1
610010,59593.4,7957.68,17393.5,20452.2,3264.79,WT_1,1
11446,15413.6,7075.41,9734.43,6783.96,153.664,WT_1,1
13069.8,17691.1,6001.48,8010.75,5636.01,-2643.68,WT_1,1
9872.21,25560,4379.8,10296,7876.38,1060.83,WT_1,1
13704.9,23957.2,7835.71,11909.1,2887.13,2200.6,WT_1,1
958520,236438,95345.6,28770,20355.6,79133.4,WT_1,1
10625.7,25454.5,6728.09,10034.8,8947.7,-1529.46,WT_1,1
1154600,211886,89411.6,65033.4,41315.7,33494.9,WT_1,1
16841,18500.3,2482.38,9197.23,6185.23,211.162,WT_1,1
15376,17201.7,5434.21,3645.09,3932.34,1050.88,WT_1,1
