FSC-A,FSC-Width,SSC-A,HA,pAKT,pERK,GADPH,p38,pS6,pCREB,Time
303036,1224.35,187952,-423.059,30003.1,515.702,631.818,118.929,-240.598,1361.89,2.87098
442964,1463.24,398853,21634.7,31056.1,22725.9,28505,70759.2,4821.22,19543.5,5.6487
2604280,5988.04,1701230,83140.7,117279,181752,157523,320917,117056,143133,5.64953
309971,1243.81,125048,-307.526,12234.6,11791.9,10117.9,30962,1002.9,6196.59,5.6497
1400970,3552.09,547842,8894.87,57775.3,74296.9,54218.1,209469,10622.1,52562.7,5.65004
496685,1795.26,138340,28460.6,17979.7,5515.41,17936.9,48151.5,1230.18,5557.63,5.66107
1023890,3035.65,284415,15377.8,34084.2,15338.6,34192.1,98682,4472.2,25008.9,5.66475
730928,2302.59,256354,5987.05,32106.8,10752.1,34766.2,77395.6,6663.13,18771.7,5.67014
411617,1584.09,99585,23347.7,15167.8,18353.7,30313.3,34265.8,27439.2,30747.4,5.67412
730405,2238.57,482999,5729.75,8453.22,6848.27,15211.8,10125.4,1037.6,6975.77,5.67645
404735,1527.39,104029,-15979,-598.376,15561.7,8049.57,30024.8,-1862.16,4716.09,5.67961
801302,2477.27,381613,8325.29,31274.7,26985.3,32230.9,131337,2215.27,33311.9,5.68006
394340,1579.18,122141,12758.1,10919.2,3830.46,8388.55,25928.7,1894.99,19425.3,5.68006
673266,1979.15,271904,-5564.28,31490.6,10547.2,15262.5,57081.3,6089.17,2952.22,5.68008
619833,2255.99,258810,13154.7,11031.8,28303,17520.4,18483,-10928.1,21162.4,5.68031
705160,2029.51,416949,10315.1,21249,32526.1,27219.7,63340.4,2053.9,32180.9,5.68137
1053850,2900.55,505274,-56.5884,17289.1,19184,38564.7,44577.3,17918.7,15053,5.68991
794952,2170.28,304703,-7327.84,25573.7,20345.8,34747.3,47336.2,10814.6,16063.1,5.69473
413414,1495.72,95513.3,8075.58,8214.43,21406.4,13336.8,27219.4,-1515.97,12826.5,5.69634
387874,1429.79,101998,3540.55,6089.59,6382.85,5918.84,21067.5,750.104,4672.16,5.69836
1208480,3071.29,630966,36424.2,74560.8,29368.3,85676.4,164054,78376.6,92713.8,5.70206
798368,2254.83,335758,-3462.76,21996.5,14856.6,19442.4,32985.3,967.84,13813.5,5.70861
953752,3298.49,489664,7086.82,33506.3,50377.3,28440,101241,-2494.91,37483.2,5.7102
1882420,4100.64,874334,37617.1,62014.4,55420.6,57225.7,178307,9449.23,66819.3,5.7218
774069,2846.08,317998,13932,27555.8,11038.1,33982.1,97538.4,5911.85,17760.7,5.72188
516988,2017.27,232476,3936.37,19215.5,10601.9,17680.2,37641.6,6247.69,8754.76,5.72193
410768,1526.17,108071,7621.07,14522.1,4191.35,10307.2,20228.8,4287.32,2256.66,5.72201
1823390,5296.34,726979,67183.4,111487,58956.5,78713,294303,93558.6,55974.4,5.72203
472718,1701.81,258080,-3247.14,11832.7,6297.98,10742.9,21733.4,7417.13,3726.37,5.72303
532103,1964.38,284989,-6419.59,16829.5,18913.9,26078.6,67689.3,-4007.54,29667.6,5.7236
555659,1950.38,67396.4,3286.38,10108.8,775.855,25858,21521.5,-141.018,2990.59,5.7247
450617,1540.65,132317,-300.612,8334.71,4154.74,8280.22,16435.9,874.372,10844.2,5.73013
386026,1484.45,89896.2,-1087.55,10215.1,1669.38,6920.49,14432.2,3965.64,2314.51,5.73013
646182,2595.59,166969,11972,15862.4,24299.4,26676.6,63572.1,10079,21617.8,5.73138
312383,1209.14,84524.1,7013.14,12186.1,8353.46,12029.5,18731.9,1623.7,7888.59,5.73569
374388,1506.92,70002.8,6443.47,4656.97,3585.15,11445.2,28440.9,629.042,10540,5.74231
615588,2305.23,155325,6389.65,24833.1,6132.84,36310.6,64858.6,3122.93,7567.69,5.74231
536120,1993.01,143772,6311.79,18301.4,3612.7,18807.4,32396.2,12319,10504.5,5.74247
638641,1980.81,242584,-7235.14,16763.7,11924.5,20420.9,33706.9,-4510.54,6762.35,5.74422
332100,1301.87,49222.6,2093.25,4092.41,2118.03,6295.45,9622.46,322.449,5215.78,5.7449
1339550,3471.6,595024,-1945.71,38739.3,33366.6,45200.6,84871.9,-3258.58,23291.7,5.74502
492374,1629.57,160472,336289,5905.86,4051.33,25149.2,35105.4,-4018.92,8326.37,5.74649
490190,1857.77,170995,309.48,11413.6,18996.6,17949.8,59735.6,20096.2,10880.9,5.74943
370187,1496.88,156499,2281.29,12619.9,12240.3,9932.71,23449.8,-2106.35,9979.65,5.74949
402936,1490.33,114635,-5200.28,11059.8,6550.3,13027.4,18525.1,-753.449,3911.61,5.74951
398435,1415.71,158403,-2837.57,8336.74,4056.51,7257.82,17786.8,-694.758,2667.71,5.74998
435319,1551.46,119416,663.474,4213.28,10362.6,8282.99,16756.9,-2333.42,12680.9,5.75348
340065,1331.75,151000,-4437.08,6810.72,13608.2,9693.01,15498.1,-4055.97,12572.2,5.75887
363062,1361.02,107885,357.746,10710.3,8101.52,9019.02,26446.7,2736.25,3598.25,5.75889
883436,3083.55,404802,14822.3,43955.2,27453.9,26858,107413,27464.3,21453.3,5.76534
506397,1790.03,137496,16446.6,7224.9,5982.67,13398.9,32641.4,8.09874,3503.98,5.7887
400367,1596.98,183665,2457.98,15312.2,4908.52,11247.8,23634.7,3630.23,4765.1,5.79609
389071,1466.93,95004.9,2419.42,8237.36,10043.1,19719.7,25036.8,19843.7,8533.56,5.80532
401291,1513.37,116115,2310.28,4136.42,1700.78,9524.31,3547.08,-251.953,9271.92,5.80782
609027,2079.86,182131,15024.5,17631.2,7126.98,17304.6,54901.3,10051,10880.9,5.80808
327136,1279.32,114104,-4232.7,6140.41,4707.64,5050.1,8458.28,1736.58,1436.74,5.81278
312870,1214.96,60706.5,506.623,1766.91,2167.63,7634.67,4917.28,-420.907,3316.34,5.81613
400626,1581.89,149442,5168.49,21703.1,4734.77,15579.7,42423.9,9405.16,7055.59,5.82041
429591,1526.5,98817.7,10169.4,7554.15,12301.3,24636.5,29694.7,-975.732,26311.1,5.82095
654080,2000.05,228100,55293.7,7272.53,5337.17,11494.1,12714.3,4655.9,2437.93,5.82973
346957,1395.76,78422.1,295.445,5839.5,3255.24,7031.27,16150.5,3338.41,1310.79,5.82995
418111,1497.31,108456,-6799.61,5470.08,5617.01,6257.5,3022.07,-2165.35,3305.5,5.83177
969834,2848.33,377790,-8361.77,42143.1,16488.7,27910.5,116569,-2958.1,28181.2,5.83969
922739,2484.71,487793,5593.44,22012.8,16841.3,17917.9,37163.5,19574.7,23089.7,5.84864
407779,1513.53,133790,-4056.84,4700.27,11069.9,10010.6,23979.4,8800.09,20071.4,5.869
392268,1596.05,145745,7090.65,9627.39,20723.8,12636.7,29066.5,2062.98,15695.8,5.87198
554524,1824.56,187055,12617.6,10589,18311.5,13928.3,22383.7,-1752.56,15346.3,5.87816
479689,1568.17,192328,16610.4,6270.14,1590.73,15971.8,19418.8,1226.58,4046.75,5.88466
529532,1645.31,231030,932.589,4896.05,2987.04,18988.1,3116.15,-907.435,3462.72,5.90232
517937,1816.12,167954,-366.934,5091.55,29947.1,11071.2,23011.9,-4821.75,21553.8,5.90716
477431,1745.78,162928,-3280.4,17954.2,7510.99,13362.3,33169.6,-2566.66,6848.25,5.91635
455638,1461.4,249790,-10736.1,15095.4,21277.3,17878.7,29965.2,31094.6,11609.6,5.92387
665244,2121.94,274996,15135.5,18365.4,18598.6,29909,68958.4,8847.57,27942.9,5.93344
906847,2400.21,362869,-14172.5,18588.1,29158.9,19122.7,59208.1,-1148.21,24699,5.96434
289514,1181.42,44357.7,-3838.75,5053.6,5763,8401.67,10736.7,-39.3442,4323.71,5.98584
414943,1427.22,141589,679.541,7121.68,3894.04,15101.8,12000.5,3059.66,4123.19,5.98764
358003,1386.89,101512,-4720.41,6927.21,7504.31,9364.72,17206.1,1138.64,3779.7,5.99828
322053,1262.29,145869,-7033.13,2870.22,9289.22,8712.37,6906.65,-4951.39,6687.87,6.02865
329270,1288.29,98412.2,-430.975,716.19,1112.54,5880.95,867.154,-598.517,322.597,6.03563
370805,1400.25,126118,-1398.11,8096.63,5711.5,9236.92,16255.3,1547.79,3186.16,6.05542
404608,1433.11,139884,-1171.87,4586.15,6954.04,5556.42,13003.7,886.544,5603.03,6.0604
442804,1541.61,251946,-21447.4,9739.67,13724.5,7695.82,3170.14,-9923.71,7175.37,6.07181
523129,1723.16,335157,3361.24,4227.7,7619.44,14503.1,10248.4,-1001.23,3550.97,6.07351
450718,1662.26,126703,3750.98,4781.23,1566.89,8044.02,13842.8,1500.09,3067.82,6.10808
474230,1916.32,93910.8,-636.129,3395.17,2215.59,11645.5,6268.95,-225.405,2012.28,6.1214
479223,1896.74,149779,9925.61,8461.88,12037.8,15006.6,39296.2,-479.971,12304.5,6.12722
669624,2050.52,295484,1350.77,11457.1,18960.6,24401.9,29261.6,3241.1,10574.3,6.13312
404062,1586.79,92932.9,3294.63,10427.6,7244.1,7857.67,28845.2,1702.83,4688.83,6.13336
826134,2493.4,258459,3695.83,12435.3,8671.57,40854.2,50779.8,453.559,9665,6.13338
403713,1361.74,109750,3061.48,2077.54,4541.02,4829.48,9099.14,-1008.82,7144.01,6.16951
529415,1760.18,157144,14607.9,16495.6,25184.3,16998.8,24530,24253.1,14346.5,6.17808
363416,1374.42,115005,-1605.98,1087.69,1632.95,7119.47,425.691,-438.427,1755.95,6.17833
1210190,3299.2,739151,-11508,46132.6,44407.3,76528.8,105994,5974.89,29433.9,6.17933
632123,2163.7,117778,8980.79,9706.63,17217.6,20830.2,44803.7,20479.5,20924,6.18256
1134740,3048.19,400668,11219.3,47366,23770.1,43089.6,99394.4,2366.32,29480.2,6.18678
334671,1359.85,82469.8,4618.9,5123.61,4729.73,8057.92,17982.5,496.674,10460.2,6.22556
306801,1258.18,151407,1811.34,5989.4,5624.83,8571.07,21229.1,5637.32,3645.6,6.23477
1370550,4250.48,938936,-2155.98,31462.3,50423,51655.9,111114,6014.03,27201.3,6.2467
1279600,3524.46,466379,10418.7,59597.4,33501,52790.3,127286,26715,23775.2,6.28913
369187,1420.84,64921.2,-4441.02,3172.53,9963.73,4975.52,20556.1,-2720.97,4345.67,6.29064
574468,1774.46,268267,-2429.43,6145.58,4318.58,5253.57,4183.84,-166.956,3502.54,6.29791
336451,1323.3,113776,-5532.67,2973.78,8209.21,7290.48,14553,-3338.86,5384.75,6.29973
562662,1976.64,214790,-8497.87,14687.3,13369.6,13522.7,12101.1,-3384.18,10240.5,6.30008
419000,1515.67,75671.3,333.868,4692.06,5798.21,6465.99,10471.3,-1424.04,3284.12,6.30955
1236450,2982.6,510387,3145.67,30041.2,17901.2,51017.2,61101.3,1393.45,20414,6.31403
298214,1218.71,73481.6,-3703.22,6739.91,5525.47,6825.9,15612.7,2927.92,975.714,6.33455
594196,2206.47,152788,5296.18,10399.1,10724.1,16761.8,44261.2,3178.69,12773.6,6.34276
840091,2802.78,290680,11262.5,28230.7,44232.6,31174,66133.7,24455.2,24341.3,6.36338
306105,1235.42,84790.3,660.703,3404.8,14964.9,22534.2,25858.9,19638.4,11218.7,6.38593
