FSC-A,FSC-Width,SSC-A,HA,pAKT,pERK,GADPH,p38,pS6,pCREB,Time
302526,1200.95,87375.8,-1957.78,8172.94,3732.77,5850.45,16633.8,694.138,2395.26,0.605196
1283100,2678.71,4098020,7567.41,33084.2,-2173.81,6156.36,-7535.48,11744.9,19319.5,0.628823
1053520,2367.45,1884410,6209.31,25041.2,-1122.14,4417.8,-5422.93,8560.09,11068.1,0.662667
814400,2173.81,1529880,3731.48,18030.4,-952.663,3166.89,-4138.09,7619.51,7808.12,0.693962
284400,1129.51,82665.3,-7468.56,9128.55,9164.24,8463.82,17907.7,-1153.75,10844.2,0.822254
368826,1334.28,119554,-2755.19,6187.82,4402.22,4644.67,8217.07,19.3727,3873.2,0.841284
297798,1176.59,73179.3,594.261,10642.1,8702.06,8346.56,21302.7,2474.85,3653.17,0.879123
327399,1295.31,83378.8,1334.53,5522.67,4744.21,10279.3,7223.75,6652.27,6002.75,1.02823
1195560,2622.56,2501150,8950.76,26909.3,-2249.87,5367.91,-7035.06,10920,16025.9,1.05742
428586,1549.82,244299,-6022.22,14933,12308.4,9864.17,20499.3,762.868,5615.47,1.06788
1270380,2832.07,3028810,5632.78,16639.9,2951.69,8821.81,6887.74,10519.8,12504.1,1.17051
1006520,2345.25,2197690,5733.45,21768.2,-1484.56,4371.1,-5365.52,7138.76,13234.8,1.17455
461301,1538.63,240926,4258.68,16549.4,8928.22,13291.5,26451.3,5368,9018.88,1.21136
1005280,2812.15,454158,66350,45048.5,18004.5,35062.5,75765.8,14197.5,18186.3,1.28327
467331,1638.9,148357,-801.695,11989.5,5672.96,13904.9,17130.5,-1939.4,6751.25,1.28576
738696,1897.47,1036130,2707.05,13666.1,-903.356,2574.34,-3250.37,5230.24,8222.69,1.76413
873451,2324.21,1213810,6996.51,18950.5,-1653.53,3941.48,-4829.48,7639.11,11344.5,1.78523
389088,1530.05,307060,8188.35,10045.4,5922.58,15378.9,28989,2851.19,14655.2,1.82126
1007530,3158,380809,16393.2,39259.5,32212.2,41654.4,87115.1,11954.6,18517.7,1.84694
306532,1257.04,92038,252.137,7351.28,4373.81,5779.88,12274.2,1113.59,2512.35,1.86611
289710,1177.12,176738,-4697.04,14802.1,9237.84,9461.34,22452,276.99,3531.69,1.87526
471728,1801.45,204559,4832.93,20196.5,7986.72,13326.9,43671.4,-1061.19,13689.1,1.89158
585636,1764.83,206650,1503.8,17917.7,12678.8,16826,38057.3,12346.3,14611.4,1.95225
387665,1575.67,167776,7559.74,16763,11142.3,18195.5,37746.9,5325.37,9814.82,1.99151
511216,1871.67,207884,4909.99,14338.6,3930.32,13605.3,37680.1,2132.6,14354.5,1.99655
1193350,3791.13,382100,41698.3,76861.4,42349.8,53513.8,175753,18678.5,44555.1,2.0213
388225,1409.88,466102,-56179.8,33208.8,38372.7,14653.7,28272.9,-22355.3,17458.6,2.02682
710531,2023.49,255987,4038.12,24572.4,14740.9,18324.1,54706.5,-2919.46,12300.1,2.03053
999855,2556.71,392230,18767.4,33048.3,18171.8,33949,84286.1,29500.8,21717.2,2.06113
415369,1474.73,135991,832.46,9703.52,7992.67,13587,11642.3,2717.32,7345.72,2.11312
544534,1919.11,112680,23310.9,11863.6,2695.07,7560.44,21276,322.679,1218.43,2.17892
650112,2493.38,155222,5026.22,14079,10117.7,14967.2,55043,10677,8794.59,2.26198
693534,2139.66,274696,5811.65,25398.5,23008.2,21144,23167.6,-1862.17,17961.7,2.30181
332895,1285.27,84667.3,-308.577,4165.93,3026.13,1936.77,2534.2,-791.063,3564.41,2.32441
560947,1866.51,187871,3636.42,12032.7,13292.5,21661.8,22311.1,4336.47,4791.45,2.59579
510734,1801.08,524334,1758.29,17399.9,9962.41,8067.44,10252.1,1756.61,6698.02,2.69833
450031,1578.28,196647,31371.8,26234.3,10551.5,16071.1,35023.9,4591.16,8696.59,2.69849
1023820,2706.96,912963,16140.1,46943.9,24337.6,72034.9,51968.9,6653.79,39230.6,2.69855
622545,1975.26,206964,8788.42,13153.9,9888.33,13220.5,22054.1,4189.58,6852.69,2.74954
1016630,2623.02,449053,200.935,26531.5,12946,29093.6,64829.1,-1012.29,18441.8,2.78573
575756,1990.19,245999,8358.73,22523.4,16129.9,17014,48239.5,7982.41,10295.8,2.84531
844053,2627.34,930750,10172.4,76268,26931,66425.7,140459,15542.7,17473.1,2.84663
