FSC-A,FSC-Width,SSC-A,HA,pAKT,pERK,GADPH,p38,pS6,pCREB,Time
535966,1708.21,294080,-351.02,18255.8,6961.01,16903.9,14988.7,10397,6250.37,0.175933
613621,2316.23,340246,-7639.25,11758.2,9237.18,12148.9,23701.7,2196.49,6866.98,0.245684
1224080,3555.39,640404,-27298,45811.7,32038.7,29392.4,20428.7,-13253,23645.6,0.246324
1033840,2626.19,520091,2309.27,31939.7,11520,23768.9,40577.8,853.434,10325.6,0.246344
638392,2153.37,241936,11929.6,43177.9,13768.4,20927.6,62061.4,3834.77,9530.46,0.246364
830747,2645.69,414432,-1318.38,29272.6,17954.7,24877.7,43746.9,2581.99,21212.7,0.293392
457865,1833.41,286245,-922.505,17601.1,8457.84,16628.7,31843.6,-465.617,10702.9,0.294252
336277,1282.85,133118,3001.56,11005.9,5152.42,8507.54,32763.2,5031.35,2722.51,0.304094
1020800,2967.3,507484,7857.22,50445.1,20938.6,37223.9,65462.5,19613.8,45698.8,0.325658
680428,2382.63,173449,-1145.53,18496.9,11096.5,12240.6,21585.1,2030.65,4900.79,0.33924
792065,2265.87,288652,-18537.6,35325.1,31471.1,24047.9,39550.1,1768.95,27657.2,0.33992
734043,2165.27,374492,6028.36,20161,15542.9,25959.5,40983.4,-594.168,17597.5,0.359163
1245370,2648.53,4960260,8526.47,32451.4,-2436.6,6841.85,-7915.09,12260.9,20706.5,0.373046
1133670,2831.03,674380,3764.08,32431.8,8251.06,21961.3,76074.3,-1222.91,16204.7,0.378947
1864000,3620.12,2722460,8154.2,45872.4,-2234.66,9506.43,-11741.5,17806.5,15929.1,0.386708
574295,2005.28,422782,-13896,10410.9,14163,19026.1,19407,-2216.48,8611,0.390268
520624,1660.43,257746,1727.87,15136.9,12465.6,17219.3,36925.4,372.766,7252.62,0.420634
348523,1383.62,153953,354.436,2232.73,3843.27,2436.16,2663.77,-1448.58,1839.38,0.421174
858179,2528.24,310028,4298.6,25089.2,5960.72,23659,46830.3,-183.317,14354.2,0.421294
644743,2310.32,314228,-4809.37,6099.32,7558.15,14486.4,4820.97,-2242.01,7205.84,0.45764
383750,1417.93,153512,-1082.06,2681.42,2520.37,5340.65,1103.92,-606.283,2884.4,0.45838
289392,1189.04,99115.1,353.659,6891.07,4211.05,7014.18,23978.3,-451.06,2823.53,0.465781
