FSC-A,FSC-Width,SSC-A,HA,pAKT,pERK,GADPH,p38,pS6,pCREB,Time
903168,2187.84,3302970,6339.37,21428.7,-1970.1,4303.13,-5809.84,7848.62,17149,3.18757
321575,1304.27,123100,179457,9847.55,7939.33,18391.6,18976.8,2499.42,13699.9,3.30856
263193,1076.17,916715,1021.29,6306.08,-344.953,966.385,-1393.4,1779.17,4623.94,3.78575
251907,579.542,-982.5,-209.885,-170.311,147.876,-36.385,-85.7393,-186.751,-477.707,4.29885
1002790,3513.55,398681,35587.1,65796.8,33861.8,56409.1,143636,33084,43075.3,4.54846
847157,3259.77,366225,1108060,70293,-9166.54,72858.2,127533,15191.8,1501.34,4.56407
424400,1576.27,158121,-920.887,13628.9,6306.99,12542.6,12771.5,-2491.65,7172.96,4.5849
552926,2194.49,233093,30119,31837.8,63649.7,64848.2,74999.9,19180.5,38288,4.58537
878118,2232.62,496976,13833.7,23195.4,12673.9,41142.7,37834.6,4412.32,14174,4.60057
790021,2219.69,347402,8089.66,22381.3,20684.3,19095.1,69380.4,1191.74,20431.1,4.61277
409783,1477.28,241365,2374.63,7160.27,4636.52,10599.8,6135.96,-2143.58,4074.83,4.61341
638451,2104.27,413142,10850.1,13800.7,9849.08,13495,17215.2,1208.39,16539.4,4.62961
717067,2593.22,291777,26327.3,33630.4,26045,34583.7,76113.5,2750.1,24893.9,4.63194
746439,2279.69,335894,5224.88,17127,12630.6,20062.8,35348.2,5299.85,12617.2,4.63335
604741,2335.05,247454,487098,25195.8,12714,32338.1,68258.1,19350.1,20282,4.63458
302157,1235.89,100453,-1717.68,7572.49,4370.59,12992.4,14650.9,-754.858,6209.37,4.63961
685787,2225.79,289622,16717.7,32076.4,30308.9,35057.3,60938.6,5872.88,21911.4,4.64735
450822,1548.84,191308,113387,15410.6,10694.4,29311.6,38754.4,12610.5,8890.44,4.64754
753410,2083.49,251007,122520,19544.1,6522.08,30794.9,36330.6,6047.7,11712.5,4.65056
399955,1523.95,102042,3368.13,8901.81,1915.49,6001.55,17388.7,1269.37,2682.73,4.66383
1311950,3058.83,847743,4830.44,33008.5,-1276.09,5270.68,-5486.14,9120.96,4153.31,4.6758
344015,1367.13,89034.8,8778.11,14079.4,12413.3,14034.5,31220.6,40200.2,10449.7,4.67703
435229,1544.13,208934,9069.31,24700.2,17086.2,12878.8,25211.9,4749.06,11693.8,4.70284
448551,1681.78,125851,42770.3,8247.73,5393.09,19100,24167.1,-265.945,9715.93,4.73033
548173,1896.94,127890,12764,15628,12014.1,15732.6,41809.5,2890.07,11313.6,4.75285
773234,2058.87,728807,-29846.9,39285,22711.5,60448.9,8189.17,-14494.1,19858.4,4.84569
405253,1385.15,63961.2,61751,6549.5,1545.93,8365.05,19989.6,5381.48,11062.4,4.85452
630821,2005.29,277010,-7686.88,17690.2,39870.5,22292.1,24778.8,14842.9,15663.2,4.86543
267917,1081.09,64920.8,3903.34,5229.59,4239.6,10138.1,16718.5,2962.03,3707.35,4.88599
