FSC-A,FSC-Width,SSC-A,HA,pAKT,pERK,GADPH,p38,pS6,pCREB,Time
5248700,9143.08,36559800,125676,-13329.9,-28583.4,79925.7,-104583,158935,398901,1.12392
431160,1545.68,148110,415285,9120.58,6560.34,9463.46,16050.5,3169,4596.45,1.90521
580733,1758.3,434790,51185.7,25670.5,16913.1,16316,39778.1,-5735.57,13347.6,2.02791
437394,1671.58,175200,28728.1,11061.3,4675.27,7208.97,10483,344.109,4825.6,2.24775
704584,2158.09,245345,309583,11575.1,9407.57,14149.7,27171.3,679.058,11794.8,2.26794
304046,1223.02,100128,12774.8,8510.74,7706.28,5930.58,13671.4,1021.87,5222.48,2.4316
1127210,4106.04,403767,16205.6,23953.1,15956.6,23009.1,44643.8,5733.74,13436.7,2.46145
498568,1907.03,193107,11720,13775.2,8592.66,11428,20307.3,-1427.87,4052.02,2.57974
806571,2150.27,552947,79462.9,21431.1,10640.9,14937,7651.72,-741.586,8203.18,2.6569
444197,1587.75,113157,23369.4,9565.94,10975.4,13174.9,24418,4763.23,8779.91,2.70106
377547,1547.27,86186.4,20174.1,9794.59,16817.4,13790.6,51867.6,20621.5,28881.3,2.71942
1051570,2458.02,343752,10768,29929.8,16972.1,32341.5,61763.4,865.496,15423.7,2.77466
560090,1777.18,212119,27674,26975.9,18803.1,20419.4,73994.9,9158.39,27057.7,2.80103
446212,1672.72,140635,15209,15018.6,5161.24,14518.6,37177.6,4487.97,11197.4,3.63827
1466910,2903.69,4383590,12389.1,28789.7,-2508.2,6105.05,-7704.52,12328.5,22636.5,5.89614
6458060,11184.6,48029700,127291,23954.8,-31602.7,100620,-132117,213070,426787,6.00717
627242,2174.62,216420,649210,21956.5,11716.9,15252.7,32563.6,-946.155,13265.4,7.49185
610853,2011.92,315373,18080.1,8984.23,24700.6,18232.1,22592.5,34428.4,15086.4,7.64965
531836,1986.83,192993,1372800,5103.43,35014.1,15363.5,21348.1,-2822.23,2974.36,7.86639
584774,2039.93,166891,84429.8,11133.4,5160.82,10500.2,17540.3,-282.765,5809.47,7.89056
600528,1836.56,226181,11058.6,15466.4,14122.7,14895.8,49887.7,4767.19,17589.6,7.92324
349543,1350.12,70474.2,14219.7,9034.98,5322.84,4717.47,17480.9,826.701,5988.03,7.93624
753132,2449.02,256835,11384.4,15812.1,12381.3,8119.82,31739.4,1151.32,12422.4,7.93688
370472,1470.94,188852,24779.5,21843.9,10332.7,14141.6,40055.4,2815.13,10354.6,7.99535
491330,1987.87,109600,29720.4,20317.9,10844.5,13941.5,52324.1,5390.06,10766.1,8.01576
446277,1622.87,110737,11201.8,17415.7,7101.04,14247.8,41248.4,2029.11,10039.2,8.03758
637694,1829.05,230212,34705.5,6770.57,2153.17,7561.81,14245.3,2803.56,3170.45,8.06693
433252,1499.87,106371,171252,9702.96,5323.52,9456.91,12194.6,3480.15,10495,8.07701
1141600,3663.19,327944,47829.6,29040.6,19403.1,26105.8,84321.8,4702.37,27948.1,8.29832
387994,1368.32,97298.2,53444.1,5883.01,7004.26,5209.16,9859.79,-1882.05,5487.1,8.47624
1374410,4377.31,428404,26168.6,25807.1,54179.8,35231.1,108269,-384.357,38343.3,8.56531
1147640,3250.87,390425,26504.2,21920.5,18749.6,25890.6,71705,4298.61,21430.1,8.57486
672220,2362.1,293289,393754,15180.5,7649.84,15327,11214.2,1408.55,10978.9,9.2806
379741,1367.82,116516,56092.4,16321.9,6232.83,11996.5,42042.2,4652.8,12865.6,9.30127
1017620,2411.91,1895010,24970.3,21232.2,534.754,7514.94,7267.84,7253.94,21160.2,9.31908
442818,1584.94,76958,11996.2,13327.3,12095,16946.1,27640.3,4085.66,14147.1,9.37108
701055,1963.7,350790,10251,10783.1,14267.5,38675.4,27606.6,17712,7094.2,9.57195
330650,1239.44,116449,15236.5,4358.25,8562.96,8803.38,13397.3,-641.071,3996.26,9.63549
1293130,3369.71,1817450,34793,27792.9,5046.85,20664,17503.7,13322.2,23445.5,9.71203
1049900,2941.93,299148,40260.4,21084.9,18287.4,17240.7,47962,4365.74,26087.1,9.72708
753086,2630.94,266050,27570.4,22552.9,39987,57192,115728,8436.29,51301.4,9.88276
451615,1602.58,130699,15479.6,21370.8,7811.94,13615.5,33308.1,1736.96,8484.3,9.9135
515397,1776.27,222939,10070.7,7132.74,7038.48,11484.7,21390,3745.82,12066.7,9.96121
820820,2681.87,212050,58744.6,24816.6,16781.6,15935.5,37649.8,14958,14099.1,9.9928
523745,2104.12,155483,16444.5,10730.1,1803.86,10861.8,54655.1,4757.9,20835.4,10.4739
435358,1650.6,142656,98679.7,13685.8,2742.81,8780.39,15872.3,718.774,2539.5,10.4744
862850,2712.76,487280,19946.3,28003.3,8446.92,15327.2,32886.1,4420.57,8587.47,10.5785
1005740,2269.29,2673990,11178.3,21718.5,-1581.02,4760.29,-5166.33,7810.39,12959.3,10.5941
