FSC-A,FSC-Width,SSC-A,HA,pAKT,pERK,GADPH,p38,pS6,pCREB,Time
882058,2632.39,439245,154667,28351,10167.3,17693.9,53977.7,13042.4,13137.7,0.598193
1544590,4238.66,19233700,18706,546.127,-3434.8,21986.9,-26537.7,37687.8,46670.2,1.15053
353047,1333.11,80111.6,27356.2,5412.14,5278.57,6865.16,12018.8,931.329,4563.28,1.42636
416804,1605.31,200883,1494110,12283.2,17737.3,9484.66,21574.2,2043.58,5304.01,1.79121
505508,1741.2,190964,117830,17634.5,15920.6,17990,34759.5,-2710.59,14602.1,2.69066
788857,3057.49,174697,38498.3,27736.5,10753,22107.8,145197,8630.02,16672.3,2.7228
816881,2700.29,395307,132212,28271.1,32505.7,20564.8,95848.1,-1208.95,41970.7,2.74504
335801,1293.52,107617,96688,6375.87,1161.66,3291.04,3276.14,4579.81,3287.46,2.85902
389640,1527.95,229267,104330,4036.28,7953.53,5529.97,24473.2,-4120.43,12586.6,2.90742
414529,1572.04,199729,46722.6,20000.2,18654.1,24217.7,64667.3,17027.6,13217.2,2.90744
769499,1923.26,481706,64712.9,29497.3,18443.8,29338.9,42723.8,-2711.19,15781.4,3.03609
566798,1884.71,222575,43233.2,22694.6,15994.7,9393.36,59836.9,3233.25,10765.8,3.05585
663996,2103.33,330440,95944.8,25723,19141.8,23845.8,31823.4,-2586.99,12562.8,3.15093
465610,1835.65,125351,112171,9873.7,3647.53,7908.51,22862.5,578.252,9479.97,3.19655
568591,1840.84,343018,294989,19715.8,8226.54,13942.4,33206.2,18162.7,7211.87,3.20119
425047,1482.93,232698,44145.9,12642.2,5757.51,11621.8,15548.9,-1515.29,6907.84,3.247
355682,1419.75,183878,27565.1,14041.5,14668.4,11877.8,35656.5,11441.9,10248.9,3.30364
545468,1929.63,177136,80757,10214.3,4408.87,8245.39,15177.7,626.437,4541.31,3.48764
776667,2309.41,310663,33663.9,24755.1,14650.5,22392.4,58193,1986.06,22062.4,3.49524
551046,1961.29,244501,966101,8137.29,5393.05,5859.72,8849.6,7324.7,4357.37,3.52064
878650,2240.38,298482,13002.4,20009.2,16890.9,18612.4,65899.2,4714.52,13049.8,3.52624
682337,2060.52,314239,307612,27470.6,27237.6,12226.5,39203.4,-2855.11,20762.4,3.53564
752010,1999.11,280291,171240,14481.2,10015.3,9899.21,12708.7,-1216.47,9240.18,3.84235
403339,1568.55,149498,182067,4674.52,5721.27,11135.8,6103.26,-1210.47,2830.31,4.08722
365353,1435.97,128089,140722,9647.62,10783.2,6173.59,13999.9,88.9924,5661.11,4.52429
1446630,2947.37,5185480,10681.4,21525.7,-2490.38,8456.85,-9971.98,16758.1,29024.7,4.5291
807367,2233.57,377294,15029.1,23140.3,11387.3,10367.5,10749.6,-458.197,10299.3,4.68254
414460,1433.11,147584,82130.2,13203.7,3499.89,6784.35,12418.5,2474.13,4367.46,4.80296
611880,1824.33,248080,32326.9,14707.4,5843.17,15071,36409.5,-97.2216,7067.53,5.64281
620819,1937.6,171216,13951.8,14745.1,4168.56,9453.62,34511.5,3934.85,6310.93,5.70477
399802,1514.67,99933.3,10976.3,10565.7,9001.62,10639.9,17719.5,15400.4,8698.08,5.71151
901965,2726.25,287836,98405.4,26083.7,17954.4,28281.4,105098,21663.3,21271.2,5.76457
404444,1598.05,130122,321351,25410.6,2052.44,12108.3,38149.5,3485.21,9347.35,5.908
831224,2202.83,287676,21420.8,15651.7,7151.29,17065.1,30919.6,1172.41,9318.35,6.23217
371283,1425.65,152086,45318.4,12834,6544.43,9737.99,25483.1,2350.16,3612.37,6.28979
1017660,2971.41,317423,11610.7,24909.1,19775.7,21807.2,61706.6,5275.24,22093.8,6.35187
663972,2235.71,762475,87713.9,21216.8,8902.84,20551.1,20494.6,-3104.85,9654.03,6.6449
386642,1478.29,122316,89324,11255,14935.8,9509.03,35436.7,-4429.17,21098.9,6.64996
674790,2113.31,285131,10672.1,16334.4,7416.33,14330.9,18068.3,3638.76,6484.39,8.25095
447082,1588.65,161225,96333.4,19089.4,11622.3,14006.3,49096.5,2356.15,8844.3,8.32907
723894,2223.3,295288,26751.3,16194,10183.5,13298.9,27887.9,4518.52,11243.7,8.34491
656716,2500.95,318643,23477.8,17355.4,11013.7,13724.7,22611.5,-1253.44,6438.33,8.34543
521840,1938.35,153082,48350.1,28455.7,9408.75,13812.1,46122.1,3579.07,8329.25,8.34705
504538,1827.21,126960,15334.5,7718.04,2362.62,6875.56,6943.68,1903.47,3465.88,8.35306
630398,2198.66,220008,11554.2,23002.7,32313.7,16088.1,36180.7,2151.21,15161.6,8.37144
487249,1798.02,120254,43472.2,12754.6,23265.5,13448.3,36947.4,-405.496,14603.3,8.38386
372498,1460.01,113993,129087,13050.4,16531.5,14826.7,37959.1,21244.7,19316.8,8.3905
384943,1555.96,130417,202490,13620.5,9327.11,16210.1,46152.1,9037.45,9926.9,8.391
381262,1496.75,120554,490337,13887.4,13704.3,11996,27842.7,38009,15889.6,8.39604
457441,1679.16,155890,65394.5,7086.48,3368.26,6333.82,7889.52,1816.12,5070.15,8.413
447772,1543,99327.6,514231,8208.53,486.928,6303.23,13548.5,3882.78,5368.63,8.41932
699508,2441.36,291862,18692.4,25866.5,21814.9,19930.3,86092.3,-983.913,16651.9,8.43054
378627,1380.67,130173,11196.3,21009.1,17638.2,16736.1,54356.3,45620.5,24282.4,8.45322
425798,1691.09,70920.8,11932.9,2823.06,1234.22,12851.5,4718.79,-1066.71,1214.49,8.46572
450493,1797.2,84738,25784.9,14536.7,10755.6,13958.3,41470.2,12113.4,24297,8.4665
789096,2548.55,244234,52070.7,23870,13601.2,20301.5,39849.5,2451.43,11483.8,8.46714
400672,1604.09,88301.6,17077.2,4854.1,3522.05,3936.16,6735.86,-708.532,1932.19,8.47168
472399,1665.39,113276,28562,8904.56,1973.02,14227.3,14384,2107.71,7178.54,8.50902
871593,3518.7,450791,64213.3,28812.4,14374,27908,79512.8,-238.072,19328.6,8.51618
531987,1694.6,161470,14477.3,14188,14485.2,13853.9,22604.4,-164.474,11628.6,8.53612
525808,1816.21,181414,13451.2,13091.1,6791.54,15343.7,22745,1841.83,10069.2,8.57284
860084,2601.88,225335,25120.4,29996.7,23884.2,27072.7,62444.5,2232.14,33418,8.60848
432934,1683.03,105651,24700,9505.63,9426.63,10277.1,31939.5,6140.9,6016.61,8.69108
830429,2446.2,375420,510441,22535.2,9462.29,30051.9,42493.8,27441.3,11546.3,8.71479
395252,1466.1,126964,63212.9,9336.64,8331.58,7421.08,23766.8,1825.41,4394.54,8.85265
395035,1464.36,100964,15575.8,5368.38,9791.56,9930.35,20106.4,-1157.31,10807,8.88897
628566,2458.78,150773,127248,18921.5,10322.1,16702.7,52048.7,6747.53,7443.63,8.93775
431831,1430.42,124974,473979,8352.59,6077.36,13420.3,11138,385.233,6286,8.95927
519777,1916.28,195716,27537.3,14345.1,6887.9,12076,9775.08,9923.09,8224.34,9.13208
691600,1929.53,217994,19390,17411.8,15987.9,25183,39068,13698,11867.2,9.33459
761068,2675.11,208639,122450,9505.07,3543.15,23125.9,12022.9,1531.71,5101.6,9.54845
512080,1678.22,172826,190197,11799.5,3916.74,11862.5,12686.7,-4460.07,4138.38,9.64954
627039,2052.13,293410,12007.7,25455.6,17335.2,36661,59331.3,18840.2,30972.6,9.95312
456840,1697.25,172503,270718,16714.8,12324,15578.5,24851.5,-6243.07,7639.85,10.3742
1017640,2334.29,3771720,12279.2,19951,-1702.42,4141.61,-3992.42,7824.99,17036.4,10.9426
499009,1790.02,122490,101049,11284.4,1213.45,9350.12,21096.8,738.342,2761.35,11.0351
578683,1866.95,247753,208414,17794.2,11293.3,16264.7,46147.9,3670.78,10194,11.0454
606475,2317.14,122883,57119.5,9409.44,19027.1,13992.7,21925.5,-3930.7,14477.2,11.1331
683174,2566.36,209397,19788.4,23075.8,20268.9,19135.9,88274.7,6045.95,20916.2,11.1892
743787,2194.97,220679,24768.8,22104.9,29539.2,26497.7,76107.9,28369.8,21672.3,12.7746
