FSC-A,FSC-Width,SSC-A,HA,pAKT,pERK,GADPH,p38,pS6,pCREB,Time
5291680,9317.49,45182900,136048,14598.8,-29723.8,87786.5,-115642,182826,380275,0.15747
5571460,9790.72,47861700,135069,-25732,-31729.9,92423.6,-121156,193787,437036,0.686738
351230,1349.59,102315,14390.4,20826.7,17291,19301.8,34707.9,14952.6,14023.5,1.25057
785642,3188.6,193508,13907.2,27612.4,7219.4,20564.9,76471.4,2632.89,11220.7,1.57519
467038,1856.89,114191,11464.4,16409.3,4325.45,10533.1,45343,4640.98,5295.13,5.17011
668027,2450.42,197613,12885.9,22930.6,11146.4,17317.8,55132.5,5468.27,15938.8,5.54447
749362,2155.95,198280,12101.9,21563,17278.1,16546.7,54630.6,2784.96,15139.3,6.22942
332241,1309.28,81799,16551.8,9991.38,17187.1,8229.97,21369.1,525.795,8870.97,6.22994
609743,2089,279278,12040.3,24372.5,16150.6,15510.5,45307,16526,24441.7,6.79682
598588,2273.63,311096,10381.2,24940.6,5768.35,17490.2,51819.8,3178.56,9629.81,6.85575
369142,1465.12,173461,11346.6,19797.8,11895.9,21086.3,53922.3,9635.3,13969.3,6.98433
388268,1588.01,203160,10694.7,18116.4,10318.6,13111.6,46174.8,3325.19,6964.02,7.65416
799061,2416.76,275733,15395.2,25357.9,15849.4,25627.2,51189,7835.57,15118.6,7.82707
485442,1897.18,221629,10131.9,18846.6,3762.25,18217,21602.2,4741.62,13182,8.49254
484248,1888.6,175225,12062.2,20447.6,7503.02,13934.7,48773.5,4516.29,12231.5,8.62098
581419,1667.78,128958,13223.7,19924,11189.8,15419.1,47801.9,2149.56,12468.5,9.18534
784788,2502.12,217001,12300.5,28332.5,9442.27,25762,54682.4,27801.6,14954.2,9.819
500972,1651.37,195720,20218.6,22456.8,11094.3,15327.5,43595.8,4209.78,8009.51,10.0506
1006050,3376.63,405633,19724.1,28801.1,7889.86,33152.9,91315.2,16398.4,12324.3,10.0506
631364,2077.07,183734,16124.8,28962.8,9594.34,18132.1,58609.1,13282.2,12486.4,10.0508
890800,3554.2,194194,14991.6,19179.3,3754.86,18379.9,45721.9,-367.397,14475.4,10.0739
517063,1949.46,322548,14825.2,25332.9,10251.7,21951.2,67317.5,1700.11,12348.7,10.593
419239,1709.98,103523,10592,17503.3,10260.3,15275.1,52408.1,32971.2,5485.27,13.2162
844720,2701.55,223247,17180.9,27870.9,15637.5,22889.3,60083.3,9785.02,15416.9,13.2185
1124570,2778.44,332536,15503.8,23915.9,11012.5,36200.6,104231,27841.6,30237.1,13.2185
720029,2539.15,168167,14326.3,25396.9,12441.6,22674.3,61554,1799.4,13403.3,13.2361
416908,1464.84,125470,11634,20167.2,7788.49,15230.7,35773.6,2849.39,8278.02,13.2433
736528,2913.24,221853,16131.4,20225,9805.54,12428.5,45291.4,3890.17,12136.2,13.2492
843307,2844.05,405391,15049.5,29983.6,18995,33763.7,91081,2196.72,19829.1,13.2759
716518,2275.34,278563,11078.6,28186.8,26639.4,27045.7,60119.2,13711.3,18275.9,13.2825
754096,2789.23,160310,19146.4,27942.1,15988.4,20971.2,46100.5,8415.14,14515,13.286
1054470,3107.45,311599,15682,22748.8,16735.6,25834.1,35834.6,1104.13,8144.67,13.2911
768159,2428.54,161315,14248.1,22376.1,17086.2,21070.6,66132.4,18062.7,17990.5,13.3431
537682,2120.51,152395,10970.9,16766.3,9571.33,15256.7,44672.1,4020.28,12931.5,13.3684
784500,2702.04,347279,10252.5,26679.1,5988.81,19278.7,48299.3,4985.1,13289,13.4675
799674,2385.92,208224,10042.2,20604.3,10838,28539.9,61484.2,20610.1,9979.33,13.8618
664331,2681.71,181344,13678.3,20270.8,7347.7,17803.6,58849.1,6040.41,13653,13.8993
498672,1604.94,153643,10436.6,23404.9,13858.9,11226.1,51495.9,3639.22,6841.71,13.9372
638844,2502.97,189586,10142.7,18662.7,13714.9,12036.8,29014,5982.63,8005.6,13.9641
792264,2839.34,264822,18603.9,19247,3350.59,22975.6,88095.1,104148,20379.9,14.039
421908,1645.41,162177,10237.6,13793.8,29265,11035,16853.9,-4336.31,9190.26,14.149
805752,3204.98,203682,15268.6,19363.3,16779.7,12848.2,40446.2,4617.01,15026.8,14.1716
1391040,3739.81,378392,19257.6,25700.1,6913.46,38040.3,93051.4,11411.9,15011,14.177
1063790,3321.68,385770,16705.2,28370.5,12225.2,32487.3,77615.8,4219.86,17740.7,14.4798
581298,2251.18,135511,10506.6,16608.5,12469.4,9832.76,27530.8,13019.1,11384.9,14.6247
790178,2755.71,265713,10077,28010.7,6944.67,12592.4,69941.8,3163.1,15307,14.6508
655070,2374.92,149950,12256.5,29516.7,1730.67,21065.3,53537.6,9239.65,6258.63,14.6868
711045,2670.43,221062,18631.2,21004,4979.39,16878.1,58530.3,5551.43,12923.9,15.1667
943997,2909.01,295444,17520.8,24822.7,16501.2,23379.2,74216.4,3992.64,16541.2,15.1972
589111,2320.91,131071,13021.9,21198.8,4884.42,17066.6,51235.6,46069.7,9830.91,15.215
452824,1735.58,171945,10282,14575.3,7145.78,17956.9,56566.4,602.245,11787.5,15.5155
430277,1713.13,110032,11713.1,6761.63,12521.7,6381.42,30862,-3320.25,10060,16.0856
655609,2507.63,115611,10142.8,10647.9,4803.16,8339.8,47446.8,-1972.06,8139.62,16.164
844121,2893.38,268700,15667,27382.9,16424.4,23189.6,77025.8,-320.38,25731.8,16.2118
952051,3624.49,280856,22906,21137.8,26401.4,30227.1,78037.4,14183.9,23074.5,16.5179
820098,2460.79,170080,19666.9,27071.4,6352.66,27989.4,77623.2,2581.75,14744.6,16.7348
832656,3175.14,290584,14766.2,26923.3,23381.9,32355.4,75435.4,15328.3,17289.9,16.7912
589938,2131.18,194353,10002.8,18416.4,11037.5,15571.9,57868.2,3692.82,10099.4,16.9425
1184960,3968.17,381042,10650.2,24393.4,28221.1,39161.5,51561.5,12208.2,17084.8,16.9613
728166,2729.37,186966,12847.6,26825.9,10845.3,21243.6,58654.6,4019.05,12417.9,17.029
640268,2381.91,200716,13360.8,20320.7,6288.83,14611.7,51939.4,2016.1,8863.06,17.1133
593538,2226.38,202732,12774.7,27745.6,11679.5,21528.4,52167.8,7852.73,10856.9,17.3692
710430,2634.8,258646,12485.4,26052,24454.6,17280.6,51494.9,3922.75,18178.6,17.4498
742179,2590.36,354646,12073.1,27128.4,22696,18005.7,64157.3,6098.72,8623.09,17.5381
685314,2238.33,270305,10584.3,21226.1,9812.81,18235.6,50923.2,3314.44,13606.3,17.8332
914007,3352.42,220493,13187.1,23098.4,4574.41,21246.5,64399.9,15283.4,10270.4,17.9408
1007030,3836.78,339670,12504.1,28876.4,25112.7,23593.4,57863.8,5643.79,17283.3,17.9809
684293,2806.81,158060,10977.2,22998.5,5751.19,14874.9,44485.5,7107.06,12496.5,18.9262
800892,2866.81,261071,14426.8,24167.5,3677.18,15701,60211,5640.11,18842.4,18.9574
389509,1540.27,155913,10604.4,16345.2,3203.8,26631.5,41790.9,4009.2,15923.1,18.9786
1347320,3465.14,446636,10332.4,20839,12153.2,55062.5,67975.3,5123.68,13822.5,19.1286
726615,2863.15,376732,16167.9,23134.5,11163.2,19361.7,78269.5,2259.71,13690.7,19.27
878190,3218.47,199998,11983.4,25574.2,10470.7,18540.2,53189.3,3478.86,9799.86,19.2859
559310,2196.87,142195,11764.6,21321.6,13003.8,15729.1,47405.4,4350.65,8828.72,19.4206
1079410,3123.69,685074,17362.7,26793.2,21835.9,23972.6,55035.1,1717.03,23760.6,19.5056
941974,3097.88,312169,11871.6,21888.9,8508.89,21366,59268.5,5732.99,12606.3,19.6907
554834,1921.66,163344,10670.3,17805.8,15283.9,14014.8,49868.5,3899.37,7955.61,19.7271
523603,1825.69,154644,10396.2,19135.7,4903.24,12576.3,34175.1,2423.89,6261.25,19.9669
568459,2132.8,126001,10093.1,19239.9,4956.15,16361.1,55209,14208.9,7104.62,20.0743
1223590,3292.12,398834,16785.7,22001.5,26043.7,40605,57044.4,13137.8,20603.4,20.1122
343432,1385.02,108360,10820.9,5948.79,15704.7,13260.9,21853.5,23649.8,4460.51,20.1392
453778,1576.47,188296,14222.3,14912,26118.6,22949.3,51389.4,39013.7,21531.4,20.3238
497530,1947.81,105335,12881.5,10768,8218.96,12317,24089.4,4581.9,9380.49,20.3271
762857,2901.11,169598,12095.3,16315.4,8701.17,12454.6,36130.5,2218.12,15538.8,20.5537
561420,2278,111107,10286.6,13375.8,4969.17,20775.7,39544.4,58333.9,12947.5,20.6139
691710,2728.72,189325,13874.4,11747.4,8691.51,13638.9,36842.7,-1462.09,12937.8,20.8379
603176,2056.26,320191,11461.4,28360,14796.6,26951.7,64246.8,5520.47,13507.3,20.8479
740186,2462.29,168494,12123.3,24074.1,14110,16242.6,43439.8,2646.42,14172,21.199
824859,2329.75,330153,19144.1,23889.5,17930.8,29163.6,53772.3,12652.8,23940.5,21.3014
509886,1703.39,159320,13199.7,13784.1,7533.7,19188.2,39492.8,5205.15,16980.6,21.3167
415182,1665.73,197879,10894.4,29199,7057.08,20063.2,42847.7,13151.3,8349.73,21.3208
843592,2907.52,221680,11500.3,17562.6,13268.4,14416.3,46737.8,8909.87,16734.5,21.5605
