FSC-A,FSC-Width,SSC-A,HA,pAKT,pERK,GADPH,p38,pS6,pCREB,Time
889425,2662.89,381259,445602,27697.4,34412.2,59504.5,81048.4,11845.7,21476.1,1.49396
371077,1422.13,174561,34717.8,12981.9,8045.16,12998.4,36378.9,12730.4,2244.99,1.59535
273020,1122.02,98765.9,55582.4,9362.14,10106.9,7733.59,23029.2,-167.364,7291.34,1.59549
375228,1419.43,152202,15011.5,27322.5,6227.42,17344.1,28672.4,5362.62,4404.71,1.6167
333000,1302.53,158666,137710,9710.5,6170.66,9888.32,26378.8,3623.53,8100.51,1.67747
1088920,3103.23,558062,1145100,18992.8,9851.7,45848.1,69775.3,-230.827,18383.1,1.81197
527843,1735.83,229228,17704.1,15583.5,16620.9,12259.1,53722.8,4727.92,10037.7,1.90052
649516,2381.36,183719,18296.6,10219,25859.8,21634.5,49319.8,-496.928,24611.9,2.15
592641,2232.83,339614,81027.8,18119.6,20570.2,37579.2,40088.2,13278.6,24883.8,2.18312
425026,1610.33,204254,11958.5,20121.3,8935.15,25943.1,52487.7,4709.52,19484.9,2.20567
306759,1240.25,144656,12289.6,14213.3,9577.97,8860.4,30360.9,2186.29,7856.05,2.22766
691402,2123.05,234025,72179.3,26564.4,26423.8,25093.3,71811.1,2564.66,28286.5,2.23842
378612,1467.04,79496.4,13529.5,5928.37,4161.34,5778.18,6618.8,-799.262,3921.16,2.27392
506104,1811.36,363123,41294.6,9310.24,6166.87,29258.8,15413.5,-1837.34,5803.65,2.29957
651650,2342.75,132736,119210,13289,4696.89,45907.6,54601.5,7646.36,15540.9,2.31642
1365850,3873.46,495742,42435.9,19004.2,5289.44,25225.8,23584.8,520.838,11413.8,2.32396
385887,1324.79,96569.7,29608.1,5634.23,4815.28,7632.66,10229.5,-1069.72,3578.77,2.61057
422403,1566.95,82372.5,133881,10789.8,14828.3,15340.6,31221.6,14438.5,24659.4,2.61259
1012650,2501.05,620755,56519.4,22583.7,16212.6,17163.5,38047.6,-4213.11,12278.3,2.65639
429487,1498.02,135690,329287,3423.56,7839.34,8222.69,6789.61,-3804.6,3369.74,2.73761
322080,1288.16,89358.7,12531.9,2157.52,8371.54,6067.93,12154.2,-3741.97,7877.52,2.82335
384301,1446.22,192074,42687.4,2824.71,4418.64,10539.3,22227.7,-2115.16,13290.7,2.87808
346320,1370.55,272479,109408,17611.6,12216.9,13780.4,20074.2,10494.8,16235.3,3.17056
366855,1488.87,156164,14675.4,24680.9,13207.7,17596.9,58045.6,10859.6,19368.4,3.17086
483728,1764.27,214497,69639.2,10553.6,3520.19,8578.39,15437.6,1692.47,2315.02,3.21494
472165,1531.91,121350,13550.7,5640.82,22529.5,12582.1,27903.8,-218.832,30390.4,3.23495
1020470,3305.84,333172,1051080,22768.2,21709.1,33792.9,59359.7,12719.1,25229.7,3.25164
559654,1661.54,246074,98572,16429.3,10057.4,21583.2,51397.9,3542.62,6172.75,3.26237
490054,1965,112841,54650.2,5974.19,12658.8,21409.6,37399.3,5733.23,6731.78,3.2898
674822,1863.87,128498,18400.8,8313.71,8879.44,23485.7,35612.1,1546.53,18838.9,3.31055
587149,1809.31,323508,175668,7650.67,8934.96,10491.3,25672.8,7550.3,11301.7,3.32202
540939,1642.71,158640,15093.7,9043.34,10177.7,17485,13564.7,-3426.54,8880.45,3.32904
814509,2275.12,293722,29782.8,22456.9,22736.4,24656.4,46101,5239.62,20791.2,3.38037
766763,2826.94,251329,21004.2,17848.1,22458,27271.9,43370.6,-1204.81,9132.39,3.4482
1032180,2608.84,487516,516441,15078,6660.24,44743.5,38508.3,150.299,4516.37,3.80465
796579,2326.2,242352,34388.5,11301.3,7938.48,24747.8,32526.3,497.14,12418.6,3.83355
674760,1836.67,312909,21309,19576.1,13883.6,20298.5,46201.3,8158,6839.03,3.90897
1295590,3595.67,478723,2941000,11634.3,26984.9,29594.1,54014.4,19975.1,8250.23,3.92109
990548,3076.91,342526,114063,27335.1,16306.7,41111.4,118750,9719.29,21675.1,3.99183
853881,2916.05,303208,13034.9,25750.7,7857.96,33503.8,81411.4,23.3446,20422.3,3.99537
366829,1418.12,112806,56280.4,505.738,9824.83,4637.62,11038.3,-1744.28,13953.1,3.99875
603431,1698.87,176351,280190,11027.4,4768.97,15726.1,21006.1,13193.6,13217,4.02666
529344,1789.55,159581,24221.2,9958.79,12023.2,9414.33,17470,-2434.1,5658.43,4.03501
411657,1609.6,61648,10568.6,5287.08,3724.3,14650.4,15246.5,596.696,3239.24,4.03849
429021,1559.81,74674.9,95993.2,2579.21,2516.92,8800.82,22889.8,-424.152,9927.58,4.09826
383127,1512.04,150106,15122.8,6706.49,3787.48,6389.42,9965.09,4962.18,3872.29,4.16007
1017210,3399.39,264780,46902.4,24878.2,11459.5,16118.8,56474,6933.56,10205.7,4.16047
355770,1446.13,117659,168432,25646.1,4839.26,15703.4,32658.3,8915.2,2626.9,4.50422
479698,1900.91,136994,11502.6,9310.9,10346.2,16044.1,45306.4,-2195.87,9129.95,4.54114
918918,2626.48,571294,13310.3,19225.3,26350.2,19126.1,25368,-7436.63,67139.6,4.68951
293330,1157.05,73489.2,22282.4,2465.32,5339.72,6413.41,18521.3,7734.7,2290.01,4.69625
529502,1657.08,195286,18875.9,531.201,24471.6,66637.9,24074.9,17129.4,19262.5,4.70378
1226070,2928.7,4272150,15392.5,21415.4,-50.8495,6672.76,-5871.17,9520.85,21203.8,4.70834
688192,2106.02,297957,59070.4,17706.9,6444.54,14086,50946.7,5765.58,9268.08,4.79712
628776,2358.97,213729,37613.8,18197.5,19089.7,16278.7,70359.2,15683.5,10980.4,4.85837
737226,2078.48,294209,11228.5,24636,8712.47,24721.6,31775.2,2527.2,10898.6,4.96933
670191,2585.11,247942,39767.5,17925.5,13449.3,32081.2,42368.6,3153.24,13366.7,4.98269
524426,1992.48,187734,14462.7,21088.8,28765.4,24609.9,47313.8,6583.96,26689,5.06425
851282,2342.76,347833,41614.3,29838.1,26957.8,25833.9,80772.6,17490.3,33485.5,5.07376
637292,2253.84,253197,148190,23391.5,12731.7,18466.5,48698.4,5875.47,8458.98,5.12334
771175,2305.78,337901,23032.2,13188.1,1990.43,17935.5,34557.1,840.501,9281.49,5.12937
495292,1904.22,129726,191686,9440.14,3728.76,8602.76,27541.6,2966.42,9803.35,5.35114
662823,2433.63,173217,47786.2,9725.31,11345.5,14378.2,57131.1,2985.67,11435.6,5.49809
777081,2428.32,318380,913581,15976.2,15400.6,26247.2,88872.8,11734.7,11762.4,5.58283
463928,1751.13,225429,35349.1,14304.6,17918.4,14140.8,38929.4,-6399.34,18541.1,5.6745
330123,1326.46,73308.9,658208,-1541.55,1343.25,7908.82,15384.4,-4510.63,9116.52,5.72176
964543,2471.31,414260,17263.5,22528.7,19482.8,25348.8,45892.9,3342.2,20649.7,5.79608
387974,1496.61,89280.8,11115.5,5112.93,5456.88,6824.43,28311,306.544,7527.22,5.81202
315323,1267.35,77156.9,15833.6,4974.05,3014.81,11106.4,14814.1,-826.78,3611.23,6.03842
440258,1565.84,81442.9,13101.5,2023.57,2908.85,4960.96,9331.81,-1340.19,8429.31,6.07639
302182,1220.7,98349.4,281442,4426.53,15037.9,7138.9,12361.5,782.879,1367.42,6.212
403525,1607.62,140627,14406,11794.2,16426.9,22156.8,37718.9,1858.06,18856.4,6.23665
449963,1654.89,134849,42551.3,2737.51,2410.57,15559,7148.88,1916.5,3867.47,6.35761
552119,1710.92,182718,12342.8,11632.6,8558.81,18918.1,24451.8,1613.74,26698.6,7.04785
327739,1291.5,123829,69161.8,3309.79,9314.31,8889.56,14992.1,19.1724,4654.6,7.08657
760801,2256.89,214938,116474,11687.7,6401.46,22934,23121.7,5015.97,9855.48,7.25179
605046,1811.52,249701,29026.1,4352.8,2571.19,17801.7,9796.78,1695.68,4353.26,7.57453
1106660,2860.45,463810,577430,17627.3,-4156.86,23337.5,52790.9,76.5961,16680.8,7.64559
474489,1612.32,182080,14730.8,8626.32,11920.1,18629.5,20545.5,-2425.44,13224.6,7.66694
455741,1697.16,220528,144338,8983.56,11949.5,13325.9,35520,15291.1,11852.7,7.74748
329809,1303.03,80675.3,11149.7,3972.92,2982.91,9058.98,7118.02,-796.758,2724.27,7.77783
628673,1925.72,178975,91482.3,11805.3,1149.81,20160.8,19415.2,1628.16,7309.98,7.77805
715974,2384.03,252753,191776,19215.9,24084.3,24819.6,58248.9,5050.78,16340.2,7.8308
1712340,3615.15,3922040,22466.2,29490.1,8571.22,19624.8,19513.2,9121.39,39003.9,7.89395
380791,1542.78,76382.4,33056.3,10504,3078.22,7150.89,14176.3,1706.36,4508.11,7.99698
520235,2008.81,135259,10605.5,16236.9,8981.1,11945.1,37850.8,7599.35,7467,7.99712
488445,1960.52,176227,72029.9,8286.16,26980.2,25703.2,73536,3227.51,16636.8,8.0001
305268,1233.52,63637.9,22903.8,9596.89,17910.7,9148.2,19707.6,8806.94,16748.2,8.03676
560031,1598.88,210846,432306,14256.7,24437.5,10735.3,34768,-6620.24,11673,8.05567
452852,1673.26,244650,37777.2,17373.1,16058.6,18607.3,61816.9,43173.1,18474.3,8.05569
596611,1765.65,168849,10214,12991,6658.03,7822.18,25126.1,2225.5,21372.1,8.05749
562373,2088.36,221666,1524490,18293.4,-14545.8,11199.4,55560.8,16221,-307.035,8.09757
1224930,3263.96,645317,10220.5,25022.3,16043.6,30995.3,50601.6,-2434.73,19610.2,8.10589
897051,3545.11,261200,95451.2,29504.5,31395.3,25715.7,67584.2,5640.75,19212.1,8.10607
385946,1452.63,164884,21802.8,13154.2,1053.58,7523.06,11873,101.002,2559.01,8.1262
364232,1371.99,55977.1,53362.6,2945.06,7925.13,11718.2,27934.5,13290.7,17529.3,8.12852
322140,1238.4,73226.4,93985.8,557.729,8219.88,6789.46,20432.4,-3443.96,9375.89,8.13377
467316,1679.53,119214,36633.4,15940.6,8878.72,13439.1,41976.2,940.776,11868.2,8.13543
370057,1418.05,85690.5,23372,17084.2,4584.27,12216.7,33811.3,6890.23,1536.37,8.13545
1133360,2996.58,442124,1745400,14421.2,10758.6,19774.3,34041.9,6418.43,12205.5,8.13895
795778,2323.7,410105,21969.5,18761.4,14626,24681.1,74892,4307.78,11104.5,8.14649
350163,1387.9,111460,35168.3,14277.1,7488.91,13477.9,30407,14015.3,3929.43,8.14954
834388,2305.04,465443,28006.7,22223.3,7140.32,51009.5,54461,8924.63,5842.21,8.15496
397058,1589.82,109900,72282.3,8186.7,13245,12271.6,30639.6,-6247.84,10049.4,8.15982
798014,3223.69,234147,149964,27842.3,2892.98,30031.7,67227.9,41372.7,15723.7,8.1677
739788,2230.64,231798,28901.3,16312.3,17834,13904,70559.6,2339.09,14519.3,8.16982
382773,1310.02,92088.7,35932.1,9136.58,13845.4,14227.3,26215.4,14030.5,19757.7,8.17381
686899,1953.28,202321,36072.3,12263.7,19306.2,16109.9,37312,-1461.77,14231.3,8.17553
536170,1833.75,147308,16107.2,7491.3,3732.8,12699.1,16730.5,-1112.8,3608.72,8.18415
600780,2270.11,173890,30630.7,18020.1,18906.8,18639.2,56753.2,7181.8,15948.9,8.18431
877885,3201.13,213447,612748,17563.6,6034.28,21219.4,58458.1,2015.08,15840,8.23336
767031,2096.2,334832,87379.1,18916.3,11631.3,21163.4,60640.3,19574.2,17988.6,8.24504
484782,1877.06,112550,11984,10294.9,11906.4,19970,40564.1,22534.3,8132.69,8.27966
361018,1431.28,87544.2,40346.2,11751.3,5394.33,11087.7,22683.5,2448.7,2332.83,8.29701
363656,1432.2,108487,14752.6,12115.5,15735.7,9541.58,36133.5,4889.95,8937.77,8.30157
618176,2091.3,208800,10005.2,21080.2,20317.5,18598.1,50673.4,22978.9,23951.8,8.32298
339131,1327.93,71461.6,59462.4,6114.46,3348.16,6052.26,17767.5,4792.59,2471.53,8.34529
371150,1484.65,42274.8,10904.9,866.529,9937.37,8297.5,34848.9,-3129.45,14304.3,8.3708
378756,1363.77,113685,324079,4165.59,15047.8,8086.52,31455.7,3314.37,2187.41,8.38123
303488,1220.97,55285.2,22925.9,3363.75,4291.12,10530.8,10728.2,-921.396,3813.32,8.38811
428099,1515.35,259115,159736,8153.96,13610.2,12419.6,26536.2,-1770.67,9924.06,8.41845
410249,1568.13,93860.5,10474.3,4241.17,4628.88,9405.31,8381.42,4226.19,6392.43,8.43672
460091,1809.77,136841,11603.8,23124.4,13268.4,20809.5,47296.9,5447.03,11422.3,8.44904
514281,1755.83,149511,36558.8,9874.27,6434.05,8867.72,14600.2,1929.73,8192.03,8.49162
380289,1420.02,141565,12672.7,2888.4,4979.36,2869.51,2840.8,-1218.03,5296.92,8.50177
679348,2311.75,254683,16803,12297.3,9809.74,19796.6,59209,1783.71,14860.3,8.51898
279646,1136.63,56241.2,10341.6,1414,1771.74,4546.38,5835.45,-709.55,1414.65,8.5239
658820,2041.07,183640,40880.6,26327.9,8809.98,29577,53702.7,3481.34,11683.4,8.53416
498592,2040.21,175044,44197,23564.8,8202.39,17052.8,48459.8,4095.73,7190.3,8.54521
457841,1824.52,69983.1,20595.5,4319.82,512.668,15829.3,35336,1054.85,10638.4,8.58287
586792,1776.31,205480,197236,6851.49,7135.78,8776.12,22278.8,3153.27,7751.04,8.59017
524843,1920.3,244650,80873.9,24888,26667.5,27469.7,57486.2,24292.7,6978.74,8.59241
541794,1856.55,129111,20689.8,6900.08,17488.6,17039.9,39490.5,14000.7,22782.7,8.60432
574342,2228.02,161633,21733,22250.6,14342.7,23822.1,50923.1,3528.17,24237.3,8.60954
410630,1588.7,69356.1,14916.5,6207.38,11086.5,9680.49,21631.9,9297.79,11227.9,8.61044
393412,1547.58,128327,61123,3683,5548.1,7725.77,7686.05,-3271.33,7783.34,8.61108
