FSC-A,FSC-Width,SSC-A,HA,pAKT,pERK,GADPH,p38,pS6,pCREB,Time
1429375.65725124,4211.70725124142,389713.657251241,6.01514440405487,5.78324959991334,5.66966758386559,5.65725124141483,5.959658461006,5.53955666778902,5.71743753433702,8.31339124141483
545616.657251241,1677.90725124141,203271.657251241,6.11733084005435,5.67866736220016,5.60126210953779,5.65725124141483,5.79706180535706,5.58720276549399,5.65594654322939,8.78124124141483
981573.657251241,2744.59725124142,398374.657251241,6.36656803990231,5.66435055806854,5.59508142243459,5.65725124141483,5.734525253112,5.49076136161528,5.64886230862587,8.78385124141483
1054375.65725124,3405.73725124141,439280.657251241,5.77893752761371,5.73900342717567,5.6783100511623,5.65725124141483,6.10064006548668,5.50529575139253,5.76153649309064,9.59106124141483
995700.657251241,3276.42725124141,371645.657251241,6.63211561648412,5.605953910825,5.55143403061156,5.65725124141483,5.79783926788193,5.53147548853546,5.64175493015479,9.62818124141483
319781.657251241,1258.02725124141,109013.657251241,6.40891540815614,5.67507397492056,5.6078627041547,5.65725124141483,5.8333373855976,5.59228451850509,5.64881560002539,9.92197124141483
626917.657251241,2082.22725124142,483858.657251241,5.63317210822821,5.57179131784417,5.57968333091227,5.65725124141483,5.81253339062632,5.35159134473801,5.60895149874383,10.6184612414148
1115985.65725124,3960.18725124142,413535.657251241,5.6922156649334,5.64100856709436,5.60554605802779,5.65725124141483,5.760249021248,5.57190091975732,5.66654834937964,10.6201212414148
639295.657251241,1987.80725124141,290709.657251241,5.81930831285259,5.65620538606152,5.55351879745402,5.65725124141483,5.66876163565213,5.49888716954923,5.68236994999431,10.7206912414148
382276.657251241,1554.23725124141,230657.657251241,6.47932068376442,5.67391788057878,5.67391246787971,5.65725124141483,5.88088504405365,5.58406763618159,5.68074345909714,10.7872112414148
668480.657251241,2750.31725124141,290477.657251241,5.87533398193253,5.79431962713746,5.62808622853278,5.65725124141483,5.77820807122307,5.58000807643469,5.63118120228305,10.8578412414148
655486.657251241,2254.72725124142,98710.5572512414,5.93080577387196,5.61350884917666,5.59059929304164,5.65725124141483,5.73698322743617,5.54175343313016,5.58058328246183,10.8611812414148
403044.657251241,1546.72725124141,153209.657251241,5.85530175815121,5.65537464885321,5.68204872649607,5.65725124141483,5.93197518135477,5.61261442135817,5.67818499526483,10.8887612414148
1145255.65725124,3126.56725124141,355214.657251241,5.83701383814379,5.53568006692334,5.52337310129536,5.65725124141483,5.78449203111442,5.42686078149726,5.62177218516715,10.9471912414148
336693.657251241,1385.56725124141,148719.657251241,6.31398145959437,5.67977378732667,5.71646105760604,5.65725124141483,5.83928223461705,5.67857098056945,5.71171851599888,10.9592712414148
1051985.65725124,3484.36725124142,348443.657251241,5.94608965980399,5.63025182924912,5.60909034626162,5.65725124141483,5.8616536963144,5.40033188770977,5.6321942884344,10.9611612414148
500685.657251241,1718.84725124141,121742.657251241,5.99333073579488,5.64319576529775,5.72114406941112,5.65725124141483,5.93804815456749,5.81145691439426,5.73565171052112,10.9911512414148
337901.657251241,1393.18725124141,96553.9572512414,6.13339335115619,5.6506796780939,5.60339367625367,5.65725124141483,5.687748150561,5.66285125257083,5.66777407322306,11.0018912414148
1706395.65725124,4395.97725124141,745191.657251241,6.40346922564953,5.67231894342707,5.57088959267456,5.65725124141483,5.97438581395265,5.4571009349479,5.69454463411652,11.0020212414148
512920.657251241,1641.49725124141,151914.657251241,6.12924936559304,5.62770924745288,5.73440740850581,5.65725124141483,5.76400904245224,5.54460162191469,5.7322234447824,11.0557312414148
1290805.65725124,3206.15725124141,406731.657251241,5.6677511648449,5.51345125782331,5.47360077166387,5.65725124141483,5.74716389017312,5.35586168050332,5.45690730227335,11.0737412414148
662953.657251241,1959.49725124141,195743.657251241,6.68436299614063,5.65434159940446,5.61607326466254,5.65725124141483,5.8040840131066,5.56361673407243,5.64317159601089,11.1005512414148
936792.657251241,2900.59725124142,306262.657251241,5.73511491068789,5.68264484942365,5.63613490723549,5.65725124141483,5.86272467603997,5.53139002857041,5.70665467804438,11.1373312414148
553941.657251241,1854.85725124141,126325.657251241,6.67414670550442,5.61009300020929,5.72450079919169,5.65725124141483,5.77674680075112,5.52989126182897,5.71538891663505,11.1986912414148
471453.657251241,1762.53725124141,105509.657251241,6.57123207193991,5.61056770498742,5.69084048829604,5.65725124141483,5.73215502474502,5.52161059164846,5.67169193067484,11.2702112414148
396257.657251241,1602.23725124141,97742.3572512414,6.74836147019924,5.55345470908113,5.54696015341864,5.65725124141483,5.69381762930291,5.56882472803015,5.73311147793748,11.3560412414148
492339.657251241,1842.93725124141,188125.657251241,6.20131199837026,5.59768383368003,5.62398803993216,5.65725124141483,5.77623031873272,5.69928090217511,5.71380685072703,11.6240312414148
288480.657251241,1186.15725124141,79456.0572512414,6.40790788107434,5.58582175326387,5.56164447064813,5.65725124141483,5.62960281003842,5.55262354094763,5.61734788339456,12.0335912414148
628840.657251241,2321.80725124142,145603.657251241,5.9242245135618,5.70539866332827,5.64755181419847,5.65725124141483,5.89284290211703,5.59994828300022,5.64393542688208,12.0496812414148
743559.657251241,2073.55725124142,269390.657251241,6.40486955155997,5.60679975640324,5.54080744111006,5.65725124141483,5.77728469752467,5.55151737163286,5.58653730839156,12.0570612414148
