FSC-A,FSC-H,SSC-A,SSC-B-A,SSC-B-H,SSC-H,Comp-AF594-A,Comp-Alexa Fluor 647-A,Comp-Dylight 680-A,Comp-PE-Cy7-A,Comp-PerCP-eFluor 710-A,Comp-eFluor 450-A
1136170,597751,394452,2352660,1627620,254109,34984.4,3302.01,4170.78,-630.045,11193.3,27191.8
643982,410441,218651,1189400,821570,151075,10803.3,1709.64,1648.16,-245.253,5025.73,21034.8
484396,269254,302769,1889300,1038090,167769,5078.59,3436.27,1351.82,421.251,2004.57,25478.5
632696,358791,347089,2002820,1169200,207123,4925.3,12542.1,2631.13,395.711,3308.72,46824.2
538750,268522,272042,1839580,1016940,144450,6116.16,8622.73,2564.72,-195.121,4158.86,32438
760797,418209,281379,2174130,1405610,176453,6070.36,7260.58,3541.25,255.136,2482.31,26973.2
469684,284432,419085,2494170,1549360,257588,5308.04,8983.55,3236.16,258.367,4870.87,58460.4
1180530,609088,693068,3892820,1736050,309340,16583.6,4055.16,4539.63,172.836,4049.76,64421.5
1037170,375291,494057,2863820,1190600,216324,8406.74,7893.5,237630,-496.48,3191.95,24503.1
1214480,463090,837397,4194300,2397580,366545,21504.2,20121.3,182132,-1137.95,14480.5,46086.6
627642,352626,286425,1816080,1077020,169092,5069.34,6491.93,1715.17,62.797,3392.75,29347.6
512178,266621,296172,2041410,1180480,176282,2111.26,177.638,2038.13,57.6949,337.211,7104.65
395845,211515,186865,1136140,751817,121284,9061.37,8603.55,2119.71,-66.0355,8686.26,10648.6
608589,385577,146129,854546,588517,103052,5571.49,2235.76,1499.3,-96.7357,954.338,9818.5
325192,272258,180792,1116760,1004300,167271,101.684,-267.151,697.614,-194.041,230.157,358.592
708568,421492,431004,2637660,1546810,260017,1199.78,208.477,3352.63,81.2408,693.857,2786.05
660980,405957,260438,1677990,1082180,163132,6098.66,9958.99,2543.88,639.253,2820.8,23640.6
667982,357789,377608,2374370,1384000,220489,5052.31,8814.24,2523.41,252.099,3638.67,42436.3
588763,319315,253581,1546120,968042,158506,4341.79,8484.42,3738.71,-364.089,2751.48,32287.1
743506,381807,345533,2204300,1397600,218243,36915,37721.1,2239580,-65.1501,25486.6,19524.3
807791,338640,384842,2197670,1110920,183867,10607.5,12964,4278.94,38.8364,6199.16,47117.4
504832,366673,224799,1411580,1011040,169487,2000.54,136.937,647.083,16.7863,72.4452,1798.86
692966,305480,305088,1714760,1017750,175300,5835.84,12816.1,2097.05,-252.85,4716.68,57681.1
834181,441388,538423,3685470,2213150,321659,23955.8,7444.34,2871.09,362.164,9200.42,24299.2
476346,286830,176829,1300020,881189,116900,9581.47,1525.81,1495.66,459.838,3562.91,17782.1
1159230,545608,656683,4173100,1985170,306819,12901.2,20502.5,4946.54,-86.9277,12273.8,33962.8
512575,277160,349680,2392810,1343000,188128,5633.67,6568.61,2309.12,115.702,4980.94,26345.6
442985,230136,333982,1937800,1182590,204669,10651.1,6838.31,2268.32,76.1897,7468.29,14113.3
1183110,583321,486174,3271120,1672170,269122,11745.4,10507.2,3430.73,60.9065,7196.23,23361.4
1383080,607942,789980,4194300,2463520,365983,17632.4,18253.9,5840.43,-241.273,7823.12,85915.7
601384,356776,417453,3040550,1779420,246639,10571.6,2756.56,3198.32,-14.3664,4544.18,34142.3
552106,274587,366348,2502790,1762470,256616,21579.3,4630.55,8627.58,786.61,7764.59,23965.5
1700630,875513,906309,4194300,3487210,509384,36808.4,27931.3,7000.42,685.784,60031,61154.6
947384,580485,389149,2583510,1713470,258871,21297.3,13002,1055940,518.098,5965.14,18827.2
777305,437958,399197,2450880,1338520,216800,6188.96,7007.29,2521.02,-377.169,3502.38,39093.6
431521,264556,178418,1355920,943223,119987,3970.56,4405.97,1835.96,458.192,1654.49,7575.23
611942,356872,369245,2405870,1510350,228962,4496.71,5687.66,2398.59,-485.354,2673.88,33034.4
941255,524561,565474,3728260,2407000,353112,9751.16,5479.6,3973.76,374.747,7162.04,43751.8
585449,364735,249726,1400540,922931,168593,18421.6,1848.72,7945.57,-81.7337,5960.27,13053.3
918617,419319,452574,2643770,1451790,249093,11694.6,8171.5,3472.32,55.9458,7700.28,23566.4
742634,346357,312719,2299390,1069740,148929,6630.95,11041.6,2421.97,275.235,3150.06,35956.2
561782,276480,425384,2395240,1436460,255694,8109.24,7808.65,2684.44,-310.293,4581.05,46030
373598,191740,221678,1671880,846009,120277,2491.65,47.0257,2738.82,-386.042,1271.11,10187.2
1339100,549440,702351,4194300,1670070,255068,24517.5,11081.2,5189.4,-34.212,17787.8,59599.7
887630,313532,631823,3816960,1348170,239310,18738.8,14040,111922,-305.877,13751.9,40027
753536,373695,432832,2660940,1238300,200954,9013.93,9554.11,4464.98,-246.392,7903.85,23837.7
689794,419387,318066,1826680,1266370,219811,4577.87,4750.16,2804.35,436.973,2284.67,28518.9
570187,348730,320705,1777900,1095040,200210,9679.61,4550.69,19884,-6.64905,7929.31,17090.7
641212,391795,326678,2126420,1477100,228719,11303.9,3069.82,2127.15,-64.8832,5512.94,14072.3
958950,531481,467816,2728520,1642500,273130,9553.63,7536.54,2584.22,-112.656,3449.29,44990.1
639807,361482,259245,1787710,1030670,143170,15871.2,3546.21,1909.09,-161.604,5714.51,16936.4
639876,330638,297243,1933310,1171890,175344,7468.05,13330.6,2457.56,-730.981,11117.6,16941.2
974585,507992,495933,3369320,2163620,313234,12230.1,9833.48,3877.53,-165.989,6439.39,68056
647633,310104,360848,2128620,1369540,220034,11897.5,12069,8996.19,1040.28,7969.03,31468.6
729584,345125,368698,2372610,1090430,170471,8426.23,13892.2,2680.86,371.771,4016.74,57309.2
701269,407539,358454,2174670,1242740,212423,9112.48,10718.7,3686.81,131.064,6147.58,33230.2
1427250,623118,575084,3449990,1589320,256255,22518.1,21376.3,4301.72,600.198,30969.4,34008.4
807428,527623,375216,2086920,1548700,278588,6551.38,3007.01,26600.8,162.307,5438.42,10269.1
641846,387228,265889,1698400,1190640,190625,13492.9,3150.77,2044.59,443.041,4822.88,25458.4
1542880,784043,654792,3917840,2461260,386659,16982.3,7265.78,4941.06,-279.781,6629.36,48832.3
1028550,562448,394258,2090960,1059550,209254,6392.98,14262.2,3294.25,-174.136,3166.94,43829.5
1138490,578131,682143,3708250,1961560,368007,8218.71,12000.4,4765.05,-491.931,5868.96,45725.9
970808,547458,396924,2993070,1879310,246144,8749.56,9347.58,2396.26,404.003,3832.32,28288.5
535561,270184,246090,1309160,848575,161029,15034.3,5268.55,3385.91,-43.0342,6976.45,19981
1342050,768425,735007,4194300,2931310,386742,24364.4,7359.8,5338.28,405.639,9229.95,20596.6
972708,464010,363655,2173860,1337180,227186,8115.75,6056.6,100514,114.309,2182.15,14544.1
964043,370659,498211,3259290,1280940,194885,19934,27195.1,5638.62,518.359,15412.9,30472.6
856288,404955,375254,2570490,1442390,211623,17171.7,7362.02,3780.3,-390.982,6074.95,25595.1
608502,363016,225819,1584510,965068,133510,14758.4,4177.83,2213.57,-334.554,5293.38,28082.7
1159030,451211,419648,2457520,924305,160539,9632.92,11226.8,1219820,-2440.64,-725.892,23861.5
798305,424781,524848,3244270,1835940,302611,14265.2,5424.81,10848.1,879.323,6585.66,36575.5
506545,304253,233675,1407070,891721,145678,8246.67,2705.89,26390.2,-289.164,3598.53,21333.7
944821,408882,453595,2905670,1267000,204433,6905.85,5186.91,2277.42,-397.65,3031.78,35233.9
548407,349695,193589,1218620,804147,132109,8135.08,4668.62,3508.16,-85.9127,3546.8,11152.8
822663,411522,479749,2733990,1440870,261467,7978.25,13062.5,3825.9,601.391,5926.54,44148.8
934074,478022,533504,3486400,2066800,309664,12673,14040,4422.67,-410.351,6953.98,64339
616326,375728,244552,1560240,1080480,173827,8790.42,2346.01,40149.6,-183.692,7421.03,8483.93
647730,367748,371239,2178810,1230110,213803,6499.24,9909.21,5316.69,-199.448,3352.94,25234.4
1360900,630070,689892,3946560,2284160,411122,7211.31,10298,5374.64,415.739,2927.33,59802.3
1102000,560852,559318,4000180,2220620,306364,10234.1,12924.2,4832.48,135.467,5335.13,35338.1
1053930,561611,459249,3186700,1834080,268608,16503.8,15835.1,5199.18,-58.844,7537.43,46928.2
992860,509767,454443,2658510,1464540,254311,16479.2,10172.4,26636.2,261.202,8276.13,30506.7
943801,512902,324914,2031340,1458980,232418,9056.55,1001.43,2702.99,72.7961,2768.68,20881.9
761878,484622,276050,2208340,1453240,182702,7865.98,3483.07,1977.2,206.184,4034.05,29485.3
1321560,828190,755040,4194300,3696570,451045,12172.7,14638.3,9827.58,489.92,7318.57,70938.7
641881,445252,171456,1240100,726351,100086,5629.14,495.935,559.199,-70.9163,980.816,4643.67
842985,325779,439281,3134700,1201850,165723,9592.03,2800.99,32061.7,39.1099,3131.76,16914.9
707996,321734,282968,1550090,881241,160296,12835.1,21140.8,3178.88,577.776,15572.2,16564.9
628830,335517,233893,1452100,981360,158312,7348.68,3886.73,2209.01,-557.633,3738.57,14100.6
1230860,628129,650432,3898070,2077790,357590,8543.96,6108.69,4680.2,119.986,3310.08,42715.6
466731,332833,446245,2782710,2169180,343868,3726.57,2673.15,4481.83,-670.452,1610.44,3865.03
