FSC-A,FSC-H,SSC-A,SSC-B-A,SSC-B-H,SSC-H,Comp-AF594-A,Comp-Alexa Fluor 647-A,Comp-Dylight 680-A,Comp-PE-Cy7-A,Comp-PerCP-eFluor 710-A,Comp-eFluor 450-A
492848,327518,245508,1677640,1309090,190105,7122.01,2672.11,8066.93,27932.9,8284.38,11368.3
1089740,493142,684331,4025030,1396110,235041,17984.7,1847.67,10555.3,164060,14099.5,38493.1
537285,328682,374639,2166090,1363710,242900,7724.61,3353.42,75031.3,41752.2,7075.66,12033.2
592119,365091,251283,1527440,1092740,167400,17137.5,1439.32,101975,50223,6740.3,11642.6
608632,401388,277640,1457310,1044810,193430,5381.63,2733.17,6266.14,201160,18922.3,22638.4
572297,331460,206831,1161820,815766,139549,6809.59,2710.5,34909.6,40607.9,16154.1,12995.8
664370,319125,266386,1784220,802542,124903,12800.7,3991.86,87475.7,61256.9,22125,17081.3
704645,393766,387623,2302200,1626450,275688,12280,2314.28,224436,36517,9062.94,8300.61
358523,204686,205023,1282530,816668,126203,15230.7,3936.04,28103.5,69126.9,8543.74,18793.4
384664,218426,149891,1577340,1025000,93019,14643.3,2229.45,46491.7,120173,7437.67,8850.65
752685,390242,505213,3639940,1961950,255826,13468.7,7923.17,5648.33,115853,9931.32,48885.9
592262,292522,293065,2171740,1282650,169694,11282.5,2361.23,7811.74,20968.7,7088.95,11908.6
393707,247447,314145,1792070,1156250,203564,13371.9,2893.95,53394.5,69749.1,22671.7,20824.4
507331,262711,272367,1809560,1130450,168989,18623.9,1709.96,6496.45,43457.6,7581.35,28833.5
953202,343345,475232,2877210,817115,141595,18155.5,3541.52,48863.4,74137.2,8428.23,21356.3
870149,505121,333336,2312230,1496880,213747,17142.4,955.163,51655.5,38143.9,16577.9,10928.8
453328,287379,228390,1300860,963368,167374,12373,2401.4,22415.8,21145.1,19157.6,11630.1
726102,320844,619736,3553620,1924810,350083,10482.7,7362.98,6284.37,137312,11938.7,38380.7
636432,350094,304641,2119650,1175450,165253,8525.54,3033.02,255243,48897,7638.4,11117.6
717686,476849,267713,1638600,1235570,200820,7318.4,1324,22142.8,5910.9,7674.15,10326.8
619969,394222,203457,1390810,943641,137175,12926.7,2500.63,27595.5,34293.2,7069.77,11517.4
333233,208648,189004,1228770,776819,120882,6825.03,1729.19,9469.14,30096.7,7267.37,8296.19
536755,328098,165048,1333000,863043,104089,11875.6,2626.99,54002.3,25463.6,6555.59,10242.1
598377,369350,226433,1631840,1043880,139892,8728.85,3107.43,308420,32468.4,6694.51,10617.8
520164,303460,261069,1475940,970749,168002,14210.2,1764.05,33425.6,53567.8,7133.03,11624
697359,411617,267817,1573600,1071190,182719,6344.59,1284.55,34415,18512.6,12406.1,8804.01
551726,318416,377314,2325720,1411340,237664,8153.54,3730.65,17062.3,57244.6,9932.79,15835.9
986272,366132,536340,3866930,1265960,176603,18664.1,6741.75,321660,125831,18393,31225.1
925846,434315,409134,2492840,1397800,217252,15966.3,7097.86,40034.2,87696.1,24561.5,19369.7
681505,366410,221445,1300890,782057,134408,8407.05,3100.31,20823.6,36692.2,13370.7,12245.3
561828,291883,330673,2117950,1226150,207495,9230.46,3845.22,24669.1,45793.9,17845.1,11468.7
834139,452734,356099,2326670,1325120,199452,7063.58,1416.75,18277.2,17234.3,9166.93,15461.6
575979,360401,285271,2085420,1490800,203838,10564.6,2702,46162.8,43889.1,8785.48,11604.9
595771,349721,379127,2276290,1451040,239784,8029.62,5564.07,10958.3,44029.8,9074.33,21722.2
1317510,576627,801035,4194300,3064940,483939,17786.4,4020.48,16849,60442,14799.1,39602.3
683324,403420,267891,1647070,1058870,171735,10454.5,4631.13,7790.05,55579.7,17275.2,16533.1
808473,406377,569373,3384460,1956130,329140,10351.4,4424.45,9285.55,35693.8,8412.23,22460.7
691945,404575,269488,1692360,1177920,189675,8826.6,2476.91,100320,46484.8,8921.47,12777
569672,319405,235758,1261190,862595,158242,11809.1,4213.39,53573.3,34655.9,13102.1,16720
591429,295475,227237,1461980,789134,124679,6795.88,1036.42,5621.97,106694,7522.48,11546.8
494592,293010,176025,1090220,695055,112968,8801.17,1920.64,142633,45096.9,9508.17,9931.67
467229,282131,180423,1310820,866818,120579,8722.71,1235.42,9086.96,31330.3,14074.4,11190.6
763173,383730,635553,3797590,1725740,271545,8651.58,2916.18,53614.8,44666.1,13127.6,53593.7
731859,432069,441084,3423100,1862860,234299,16636.3,2026.31,7700.86,86417.2,9166.52,24154.6
481073,246819,338454,1879020,1031640,198327,7639.38,2274.97,24074,57750.8,8541.56,11882.9
393932,290833,240921,1408360,1063480,184155,12584.7,2213.25,48600.4,58455.6,12349.2,14117.4
755512,411753,289599,1900780,1107410,170007,9511.88,2701.31,13875.8,49819.3,7824.57,19609.2
578851,357434,209973,1150240,783186,149398,10167.7,2979.2,68154.2,25162.8,7280.79,12675
882815,305506,518655,3240430,1475810,246747,13670.3,8866.93,342557,71446.5,11796.2,48777.7
460948,253907,323593,1772140,1161610,212501,15804.4,2873.04,7063.59,138226,17050.9,20533.3
735327,455948,370751,2441370,1803990,275608,12611,1679.67,40980.3,56437.2,11860.9,12273
524780,348448,298332,1489710,992943,205848,8448.3,2293.59,13412.2,178225,7297.26,21521.3
642583,272836,265264,1516010,884111,160894,9761.31,1385.63,182801,50378.7,6765.19,11394
892584,367207,551013,3185380,1479660,257387,12592.3,5855.92,163072,63785.7,14853.7,29520.6
417642,267079,198086,1095690,793513,145993,8139.65,3029.89,19724.9,36511.1,10405.2,11445.9
599560,280663,358754,2209590,1384380,212158,10600.4,1682.76,7002.91,76519.1,10202.9,20451.4
976364,456247,543294,3297330,1461900,243046,8433.73,1591.25,5779.12,37241.2,6996.15,18135.1
674863,381882,381998,2735880,1907820,263146,11628.3,6162.5,100996,120004,16887.4,16857.8
1000830,405702,376491,2384280,882999,141521,8656.5,5536.2,5502.44,41482.2,9671.63,35392.4
553567,326164,156554,1024150,674185,104720,12318.9,2099.95,240451,35047.4,10399.3,8728.47
598762,388777,246940,1322280,826466,156166,4666.7,5834.48,22800.2,28254.5,8379.47,16598.8
1089920,429343,614534,3510900,1673660,293924,10257,2196.64,11485.1,122521,7936.84,51831.2
1002260,389530,640687,3850190,1436260,240828,16712.4,3509.09,54971.6,123288,13751,40321.8
955351,344890,406336,2951000,1129460,146357,18883.6,7971.02,224521,113949,25112.7,23870.1
453766,303710,246616,1551270,1070330,174917,6403.65,2149.56,15310,23817.9,13114,7570.96
718198,413040,311168,2247260,1231050,170785,11911.1,6001.31,14104.8,65033.7,14517,18437.3
708023,404193,427777,2543130,1566760,274612,11404.9,3822.44,8810.89,74701.6,6651.18,21892.1
440792,285918,219818,1594720,1138140,158108,8616.06,2993.98,127711,32727.1,8387,8522.14
550030,292574,236619,1558160,896127,139794,8851.83,2317.74,77926.1,43243.5,11915.4,11368.6
1127410,470934,465816,3162460,1294920,193576,17162.8,1929.07,18249.1,43417.1,7909.77,20993.5
597019,385210,252266,1585000,1172090,187129,7752.99,1299.5,161744,28413.2,6598.61,7812.36
562017,336010,403992,2929160,1784080,246347,12159,3016.02,11952.2,110586,8341.78,16343
457583,291328,142045,1157160,739207,84721,17944.9,1372.85,12143.2,49641.9,10074.8,14265.9
719202,401233,354929,2429270,1345900,199549,9107.16,4287.12,6800.69,61342.9,13205,18162
735897,281475,387401,2290360,1044940,177210,8712.93,851.847,28928.6,39891.6,13968.2,17259.3
481899,316434,291836,1674730,1165280,201064,7058.44,2459.39,16037.6,39680.2,18282.6,11342.1
491132,339070,228055,1620580,1173210,167548,9422.65,2382.53,47159.3,37753.6,8839.52,12447.5
