FSC-A,FSC-H,SSC-A,SSC-B-A,SSC-B-H,SSC-H,Comp-AF594-A,Comp-Alexa Fluor 647-A,Comp-Dylight 680-A,Comp-PE-Cy7-A,Comp-PerCP-eFluor 710-A,Comp-eFluor 450-A
636955,318822,547282,3696400,2125320,318778,15093.5,3643.62,21841.3,130177,9443.64,63445.7
621798,288079,242707,1335310,594730,114125,8451.51,1902.05,18960.2,32448,9267.64,25196.2
406035,231713,320604,2013640,1399210,223883,9493.71,1855.49,237923,45182,8772.95,10576.3
825980,319738,283982,1719080,741510,118174,13851.4,4800.6,223183,39893.9,8402.43,25191.3
484731,310778,203423,1422630,879679,125987,11518.7,1702.74,28587.6,51221.5,8299.87,20980
1149510,430652,623107,3255780,1138300,216181,10667.6,7173.64,165064,132225,7426.75,57913.8
625921,359498,292400,2239340,1490390,194494,9626.41,4419.81,712655,206831,6633.9,12140.3
501126,248622,192650,1370860,697764,96986,6968.45,4809.99,13423,51761.7,14049.6,14698.6
908300,430787,386218,2819300,1498140,207849,20254.7,4597.28,9202.58,392438,6682.59,57659.4
751402,424643,308887,1741470,1180560,209287,12562.6,1416.9,10917.2,61102.2,7641.24,37729.6
1114880,549801,373212,2247120,971184,163878,16611.1,2945.06,68290.3,122914,8397,26747.8
1173440,598170,771357,4194300,3114130,398134,19527.6,4946.98,126198,138274,9894.16,24861.4
979072,509178,555615,3161090,1782020,313227,23508.5,5449.31,560028,37294.2,14004.1,21161.7
910235,584900,313546,1884230,1158610,199840,17730.7,1563.94,527778,17213.1,6437.22,11222.4
588865,387336,213800,1681550,1203710,156781,14441.9,3668.44,195464,237716,6898.18,17392.8
903814,398900,507742,3338850,1340020,213183,11232.6,5358.38,9001.02,60526.3,8856.41,37246.4
639028,401066,419744,2677120,1688310,277851,15077.3,1904.23,53616.3,42107,8046.44,23721.4
575656,270995,180207,1436070,840352,101946,17397.3,3411.19,21898.9,63095.3,9297.11,24502.4
944858,508368,517181,2992780,1661490,287433,7986.65,4667.58,9585.96,50644.1,6985.28,52039.2
590253,303431,210598,1531610,1002600,138361,17909.3,2813.64,36142.9,66457.1,8394.41,21301
699791,338296,407924,2940500,2002160,273898,9511.88,4930.8,8212.66,63946.6,7606.41,36778.8
621137,306354,219161,1710690,914450,124359,13493.6,5702.63,6728.32,98275.1,13258.8,22771.6
841250,537128,386236,2558890,1851400,288065,13423.8,1909.75,9313.2,98932.2,10008.8,47651.6
419728,269374,182961,1023820,726627,126698,5507.22,4528.67,645755,34356.7,17012.7,13571.3
583295,360024,348682,2104110,1451060,236716,5417.98,1931.3,5529.16,35971.9,10643.8,33706.5
1108230,427142,651245,4194300,2138400,329034,8145.57,3257.17,9174.83,86637,11171.2,44445.1
406924,228205,156773,1042200,611962,89412,12085.3,3875.07,20339.9,42724.7,7336.33,10410.9
728396,379794,212190,1702330,1062800,137835,14918.7,5213.47,450918,65592.8,7052.83,19523.9
732438,467182,493740,2594150,1965610,376385,10915.5,4745.46,443276,39072.4,11345.9,14994
586076,360332,179192,973468,620446,115405,13456.7,2030.46,26262,30474,8392.76,43181.1
673772,390935,410412,2416810,1623210,277962,17520.1,4628.49,19919.6,311860,11234.7,39881.8
576626,343281,218362,1474990,891553,136317,5793.6,2671.2,182833,34077.2,7753.65,11650.5
670672,356180,404411,2633800,1600550,251111,18759,2599.69,21425.2,315803,10847,32334.7
887433,291766,543354,3149520,1054450,188179,12155.2,1736.47,154766,55493.4,13181.2,38557.1
614369,308102,522291,3549970,2218770,307334,14330.7,2181.3,47489.1,133392,7492.72,31614.4
966253,421152,423598,2313320,937846,186763,20579.2,4331.41,42624.5,165635,13305.9,23577.3
894357,405447,393493,2297670,922381,158039,11650.2,1367.42,29881.7,35771.2,7033.32,26407.1
790675,470436,540979,3434350,2316880,350879,8456.78,2816.7,65609.8,36709.9,8329.82,28130.1
992913,484599,334211,1926800,944700,166673,13743.6,3979.53,183492,207540,8129.68,14901.6
820927,492797,414003,2598360,1564900,253539,12965.5,4585.1,101741,292882,9412.73,14382
559751,337315,229331,1464930,1050810,165566,11948,1461.3,31252.1,34890.5,13944.9,19941.1
800599,472352,450556,2812810,2010320,317745,10550.9,1312.12,11223.3,58383.3,8775.27,31375.9
906578,319680,536895,2741350,1064000,204234,10312.7,6067.49,80729.9,67296.7,6601.89,45219.1
612040,332747,263006,1439040,864145,155412,6290,2655.75,268883,81061.2,6461.74,14982.1
709196,397333,435054,2480610,1353000,238988,4227.79,4393.2,236364,374008,11640.8,21068.8
520633,325624,360727,2539440,1548930,215408,21921.4,5948.07,746374,208972,12250.8,16100.1
557185,320465,465053,2680930,1580390,267234,14193,2447.71,13834.1,184403,11141.8,49769.9
1152230,445902,554932,3431610,1173820,193211,17204.2,7701.91,7119.39,104778,13277.8,52888.7
596036,327677,151482,1114510,685477,87511,12082.5,2012.94,34014.9,44912.8,8307.64,16606
438115,266264,257857,1479900,843419,148943,8440.5,2934.53,197768,25039.1,6453.22,11187.3
757802,388035,534579,3341800,2211700,344466,11360.2,2804.54,148190,320378,11958.5,17774.4
628540,421969,246378,1533700,1094430,179586,7785.46,1606.32,9042.81,49652.2,7032.15,25875.2
526260,343207,220689,1148540,781320,150453,4940.35,1698.98,17273.3,29472.9,8343.53,16149.8
1316510,696756,669401,4194300,2949650,404591,12647.4,5322.54,31220.4,96003.6,7951.98,40186.3
487854,250248,254790,1418160,734037,127608,9006.63,2557.6,55892.9,65753.4,8820.92,29681.5
864359,451238,236557,1411490,749273,126257,12695.1,1480.37,9277.63,338615,8989.77,44079.2
919159,516595,466246,3173080,2120440,313613,9902.67,4209.74,11150.3,143120,8670.72,35204.2
882845,517755,275133,1857010,1236000,180835,8218.67,3606.75,7127.93,248764,7220.01,35810.5
758089,448302,195497,1175290,685497,116006,18973.2,2208.69,320811,41581,7198.52,15063.4
702284,391417,371180,2524460,1892330,274579,9701.35,1154.4,25706.3,171099,6537,23874.2
951988,505485,423394,3412610,1864160,224998,9217.7,7344.17,15179.8,51492.2,8997.14,32882.8
741606,416004,416419,2710650,1662460,262496,12942,2612.36,117422,61226.7,6561.89,25189.8
821480,316252,473285,3674340,1542820,203962,16134.5,6486.84,260731,93278.5,18167.9,23812.2
707810,455863,249321,1467490,966183,163618,12194.2,3918.96,18651.4,69142,6916.2,12219.2
637042,350758,311772,1809580,1153080,201566,7851.82,1542.54,33239.9,30150.6,8038.25,14190.9
1334330,792962,768665,4194300,2607200,447982,4547.23,2819.43,10988.8,35678.9,9253.8,41283.1
749474,402768,233428,1449590,869660,143446,9571.47,3805.78,61421.5,57854.5,13265.7,17937.6
915327,500554,406157,2700110,1743710,266921,11810,5102.33,438616,164505,7456.21,16296.6
395982,262959,160505,1173680,730477,97195,7298.01,1942.26,16083.4,22504,7641.84,12150.4
950238,339708,583994,3470950,1248620,214964,15473.5,4056.35,217915,256114,20728,33571.3
583049,334225,232992,1261490,815996,152203,8754.87,1529.98,10036.5,51413.6,9069.04,34742.6
859900,497652,679619,3616270,1967680,376157,3800.18,1475.14,564142,45561.2,8273.04,19656.3
473298,249388,307890,1924680,1104190,184646,7837.28,3997.76,7040.83,35871.1,8504.25,27702.5
779403,409105,325732,1926890,1177470,203194,14719.7,1442.66,27179.5,55030.4,8905.63,24019.6
916097,548696,389576,2058390,1383660,266367,11994,3832,831578,125486,11489.7,14446.9
1182660,684431,445860,3218220,1887920,263680,19800.5,2362.98,21781,41014.8,8522.69,56407.6
684548,434110,273752,1906950,1339440,193577,9005.7,4824.68,954707,65210.7,7226.2,13908.7
670951,358411,361119,2213540,1170910,180675,6861.39,1526.92,11711.7,28447.8,10304.4,42145.4
