FSC-A,FSC-H,SSC-A,SSC-B-A,SSC-B-H,SSC-H,Comp-AF594-A,Comp-Alexa Fluor 647-A,Comp-Dylight 680-A,Comp-PE-Cy7-A,Comp-PerCP-eFluor 710-A,Comp-eFluor 450-A
887721,325886,660122,4023300,1345710,228454,24493.4,4719.88,15974.2,116501,15063.2,88994.4
539848,285738,399140,2421930,1472100,235746,11136.2,3450.78,8368.24,40868.5,12947.8,30935.8
849366,479241,460535,3529400,2184220,281483,14965.2,5373.71,58818.7,99601.1,13849.3,44829.9
515284,316329,244990,1627600,1203000,176392,8555.05,3341.53,30737.7,30390.2,17196.4,42456
401114,204743,233236,1294990,735254,131658,7031.61,3144.91,30891.3,29397.3,15495.3,16934.1
426283,248571,251066,1443110,1005490,174766,16046.1,2220.68,37454.6,97930.9,9056.86,63196.8
835236,347810,258897,1887730,852051,116969,11121.8,3827.97,144299,60373.4,9159.95,41049.4
807309,281559,522362,3771490,1173110,172008,18014.6,4410.23,26790.8,133752,21620.3,38739
490217,305256,291166,1765020,1161210,185062,4996.9,2529.56,491454,349203,8959.5,44245.5
794628,447042,373574,2254190,1295720,215914,16678.3,1346.32,19329.9,62392.3,9403.67,38232.5
1155040,517054,606873,4194300,2174120,304055,19626.9,3248.7,233063,401921,14549.1,63052
578925,364201,269660,1579250,972290,165469,6155.78,1161.63,5855.85,29294.2,8437.84,48300.9
336451,218683,260218,1440260,995750,176329,3721.51,1238.98,22718.1,161923,6392.67,24414.5
598905,307300,205677,1376820,821892,119018,11927.3,1843.29,11256.7,53386.7,6652.19,48745.9
487906,268256,286914,1650860,1079910,192690,18829.5,3634.25,26493.6,69342.6,8261.12,42036.8
413937,235490,288304,1519620,963685,188926,11854.5,1421.7,22951.5,279269,10973.8,43275.5
478271,252341,370337,2221780,1422020,244019,9879.04,1343.51,32140.3,61393.8,7260.6,51503.9
494794,283996,222247,1430620,939749,147730,7677.19,1951.83,26995.9,35673.8,6898.71,43985.1
594718,327648,334811,2191580,1638170,241700,6947.7,2184.02,89158,38150.2,10920.3,32084.5
969556,521466,596780,3745860,1956600,312894,13207.3,2472.87,90397.2,71844.9,6980,66479.3
600097,338392,337462,1982150,1298670,219799,9562,2678.65,30333.9,40373.3,12626.9,61859.3
417425,218099,223266,1408110,837894,135684,12980.6,5282.17,336626,84070,10699.8,47894.7
692450,344193,210599,1419980,758751,111198,12205.9,1868.85,23155.2,73944.4,9706.37,20722.7
477906,269009,381730,2490830,1635550,249097,8239.6,1631.16,6500.95,221857,7157.65,45754.8
517518,276759,450622,2591640,1591460,273021,6741.47,2618.09,18126.4,376030,9699.68,55690.2
605745,405645,172844,1045170,778584,130214,16494.6,2625.96,12329.2,12114,15016.4,12600.7
650054,347676,542350,3128050,1938240,338423,14449,2123.02,24374.1,45912.5,8009.17,70589.1
1138170,430049,781772,4194300,2320160,339423,28202.6,3621.86,246124,155334,27008.6,50017.8
