FSC-A,FSC-H,SSC-A,SSC-B-A,SSC-B-H,SSC-H,Comp-AF594-A,Comp-Alexa Fluor 647-A,Comp-Dylight 680-A,Comp-PE-Cy7-A,Comp-PerCP-eFluor 710-A,Comp-eFluor 450-A
802299,502474,365547,2802030,1858220,238058,18705.3,1546.8,6913.7,124740,6410.98,16925.8
670422,345240,387159,2282790,1176440,198455,13121,8504.52,9878.68,71908.2,19285.2,22229.6
904495,463681,607342,4037100,2248780,338209,25788.2,1720.48,10330.6,91765.9,13372.3,87800.7
1250140,495020,657329,4194300,1776450,205210,17356,6338.44,122908,104238,18930.9,82684.1
337462,196093,223423,1416750,708958,115540,10172.5,926.834,48024.4,58682.8,6825.1,36640.2
583067,365789,317204,1874240,1203180,201249,7367.2,3374.28,30146.3,166509,9605.18,51642.3
804851,433370,497147,2911640,1778660,302747,8514.29,3566.41,19755.1,208214,8973.93,79064.6
626828,367202,428666,3204560,1867670,250333,21466.6,3495.03,51625,125370,8523.89,60419.9
463945,284342,267719,1413220,891532,173581,6630.83,2586.72,39940.5,29322.4,7948.26,56598.7
772676,314030,546648,3406620,1265360,209090,13322.4,3027.72,149682,67712.6,6954.96,79107.4
592274,382153,265892,1522300,1102710,196906,15230.3,873.553,48563.1,45870.5,10748.5,64136.5
970113,561795,630501,4194300,2507970,375871,15503.8,1329.69,6568.53,168046,7695.05,66940.8
543259,326653,318533,2172860,1474110,221277,8799.29,3637.58,8513.16,50021.3,17080.1,43374.8
338024,163907,341490,2175340,1429160,215414,5916.59,3672.38,197057,89303.4,24691.8,45863.3
1006820,560999,333003,2338400,1295020,194010,11008.6,4096.31,24964.9,35449,12016.5,20091.4
899793,415504,469813,2796310,1286220,222820,10577.3,5975.29,20097.8,42712.1,12161.3,25938
709097,284889,322364,1953850,691115,114077,10979.9,1756.18,10421.3,55273.1,6765.84,19845.2
523063,336906,356690,2009510,1419120,251901,5478.21,2874.33,270546,178301,10074.9,75193.1
576944,357142,383488,2180220,1529100,275754,14588.1,2391.75,73998.9,192270,6842.52,60055.2
505288,306842,409904,2436100,1581400,267105,13830.9,2692.6,233433,118180,6866.82,89960.9
675663,389113,262546,1648900,842469,142622,15830.3,3799.42,116969,183649,9705.09,74081.6
730849,340217,336942,2134950,1111100,182541,11652.6,991.584,9400.7,76587.1,6584.17,41846.8
563200,341808,229567,1254950,842318,151806,11363.9,4089.3,132163,86115.6,9909.23,60834.4
