FSC-A,FSC-H,SSC-A,SSC-B-A,SSC-B-H,SSC-H,Comp-AF594-A,Comp-Alexa Fluor 647-A,Comp-Dylight 680-A,Comp-PE-Cy7-A,Comp-PerCP-eFluor 710-A,Comp-eFluor 450-A
1090190,429607,521486,3349540,1168570,191556,22098.5,4086.15,29290,73832.8,7273.79,65071.2
691427,387855,554139,3279380,1905390,328844,11639.2,1424.57,22962.6,138644,9193.14,37710.8
524577,337852,258765,1733230,1273540,185290,10728.6,2079.58,36124.6,87911.8,19456.3,11310.2
778742,323721,432781,2795670,1206140,174635,17695.9,2953.27,26735.2,56478.4,10860.6,63333.9
475539,234961,226910,1549060,965508,141370,21977.4,4468.37,38239.2,166100,12031.8,38896.9
980463,341492,541528,2843220,1044630,199333,22646.7,3485.28,44973.9,287284,14572.8,60253.7
570393,327331,352963,3365450,1526220,175412,12700.6,2939.52,5732.73,50876.2,6886.75,31550.1
473025,210361,265054,1671670,743731,116308,18564.1,2889.5,23695,77303.5,14353.5,14096.6
422729,258317,118342,858588,552651,75992,16567.5,2312.48,9390.73,28938.5,13017.5,10584.9
547689,361663,376675,2047330,1492960,275793,7759.69,1245.89,6193.53,21823.4,8891.81,45825.8
1518470,739616,887076,4194300,2533630,431235,18018.3,3505.86,25520,152569,16509.2,49748.6
518394,303026,286073,1602970,1000040,180944,7588.47,3593.99,49276.4,64903.6,11514,34239.1
587366,352980,287598,1771830,1262120,202392,11759.2,2204.12,36510.5,192538,7826.87,36987.1
518751,300275,396201,2352670,1221940,216827,8008.29,5071.48,18583.8,51602.2,10381.8,34651.2
616222,364814,310593,1912420,1346110,215015,16475.3,2992.04,47775.7,62777.6,6773.9,48281.6
666021,279109,391753,2205270,1100300,201061,20192.2,3790.79,5608.6,61365.1,7091.35,32339.1
568633,337663,205976,1152500,822854,148248,6607.44,1301.52,11845.3,18704,7615.99,33562.2
625413,370404,329761,2677940,1715130,208205,19709.3,5177.59,30643.5,115137,15933.2,19161
1063310,391641,706091,4194300,1731960,263721,23170.5,5021.2,59765.4,128743,22932.2,83164.3
552103,308658,342363,2065540,1108930,187549,8991.15,1818.86,62709,60466.2,12316.6,46258.4
659149,332590,374287,1936390,942323,192539,9755.16,3506.55,30758.5,100834,7586.12,41875.6
1059380,585525,619557,4188160,2097750,305688,13805.6,2516.13,7944.98,185737,7185.99,43318.1
1269280,505964,667250,3867270,1851510,315839,28059.3,759.927,19158.9,93795.8,10217.9,68398.4
611463,399958,297029,2142740,1377540,189571,13010.6,2507.99,37484.5,77851,10823.2,29214.1
503999,276720,377709,2273750,1336260,218580,10459,1965.05,39803.9,286142,15318.4,33970
724875,453941,445594,2455750,1670010,322377,14477.4,2232.49,25932.8,164531,10469.6,53608
652188,418632,312509,1873000,1298140,219162,14867.6,3347.32,28574.8,248175,7534.63,37693.2
637296,368529,252881,1490140,954130,163090,8488.26,1785.69,9872.49,101933,6982.95,40907.7
845869,272060,513340,4194300,1424020,187654,20255.4,7124.28,18162.5,59720,15758.9,65433.8
795820,409121,538457,2878440,1931790,357147,13331.5,6293.01,7899,67562.2,14995.5,52159.3
818621,519108,264116,1710510,1141910,179417,8564.58,1510.21,6891.44,11809.7,6930.03,25061.6
685718,409203,353915,2307930,1387830,200672,8892.59,3220.23,5977.77,27796,10901.6,32505.5
815524,360767,394128,2422550,1183010,189966,17424,1814.38,5103.54,115730,17438.6,50060.7
1049840,420885,525220,3299480,1303870,208102,19332.4,4799.09,10032.4,120223,13298.8,75171.8
664039,363256,309651,1889650,1095400,188585,14501.1,2402.07,6850.2,94148.6,7956.02,24446.3
1331870,533979,693473,4194300,1592380,258281,12372.1,2110.44,9719.38,39935.2,7818.35,63014.1
684844,329369,512124,3380870,1427600,234044,18590,1602.13,5592.69,50760.1,6529.87,61030.3
361926,218812,266952,1589930,964026,167676,7265.63,1320.68,15525.6,24309.4,8648.56,14494.1
1024040,405561,470777,2642830,1071320,188805,5371.7,856.676,5298.56,51253.3,8607.17,61993.8
916186,320221,372209,3249070,1123980,123972,16699.8,3729.79,5787.55,144227,10479.7,76561.3
530458,298419,366772,2255960,1474610,247237,9581.67,2740.88,35045.8,163302,6963.83,39132.8
918158,460455,326104,2202010,1301040,190224,17643.6,1444.8,31157.6,57796.8,18452.2,18244
674664,397171,303864,1803940,1162600,196593,11555.4,2128.66,20790.9,105259,6356.68,38577.3
620758,378114,265009,1827010,1054600,148531,10230.1,4445.12,5459.27,58270.9,11300,25352.2
1217550,475740,581226,4194300,1323460,197454,20497.7,4326.74,25506.4,297596,25383.8,35161.1
940341,320234,445967,3387790,1367910,191464,18663.8,1781.94,14428.4,44724.1,15946.6,77676.5
1148510,506815,603884,3508630,1834530,313381,17507.7,5517.99,24449.6,393885,16318.5,73275.3
498696,269587,308362,1754790,1074450,192622,8037.51,3566.84,22057.5,318082,11559.3,28101.5
585655,343171,268396,1884580,1166190,162721,11634.7,1742.35,15092.4,18846.1,7074.63,38621.3
714778,277898,285082,2339370,804224,110506,14066.7,2023.1,12027,33680.4,11191.1,40482.2
468362,225372,356910,2187670,1218480,196287,7249.51,4364.16,8028.02,35019.4,7876.24,21260.6
763942,408185,415047,2657830,1735980,278241,6861.43,2744.81,22340.1,212857,8734.68,29038.9
584127,333854,302973,1736260,1120230,196417,13002.5,2317.32,14368.5,282088,8686.46,35740.3
845213,395742,314050,1936390,1216250,198259,16234.6,5452.76,19523.2,57143.9,21288.1,23915.1
572398,369413,489023,3522760,2644760,370544,12012.8,2480.68,36154.4,40840.7,7561.09,25307.4
436806,279747,226273,1268940,850907,153896,8865.8,1716.51,6550.05,25008,11211.2,48918.3
1372350,788363,463938,2646790,1655370,293507,13971.3,3861.9,6349.24,71698.6,8667.2,47514.3
1249690,584369,576709,3241410,1626560,305266,9396.56,7068.21,11154.5,61276.7,16510.3,38836.4
1166920,439099,437511,3442220,1381740,178109,11342.7,7422.08,6629.31,55740.9,8371.65,65655.5
855794,452781,352752,2296490,1332140,199203,11901.1,3542.02,18920.5,45077,6484.96,28021.9
1241780,492134,840594,4194300,1474160,242524,19115.1,823.909,69379.9,129834,7421.92,58859.5
474752,291523,274382,1915050,1341040,190656,18828.4,1900.62,18462,144906,12676.5,40369.6
1067450,447110,358523,2030370,848737,141623,16469.4,1350.21,11382,28570.6,11669.4,45762.3
746552,333109,325997,2029290,976666,155920,13165.9,2092.17,11625.7,64970.6,18965.8,37822.6
868714,459696,255072,1358260,813050,152079,9857.57,3224.68,32728.3,89684.7,7660.43,27887.6
682277,401402,320803,1756760,1017520,189618,10220.4,2545.47,29607.7,222830,8798.87,35789.7
591031,343172,242755,1356880,854670,159693,8290.25,1649.59,46892.1,39674.8,7393.33,14343.2
988704,460455,421551,2396740,1239740,211230,28215.3,5081.25,27790,81670,16048.9,77441
713070,356439,532988,3071230,1680670,291072,18380.6,3561.9,20375.5,240113,8935.32,47337.3
450774,274921,321853,1877580,1350310,230500,9530.22,2931.68,46666.6,36771.3,6961.4,46304.6
961869,564578,596788,4194300,2598160,367365,16997.6,6073.81,17808.3,71179,16697.7,33951.8
360216,248311,262683,1656350,1187760,188493,8915.44,2832.91,7000.85,109650,10884.7,10206.7
806748,448644,435166,2415980,1494870,262957,8863.07,2038.49,11145.8,204704,9323.08,39860.8
402980,244096,303729,1533190,957936,188073,15095.2,2151.27,68762.1,120307,11617.5,39504.9
1074580,659359,434071,2786730,1762840,268833,11744.4,2420.29,26570,40440,7520.69,58629
819880,429366,486036,2836590,1803040,303928,9345.02,1386.79,16656.7,243866,14878.3,38361.3
434729,249042,298687,1837580,1243680,204271,16314.4,2921.21,16679.3,94791.1,9997.25,56777.2
698714,330929,290642,1950670,899155,137666,17988.4,5430.39,16094.9,57236.8,11562.2,41609.9
787745,394512,498176,2830560,1558450,273289,7156.31,3176.86,19536,46501.8,8988.01,35917.3
514200,275329,346345,2345790,1316630,188795,18363.9,1519.92,5963.74,96485,7435.65,39668.6
391022,229876,236229,1193880,776695,155935,9918.87,2244.43,7215.74,162822,7935.88,50869.4
390025,260781,203378,1275990,930988,150218,13309.2,3952.78,21220.8,53196.4,8650.36,11038.7
681902,424533,287337,1665580,1268510,220293,9236.12,4327.12,31515.7,325206,7355.7,30014.8
900580,532119,261680,1599510,1048440,167403,11963.3,3337.32,8367.15,27452,10474.9,20126.1
1201480,469090,664621,3649070,1305360,240285,16141,4226.49,17308.6,208762,15132.2,69668.7
914476,443073,602174,4015820,2279100,350580,11349.2,7542.46,73735.3,385095,14459.5,41118.4
685410,420038,388850,2335550,1357960,225364,7482.54,4655.55,6831.21,40715.2,7367.03,57808.4
711899,425722,250641,1456820,953648,168055,7222.17,3236.39,29100.8,50905.1,9001.13,26545.1
689397,356357,237233,1427650,894881,145189,17269.5,1854.98,24763.5,37178.4,10133.9,30863.8
503567,273510,331679,1943020,1077070,187159,8189.64,5274.91,10588.3,48966.5,8426.07,35356.1
642326,323016,380296,2274560,1410770,235994,18656.4,3209.22,5493.8,44523.4,7314.22,44515.2
490143,303507,244248,1327330,864297,159424,5390.73,1575.6,7212.28,14263.3,6857.04,15633.4
919936,545699,559030,3347400,1899100,330164,22412.6,1259.55,14239.7,103110,9499.26,64065.5
787706,394247,280963,1734320,915691,144883,9276.06,5206.35,6949.36,36550.5,6655.88,18577.8
1020550,453199,416957,2546840,1214570,205983,23228.5,3868.41,20151.7,57502.7,11059.4,50159.1
774503,428091,317486,1831670,1157600,191393,7305.27,3199.71,10094.1,26465,17217.1,36916.1
490416,241514,367034,2175310,1273330,212788,16882.9,1168.75,47797,42757,9683.3,37001.6
390889,227805,238758,1306000,894206,164395,9048.64,1877.99,36202.3,82515.6,8539.86,27469.2
1117780,401731,608462,3425560,1431670,267892,13745.8,5519.71,26028,167816,10743.3,39286.4
1255310,579949,829793,4194300,2494790,379081,15038.7,6760.73,11303.8,41970.3,10143.8,64341.4
821479,487842,397417,2378220,1277080,213279,16604.3,4985.33,44670.9,59336.9,11934.1,37204.7
577922,365913,226905,1464940,1045060,158653,11525.4,1559.55,11082.5,24566.2,13802.5,42827.2
573387,332248,189332,1063880,716245,127552,9886.49,3969.39,7484.35,21173.9,19054.2,12729.5
698514,434570,244530,1479960,1034220,168837,7303.17,1814.04,20209.3,166447,7214.22,21370.3
842444,492994,370075,2218370,1270930,215173,9322.04,4640.46,6713.04,52201.1,16066,24012.8
955459,596303,377101,2370160,1708230,269509,14719,3045.15,69897.6,275930,8368.66,46239.1
716988,436918,393420,2596500,1657220,255641,14453.5,2359.52,33236.8,39418.5,7824.15,52659.5
682524,442417,385810,2219740,1539120,266711,16882.9,1505.21,7732.15,34881.3,6636.34,42227.3
486968,291687,431201,2344400,1341780,249393,9260.07,6873.32,18414.6,74489.3,9083.77,18733.8
1079950,412238,414620,2372300,1052760,186387,9768.98,1002.54,5396.41,19713.7,8996.24,48439.4
656196,289970,289880,1955740,982374,145669,11361.5,2026.06,5886.5,53847,10813.7,41308.5
1146710,435539,758615,4194300,1642620,296902,16092,4650.28,51236,94637.9,11363.3,55081.6
650068,349499,268361,1729690,1178460,178010,7557.83,1856.19,6916.66,149516,11214.2,35217.3
996910,397703,424938,4182210,2063420,204706,18154.6,4212.08,8008.97,50879.8,15139.3,62105.4
781031,491751,235056,1509760,942526,143853,12096.9,2758.48,44997.6,39099.3,23500.8,25504.1
920328,532848,368342,1915700,1196380,228567,7432.67,1314.6,5128.22,34944.6,7785.06,60401.7
469225,252407,405861,2436380,1567510,254824,15219.9,1736.04,12074.9,41867.5,10895.4,57685.2
899932,539846,364830,2514090,1548510,226228,19519.4,1609.01,11018.2,34257.9,11583.2,30093.1
512602,352221,218703,1258690,883586,156029,8216.09,1955.72,6305.87,23201.8,15459.2,39200.6
1268890,624311,746350,4194300,1810900,316649,18516.2,3442.51,36862.4,295885,24447.5,75670.8
876309,382337,315533,1825950,1223190,205579,10115.8,1967.52,31788.7,113945,7190.07,40670.9
664905,358821,221257,1286500,711103,123332,18394.2,3199.92,34652.2,106963,11125.4,21040.7
952235,497589,453034,2390570,1486280,274332,12545.9,3063.58,74852,225450,8263.39,43632.4
504610,310132,395957,2322760,1510460,260984,19853,2463.56,20494.6,91614.1,9731.02,64697.2
825672,512092,420000,2560610,1769470,297444,9458.95,2472.19,27953,31159.4,12552.6,45093.8
911845,477587,206612,1313220,693842,113679,7769.26,1457.9,25272.5,97200.6,8279.09,20478.3
1212730,484530,422355,2286630,1060200,201561,15960.8,2574.69,56896,127262,12899.6,39226.4
885729,490924,596703,3497900,2039370,340874,15552.1,1909.19,9875.27,456320,12624,75539
1031970,640769,701506,4174560,2561260,452606,9412.82,1208.76,57044.3,179798,10716,28725.2
720721,455312,378561,2099900,1404820,246872,9884.82,1426.25,25450.9,317789,8190.18,32115.5
497296,335816,168133,1006490,712353,122017,11150.3,3073.86,30979.7,18831.1,10414.5,11266.5
