FSC-A,FSC-H,SSC-A,SSC-B-A,SSC-B-H,SSC-H,Comp-AF-A,Comp-AF594-A,Comp-Alexa Fluor 647-A,Comp-Dylight 680-A,Comp-PE-Cy7-A,Comp-PerCP-eFluor 710-A,Comp-eFluor 450-A
748925,412635,234831,1554050,1117250,171519,10219.9,684.787,494.989,7.23785,178.585,4828.59,-36.4872
569582,378335,129754,811621,630864,99346,7549.51,-4.92468,355.402,-134.213,448.137,5892.43,-672.548
715611,456179,340757,2003270,1386260,238038,8921.6,46.4885,297.549,55.553,-543.921,4375,-389.063
747120,255746,619029,4194300,1920210,255969,11214.7,202.274,-125.008,319.892,-620.018,7578.19,161.752
1032170,425276,464743,3039280,1418880,211459,10903.5,726.878,-251.919,226.538,-255.563,1029.96,479.368
548137,296027,269470,1644920,1087570,183872,6415.17,74.9376,-228.076,327.786,646.551,9155.71,142.326
638780,363556,530421,3331080,1885640,305099,11354.1,-347.722,109.814,185.128,-35.0441,8096.63,-676.464
743813,416645,276948,1598660,764027,138069,5540.16,-195.689,-284.35,647.002,263.936,8446.42,367.376
680769,387100,375514,2633150,1651040,237948,6384.07,467.673,-189.716,518.057,-231.112,4088.38,-46.7383
685661,372841,307496,2154720,1255260,182847,5412.66,349.81,-187.519,618.832,-622.932,14722,-365.682
716637,367860,321262,2359240,1304260,176651,5106.44,71.1187,309.496,-207.694,-168.01,6068.23,102.592
831584,396136,413783,2718880,1240020,194695,10137.8,-161.795,-132.44,-451.066,-186.882,2578.79,89.8495
729340,384478,335810,2391740,1460310,201250,6943.02,297.561,-269.779,452.562,539.256,10568.3,40.2432
880478,485679,304894,1857280,1003990,160671,7812.49,300.36,-196.619,389.173,-200.655,3328.51,-18.3183
863781,494749,402614,2374090,1458490,249953,13006.1,-94.1076,-523.738,1047.57,-218.368,16102.1,203.421
402819,261504,183995,1112220,734178,126400,3368.5,-358.8,-14.6199,250.328,75.1708,1769.53,-335.605
1079880,480243,451988,2672880,1140370,199966,14433.3,677.049,-253.826,386.025,-183.056,5032.07,-306.358
349672,240677,165835,1023590,735360,121282,4444.89,161.992,-142.525,-18.2741,182.421,1163.87,149.203
647244,389589,207514,1261060,806606,132050,6739.74,250.72,602.909,-409.002,302.098,5257.63,-908.147
582237,297432,170935,1279220,709510,96464,4635.41,782.193,-132.806,215.278,587.325,7007.85,-278.14
954282,413993,419703,3069640,1536350,216460,8235.61,71.6852,30.1257,198.943,145.18,11798.7,580.179
737275,428293,300269,1961750,1273050,190389,6083.87,93.1051,-250.349,575.572,-366.724,4799.59,-563.519
395648,234905,186212,1124110,739187,127774,5943.54,112.271,175.438,96.4297,69.1492,7570.3,138.613
770096,396346,299932,2379680,1196500,171178,7343.74,340.768,-411.245,410.955,-55.7967,4969.05,-379.199
720635,450593,512436,3210980,2057930,324682,5674.43,-694.723,442.946,-516.309,-824.159,38487.6,-63.5342
834696,450150,343400,2102340,1358580,218765,6189.66,-50.1554,15.4898,-197.571,164.188,10527.6,-204.744
738004,385620,386326,2530180,1536340,242652,12278,-294.218,-401.483,860.372,363.845,597.511,61.7972
1134240,439034,497854,2999920,1146170,200738,10007.1,312.46,-355.202,133.709,-98.9468,9388.44,89.8034
691377,417191,246328,1607910,970804,150350,9308.82,406.403,161.132,-347.198,344.431,7036.54,-454.274
1049740,385035,349437,2281590,971024,150323,6015.03,-12.7523,175.436,85.3999,192.08,21008.1,70.3749
755956,456500,351014,1943210,1281870,228009,7872.21,-137.521,-32.5287,453.781,139.617,6854.98,-1039.37
1170090,534755,407536,2843630,1437600,212236,6789.95,177.866,-417.862,409.182,-369.351,10488.5,623.151
499125,368342,414164,3111130,2324700,310938,19477.7,1635.15,-635.337,335.693,145.737,2482.32,-122.683
771318,334942,300314,2179260,954780,132744,6296.94,-336.88,241.105,-223.806,313.007,8772.55,-66.1604
1040990,524763,524481,3204120,1662260,277951,11168.6,-291.81,161.488,-117.536,-61.2164,6874.64,387.25
612949,258478,460880,2645180,1127480,203266,9093.63,-828.675,-203.089,378.42,-141.559,4764.2,220.57
644192,352117,279189,1666700,947098,160331,7356.56,10.2029,-180.478,393.862,-27.3516,4890.13,23.8441
426381,302865,122187,806792,613603,93535,2771.42,-410.617,85.6146,-195.264,-136.897,4269.84,-10.3359
549271,214793,430498,3417470,1356690,164389,12010.9,893.693,-59.6395,446.048,-23.0199,2222.58,-294.753
902041,518056,567428,4194300,3230400,390275,26709.4,794.541,-235.544,375.423,394.495,1658.85,-417.886
1134320,440188,782300,4194300,2645020,441152,13783.9,830.549,-269.119,950.32,177.611,13249.4,-815.04
830255,513843,432861,3199650,2096370,280117,6963.33,171.701,457.761,89.3364,-104.061,8832.69,-615.733
931952,408747,495669,3029880,1555660,256351,9344.12,-183.822,218.487,57.9406,-47.741,7271.94,570.12
473318,274529,211336,1458870,999299,148165,3800.39,-655.556,-154.178,686.742,66.8058,13133.7,255.765
690107,399685,317501,2381110,1570720,209966,6659.05,359.624,37.3482,-266.792,416.066,4608.59,-197.716
754710,338713,301276,2867350,1406710,139226,5158.05,323.487,17.4909,640.526,357.738,6701.03,-307.952
433423,316720,160489,1233190,1000590,130505,5781.14,-1.66344,77.8124,174.821,23.3803,1825.74,-98.2928
1165470,747836,415306,2916840,1732570,250983,12311.3,118.858,-172.958,413.063,29.9712,10833.8,-600.4
931804,434624,270912,2513560,1299510,142781,6337.52,198.95,-549.371,1149.89,401.234,17180.9,-300.141
1180520,590552,659470,4194300,2617980,355192,19582.5,170.414,-90.2738,361.828,-432.539,6706.63,789.98
960902,367251,712539,4194300,2173000,338929,14104.1,166.059,338.776,205.922,-39.6988,12274.6,95.5064
844332,503975,289480,1854700,1174430,180367,12650.9,836.568,147.769,143.945,70.0828,8316.81,-409.469
564436,322003,263979,1779100,1186010,174657,5130.63,-183.31,-281.423,236.746,-230.708,8694.33,400.386
900525,397813,285156,1804600,920905,146900,7760.81,101.975,-43.1805,570.62,-609.501,4685.71,114.766
978572,360365,532122,3272580,1527110,250380,10877.5,-810.314,-295.974,585.19,-470.189,11968.1,-172.151
838604,461590,624393,4194300,2417660,353942,12320.2,106.675,-141.665,332.989,-499.507,9532.21,-173.575
713201,419143,342252,2108540,1340780,217983,11652.4,-31.0512,-70.2274,472.315,422.713,21428,120.67
453550,278467,187637,1531670,1037520,127251,5094.42,414.225,-173.665,516.342,667.359,3650.75,-255.272
676653,264530,326422,1801870,771285,134944,7778.03,-637.479,96.7636,-35.1853,591.997,4510.34,70.627
413865,270548,313946,1852690,1249180,210556,6207.23,-144.622,86.8751,469.776,-167.782,2909.87,-20.9207
806243,424718,459381,3510470,2216700,302306,47280.8,3513.2,-962.25,-160.881,-237.211,9754.42,2606.03
1096850,689043,533891,3412380,2088320,325992,17528.2,-1107.03,-139.927,-124.767,-453.601,6910.69,4287.52
1235830,645018,559869,3986650,2582860,343565,8495.03,566.86,-72.1251,1013.69,426.145,35487.1,198.836
693172,321392,252460,1554920,848814,139401,3779.72,-46.9074,-338.801,-206.599,-23.1047,19845.9,933.112
903923,412276,444931,2639370,1298710,223951,9564.66,-187.917,-115.901,-90.1689,-22.0467,6478.75,665.581
642107,252986,384395,2489340,1214170,182920,6570.66,-236.61,44.5106,651.149,188.942,13420.5,933.512
608719,244337,279124,2217070,991830,138543,4270.63,325.894,-120.145,464.981,514.285,21039.8,546.324
578456,248520,194926,1220820,676517,105813,4886.79,654.352,-474.654,573.502,54.8966,8825.75,-431.197
779729,440709,456418,3213240,2003620,281107,9449.09,839.151,-128.13,649.48,219.573,8826.93,333.294
909561,402039,225564,1513190,677529,96219,4544.34,-210.364,-458.805,581.164,-441.374,5181.04,-340.568
697800,382897,240235,1818550,1008170,135875,3885.28,77.9084,108.963,292.923,-512.989,9564.35,-338.551
707286,397517,320702,1974430,1137690,185704,5445.64,-176.119,132.533,99.1556,-88.5725,10915.6,-282.549
843936,426082,337285,2315070,1143240,165296,6497.49,-312.529,-59.0153,53.1112,324.751,7403.82,620.944
1250380,502656,706889,4194300,2623510,412091,28093.8,1327.41,-354.699,355.364,-507.762,14723,345.929
359754,287480,244891,1567580,1309610,206933,22830.8,5229.43,5563.1,1393.15,-138.549,4830.57,-494.999
666440,340107,270882,1758720,912512,148717,4650.25,289.512,-116.685,211.461,150.203,5388.47,131.687
886030,381324,355543,2495520,1264410,191692,9590.12,508.242,-232.845,296.506,23.8587,10748.3,-771.102
766241,382720,486591,3101080,1739980,262389,9394.53,-638.424,110.916,-106.881,-26.7641,7474.12,-275.862
733067,367113,353735,2254640,1428580,219668,8392.79,150.06,-229.111,215.402,169.381,2618.77,150.634
752732,450881,366615,2367520,1316900,208769,7214.13,-66.0394,-299.914,592.671,-305.409,6860.5,198.845
733677,313138,546376,3353440,1564850,255212,7617.55,-400.25,-250.756,523.612,-223.278,10063.6,-687.634
658971,309919,503194,4178950,2178210,265830,11963.3,534.457,-71.2758,831.76,-260.976,1661.69,-1479.82
1160300,611772,347015,2439430,1729350,244925,13789.3,53.4479,-39.1337,576.581,-352.087,10849.6,-669.877
575729,220687,245457,1812680,875842,112927,3610.49,-127.403,-57.7205,800.721,79.6151,15373.7,-99.7087
512786,274327,297400,2174140,1256250,178471,5980.6,147.04,50.4063,19.5998,90.851,9703.45,315.881
1004640,354120,392635,2362250,925614,159941,6187.44,-307.859,-101.378,363.463,4.44573,12720,-724.533
1146840,537337,644371,4194300,3414510,389123,9978.97,15.0682,-66.5388,-267.64,982.098,48743.8,792.64
948202,433353,386472,2513210,1504520,236858,13468.9,-214.379,-397.648,502.411,-28.3269,1805.26,430.003
838578,406249,407371,2939720,1575350,211894,6782.43,86.0567,-49.2939,318.826,422.183,20501,119.965
738790,350034,346005,1996960,1016620,183879,5175,-416.363,-37.5987,-4.4884,-244.475,13000.2,236.638
951631,465022,421459,2774180,1657060,253678,7890.79,633.707,-199.107,759.586,-159.207,5759.7,67.2526
721758,389512,220290,1778260,908733,103317,4533,364.004,-437.268,571.83,-59.0086,11334.6,45.4246
572711,306815,214994,1432080,799262,117067,2681.49,-103.09,376.326,-396.146,159.057,10331.4,201.917
380512,284321,160261,894782,724964,131944,5425.88,-608.885,-29.1617,-11.6071,-427.835,2128.48,2790.6
1022520,376982,674446,4028110,1406050,233157,15143.4,-447.777,-262.744,723.659,-1023.84,13971.7,-798.688
