FSC-A,FSC-H,SSC-A,SSC-B-A,SSC-B-H,SSC-H,Comp-AF594-A,Comp-Alexa Fluor 647-A,Comp-Dylight 680-A,Comp-PE-Cy7-A,Comp-PerCP-eFluor 710-A,Comp-eFluor 450-A
1227800,469229,528773,3797580,1426580,200914,34108.6,9479.17,5109.4,264974,17738.4,113234
587163,281554,394496,2798280,1423110,193114,13026.7,4236.62,6839.03,98196.1,12372.3,55162
696713,392726,513332,2914910,1834810,324009,13423.2,6536.41,3006.75,64341.8,8776.23,56498.3
857061,356643,308218,2086400,795678,115762,14687,4260.3,1494.3,99264.1,21214.6,31101
1081330,427533,523828,4194300,1941470,236830,15935,5800.3,3041.38,105602,8367.35,70023.1
682367,282536,231164,1549800,684348,100065,12001.9,2059.89,2095.76,48530.8,6974.26,24794
538190,290117,515413,3325770,1939670,308931,18773.8,1043.3,3228.85,72419.7,8252.16,43713.9
694553,320735,224633,1680760,1001140,137806,12485.8,7867.94,1743.13,73968.5,10755.5,19928.5
706468,376706,266137,1808490,1189840,168368,11432.7,9227.64,1899.6,60724.4,9069.2,25134.6
551079,326980,204321,1240000,799361,137839,19532.6,4804.05,1491.31,183014,20032.2,28386.2
673250,331627,537481,3054510,1792780,330982,10414.3,11232.9,1746.87,62780.2,50191.6,22703.9
547864,336345,363811,2151920,1308570,230335,10880.3,7929.23,1763.09,45108.4,7711.44,63751.2
750509,456586,572888,3440560,2152070,362279,14774,4320.76,3171.93,64359.6,7981.63,70430.3
1093000,524968,595548,4194300,1906680,282333,32461.2,11782.4,4364.38,190978,15195.4,102975
931575,411306,563422,3857530,2140330,302878,17729.1,8779.09,3395.93,84141.4,11295.1,80534
1329420,571187,677721,3991140,1563320,288085,13018.3,7619.63,3540.51,82738.8,7324.49,89119.8
974447,521988,413648,3556500,1645980,186255,19876.1,9152.11,3857.92,129899,9515.77,67555.8
1063950,467223,473094,3556080,1542320,207322,15593.3,9889.99,2620.37,95952.1,9303.26,88700.1
501698,295206,251869,1494220,962798,159426,7450.97,2393.25,1927.02,136918,6550.82,34481.2
629963,352216,361593,2304380,1496120,237882,11911.9,4352.44,1962.62,69838.3,15163.3,54364.1
713261,355347,293710,1755750,890262,153183,8154.04,9983.21,2220.16,64800.1,8214.56,63862.8
879600,406213,357719,1890860,946818,170772,8369.06,8064.51,1408.68,64519.1,11230.2,55594.9
930865,548843,337539,1982490,1202780,204735,27311.2,6231.74,3115.78,18592.3,20408.7,164967
1029270,601657,541613,3736120,2717650,397018,18379.2,5054.8,4010.12,117476,10478.9,50353.3
433990,239364,240509,1421260,898259,149545,12988.8,3528.85,1687.73,70025.1,9323.99,70828.2
1220870,610834,438316,2576630,1404370,238161,24968.7,4978.83,2997.91,118426,11978.7,74325.4
722322,420398,301477,1782380,1163990,201329,15243.1,3945.34,1961.51,34271.8,6357.37,50125.2
1046410,385157,570352,3482840,1405520,243004,11931.6,6318.13,1721.74,40795.5,14843.3,71523.3
647114,247152,253552,1656280,678322,104502,15150.8,6818.07,1862.37,89682.8,7006.98,21105.5
1264820,707335,366666,3441160,1886400,190599,13523.4,10904.7,2896.97,66164.6,8980.57,55380.4
1123230,670888,432882,2997740,1858680,275730,14561.5,7007.26,2898.13,85518.7,9197.62,68532.2
689260,389416,404484,2606690,1677000,255632,7369.65,5546.57,1762.61,46907.6,8766.03,56818.3
1099300,611219,386977,2492460,1182100,181581,15038.8,5857.15,1808.66,53112.8,8744.18,69448.7
862318,368989,596874,3961180,2068530,290284,9128.32,1025.74,3015.57,73713,8142.69,61497.6
797813,358997,292654,1814390,955265,163168,11450.3,6219.16,2651.21,103777,6951.66,24712.7
926663,359735,470836,3130190,1439400,229677,16704.8,10437.1,3847.84,83933.6,14542.1,29538.2
1309040,704601,749423,4194300,2856300,414588,45015.4,5008.68,4230.07,85087.2,48604.2,74549.1
832170,366963,396582,2330600,1301550,223983,11681.8,5897.8,2807.28,76001.5,8521.58,62340.3
1127240,563514,679972,4194300,2245640,342302,14043.5,4336.11,2765.28,84608.3,8067.86,83039.2
830253,420119,480740,3228970,1717160,258332,11302.1,3162.49,2521.67,113661,8530.98,43962.1
509155,290448,226787,1877100,1292520,149027,10608.8,4410.96,2379.1,48919.9,7023.35,21058.2
802126,417665,476823,2997930,1631470,257831,10876.3,4970.11,2412.42,43469.3,7228.05,86240.6
947378,528326,359371,1865520,1234300,229806,20286.8,3999.13,2717.83,124524,13223.6,35217.5
770466,485290,320366,1830740,1456080,252975,17193.7,1036.52,2510,82771.1,8090.26,34063.7
609230,315586,402226,2054130,956543,195917,23531.2,4016.05,3374.27,112413,9482.66,52661.4
646359,350378,315029,2717050,1737440,201393,14291.6,8770.55,2610.08,119327,18727.9,54282.2
597897,272015,270490,1858930,845767,123150,10422.8,6149.45,1165.69,58256.6,18410.7,15639.1
1629770,764655,831101,4194300,2485010,440212,19018.6,13413.2,5813.46,109365,22220,85648.4
848989,463885,362964,2292900,1364560,217226,13356.1,5351.99,2008.01,57131.7,7457.11,22012.2
1444290,655980,426626,3932420,2574570,275257,29943.4,2536.6,3229.58,75634,12871.7,38041.4
1289660,558464,566390,3534320,1537960,249845,12211.2,10480.9,3257.59,87456.3,9928.06,71047.2
1437660,765324,665931,4194300,3048960,386521,39422,14034.3,4502.14,217919,25068.7,56506.7
1063380,411428,635685,4173190,1517700,259132,16936.7,2680.9,2302.75,79634.6,7931.22,56246.1
1342830,723127,613719,4008650,2170020,328475,28473.5,11090.2,4721.43,220007,13320.2,66116.3
1221830,510775,634542,3852900,1923800,302709,12763.5,6318.91,2407.36,71925.4,9438.43,61690.6
554393,245860,208081,1202550,674652,116175,10450.4,2028.44,1761.66,61522,7543.48,22787.4
996595,606583,409223,2410450,1607510,278335,15202.5,6263.63,3349.81,69831.3,6571.78,94464.1
982179,594914,387747,2158920,1139160,207786,20502.2,3518.53,2374.95,85911.3,12052.5,39974.1
1087350,504523,393095,2778930,1575940,224504,29770.4,5457.22,3482.94,74612.8,10686.2,42216.1
811168,404867,351632,2452370,1422200,210847,19491.4,4494.26,3040.23,104812,13974.9,56295.4
498766,291224,349308,2300140,1309890,204132,8653.64,6242.53,1861.38,55432.3,11126.2,52556.2
499303,257460,233530,1498900,957448,147202,13073.6,3246.77,1609.16,35497.3,10713.6,23645.7
653853,199738,534053,4100120,1640710,214053,15972.5,7285.58,3609.83,73032.4,15091,40697.9
1058770,566797,682904,3853560,2115480,375724,14275.1,6312.52,3161.86,79444.2,6852.28,62616.7
722045,413190,526936,3208210,2058770,340229,18389.5,2218.32,1338.19,99080.7,9827.93,33962.4
944460,487356,496532,2939000,1404690,238232,8681.36,5551.03,2042.11,52590.7,18055,40427.1
680303,347384,534128,3065020,1537120,268069,12826.1,5721.28,2173.24,89900.3,16070.6,73681.6
474328,313203,279860,1677710,1090930,179067,12206.2,3285.43,1949.65,61925.8,8234.62,22747
491359,287003,366409,2102180,1262150,235860,17721,2812.46,2248.46,113111,18670.1,30043.7
1367820,677636,500699,4194300,2125810,226256,28955.9,10816.9,4869.07,123826,15934,90809.2
1619670,832125,876572,4194300,2712710,429623,21626.4,5773.11,4244.1,69142.1,8172.19,97305.8
603408,329956,201710,1885150,1240450,119144,15471.8,6852.47,1526.66,71168,13366.5,35417.2
659481,307143,190393,1377410,736964,105605,17179.8,8479.2,1382.86,89201.8,11780.5,23981.2
1434860,681189,619239,3879160,2614980,423669,51388.1,3710.09,2466.25,22403.5,16672.8,41032.9
1438980,632069,660740,4194300,1878850,282147,30612.9,9881.11,5290.69,162801,12909.8,116650
887185,409436,292377,1868630,974128,158782,13272.3,10866.7,2298.29,59914.9,7460.64,39290.5
1007430,628326,363201,3333330,2046000,228424,21373.5,3092.95,2961.45,79015.5,7684.87,45034.6
946394,474598,568139,3370680,1727160,299117,12132.3,3787.7,2516.06,354678,11779.4,111790
780134,521983,272978,2178900,1547920,199152,7678.66,5740.91,2004.32,39703.1,7588.94,43879.2
514795,314926,377252,2403740,1649490,252663,12618.2,894.944,1084.77,32807.9,7285.67,29276.7
1026290,379490,658660,4194300,2368200,309252,19062.6,2827.25,3630.7,117108,9911.08,50842
1048420,505943,749892,4194300,2705620,454522,12735.4,4691.93,2889.43,49358.2,11740.4,62812.9
605630,272129,236787,1338570,827292,152015,9909.33,2332.42,1385.8,55614.7,11083.7,22644.5
730400,390162,519151,3362200,2145190,335229,8694.19,6122.05,3359.86,74327.3,8980.85,62380.5
1079340,547671,682257,4170260,2393070,381338,14008.3,6661.46,4090.17,57978.7,11254.4,82044
904333,507598,480385,2940280,1904920,314152,11640.1,6146.52,2075.48,63449.9,6786.85,78424.9
593039,358067,241544,1552050,939722,150575,8600.32,7263.11,1698.85,57749.4,17118.3,17102.2
653172,334971,352433,2176100,1176410,187640,10491.6,9163.59,2112.02,77217.3,18575.2,37463.6
480130,348768,197685,1134500,938533,164397,5420.63,764.902,1597.06,8354.12,19770.4,15217.8
538720,336124,245726,1578050,1028840,153028,12058.7,1500.2,2166.08,27902.1,9229.04,28221.7
1204120,554880,536090,3058040,1663450,281146,10205.2,7772.26,2673.39,43454.6,8672.74,82109.5
909948,536550,407639,2547230,1596890,263986,11671.1,5125.97,2593.55,81177.8,7742.8,69458.7
1075770,590590,696913,4194300,3645980,473879,11115.2,5148.31,5824.87,135963,7573.17,62150.2
517810,308647,259327,1668660,1038000,166645,12589.2,3341.11,1792.89,69291,8290.54,39413.6
995567,436174,383131,2904160,1330000,188073,9690.42,4589.66,2277.49,35433.3,6503.82,52982.5
545397,285403,407329,3232900,1548920,200337,22250,3435.39,2781.4,108281,11276.6,48212.5
1081660,452590,560950,3632060,1576100,252438,10451.3,5025.85,1459.1,49034.3,6838.54,53704.5
901152,413282,289209,1791530,802454,126902,11957.3,6591.86,2053.38,73216.2,16047.3,28345.7
900123,347836,262064,1862480,769124,102391,13551.8,4729.73,1739.97,71368.6,9696.36,26143.6
903672,510774,498284,2713820,1689200,317481,7026.95,5896.87,2689.07,76912.5,7108.82,72308.9
821705,388292,383594,2593930,1532190,215698,14551.6,7773.09,2259.57,79380.5,24900.8,25436.4
726733,323524,406205,2558210,1185630,198186,17524.8,6142.48,1931.59,127940,16027,59407.3
1146800,513664,383281,3016030,1486030,188910,13835.1,4880.8,3177,61608.8,6517.95,66646
798548,453437,487223,2876360,1734980,296779,13037.2,4438.98,2562.93,85745.9,7378.23,63807.4
811742,399295,255469,1458780,663814,112480,11670.5,4076.54,1351.5,79237.8,7816.25,20670.3
1033470,371997,275744,1900080,794215,123322,19827,5281.78,2555,71886.9,27489.6,29828.2
493880,276096,276944,1922180,1122610,156854,26067.3,4455.49,1503.7,106534,18583.3,22435.5
657555,395298,215083,1914530,1276440,144136,21275.1,3003.97,1133.82,16735,9219.22,32788.6
948459,499553,560882,3963690,2242850,338603,28856.5,3085.97,2993.64,88299.1,14953.9,27730.6
602410,347921,267280,1857670,1226220,177033,13034.3,5536.49,1993.07,75067.8,8642.89,50799.3
1083840,548605,394117,2457640,1505680,245683,10748.2,5367.05,2350.53,48209.9,14321,59084.7
770024,378792,454681,3477540,1934380,262196,10364.2,5823.53,2402.02,72948.5,7438.18,71796.6
994377,395849,662562,4086730,2197420,346637,8701.84,4814.37,2400.36,78795.7,6737.31,73020.8
426247,286558,206203,1415110,976655,139004,7521.48,3723.53,1398.31,41630.4,8669.27,16032.5
751111,398350,372767,2133740,1074310,190123,6028.35,4832.8,1417.44,41156.4,10646.4,21035.1
842646,376143,416829,2653300,1425830,216230,11244.5,10474.4,2731.87,88952.9,18405.4,92668
513172,314773,273530,1858470,1295460,189806,12457.6,7826.17,1944.41,60649.3,13430.4,21263.6
474441,258497,353107,1753590,993774,201378,8640,5348.67,1529.19,68768.3,6928.94,45171.7
521731,261350,250579,1536240,906529,142764,16264.7,7367.1,2109.48,109795,9316.41,48396
905224,372802,459072,2689270,1275280,220895,7473.77,5767.43,1489.57,47128,7789.03,55888.8
529675,254940,286637,1738340,1138210,182473,8206.63,2272.06,2366.07,54013.8,11093.8,24560.7
693130,353865,256673,1537340,770758,133014,6545.08,4303.21,1686.11,38658.6,13280,25223.1
1076940,718914,369586,2090980,1175310,205309,31347.5,8797.54,3203.22,59545.1,14511.7,37300.4
1274740,522991,782736,4194300,1944540,324737,25296,10418.9,4733.47,209601,29861.2,102848
1139520,466119,656493,3999820,2200800,361668,15102,9543.93,2726.02,106782,11678.2,86608.7
749431,384807,488229,3003170,1776420,294989,18287.1,2110.3,1828.14,383207,13327.4,87579.5
729190,310456,465010,2938060,1488110,235788,5715.33,4086.33,1696.63,48587.4,6444.91,47264.7
700720,386296,584984,3786680,2711450,411947,15901.2,6370.92,2188.49,64206.5,8979.96,45654.1
855149,496676,541550,3460400,2172090,341828,11596.3,4520.63,2044.99,86154,8500.92,65118.9
763234,348495,165799,1396160,573629,74908,13595.4,8414.96,1026.81,63471.3,24961.8,22603
440691,272374,173893,963566,714640,129037,4289.91,2862.17,937.442,29268.6,10325.8,8980.99
1106360,574994,322696,2188470,1508980,220489,23716.2,2149.94,2375.21,74160.8,10229.3,42630.6
1376630,612343,501258,3149850,1438500,233424,41938.1,7263.66,3205.91,246475,26591.3,80076.2
1173150,473911,421105,2821670,947365,175208,21846,7907.77,3451.88,103289,11182.1,53917.4
1004510,506226,557492,3486170,1859580,308591,14909.1,9926.87,1949.12,93719.8,18488.4,49533.3
672006,342831,278819,1593470,954225,161031,5764.52,8228.42,1678.59,50675.7,15157,18233.9
1116030,506195,665327,4076160,1871090,307403,12486.4,9451.39,2447.52,73548.7,8246.19,82746.7
962356,421754,408428,2556350,1119470,184352,10897.1,5879.38,2409.15,79766.2,7010.29,48366.2
674522,335906,367783,2224200,1104310,187367,17210.9,3101.7,1952.11,73845.9,7926.48,44916.3
709232,343674,200799,1234400,692911,122087,8659.4,4271.43,2190.11,32322.3,8795.32,22304.5
744576,426366,485684,2887510,1734530,299487,9172.7,5105.69,2886.16,89188.3,8976.14,80959
711166,442974,437022,2445490,1560290,287584,10647.6,5629.31,1931.61,63028.8,7133.12,27155.4
810113,366746,341499,2199950,1146580,180591,9829.91,6261.13,3299.46,75506.3,16272.1,27050
860781,425987,244670,1643460,957659,140190,16624.6,7179.81,2066.94,84953.6,12599.8,34115.5
917333,451051,352041,2056060,1038080,186082,15811.2,9370.33,1783.91,65333.9,21028.6,47443.5
