FSC-A,FSC-H,SSC-A,SSC-B-A,SSC-B-H,SSC-H,Comp-AF594-A,Comp-Alexa Fluor 647-A,Comp-Dylight 680-A,Comp-PE-Cy7-A,Comp-PerCP-eFluor 710-A,Comp-eFluor 450-A
584102,320022,312322,1760990,1002630,174349,7429.57,4954.06,154391,83546.4,10444.2,100492
1066750,401843,593346,3968370,1626760,240223,21160.3,4418.61,152293,56114.2,6363.2,82021.9
439536,286045,185324,1237740,943334,143409,12896.7,4768.66,139651,31003,9913.2,47590.4
456343,274628,251663,1602470,1095990,172382,10988.2,1844.2,917723,76588.4,8968.01,53124.9
606230,319598,342712,2106900,1157170,180578,7098.41,6981.82,13043.3,57534.9,15118.3,40060.2
510077,239937,204615,1246850,751332,123471,15594.5,1978.63,6247.68,74251.4,10394,18985.1
695317,343150,285661,1836680,886774,141883,15311.6,4150.06,16682,81200.3,13918.8,34350.4
627025,377256,293077,1827550,1278460,197680,20919.8,2699.91,24928.6,45168,8569.87,71225
961718,556935,419092,2482710,1560290,256044,19814.6,13351.4,1164790,160355,43927.7,56799.7
717242,471369,301520,1773160,1227050,201982,9288.78,5823.76,14693.5,58442.4,18347.6,81849.5
660901,372120,351646,2133660,1343680,219136,13336,3247.25,26154.9,57066.4,9462.56,70241.9
981460,438126,536705,3656480,1593030,248378,11462.7,4140.25,6173.53,58935,6657.92,58511
591752,404000,411245,2619160,1755810,275124,19413.6,3083.75,24178.4,252815,7935.73,96400.1
1104630,432286,534172,3473490,1277560,209340,18557.8,8644.11,11835.4,79981.3,25866.5,46149.4
854116,484081,564304,3189620,2136270,371681,15473.4,3741.58,39661.4,58897.4,8769.29,116360
679530,374422,501812,3493080,2168730,314862,14581.5,4960.1,25561.6,94652.4,14794.8,85914.3
694967,410370,363658,2103140,1464340,251264,6949.12,3887.6,107478,399281,12465.1,79505.4
744611,302243,462220,2779760,1305880,219124,14740.5,3016.71,8116.23,375386,15163.8,68223.2
653354,362519,360473,2630170,1588950,217815,20513,3777.6,5639,91855.2,12107.4,27643.8
606429,324968,203490,1416060,903163,130924,17151.8,1850.36,55709.4,56218.4,8458.66,54277.6
