FSC-A,FSC-H,SSC-A,SSC-B-A,SSC-B-H,SSC-H,Comp-AF594-A,Comp-Alexa Fluor 647-A,Comp-Dylight 680-A,Comp-PE-Cy7-A,Comp-PerCP-eFluor 710-A,Comp-eFluor 450-A
1279670,524436,543832,4194300,1634800,194271,21181.6,5733.6,166114,76053.5,12273,26107
1041760,408485,402228,2634490,1097450,169362,20219.4,8204.81,49914.1,105359,11106.8,24882.8
575866,379305,357985,2299910,1679400,263670,14186.8,4225.42,676126,41331.7,14907.3,14606.7
589007,344119,291028,1797200,1338640,214710,11293,3030.47,89848,78377,6615.42,10225.9
501843,282340,285600,1879050,1288300,192335,7274.59,2020.33,67175.4,19596.1,6787.62,8519.65
732482,367980,334770,2089570,1300340,194029,9819.59,3965.47,5942.13,58999.9,13248,28007.1
494468,355583,185950,1222920,992100,147665,8124.68,1543.67,27073.1,18802.9,8575.53,7612.27
836696,405695,268471,1648950,978679,161877,10919.5,1894.04,11832.7,53227.3,11923.5,13385.9
1121480,557063,332143,2240820,1160020,170144,18713.3,7624.85,13677.8,82944.6,16244.9,23162.3
526422,339043,276099,1979720,1402630,194015,13501.3,5780.01,30638.6,37328.9,10211.1,19467
683897,434755,233116,1350480,1041580,180100,10674.9,3901.01,142707,44854.1,12300,13598.8
612275,371158,390909,2362350,1511070,258670,11917.3,5741.42,57370.7,41057.8,6819.19,15392.8
400457,228822,398470,2457630,1643550,260273,15507.7,1559.32,8324.25,217483,8350.65,24520.3
1049310,482420,435058,2292980,1288270,252979,24888.6,5518.24,399443,109424,10222.7,20086.1
535767,343699,234219,1384790,1053360,179087,9637.67,2846.11,132855,40851.5,14923.8,12271.2
447761,259568,269548,1607770,1111060,184357,15642,2323.19,70844.5,49469,9587.03,13679.6
657585,346030,229326,1771880,858084,115612,19106,1699.85,8432.16,49064.4,15184.5,16299.9
1227880,468678,723462,4194300,1444830,224248,28041.9,5338.2,245425,96348.1,25660.6,33233.8
507690,342335,235180,1605900,1362120,198644,11510.5,1457.6,79795.9,26235.4,15403.2,9070.47
1089430,393272,661178,3918900,2002410,353639,20442.7,3904.84,650821,92685,15272,27183.5
909040,430817,332470,2072260,1105180,183062,14596.3,1277.61,68581,33584.1,6593.36,15636.5
531794,258561,288455,1883710,1102570,168700,10670.2,1869.93,6114.91,57628,15432.5,29796.7
529968,307947,328889,2011560,1290000,207759,14947.2,3209.03,39362.8,65595.2,8157.99,13228.3
522087,307081,162957,1257500,781462,103881,12325,4565.57,267596,39670.2,7966.75,10200
1085680,437323,508819,3196320,1178790,188341,30823.6,2052.4,16281.6,79699,16119.3,51111.5
964606,437434,492057,2961050,1000080,172782,15055.6,1483.18,33560.8,61576.7,15873.6,24376.4
664554,378541,270648,1992050,1383700,188860,12495.8,1351.05,47728,31807.4,7129.58,13592.2
384953,234493,248385,1344390,853656,161338,8737.42,2277.07,252769,32475.7,6413.01,12674.7
798322,461664,341499,2303060,1124680,171404,12306,3068.01,8895.9,66975.7,7224.79,31577.6
780642,400974,405141,2612540,1922990,287109,6108.44,2632.53,346523,18270.1,6841.28,14151.4
833268,423296,561489,3122050,1573360,304150,10736.9,2382.15,86339.2,45641,6674.11,20308.7
485098,274879,206815,1336740,980355,147721,13222.4,1417.78,14923.7,37649.7,9016.95,8441.45
379387,215888,176051,1285520,735167,101641,8533.9,5511.65,495052,36117.2,8016.64,8932.12
802951,394774,279712,1708450,853343,142286,18294.5,2301.21,163444,40808.1,9499.81,14347.9
536816,256881,303769,2192630,975290,139154,6560.28,3830.15,13015.4,24407.4,7492.06,9364.84
