FSC-A,FSC-H,SSC-A,SSC-B-A,SSC-B-H,SSC-H,Comp-AF594-A,Comp-Alexa Fluor 647-A,Comp-Dylight 680-A,Comp-PE-Cy7-A,Comp-PerCP-eFluor 710-A,Comp-eFluor 450-A
627260,303407,271954,1712340,844594,133969,7562.86,2615.38,71635.3,33008.5,7105.7,7391.19
358694,202393,220174,1510640,788444,118007,12728.4,2909.06,8186.91,42885.2,10589,10641.5
1232130,559389,641876,4194300,2716840,304511,22424,5375.48,52861.4,51869.7,17975.9,19480.7
1283140,806876,625549,4111120,2648220,409633,8645.04,4828.76,47446.5,52488.1,8836.25,18998.8
729235,390512,587003,3957080,2152990,320533,16311,1895.96,9263.75,204689,9498.37,20696
1174290,489494,532403,2904900,1075410,196859,8828.21,5434.32,94787.7,65102.5,16013.2,34678.1
610570,383587,233480,1267480,814118,154665,9962.31,2245.5,5839.95,65936.8,12371.4,20340.5
696799,237057,450070,2670890,1099660,195253,11990.4,7037.31,11593.8,47268.3,10581.5,17415
831165,312959,507786,3162160,1451420,223311,10875.2,1761.72,91338.3,60295.5,13078.5,16173.5
390196,241415,281483,1603760,1043510,182028,5111.58,1748.27,11296.6,27644.2,8040.18,9519.76
855248,513160,383989,2135770,1369690,247548,6244.01,2359.4,5954.13,33260.7,10171.6,15622.2
1270590,639115,423648,2801500,1493770,232370,10020.7,2680.13,14692,32892.6,15797.7,13253.1
447154,250254,227155,1670640,1073060,141703,6359.04,2389.84,75831.6,186104,7268.23,7130.39
582674,349798,272699,1711870,1032740,169678,5305.97,1661.22,5898.85,19123.5,8596.23,7852.34
342671,228033,157165,1117590,648404,89237,11684.1,1004.26,36089.2,28978.4,10405.5,8138.69
1037160,370600,465004,3161550,1340940,174916,18854.4,5141.06,11568.8,100205,13054.8,49209
1020620,435962,544778,3028740,1327330,235163,18854.2,7186.04,40064.6,59931.2,24293.5,22938
511834,263049,322705,1877870,962056,172082,16381.7,2239.44,22319.8,38885.3,7228.51,16246.7
474847,294877,196373,1215180,925333,149315,10876.2,2710.2,26078.8,31063.4,8137.24,10355.6
618389,363500,235422,1403190,846573,146142,6531.63,3231.6,6886.15,36273.9,7385.3,13447
941570,345644,510520,3058880,1067890,180901,16176.6,2136.81,55661.8,72649.3,17496.7,19441.5
604489,303668,338962,1851100,1178780,212090,6305.73,3352.76,67689.2,48269.9,12183.9,12800.5
1159700,453875,569386,3821850,1313720,201494,13271.4,1822.82,7366.2,22852.5,7961.67,19846.3
575990,343792,487728,3687410,2486800,324242,10785.6,4423.22,51836.9,54128.1,11192.9,11140
1280930,569039,441518,2803830,1172850,183616,21225.1,4841.01,91028.9,55458.2,11608,20643.9
478714,312150,203935,1236390,814635,138271,7763.67,1412.5,16453.7,24125.3,7794.1,12766.3
785290,423670,270806,1975390,1110850,155275,12267.2,5342.67,586950,65826.4,11738.8,13994.7
776427,476374,287224,1897690,1378220,212794,11287.1,3029.58,107532,38992.3,9356.72,11281.9
646261,367420,378524,2538490,1497250,225528,9061.32,4061.39,17040.3,48713.9,10048.8,9698.08
621745,283947,259313,1600430,988450,160768,8420.92,1520.94,51414.8,38545.3,8148.64,8134.44
808861,388066,368400,2113750,1025330,184449,10941,1973.91,85193.4,30631.3,16548.4,10395.2
998672,378244,505293,3257050,1246870,200029,20648.7,5476.32,411231,105042,6789.09,23234.3
1009440,381200,566654,3441020,1217510,200177,13549.6,3619.77,10292.9,57759.7,12736,45299.3
580206,343526,182186,1227010,757758,115059,14139.7,2423.53,25616.2,46487.9,12751,29421.7
373114,241086,169919,899109,588004,111230,5306.97,2848.12,6071.71,15669,8476.31,8185.01
860790,345977,600755,3501160,1847740,312922,10407.2,4322.64,646922,69393.7,13720.8,25561
805166,481963,498352,3742260,1954680,267365,11651.6,1706.08,36781.6,60752.7,20287.2,42379.7
900005,493224,512831,2953160,2024200,357715,14087.9,3346.28,201921,46984.3,7558.99,13910.9
819077,417355,403782,2350620,1158980,210559,6671.87,8340.61,7687.28,39045.9,8977.42,41849.3
1718340,858257,650955,4194300,2045880,301911,20418.5,3841.17,107640,131764,6464.13,24093.3
517956,318021,243498,1481250,1038970,167880,10485.7,1841.13,123953,35767.1,7539.47,9921.95
969581,473565,376043,2867450,1679450,221871,12427.3,3676.01,202757,77169.7,7798.12,12961.8
1104550,405217,641349,3747870,1116740,186672,12990.9,1821.87,23585.5,46028.3,13287.9,28946.7
455319,254802,263734,1479330,879598,155479,8009.09,3499.74,132358,32487,7074.87,8921.05
562178,267656,465224,2646540,1452100,262463,7428.61,4537.06,5650.93,45466.2,7692.78,36363.1
501816,294235,254354,1721290,1107800,159476,9254.29,778.921,11058.8,15245.3,11619.2,9678.46
521080,365177,143959,864615,619717,101034,7183.88,1937.09,14918.4,23279.4,6481.63,18574.8
1028560,514724,360837,2251940,1042240,171626,6447.58,2597.16,10558.1,26567.1,12484.4,15520.4
1188120,478975,473633,3316420,1368720,194872,16827.9,2901.49,8241.05,97950.2,7280.15,46789.1
930545,357634,327293,1820360,815548,140216,4331.34,2913.58,595712,42453.3,14138.1,16161.1
511798,329210,172505,887932,652362,125164,11648.4,2825.21,84645.7,39258.2,7811.04,8929.73
767447,413998,605285,3620960,1726500,289140,9667.27,975.005,201735,47910.2,9715.77,19910.4
664695,426972,507395,3500420,2285910,336096,19789.7,3210.64,13042,63454.4,9913.65,12697.9
920249,562815,319726,1950830,1067090,176118,11318.7,3049.06,39660.9,30163.1,11298.1,12615.2
1199200,501309,514292,2729290,1081600,198749,20469.8,3157.47,63812.6,140686,12294.7,28221.9
520215,325768,385619,2258500,1421570,245658,10246.3,1836.2,94045.2,23191.1,7063.6,10027.6
614793,370817,367002,2166280,1512820,261485,16262,1845.61,16561.2,204849,9755.52,38910.5
652934,407250,273272,1708130,1179270,187380,14271.6,2153.84,5370.23,34801.9,11784.5,13867.5
1083500,395864,377754,1934260,703517,138861,17155.2,3322.15,30649.7,53845.8,8674.13,33914
1021760,400071,638516,3664490,1617580,278143,10617,5628.97,139589,89357.8,12413.4,34008.4
553482,312064,495676,3207630,1929630,304069,14726.1,4266.18,147611,48879.3,8787.76,19192.7
430024,276842,236931,1502160,989432,158915,13328,3423.9,21992.3,31999.7,6811.06,21958.6
753807,372024,221531,1235630,739034,132057,11500.1,4565.05,6949.56,47952.3,6457.32,10893.1
518229,328252,257115,1638460,1133580,172935,10906.7,3510.41,10482.4,46463.3,13514.5,14490.8
489758,288605,205573,1145800,712247,125757,11713.9,2103.66,7562.31,45035.8,6340.25,16525.9
570546,355511,356055,2119450,1219170,204676,5488.71,3619.87,30529.1,51947.7,7701.05,12085.1
503528,351730,287772,2242380,1519560,192513,8691.35,3661.81,57595.2,29109.5,8771.27,7129.07
591807,365265,475184,2835630,1864290,307969,12320.8,3811.13,31329.8,80150.9,10098.8,14164
692575,430327,253798,1586620,1050350,173355,7228.13,2909.12,245705,32743.1,6863.18,9190.73
1480510,697131,660296,3770630,1765330,307688,12027.5,7543.15,111238,63578.5,17063.3,25483.5
864020,319310,458375,2607160,945831,155938,12601.6,2934.66,46611.8,35956.4,10699,20795.9
929653,483264,636862,4194300,2347380,329619,19320,1615.01,20122.7,70263.4,9666.71,22761.4
838547,369941,486331,3025410,1617560,248452,15955.7,2904.86,17829.7,317320,7951.62,49746
845735,468164,331500,2123440,1456370,225282,10345.1,3226.67,60420.7,27857.6,7691.08,13444.3
1084050,454115,526146,4194300,1752620,231723,12223.1,2850.55,9947.25,78958.7,6738.61,33225
560865,380485,331114,1893190,1279650,229964,3452.91,1070.32,292317,24556.8,9592.35,8000.41
720703,435588,336844,1736220,1168300,223821,18449.3,912.83,12137.4,76597.8,6768.29,29355.1
632793,402449,317020,1666310,1265080,235538,7585.52,2349.69,90095.1,42904.8,6952.79,7287.23
647431,388109,356282,1944050,1084220,207163,10880.9,2605.74,13924.6,42458.4,12255.9,13002.1
829450,402464,305742,2527840,1017990,132254,11684.2,4211.49,19404.8,61609.8,14318.4,23540
1050040,581536,519824,2664490,1318890,270709,9093.64,8332.12,19414.6,53400.3,10316.5,23923.6
1002250,425423,597816,4194300,1795320,219188,15841.1,7533.86,56226.4,244147,12794.1,40065
1115540,479078,552749,3399510,1556550,253124,9609.69,2086.61,8046.15,34323.4,14220.9,25525.1
1211670,452851,720516,4141440,1237790,224194,10577.8,3180.87,12874,65157.8,12081.3,23476.3
1105470,603630,513111,2767150,1825260,335736,19190,5890.81,5488.71,35011.1,6562.96,17509.6
775435,406223,469728,2791410,1863410,303946,15674.2,4316.86,13353.1,117595,7976.46,19531.6
571850,368700,337190,1781870,1259720,240559,4647.09,3308.37,88781.7,71169,8199.04,11137.4
700100,426215,284204,1822600,1236970,198302,9810.78,2652.25,14224.2,26443.4,10596.7,11538
792518,456854,368417,2498150,1534090,227095,16716.2,1705.6,12847.2,41051.6,9565.75,14575.7
1465110,763158,685192,4194300,1671520,234957,15438.9,3179.99,89186.4,37243.2,9664.68,21431.1
525597,369612,232610,1153670,894884,181139,4353.99,1841.77,129539,19740.7,6532.54,6325.42
915664,484128,304710,1779480,1073340,177972,6724.08,3089.35,134471,44172.7,13243.6,9893.31
609496,362980,547882,3135040,2042600,360694,11061.1,4309.67,7019.66,37928.1,20756.5,15655.1
708081,386219,249961,1475540,994533,167752,12863.3,3787.47,59945.9,54504.7,14198.7,12306.7
520528,342269,307812,1772300,1188950,200944,7198.73,991.805,131586,195570,9370.68,11057.3
727296,294487,328959,2853960,1109880,149349,13677.2,1936.72,56058.1,40868.1,6975.99,11894.3
713557,495216,532736,3183240,2233220,371748,14148.1,3415.88,87758.6,132593,12499.8,12544
778623,429055,259782,1977760,1240260,165083,11592.2,3712.11,333228,48845.7,10423.7,12813
787176,465285,248013,1539010,1010860,160090,7519.86,1580.11,7135.92,31753.3,11473.7,13225.7
378050,198029,186047,1091100,540852,92722,9505.13,2886.64,19082.5,38871.1,14657.7,12156
557535,338080,261070,1697830,1173570,180500,7621.02,1119.98,113062,22342.1,8858.06,6207.75
1005350,591051,330791,2203680,1588500,242185,6296.82,4458.52,44254.9,33184.2,13323.4,10527.1
784999,378608,438733,2397900,1341070,246200,7997.19,6587.18,36831.6,206793,16733.9,22197.9
849423,417748,591708,3437730,1760230,348384,18702.3,2819.99,538592,60605.3,12300,19537.6
1202850,566302,436132,2885000,1909480,288431,12611.9,3139.23,562987,40963.3,10112.5,13500.2
931068,557590,247570,1550650,1011360,159334,7222.34,2986.03,5786.43,30251.7,8964.31,23224.3
342404,193565,225366,1477990,930756,139340,9774.81,2260.16,24393.5,65087.2,14647.4,8186.7
505467,297878,341193,1971170,1155930,197849,9145.82,1040.85,16687.5,45550.7,10560.9,13944.1
1073430,408048,663806,4132480,1787350,291416,15451.1,8047.09,9635.13,67581.2,12506.2,26922.9
544871,343700,234056,2791300,1637860,126121,19800.4,3609.41,6270.43,238254,6573.3,26786.7
1014700,411271,458918,2568730,1011420,184787,15005.6,4721.88,100668,58091.3,12024.4,19181.4
579904,352778,332669,1819430,1081160,196246,17087.7,3335.24,21622.2,40282.6,11780.9,15412.3
606207,369637,189333,1300300,888887,133812,12779.4,4033.04,7376.2,40777.9,10767.9,34679
1011960,457840,377386,1917940,1027020,201939,8494.77,4481.66,5368.18,37417.3,7370.71,23800.4
733628,415973,488534,2749490,1340000,240125,4775.76,2853.86,115861,20745.2,13013.5,7898.69
1185480,564512,721960,4194300,2894400,452854,13738.4,5591.39,24154.8,62205.4,8088.55,30651.6
1057510,480396,665877,4194300,2861510,359025,13603.9,5678.23,8525.76,133300,8510.79,37528.2
714469,400624,324344,1791450,962391,186212,8418.91,2684.19,8768.34,93265.5,11066.3,14439.9
1213660,464387,536624,3047940,1021440,183911,14231,4972.06,97447.1,72031.6,17299,22122.7
578954,380277,300051,1787960,1245060,209171,11679.2,3430.28,6579.21,70635.2,8790.75,23643.1
884853,404500,365364,2162050,940623,168204,14246.2,3118.56,284083,56756.5,6925.1,10927.2
710607,440104,424414,3434010,2482310,307991,7302.4,2062.77,40082,18610,6542.89,7475.97
827998,518275,303075,2212500,1381490,185355,10038.5,3973.02,9339.1,42697.1,15905.6,13146.9
376686,218822,276927,1441750,925884,174801,6948.73,2619.09,43426.1,43295.8,6848.31,10171.9
979744,428772,328986,2004270,1036040,176386,6508.94,1711.21,121810,32805.7,6458.68,8455.98
563270,310981,269009,2102700,1223070,149308,7254.84,4908.52,17654.3,43003.5,7006.86,17483.8
434489,232271,238932,1472020,873489,144125,8971.53,2697.33,36269.8,40895.4,9497.97,8791.4
557243,341676,344634,2039200,1404820,229383,10893.7,1531.12,241649,46875.7,11166.3,8322.97
1115670,436719,542583,2839560,1163140,218437,11069.6,6936.64,18874.1,117133,7846.51,39129.2
1275520,508744,599571,4194300,1749440,229481,17394.2,5864.72,7268.38,73918.1,10594.3,36802.4
657241,407213,193669,1227840,746653,118558,12451.9,4074.44,187669,41504.8,9277.82,7990.6
543219,360679,241799,1437320,1002270,163322,9327.79,1125.93,36420.7,27432.7,9515.08,10236.7
935159,474241,397175,2049370,1099470,216285,8786.1,8255.24,9274.86,59027.9,11607.9,20375.5
681208,360781,324118,2050020,1059030,167676,11999.2,2308.03,278700,27567.7,10871.3,9278.5
746974,431123,216577,1210810,699413,125089,9716.35,2348.64,6229.39,37005.1,7320.91,20548.2
581372,366741,251161,1380130,781154,142919,7314.86,1391.01,171741,34894.5,6896.56,11035.1
731812,480536,208118,1218250,878748,149804,5741.22,2308.73,6227.88,20412.4,8489.86,10355.2
1007140,415188,453623,3875170,1991180,243580,13967.9,5571.27,6101.18,42605.9,10014,41943.4
669005,402612,210107,1445260,832571,125504,15067.4,3087.56,169028,36840.5,10290.2,11118.5
803766,432930,247585,1557140,1137520,176876,6165.47,1439.41,31888,27663.3,11138.2,6855.76
951752,543541,497717,2721260,1437630,258238,13363.3,2568.73,17498.9,38008.3,7231.92,29620.9
1202240,439174,383877,2776250,1096210,157143,17711,2998.17,143858,189082,9583.49,41555.2
756657,408652,609520,3765830,2121330,342044,13074.7,7197.73,7496.77,66246.5,14430.7,30281.4
605338,379715,209479,1142080,709463,131210,7335.59,2138.62,40931.7,24239.1,12291.2,13998.5
593260,342630,329896,1856200,1113650,191063,9527.05,4632.55,26731,47945,8748.6,19491
660941,384715,370997,2012890,1201730,224431,8236.08,3920.82,9134.58,45653.5,7180.23,27045.4
1182890,603445,461482,2898810,1505370,231123,15727.8,6620.71,110333,65840.3,7323.12,20175.8
785509,442088,586033,3332820,2014500,364896,13783.6,785.139,8950.9,24872.9,7428.76,14874.4
633893,292749,426277,2476120,1318390,221297,5564.29,1036.58,9508.76,29276.7,10060.2,19568.1
513756,308895,287303,2050530,1329650,192670,16579.6,1356.76,562529,37011.1,17111,10234.2
669029,369361,463268,2425790,1380670,260574,4836.73,2424.01,15106.4,82728.4,7727.57,16469.1
668242,403806,405260,2293630,1357840,246412,9040.19,1877.35,7955.83,66152.2,14383.9,19690.8
1015300,477803,309642,2008480,978575,151816,9998.76,2043.93,7738.67,41688.1,8629.56,13566.4
700005,399872,344150,1996910,1358280,230496,5136.62,2370.39,61922.1,23995.7,7822.51,8765.42
551347,318651,303948,1822320,1106220,187244,4941.05,2359.12,14902.5,49833.2,6717.65,9903.78
414309,248278,355225,2060740,1289460,217137,4973.01,2807.81,6976.88,65963.9,6510.63,11833.8
800834,457110,410844,2527050,1628230,273871,7933.56,5759.8,18520.9,37596.6,25320.1,11809.6
600315,376741,243048,1418050,949745,165380,9877.46,1775.76,79835.2,41085.7,9443.13,9973.92
605452,322479,333942,2177640,1193270,186038,15219.8,2423.8,181072,69692.1,6404.49,12143.4
606492,314616,569264,3428440,2052220,339938,14599.5,1962.14,13265.4,355849,13892.8,15310.7
615736,306399,426378,2510780,1465590,243784,6917.65,5098.89,6962.88,105702,6901.8,43539.5
736509,268787,260875,2483160,983486,108654,19604,2076.85,32999.7,52387.1,10861.7,12466.5
702455,340048,489855,2987780,1407050,243713,6067.83,2750.77,35631.1,53785.6,9880.88,13338.9
1023910,505068,629241,3450970,1625520,303589,10084.5,2162.01,138791,47947.4,7690.56,17946.5
694944,377959,352881,2191010,1087290,176659,9616.06,1205.66,52345,50716.2,17115.2,14269.1
727597,436005,303338,2432190,1532820,187302,10942.2,3745.14,9880.56,49732.4,10099,14274.7
527821,359067,191414,1035020,757647,136858,10379.4,1701.93,83020.3,14547.5,8121.37,7916.51
664346,346223,359580,3068250,1701600,199751,21257.6,3300.2,5342.67,128902,7621.77,28929
1186380,481310,336660,2671900,937331,111950,12831.7,3448.95,163324,46560.9,9050.27,14462
643290,387903,310253,1697370,1080490,195399,6655.7,2014.27,36658.6,29051.3,6854.78,9030.35
549363,315095,510412,2913120,2285060,389811,2882.07,1153.32,83314.2,16605.4,8407.99,5222.77
606376,295568,449189,3537970,1493320,187367,14118.9,2734.37,7209.01,323619,8289.56,18228.1
712658,271384,304913,2163980,960955,132447,22548.8,1644.11,19177.8,62076,20253.1,12356.2
649895,352893,444199,2799170,1568950,251406,18408.2,2736.79,23656.3,222611,9177.95,28723.5
692303,477760,202919,1257430,899146,146547,8884.28,1316.49,182618,28304.6,11360.7,7136.48
861122,467934,472783,2772470,1706370,298258,10301.8,2820.32,26424,61190.4,8357.8,24323.5
612603,330414,283165,1678380,977917,171423,10437.6,2869.25,69828.1,61661.3,8153.78,9300.51
1061590,394482,595221,3139040,1065060,224229,21089.9,2665.71,13673.3,77632,14942.4,35792.5
927662,555491,393059,2573480,1691710,263720,6443.73,2054.39,17020.6,27774.9,9198.43,11459.4
1034750,448337,660629,4194300,1979460,323068,9865.35,977.7,19804,25177.6,7779.4,11335.7
668103,417615,241530,1562710,1151280,182352,5223,2075.7,342800,33410.1,7204.33,7250.03
890436,473220,341728,2071550,1191560,199163,7243.54,3259.45,131401,43980.8,9064.06,15704.2
497558,272344,504352,2974210,2332170,376774,5813.93,2778.01,94533,38035.8,15999,10258
1125500,437718,644874,4194300,1658470,243718,16356,888.55,176007,32385,12358.3,15296.8
759546,393612,352460,2225450,1184470,172430,13777.1,3862.23,21460.5,45749.3,18949.4,15410.7
684493,417528,234258,1533800,930898,143268,18772.4,3426.73,62233.8,43657.6,9558.82,12682
926261,573191,456480,3679170,2334970,297928,8203.29,1814.33,314543,38875.9,13494.8,7682.97
719558,471679,257139,1941210,1265380,170122,9966.1,2855.47,17817,47566.4,6759.53,16168.6
760065,429271,331324,1663040,1015080,205365,8742.43,2290.55,569757,30797,7201.21,8267.78
761631,433625,353466,2261350,1454370,226086,6013.83,2504.1,5786.06,42359.8,7298.32,13772.9
792082,434786,188706,1392490,888935,116212,6969.45,2735.43,26798.6,31844.9,14800.2,8486.81
1111880,511597,542316,3547660,1674830,254150,13255.2,6406.63,6831.29,90596.7,20869.7,21399.6
