FSC-A,FSC-H,SSC-A,SSC-B-A,SSC-B-H,SSC-H,Comp-AF594-A,Comp-Alexa Fluor 647-A,Comp-Dylight 680-A,Comp-PE-Cy7-A,Comp-PerCP-eFluor 710-A,Comp-eFluor 450-A
738174,255559,249292,1864130,592096,77950,15346.7,4953.43,61671.6,69576.8,18838.4,27263.7
512306,301185,331574,1935710,1164080,196593,7960.8,3833.66,35740.4,59824.8,8281.81,18612.2
388198,248085,153708,1169640,739897,96534,7836.15,793.26,8928.73,17105.3,6428.34,14338
467928,196069,330005,1845780,900411,161958,28619,3351.73,23204.5,412395,17168.5,57676.2
428097,292349,197233,1234100,795014,128536,7285.97,1992.49,10737.7,15529.5,7266.52,30138
658519,344773,257805,1384770,670508,119036,8083.72,2214.66,15294.3,203129,9801.05,49290.3
594639,325416,327103,2369710,1467280,199025,11127.6,2844.85,9578.95,110510,9182.71,38771.9
679872,248603,496385,2781900,919740,179768,14110.5,3728.65,5535.96,64603.2,9965.5,65707.5
662144,307833,385373,2483020,1315160,210053,9216.71,5547.04,23274.1,187176,6823.48,44943
818185,451799,230777,1273450,687496,128818,5126.59,3037.15,6833.93,87007.6,7613.3,29077
1295440,581474,858088,4194300,2866000,392811,23317.9,3247.39,10772.5,99150.9,11977.3,77812.6
834989,401204,521203,3059180,1696060,282593,8597.24,5402.04,5199.04,68104.1,6952.66,52126.6
621921,377858,158498,912962,654077,114094,13130,3978.21,21895.9,70683.9,11461.7,10757.7
983958,598702,687791,4194300,3222540,469311,20760.4,6245.7,43564.8,193389,16370,46093.1
695387,421746,182752,1110900,755248,124244,9348.37,1402.9,10831.1,17820.6,7538.51,42984.5
1151520,454785,433350,3041490,1437870,215449,26241,5528.59,46167.6,382770,11406.7,80089.1
803228,314413,388555,2451290,1138250,175858,7115.27,1283.69,20556.4,26955,9337.6,32445.5
643295,385893,376237,2217050,1587970,265277,7336.28,1483.01,6869.25,44003.7,7710.61,38890.9
449129,282569,181105,1250350,922358,138797,9286.28,1994.14,8291.98,15814.8,14006.3,16911.5
439374,321313,190024,1373590,997727,133032,13381.1,3591.2,21798.4,170707,22877.9,17246.1
559562,368005,296572,2357590,1607340,199405,6713.46,3132.93,32210.6,45383.1,7185.26,18410.9
767058,398561,439316,2457010,1715370,310745,13098.8,2024.39,24577.5,168314,11853.5,60558.2
1111120,408614,774980,4194300,1524120,283750,17515.6,1281.06,7277.14,154497,7262.77,70836.6
433948,278282,247610,1347570,844176,160013,8300.91,5464.9,20546.3,29745.2,15928.4,15708
657059,317853,348487,2188710,1132150,183418,9541.69,3577.96,40341.6,50271,8250.08,37471.4
963685,367705,474850,3749290,1280830,164368,19142.5,8484.54,10418.5,223874,10122.7,67433.2
893195,481363,664269,3345680,1677860,343772,9315.49,3650.01,12515.6,39538.9,7026.24,32153.6
685230,416207,300752,1816870,1256110,209614,10104.6,1894.02,5946.28,32565.4,7329.38,43385.6
712538,377606,464115,2739000,1810020,305803,12596.4,3487.84,10367.3,39664.8,10211.4,50524.8
670869,358572,416936,2445210,1613610,269251,4480.57,1391.07,20220.5,52927.7,6964.33,33707.7
788183,521557,384618,2837550,1886030,252836,9618.45,2777.38,6133.27,191114,14275.7,37071
593326,369316,364076,2045480,1188410,209274,6586.66,4599.12,16781.6,64822,8845.21,41420.4
600489,337725,489230,3098880,2081730,329829,17366.5,3593.05,27012.8,307668,8082.19,44052.3
921043,417465,478051,2857730,1283270,228098,9831.41,5884.68,9649.94,44571.8,6485.34,47441.6
408221,266829,376942,2125470,1415680,250417,11072.2,2345.04,10880.8,130358,7792.08,39396.1
670241,399522,255183,1926550,1303470,174621,14000.7,833.632,35141.3,20634.6,7022.54,43959.6
610900,400334,290985,1872550,1292070,195179,13468.4,3297.14,21910.1,390443,10516.5,42683.6
834251,480541,401353,2818710,1884400,265078,6945.2,1841.95,7140.99,159412,7138.88,22857.3
983940,360806,680494,3726550,1361820,248095,12484,3480.54,9125.45,53104.6,6795.2,35267.4
430268,275235,260281,1469220,900904,158889,6445.16,3393.11,49996.4,26404.3,10994.7,36268.1
664253,423378,378493,2101860,1467100,270411,8246.77,1400.56,20995.8,38046.9,6577.76,47482.5
1200840,447640,626276,3579670,1379110,236504,7888.35,6903.09,6487.22,106561,11705.5,48417.1
614436,404381,402356,2327440,1562590,269284,12549.7,3821.94,57069.3,440243,13997.2,44676.3
552023,329033,263179,1692400,1181660,182386,7486.82,3221.68,30568.3,55532.5,7175.24,32848.7
808861,512202,263443,1506920,966539,172007,11548,1768.66,14224.4,25796.5,9948.88,13210.7
739396,430831,371649,2061560,1327460,240239,23523.5,1193.14,26225.3,134106,11955.5,47731.6
678441,336520,412947,2581390,1459310,234636,16958.1,3304.29,7563.7,79520.3,6494.64,47879
685479,422910,285187,1824880,1306320,204194,7956.57,3929.11,7300.25,18587.9,6828.86,9911.17
494493,281408,317349,2032310,1376710,216423,11001.2,2650.1,31168.6,143527,6535.9,27423.9
344402,203336,237984,1350420,902616,159228,8805.09,1053.26,14525,281091,10897,38216.3
1484850,830801,639277,3346990,1960480,367342,11731.7,5658.23,24170.4,77266.9,6668.46,68520.9
725078,243058,589557,4194300,1648810,185288,22940.7,6746.29,27469.1,250020,11048,65761.5
1007620,581418,449780,2407790,1457350,277121,11328.5,991.61,10419,19693,6391.18,39913.1
513945,335424,228015,1499580,1043110,159287,9917.31,1452.38,6834.39,198452,6337.2,19619.8
1164570,497642,701361,4194300,2380610,347563,16994,6731.87,53059.3,74122.7,9999,57383.5
438744,219911,311111,1689960,852352,157482,13181.4,3565.36,12217.6,42202.5,18236.8,16559.6
859905,401654,310170,2190550,1138710,161245,10398.6,2506.15,26225.6,84688.6,7815.1,27410
506255,373972,213356,1313130,1001280,158260,4958.83,2209.73,6341.1,41361.6,9770.82,27081.2
501834,294190,204024,1341300,921518,140496,9783.29,2073.03,11465.9,30294.4,8467.26,38473.7
547263,315075,349836,2222210,1452180,224868,16189.9,3193.82,67469.3,324334,9116.91,58150.3
985876,562096,594315,3828880,2466960,392974,19565.6,4832.42,13199.1,478306,9576.11,65291.9
750288,451295,377417,2266760,1373680,221126,15571.3,2911.81,22276.5,349620,14078.4,32678.2
420902,234118,270263,1592470,978932,158309,7258.49,2371.96,6660.63,18564.3,9164.56,9638.94
1126880,441845,538340,3642690,1678190,247507,23205.7,6325.17,10600.2,72340,22427.9,75208.9
451488,252971,356841,2180550,1145430,181143,8703.88,2671.25,25971.6,181252,9079.76,31035.7
377435,195109,348934,2064110,1259820,202150,9145.56,2136.51,44069.6,55235.7,8923.06,43597.2
