FSC-A,FSC-Width,SSC-A,HA,pAKT,pERK,GADPH,p38,pS6,pCREB,Time
1005280,2812.15,454158,0.152488197600919,0.0547124595265247,-0.113137793126713,0,0.189559643488063,-0.142984514445838,-0.11176254225603,1.28327
721826,2557.61,215516,0.19046155875584,-0.0628493433829276,-0.0620611862778686,0,0.267681484807266,-0.0990850523258658,-0.0423900051526269,3.31246
926222,2484.52,563849,0.102943112286611,-0.101145801932289,-0.0853515863559131,0,0.0957656792182552,-0.287085902887791,-0.151160890621773,4.43111
458277,1712.68,268639,0.0664755123678698,-0.0839320354066424,-0.0649362664287116,0,0.092211040900805,-0.220627565295217,-0.123163175228621,4.43111
614701,2066.44,210075,0.24830204250768,0.0260944874049559,-0.00735062789666991,0,0.012742431166555,-0.0842416430459885,-0.0223339562246394,7.71552
907189,3409.48,261812,0.00912027020758875,0.119047371399515,-0.0380211280070318,0,0.189883623547377,-0.189837839610622,-0.137814061660928,8.19804
462013,1655.54,139829,0.315581171549523,0.00973355838479205,0.00499907428823868,0,0.0771837487899178,0.00532781924524985,-0.0687194113428223,8.23413
416317,1507.54,141677,0.312206274435381,0.0328442732168843,-0.0533582035026916,0,0.113415064139983,-0.0848755911518261,-0.024171029214397,8.33402
599011,2087.77,175841,0.171028591842085,0.0156745282410254,-0.0862406218041988,0,0.150537606674614,-0.0923077234829756,-0.0830518901231763,9.0547
1238570,3620.14,424073,0.168896496087055,-0.113705573220148,-0.24814622182644,0,0.0431570264932503,-0.333154834622014,-0.22759919969678,9.47635
1132140,3466.99,379969,-0.0124208729034997,0.0993237693095785,-0.114785481776381,0,0.247981809600475,-0.187010007149477,-0.169120355903233,9.96234
559262,1888.2,298379,0.256464928062254,0.0334801736172864,-0.0852799811330191,0,0.175586432756105,-0.109228774422536,-0.00554596619288778,10.043
659077,2444.78,243468,0.262799208205351,0.0982029123470076,-0.108752847742979,0,0.142149492727763,-0.0809679409476279,-0.100873258592123,10.323
481330,1710.01,221030,0.103439639137982,-0.0710030246885219,-0.108329687057993,0,0.144548911360623,-0.182001543323297,0.0118264912838849,12.956
698524,2049.86,313493,0.220160899701893,0.0266353975233037,-0.093523685157472,0,0.107135963228196,-0.056359726203327,-0.0628176413157135,13.0948
1213430,3405.08,646326,-0.100982522442995,-0.00882218952389377,-0.264935863371377,0,0.228804513864576,-0.281553646824529,-0.105970837665565,13.1426
1245750,3824.53,448114,0.101739925598921,-0.0147648582545721,-0.0598110542970593,0,0.194036881332453,-0.251626308838742,-0.0768701172899789,13.2493
501582,1948.3,149321,0.419442726788919,0.0279205729955492,-0.0246883456266834,0,0.0979588161898519,-0.0586120365283189,-0.0527852058223038,13.2558
1294650,3264.09,420525,0.154091426190931,-0.057152289125784,-0.0797149378810903,0,0.214299839983069,-0.280786749707324,-0.156891962321354,13.2765
524906,1950.25,141623,0.352641374475456,0.0145488982641128,-0.065024048523648,0,0.139049853387241,-0.0780270744980442,-0.0693007432850215,13.2865
430966,1672.94,90618.7,0.288809899972319,0.000773019785800251,-0.00826974471078599,0,0.140072816699272,-0.0918299292116779,-0.0581554578969613,13.3009
504179,1938.62,79658.5,0.417954355802764,-0.000839763132512254,-0.149125891014605,0,0.0528852373814617,-0.0694247933789703,-0.0476828257783556,13.4049
523908,2150.67,242834,0.239335843153075,0.14450750911911,-0.0525306083631742,0,0.143236651151976,-0.117537070563004,-0.113962677228912,13.5131
580878,2117.4,116542,0.162221274068402,-0.0646163402275597,-0.150205439544281,0,0.054722508586261,-0.113115861718431,-0.113302337534028,13.7598
803967,3133.9,414502,0.232869164735739,0.0360517101362236,-0.100318741530045,0,0.245816873713076,-0.124947817946632,-0.103810346681672,13.8919
1767580,4174.12,603803,0.152400559285104,0.0769546719022407,-0.100684139485136,0,0.186984470521401,-0.22781270393006,-0.120734116091587,13.9297
932685,3144.4,484453,0.0155356350031226,-0.00142567544959832,-0.0888685884540801,0,0.229952428977564,-0.204172383134327,-0.130289170062538,13.9577
1185460,4055.03,371458,0.0164357505959412,-0.0500993822941767,-0.0406299201737257,0,0.219823004079159,-0.184510312114358,-0.0631082775088799,13.9693
680750,2465.02,213969,0.0369603618586333,-0.00580294789092424,-0.16175904651859,0,0.148915166297907,-0.14634235205202,-0.13345676303495,14.485
1217050,4015.43,299583,-0.0158021040700072,-0.076759075244898,-0.117376630747949,0,0.177001488694981,-0.24087963231043,-0.155892957405758,14.5988
703979,2130.04,140750,0.224329034915342,-0.000995105964829719,-0.0545201008455709,0,0.0761579049125867,-0.104825212621272,-0.0617904659597777,14.9626
1295630,3376.78,761732,0.0787594905015365,0.000625863800390694,-0.136657447894966,0,0.166905207999294,-0.264987774254326,-0.134038255019479,14.972
389984,1527.34,159338,0.395663242743942,0.0576538307961489,-0.0364013660990036,0,0.0858050078009733,-0.0745610998367058,-0.0590759572655763,15.8299
832502,2523.75,493770,0.170814622704918,-0.000214944342860143,-0.0996989648441527,0,0.126123727538855,-0.304328742829445,-0.146981015926027,16.0075
1003620,3296.73,424273,-0.00946056955781748,-0.0831769091325845,-0.152900742967591,0,0.193728526390459,-0.311047412480271,-0.144858445691364,16.2478
664136,2053.61,247302,0.386172093445783,-0.0554746772856934,-0.0820934496497458,0,-0.0840860041013692,-0.11110019883186,-0.11710934308823,16.5749
494723,1785.9,173047,0.211336084518462,0.021395493787311,-0.0707354630704883,0,0.0439940542586667,-0.114189193552722,-0.0903893403372312,16.5841
410502,1511.32,125561,0.215785560611785,0.00341176843556042,-0.0360522276186899,0,0.0230527958230899,-0.0753330368168121,-0.0404535675267043,16.686
661937,2123.93,185176,0.418961523196602,0.0594119837839107,-0.0773531450829661,0,0.0375129276803025,-0.0473427369884365,-0.0634801110432198,16.8871
406245,1561.35,120873,0.301272285246316,0.0319394005507354,-0.0339750219097701,0,0.181227088276724,-0.0659624878684027,0.0277244784012411,16.8981
337655,1301.72,67316.9,0.323516743485172,0.00535067583892397,-0.0321088518539767,0,0.066663523676907,-0.0549904282783618,-0.0481516538154512,16.9359
965709,2690.64,556293,-0.055075677460359,-0.0598992566173261,-0.210924236085773,0,0.164872107623413,-0.296145517336568,-0.122840458633307,16.9384
468023,1629.32,152179,0.474521796364701,0.0351809462640611,-0.015730826780668,0,0.0653062875569314,-0.0829503041843863,-0.0325979348682751,16.962
920359,2410.69,576272,0.325087469667683,0.0106668788381222,-0.0256367263772092,0,0.161240417041683,-0.196375271070568,-0.0563659618038638,17.0855
1332390,3674.2,457822,0.0103952031519975,0.0505637478674556,-0.0692280409390558,0,0.207408921964758,-0.223508895908384,-0.136354640628202,17.1716
827239,2402.47,370411,0.26907077358369,0.047213625929688,-0.0913474802161119,0,0.174222928480797,-0.0509262627919561,-0.0532871522569726,17.6842
1161210,4154.73,541289,-0.0994474484287834,0.0158663265863358,-0.154567879691868,0,0.200881633585461,-0.220208955350435,-0.136139275778912,18.3609
687728,2200.18,524421,0.253527287839732,-0.0135762013528412,-0.0691461401329313,0,0.102576305453518,-0.122010489474278,-0.0990226634324845,18.4434
411476,1496.83,178784,0.352174025010346,0.00864356650192968,0.083558118047863,0,0.124391737744087,-0.090180977445384,-0.0543694973612529,18.742
422647,1490.94,164161,0.349781481497771,0.0166137532172344,-0.0249408892402928,0,0.149649039114363,-0.0534734311754728,-0.0408504085998382,18.7933
