FSC-A,FSC-Width,SSC-A,HA,pAKT,pERK,GADPH,p38,pS6,pCREB,Time
1424680,4016.55,544678,0.96397644644,0.117111555422914,-0.10761001730075,0,0.348740077343648,-0.0467398770746831,0.0152378779698397,0.51625
882058,2632.39,439245,0.531814468125378,0.074426883306753,-0.0614918562999495,0,0.213902630739491,-0.0369640479261561,-0.0361742835099489,0.598193
1475450,4094.39,989358,0.307523494900305,-0.0414685981268085,-0.116618835430761,0,0.099701749903955,-0.459144108975413,-0.123633640598036,1.45216
1370760,3216.45,8085860,0.112088713973216,0.218534186499143,-0.16515342254253,0,-0.105811197844983,0.0388998962078197,0.129927636101527,1.85015
505508,1741.2,190964,0.438104198476418,-0.00270256356626395,-0.0159732138020209,0,0.111474839276591,-0.194655677047085,-0.0264656108327802,2.69066
816881,2700.29,395307,0.457048374131956,0.0525763838715827,0.0789683278759074,0,0.353574571057703,-0.196283092823734,0.132732280988769,2.74504
335801,1293.52,107617,0.504071717604267,0.0303577062236532,-0.0222660730097325,0,-0.000151903298294434,0.0129417633271296,-3.6492722016036e-05,2.85902
790127,2762.98,330328,0.0349147048630519,0.0116204305185682,-0.160544888307978,0,0.200860592174997,-0.20459249348125,-0.157016604447921,2.8903
389640,1527.95,229267,0.505571447124204,-0.0147115458002786,0.0228579613819855,0,0.15302430867337,-0.105235950042045,0.0634659551328772,2.90742
414529,1572.04,199729,0.131689544635707,-0.0298309243552306,-0.0398002296645985,0,0.213959979847173,-0.0521597302499909,-0.0825705781141474,2.90744
769499,1923.26,481706,0.180482897585066,0.00100084930986373,-0.0750460967816751,0,0.0773532604610851,-0.273134489684498,-0.095540744873369,3.03609
566798,1884.71,222575,0.229101176445816,0.104853892651882,0.055196944320622,0,0.308693904722286,-0.0587207721732433,0.0120675550697233,3.05585
663996,2103.33,330440,0.330718186615419,0.0127193967417151,-0.0336121417021886,0,0.0516558540363775,-0.235446265366068,-0.0854648752920953,3.15093
465610,1835.65,125351,0.506209170558566,0.0177067869658469,-0.041067685837224,0,0.119473222830111,-0.0732574716943811,0.0142165544710092,3.19655
568591,1840.84,343018,0.797756128070247,0.0446980703192377,-0.0493059306521294,0,0.134083288257285,0.0331189417166026,-0.0586751796375032,3.20119
425047,1482.93,232698,0.214448747760984,0.00861394690062479,-0.0531190266288529,0,0.032254530135551,-0.129540819359458,-0.0421743365547064,3.247
545468,1929.63,177136,0.40219192584152,0.0176164925084822,-0.0365261718601232,0,0.059091990293759,-0.0758203280452407,-0.0352127022086592,3.48764
682337,2060.52,314239,0.828075307693324,0.112524239832283,0.111006452685798,0,0.182812071696297,-0.150338911206699,0.0665531179099431,3.53564
752010,1999.11,280291,0.631269631372543,0.0386604801406936,0.00102322191563553,0,0.0241103372757585,-0.111180239277136,-0.0058548538216147,3.84235
1099850,4113.86,443511,0.128170677749043,0.0570390915041179,0.00244581854326735,0,0.408814705055277,-0.188581512954912,-0.016087347729709,4.01534
403339,1568.55,149498,0.642268932187251,-0.0595178226280842,-0.0493048151756123,0,-0.0456368020668735,-0.121889216758229,-0.0781174475012561,4.08722
365353,1435.97,128089,0.597453584268214,0.0319616317234574,0.0419189441267601,0,0.0689450024795182,-0.0623610692884132,-0.00492049784099809,4.52429
1071890,2625.58,749434,0.544531739311554,0.106608741711403,-0.0277976254872617,0,0.306555202147113,-0.198921421617346,0.0157563579265686,4.62132
414460,1433.11,147584,0.420680876765562,0.0566182443418707,-0.0320993911681028,0,0.0500762386722963,-0.0426306948114657,-0.0233872970019339,4.80296
1036840,2964.39,522534,0.322915146212884,0.0450908150392769,-0.0380086690185164,0,0.123292968106852,-0.176665868412,-0.0588213016182984,5.76451
901965,2726.25,287836,0.309072091127648,-0.0143542790228752,-0.0720000072734382,0,0.329679988807549,-0.0447476967832376,-0.047549258351303,5.76457
749748,2638.58,403553,0.0861862290681631,0.0100861428095549,-0.0384131216302418,0,0.0968937223250475,-0.296682977390781,-0.0744447927884183,5.78065
404444,1598.05,130122,0.845939466984355,0.0999147531642269,-0.0944996552656025,0,0.177940507490298,-0.0797126821887336,-0.0239664819263636,5.908
371283,1425.65,152086,0.236873325889912,0.0265800796741169,-0.0292363390364719,0,0.120895065998803,-0.0708911749348243,-0.0579301923439391,6.28979
663972,2235.71,762475,0.326718502144479,0.00480255786394078,-0.0939718132938011,0,-0.000410063396325405,-0.218346851541941,-0.0872581739362438,6.6449
386642,1478.29,122316,0.420734616373954,0.0152590841466596,0.0457718111960531,0,0.184984981831827,-0.145981720590281,0.0925018834382874,6.64996
1125320,3020.04,414143,0.488225266450805,-0.00730327767331373,-0.102725231530931,0,0.18167986761412,-0.272753856389248,-0.175082932034834,8.25083
1073200,2744.05,410712,0.0516536667970554,0.0444144240399514,-0.0764091423921552,0,0.267266532730795,-0.150980658064102,-0.133756859603673,8.25179
447082,1588.65,161225,0.405509991798769,0.0395442704211181,-0.0198645033564729,0,0.21960544363523,-0.10706342168873,-0.0442198650032909,8.32907
521840,1938.35,153082,0.217508045960224,0.105724448291295,-0.0375748129385747,0,0.206327915399814,-0.0929172938176675,-0.0473048627361241,8.34705
487249,1798.02,120254,0.195628856239044,-0.00574762085660041,0.074106045738642,0,0.159976489539215,-0.13227391086465,0.00940409973099361,8.38386
372498,1460.01,113993,0.492811002946951,-0.0144872451265109,0.013463876303062,0,0.154500146518315,0.0486511469267469,0.034600847731535,8.3905
384943,1555.96,130417,0.638971107114134,-0.0207420237344775,-0.0574760584508883,0,0.187307426596196,-0.0600699366742175,-0.0521537491264667,8.391
381262,1496.75,120554,1.01377402269365,0.0157205046646228,0.0142232926895945,0,0.116883737689554,0.178101555556176,0.0317643111598404,8.39604
457441,1679.16,155890,0.360552237168881,0.00710215366431248,-0.0291714449869917,0,0.014553779317845,-0.0452581842513172,-0.0121916471044874,8.413
447772,1543,99327.6,1.08400829788583,0.0177699562679807,-0.0592332078349844,0,0.0640164392813562,-0.023676575450998,-0.00898982421775803,8.41932
789096,2548.55,244234,0.185509741219014,0.0252471850583579,-0.051777088487735,0,0.123162558445554,-0.154536629598608,-0.069512010807875,8.46714
871593,3518.7,450791,0.187539380163687,0.00580385624157861,-0.0976312722767519,0,0.24739792198585,-0.235593752784261,-0.0592965111426714,8.51618
830429,2446.2,375420,0.899013314908865,-0.0498105693454026,-0.152932504317265,0,0.0716469742347293,-0.0166598327925184,-0.134763007583174,8.71479
395252,1466.1,126964,0.341185733869249,0.0174449087778458,0.00837930800072657,0,0.130249867865174,-0.0553826564183102,-0.0290755323026121,8.85265
628566,2458.78,150773,0.473249144711835,0.0168697563967369,-0.0525180758103437,0,0.21244600625303,-0.0849761449139468,-0.0784622671484045,8.93775
431831,1430.42,124974,0.988258855400224,-0.0438775253284058,-0.0651175924292267,0,-0.0192141278919702,-0.123306202181709,-0.0631260236765387,8.95927
761068,2675.11,208639,0.413411991461483,-0.106869204005119,-0.163433191320546,0,-0.0850298511329044,-0.184309130624151,-0.147921585130352,9.54845
512080,1678.22,172826,0.651721055543958,-0.000534941693697409,-0.0732751037718106,0,0.00693836693267891,-0.166811672940594,-0.0710542967388524,9.64954
456840,1697.25,172503,0.75188179193579,0.00889802168116068,-0.0265426998421808,0,0.0677865142213979,-0.220057206042826,-0.0678393946273592,10.3742
1054110,2597.78,331223,0.12672129291407,0.0793875087944403,0.0207075341651031,0,0.300179188969225,-0.0986354418372009,0.0420741850392942,11.025
499009,1790.02,122490,0.460033273329886,0.0169272955499425,-0.0794563707355243,0,0.0939025891627218,-0.0845775047178122,-0.0631786216720002,11.0351
550140,1842.68,419588,0.121735222387848,0.0795265610113218,-0.0820685236075902,0,0.124261169666938,-0.22397314931572,-0.0725218496254995,11.0381
578683,1866.95,247753,0.649055802677355,0.0117897108097046,-0.0406938351940593,0,0.186859241545942,-0.11158955520831,-0.0502312773978875,11.0454
1947680,5022.22,919784,-0.0100418784110042,0.0445952821340643,-0.0955387378906493,0,0.224525823702477,-0.264072301897929,-0.0542382801339712,11.067
606475,2317.14,122883,0.257439573388846,-0.0390424755280044,0.0391915499473673,0,0.0602479386378019,-0.177976035194371,0.00392930279846338,11.1331
738368,2534.35,334528,0.365872812845147,-0.044645032809498,-0.147896721760829,0,0.188016531499426,-0.233999050090937,-0.0918419434888826,12.8126
655795,2034.8,276971,0.185881663151346,0.0329898003367094,-0.042472710549073,0,0.276564002826198,-0.213328188722106,-0.0259728323418945,12.8128
433664,1663.09,116370,0.621971145304976,-0.0617364280921712,-0.133227698533003,0,-0.0530257779964564,-0.145975711683375,-0.124571011849177,12.8286
1120230,3752.55,305641,0.301210496077092,0.0692470655173932,-0.0455760575237143,0,0.257111837541209,-0.0847306953013551,-0.0528850290727646,12.8378
