FSC-A,FSC-Width,SSC-A,HA,pAKT,pERK,GADPH,p38,pS6,pCREB,Time
321575,1304.27,123100,0.578761817565399,-0.0695900395324247,-0.086782545405435,0,0.00438191873963241,-0.13989712160827,-0.0368270076162135,3.30856
847157,3259.77,366225,1.00981347906638,-0.0100467834995147,-0.570615549563255,0,0.172430880887247,-0.31343514638726,-0.439049635569655,4.56407
604741,2335.05,247454,0.866087432549086,-0.0456020200003129,-0.13898767679468,0,0.176467080599385,-0.0868540956690804,-0.0800096048472421,4.63458
450822,1548.84,191308,0.347349454837502,-0.0983006652153729,-0.137438954258705,0,0.0559877463069291,-0.121110167518109,-0.15339428701778,4.64754
753410,2083.49,251007,0.363290295777316,-0.0759647833013331,-0.184559779898645,0,0.0330039616253514,-0.189077748252374,-0.137973203102065,4.65056
448551,1681.78,125851,0.147739293651726,-0.0892562497297627,-0.116136441048167,0,0.0361264290991238,-0.174910903107437,-0.0760531118525765,4.73033
405253,1385.15,63961.2,0.326264526278245,-0.0168597503831402,-0.0670272391058592,0,0.094750250549598,-0.0280628934495339,0.0238986573006766,4.85452
676315,2156.55,208639,0.142339383696324,0.0221746593338818,-0.00322791300609331,0,0.168737574217404,-0.129349190023969,-0.00700493269474235,4.89347
448018,1769.84,74916.2,0.202645937008929,0.00210501730707241,0.0271946960198756,0,0.188141050904333,-0.0304623198463612,-0.0164321194191374,5.02725
880520,3336.88,226388,0.577479331537808,-0.0517332401508251,-0.149470060308656,0,0.260618267187646,0.0931004940602152,-0.13349957530414,5.04448
334172,1302.18,129054,0.756412231123552,-0.0208382711864895,0.0386626562648186,0,0.0221793467497265,-0.0745194203186449,0.05142714911565,5.16002
383812,1524.95,67096.8,0.517820759283745,0.0318528357806488,-0.091780116453953,0,0.0880718632116126,0.0518167181316484,0.0353977714298246,5.25532
419578,1617.65,145581,0.416338750242778,-0.0176549691188325,-0.030919141653575,0,0.0974283583329781,-0.12490569306133,-0.0379504055955856,5.25542
1234990,3698.34,352832,0.153335851565141,-0.00703015706877736,-0.191111796524613,0,0.355568276887918,0.0872504780329982,0.0208297852970959,5.25601
587518,2073.46,253566,0.18067412400466,0.0469062529130485,0.0509800544051889,0,0.131905354202773,-0.150232349413903,-0.0354804029671766,5.54783
508319,1740.49,128586,0.439356645075843,-0.0611624482302104,0.000944702429562671,0,0.0952250883782694,-0.0993382414191707,-0.0086101902796557,5.74665
845644,2662.59,229106,0.0947809615503629,-0.00821316360949129,-0.061858057748666,0,0.253048332912771,-0.171586227754876,0.015571114827341,5.75985
616641,2440.71,172209,0.0994533095763903,-0.0772214438545289,-0.12861679607653,0,0.0465767033068711,-0.237495906214483,-0.000406175940479583,5.91125
1028480,3426.93,542921,0.584673087513012,-0.0616057937768146,-0.123507970505527,0,0.302505027114234,-0.24678254142674,-0.0585439424434909,6.15516
952232,3158.97,310979,-0.00866427384766575,-0.0294251350558431,-0.167673408758451,0,0.280926493350137,-0.0926682347585354,-0.0628549355529935,6.48482
771920,2474.22,228569,0.581384339909892,-0.0221094285485499,-0.199059127920319,0,0.286416137717799,-0.0686864355759713,-0.107870067095424,6.50174
393095,1436.57,149716,0.469207669087822,0.00769554473094508,-0.0373319161996328,0,0.155264553039672,-0.114397396029704,-0.0991330821407713,6.52725
754959,3044.29,162996,0.23739539718158,-0.165225501209774,-0.0304038893742711,0,0.118414280316769,-0.0806241149669129,-0.0120933342410197,6.57016
606148,2195.01,180717,0.101423702624974,-0.0629761774053351,-0.161937180823317,0,0.100838385771463,0.141804659187811,-0.115013412413461,6.64402
666314,2329.71,253970,0.0426384220145191,-0.0981123003207406,0.0431079759779333,0,0.00729095791968076,-0.0347307119997111,-0.0815858008637885,6.98891
1155760,3545.28,380306,0.883079346823955,-0.0227752225377182,-0.0540242061030544,0,0.282001676966452,0.0532287542929665,-0.0484063196898199,7.00632
428122,1558.45,278746,0.154605059364823,-0.00520321746296067,-0.286880054718861,0,0.126657754309756,-0.0830760377193419,-0.394366657427236,7.04633
