FSC-A,FSC-H,SSC-A,SSC-B-A,SSC-B-H,SSC-H,Comp-AF-A,Comp-AF594-A,Comp-Alexa Fluor 647-A,Comp-Dylight 680-A,Comp-PE-Cy7-A,Comp-PerCP-eFluor 710-A,Comp-eFluor 450-A
1146410,505072,727478,4194300,1975480,314381,11940.7,122.876,132.252,-592.749,78.7218,485.013,-933.735
772278,333687,236782,1314340,849900,153772,5960.29,-146.577,236.585,-59.5389,-259.577,-93.2264,-500.454
473273,327751,154799,992438,658485,102321,5573.66,-19.3667,272.857,-268.451,-120.961,7.06908,-300.104
305237,253605,135050,878761,775966,118659,2557.31,213.523,517.684,-524.088,120.424,70.6179,-222.514
589894,285024,270502,3190510,1750390,165769,4901.72,1181.02,288.221,-394.343,239.899,899.479,-1269.96
322080,147997,160015,1123820,591375,79699,7557.71,-112.412,-666.603,603.698,-24.7147,-392.891,196.706
563550,302528,207677,1647050,891090,109613,5324.91,-25.1929,401.166,-187.264,-130.494,43.474,-301.249
504449,181258,313301,2061870,938217,145600,7011.18,217.782,299.541,-455.153,-146.353,596.519,-170.487
825224,449809,435860,2871590,1832220,281091,8070.21,-386.62,270.723,313.911,-53.4337,-297.488,-707.566
645579,392231,397567,2562930,1561590,247577,10598.8,-86.9491,-227.572,-281.796,9.67041,341.895,-274.192
534431,355030,306821,1770860,1287980,215870,6708.81,-118.654,48.4718,-7.18309,-326.486,-43.982,-596.988
1093400,578812,380455,2240690,1427370,241967,20166.1,2028.44,-141.113,-175.805,59.8303,1157.26,-2073.05
572570,329329,235907,1540770,975981,147109,4957.71,-165.228,-14.7951,255.244,-296.64,55.735,-134.626
652538,340045,172042,1258210,691211,91113,5511.34,127.943,-106.427,121.505,-112.41,73.4272,-223.502
648636,348763,501431,3097740,1824610,294265,10268.9,303.379,-209.129,167.411,-349.004,3.40018,-224.134
664560,366360,422762,2455200,1316440,236039,7461.21,-86.6166,-104.429,239.377,-88.78,-334.194,-1147.06
1014740,421922,666445,3892250,1315460,237697,14482.9,-189.948,12.0426,-273.977,-338.575,-117.533,-171.639
443958,191770,265438,1745030,1137560,170672,7080.58,132.74,-193.769,-281.187,-109.763,147.079,-75.2759
679722,332493,415956,2758200,1547460,240380,10099.1,785.335,-360.02,225.64,-151.781,-139.977,-367.926
951674,448337,317409,2529290,1263550,163304,8853.55,488.635,-317.739,583.991,422.96,247.995,-264.361
801580,389834,258409,1696180,956632,148494,6479.32,195.089,-137.607,382.658,-514.954,-251.98,-180.516
998240,549157,455583,2968380,1361980,216712,13191.3,441.249,-259.318,69.6146,-105.596,-5.46087,841.065
373126,304625,178205,1050180,934351,160754,4058.17,-82.0973,-207.924,65.4085,-2.45542,195.533,337.177
705883,467255,375251,2169250,1563240,271389,10299.5,793.112,94.6613,-82.8457,-552.94,283.502,469.836
823417,311902,365184,2700690,1220940,164398,7915.12,153.135,-75.0502,82.9865,33.9679,357.82,-142.861
638681,319349,233711,1383560,627492,103779,4883,-345.337,54.9549,-156.025,-234.456,-136.388,-315.33
740592,450425,192092,1110280,656858,115505,8520.21,-732.608,-286.186,219.351,-180.534,-6.99134,-683.318
680090,298630,160084,1054020,420140,65822,4285.75,-131.666,413.644,-238.423,187.939,-218.539,-105.074
726735,395923,276922,1903740,1115000,160706,7009.06,106.517,411.063,-153.419,200.604,-51.5229,-929.741
825729,300171,506447,3812430,1622620,219502,11772.1,643.308,5.16529,51.0023,607.839,-79.1852,1051.24
628533,312316,394792,2339270,1459530,244564,10495.3,285.201,103.145,26.1121,62.1911,-193.25,-586.601
822825,459240,246962,1316850,764420,142090,4997.02,-80.8955,222.734,-247.074,-186.512,-104.143,-370.755
716998,293264,564548,4020560,1736000,238792,12054.6,-66.447,137.483,48.939,59.7873,-119.22,214.301
590840,241703,405375,2575240,1501550,238621,9259.44,-20.3905,-374.233,156.991,-139.523,87.1672,-12.5931
558669,354481,216352,1485710,985204,147179,5758.22,365.299,-185.812,409.124,-5.4384,-444.041,78.4076
419014,194777,217423,1519850,676950,107440,5414.87,-218.56,-176.212,-13.7252,-473.966,-16.1029,98.0364
575237,320368,394761,2391490,1523140,250576,7249.47,-295.92,-187.818,116.331,227.797,-301.529,-92.161
1087310,395191,478288,2717990,1042620,183022,10884.7,-163.016,94.26,-55.8116,-246.139,-303.332,-296.171
618839,409811,394156,2994330,2254560,295677,25839.1,3474.14,350.055,-232.15,490.36,2479.46,-2978.78
1106230,460227,463367,2889980,1339710,208426,11795.4,-125.76,-240.343,492.248,-104.553,-285.696,160.214
422687,262825,157318,937790,672537,111476,4193.12,127.614,-110.226,46.0056,-81.0923,13.6477,-67.7751
355811,168144,224514,1470470,809597,124042,5590.54,-555.762,96.8134,-173.969,15.1194,-52.8983,-106.68
773913,482510,309231,2005180,1495300,232366,9435.86,96.9705,-208.595,-447.288,364.657,-125.698,-161.292
872773,468413,632195,4194300,2493600,373291,18367.3,547.25,-523.008,654.508,374.462,-375.161,541.819
816955,470200,446324,2904880,1877690,281514,11193.7,135.206,-193.251,232.541,168.186,-184.898,-31.4903
557907,331422,203401,1643810,1197160,151511,4070.35,53.5665,264.966,-251.869,-110.987,3.83239,-134.116
613092,280405,146146,1058310,457534,61042,3930.54,-67.7803,-276.751,391.601,-72.1251,88.866,-242.545
592342,312329,201753,2021930,1051590,104032,5482.52,532.123,-104.473,319.126,-264.864,66.6409,-627.73
789320,455912,412353,2972910,2039980,279089,12413.1,427.206,-95.4417,-402.688,199.192,33.3295,-441.802
385529,316661,154462,1005020,901309,138570,23822.4,4040.06,343.579,-362.204,588.709,2816.01,-3263.99
768874,544358,231620,1484800,1087940,174526,8944.68,-521.51,351.232,-156.32,110.36,-252.843,-284.408
540313,312243,478712,3535960,2633970,357106,12504.7,410.883,135.561,-559.121,-407.626,293.996,-176.116
709955,291772,305190,2281180,1271240,172276,8500.03,-29.4958,-75.4547,483.666,-49.9725,44.093,-246.914
443263,321296,123211,709942,527417,93478,6259.03,472.646,271.726,-240.474,141.888,588.951,-662.529
1224270,484544,530857,3241180,1602780,252799,16315.4,212.214,-403.798,764.982,-37.0246,17.6638,-443.967
1168020,605508,743982,4194300,2741530,391055,25842.3,-238.428,-793.564,451.739,192.531,-623.776,363.186
668506,347563,305267,2044420,1212510,188636,6063.37,-524.565,301.984,-731.043,-31.1237,86.6571,-272.769
795215,386063,226128,1391910,633792,112337,5413.16,-14.0569,-364.254,50.652,24.5683,42.7057,183.606
590784,294200,382900,2112800,1275350,222764,7385.39,203.632,-22.7353,264.404,106.115,-234.85,54.0588
603030,240398,236486,1517960,633430,105430,5585.52,279.374,-270.086,566.818,-0.585336,-307.379,215.883
797164,384481,578866,3999360,2225170,317848,13392.4,672.597,-542.241,625.735,-376.68,35.0551,566.297
446457,256984,191427,1733810,998202,103258,5409.52,323.855,1.29984,59.2434,-188.674,267.018,-438.675
646634,322453,314321,2778880,1493410,151235,7237.64,180.083,97.2328,24.7685,34.9274,91.1914,-493.538
834054,348754,475966,3022270,1377510,225068,11290.8,428.627,-146.969,-21.0637,-142.192,-366.016,347.035
733890,375022,204021,1468610,821205,114656,5250.68,-716.884,35.6985,64.846,-57.4266,-108.195,77.996
896033,384265,390246,2145170,933464,158587,9665.24,-298.081,-337.363,92.0166,377.29,153.401,80.7876
686600,412502,536317,3162530,1951220,332051,25104.8,22.8686,72.4057,-293.922,-65.0787,638.19,690.178
393013,293750,165559,886865,695035,133540,5319.37,-403.472,236.326,-86.9594,56.6673,76.8829,-66.2013
909276,511404,341035,2232970,1182460,178945,11181.1,398.09,-7.05327,165.619,-102.192,180.855,224.395
769561,379116,331346,2283250,1299380,190175,11413.5,1148.63,-153.278,163.014,-472.231,249.501,-675.918
1799830,929694,715177,4194300,3330280,442595,18244.8,-71.5006,-198.459,-79.7905,135.405,-190.557,-398.788
770921,422963,320098,2373850,1433000,194708,9246.99,261.821,-282.002,151.14,-8.94757,-26.1178,103.482
580279,279314,435302,2732100,1445460,232280,9644.32,-297.472,-136.408,-309.494,-162.19,7.25957,279.83
529463,250634,234331,1816460,993442,132743,6189.04,38.4203,258.951,-66.7821,-197.164,289.829,16.389
905578,438678,369038,2351120,1176120,186207,8338.27,178.359,-471.331,-346.345,320.109,-271.247,-96.7903
563730,408817,91935.6,582262,409028,66890,4637.8,-141.151,-370.881,65.7985,47.9534,-105.628,5.42676
1152330,509316,442473,2955730,1403340,223315,9495.83,98.9332,235.899,265.831,-255.778,-215.838,-247.095
732958,413381,256610,1837760,1149020,162000,5727.59,466.721,130.017,-224.842,-171.493,89.3667,-346.07
813332,415405,361726,2195870,1305700,216289,10642.6,865.249,130.893,153.04,32.8964,-89.7718,299.887
1091180,509693,420398,3110500,1559490,198298,9121.25,-660.169,293.239,-220.573,-527.919,-89.6131,-209.655
458728,352941,243724,1465600,1232290,206851,8630.26,359.943,-185.659,98.111,72.9971,-2.22095,234.024
876798,496654,402928,2564860,1821580,291491,7959.47,344.807,-67.9459,-24.4165,220.389,-293.542,862.67
683753,322423,238427,1367670,602510,111434,5151.6,43.2037,-18.9924,-298.263,258.138,-172.398,304.614
