FSC-A,FSC-H,SSC-A,SSC-B-A,SSC-B-H,SSC-H,Comp-AF594-A,Comp-Alexa Fluor 647-A,Comp-Dylight 680-A,Comp-PE-Cy7-A,Comp-PerCP-eFluor 710-A,Comp-eFluor 450-A
614916,291415,284462,2123600,1132880,159153,9301.73,11766,3168.44,75736.5,-430.808,31933.2
573673,348386,178426,1267250,744496,106114,5984.83,9712.04,1163.05,25765.8,-388.459,12564.4
627766,358185,303578,2365040,1530540,193861,12913.5,8132.28,24032.7,774954,-5224.02,33960.2
897877,425539,485640,3242260,1625280,249386,5802.1,18705.7,4515.63,89358.8,420.841,48443.2
815113,517732,435659,2355730,1586250,289443,5773.87,9768.98,4111.99,52860.1,906.331,29960.2
667088,344311,346095,2141730,1153570,191355,4718.16,6499.17,2365.02,67637.2,384.823,28524
986872,336485,449637,3259110,1022910,159166,9953.15,10587.6,4984.19,421030,-1367.71,42593.5
376177,224200,153944,1036630,703743,105485,12601.9,5440.26,1194.98,91577.9,597.35,12439.3
348087,207517,288654,1741640,1076390,185352,1715.44,207.136,3219.82,5147.26,120.45,9394.98
536983,337634,369492,2119230,1421610,243035,9032.28,2778.21,2240.89,142540,-221.915,15188.7
543181,317439,247631,1752380,1197050,169984,7093.23,13131.2,39369,46422.2,-470.628,13833.9
1230240,593239,458232,3002780,1859610,286880,24240.8,6423.55,14754.2,113331,156.66,34104.4
723010,318393,268211,1786410,769901,108256,8814.56,10736.9,3744.88,49331.4,-40.3016,16728
435016,332477,421233,2440870,1936800,335542,1344.29,-295.723,6207.17,573.112,64.9891,2922.56
591487,361115,351002,1952730,1266250,227297,5877.03,16604.2,2682.64,60905.4,54.551,58517.2
1589840,749127,778662,4194300,2307540,374567,11577.5,7669.07,6298.48,37973,1819.01,29762.5
592591,301803,318437,2034590,1217920,202380,7085.99,14969.8,2660.04,68855.4,-7.68621,37533
742149,356417,551569,3381790,1623800,280290,7409.83,6547.53,1860.6,46693,679.394,46346.5
892587,290294,445108,2726710,927839,158529,13931.4,13671.5,12876.2,109652,230.97,63762.3
528311,306055,168014,966762,614424,110916,5955.96,3652.66,115992,28957.4,-1661.92,13442.9
960950,460328,529058,3036840,1786300,306956,8484.46,19009.7,4210.91,113050,349.577,54595.3
504156,305987,316435,1756810,1119160,198059,3736.15,12611.9,2881,63935.3,962.401,32514.2
544106,325189,227401,1335450,842925,149962,4354.77,3084.05,11093.6,33286.2,565.068,14627
649709,366865,385544,2551310,1359590,211700,7672.09,11068.8,3416.72,159769,411.316,51574.1
798014,474427,238473,2036540,1352680,156487,7455.84,494.972,2041.91,377.137,468.032,9292.24
538613,317213,222890,1468450,992838,150584,12290.5,6008.14,14144.9,33125.8,-469.238,21700.9
633212,384508,236028,1419660,933029,151341,6888.23,10531.6,1075740,16938,-3799.32,7242.77
593577,362491,197394,1300270,945490,141487,5553.91,2421.12,27459.3,176453,1110.87,13170.7
657554,327896,207532,1341670,855101,132297,8867.97,8140.81,2758.17,34892.7,52.0175,15676.1
816819,386032,389198,2067300,1545220,285995,7355.57,11808.1,755085,30264.5,1851.19,11429.4
890029,499557,625361,4096900,2504320,395850,9984.91,12596.5,4670.9,89714.3,-386.745,59232.8
424387,246956,314181,2009300,1174040,193188,3268.91,356.965,2549.69,17976.4,-95.5288,13904.9
467865,238913,310920,1841920,1121550,184477,4118.51,16309.2,2874.36,51808.7,682.225,29383.5
608406,302290,235704,1703330,855692,123088,5669.75,10488.1,3056.94,68922.3,-358.296,35980
1114070,656804,496952,3059090,1962120,310555,10126.5,21156.5,5173.54,110786,4.01886,43528
526003,222228,341573,2141560,1202000,189415,5336.46,8102.78,2280.54,40052.2,176.234,14119.7
731998,340818,276407,1845460,828086,127144,5756.7,4465.94,4296.53,474364,-1371.08,45294.2
757534,315274,501592,3937110,2098310,258411,14346.9,10813.7,6269.41,173750,-531.981,46722.7
480581,307375,113868,734589,511915,79186,1183,566.034,11965.8,6068.41,-600.002,10875.8
578317,304870,252241,1732200,1010310,148586,4649.78,9327.93,2964.27,41444.7,-327.533,23204.7
451704,370509,152962,1068880,931950,134000,1075.95,-240.48,5326.07,464.386,314.168,2092.47
566716,339097,239283,1464670,974599,155378,4375.26,8159.49,2122.94,27120.1,-88.1085,34714.7
777258,355657,368624,2114920,994602,172106,4932.23,6410.87,3338.76,90613.3,367.121,20716.7
489384,308353,337522,2386570,1699360,240656,16166,3995.68,2093.41,271288,-1249.85,39284
618392,327380,315481,2036810,1120620,171034,6074.75,16258.4,2189.28,65219.3,24.1901,19052.3
636270,331144,236524,1320250,779042,145625,4161.79,3140.38,101213,29233.9,-473.671,10787.1
1066280,522910,410085,2702210,1248090,193486,7282.12,18887.2,3713.52,87208,-11.9299,72477.5
592549,334141,458999,2541150,1598080,277210,7033.2,16692.7,26290.9,63393.9,436.608,24531.5
884445,571876,369334,2448230,1733250,254528,10311.1,26192.9,2683.17,68060.1,156.862,24512.8
821400,414199,302151,1710880,805723,152727,8503.85,19770.4,3429.47,51439.3,106.325,19564.4
409806,291525,166290,934756,657006,112767,4581.35,-407.029,1691.88,2885.07,-290.683,10211
