FSC-A,FSC-H,SSC-A,SSC-B-A,SSC-B-H,SSC-H,Comp-AF594-A,Comp-Alexa Fluor 647-A,Comp-Dylight 680-A,Comp-PE-Cy7-A,Comp-PerCP-eFluor 710-A,Comp-eFluor 450-A
926628,348283,515383,3792660,1432020,201939,10473.8,4629.32,271913,67211.3,27422.6,38996.7
484744,256208,244583,1532540,907623,147827,7367.48,2583.13,128438,74502.8,7892.71,16468.9
649796,307927,384522,3417070,1723900,191802,14457.3,3204.89,43104.5,89206.4,16356.3,14300.5
495928,251785,289020,2353610,1316180,163288,13810.5,4407.92,5939.02,74553.7,7355.83,36142.2
628201,221181,342638,2146900,801930,127146,13878.1,3009.69,75607.5,251681,8721.71,39891.5
896413,394130,517140,3168790,1400280,226477,9028.56,3443.48,789620,32796.1,18564.7,17597.2
734730,410511,249603,1427770,885354,158098,8741.15,1557.12,5582.34,37555,6541.12,37574.6
1178550,461799,534200,4136000,1832130,218967,18572.2,7326.98,833503,108803,16646.2,41211.8
529434,308713,284619,1624130,1071490,188821,2309.07,2588.59,380172,33189.9,11300.3,14537.3
683937,362572,313617,1849580,1082890,181091,23867,2692.2,6509.53,112058,9651.58,45226.7
1006370,389913,456805,2554580,1109950,201452,13271.7,2943.07,319570,77982.4,9704.88,40132.4
785850,361925,233100,1322580,765296,139127,9374.95,4482.42,514073,33724.3,6829.22,11462.7
714982,399302,445258,2623050,1714900,286883,17111.7,761.122,67536,34049.9,9907.77,20194.3
567304,331461,316438,1907030,1289850,210970,21596.3,2573.12,21656.4,94952.3,9090.59,35653.5
902433,409586,454007,2840440,1789620,275660,7784.13,2799.11,127116,118215,8110.79,22834.5
817982,372768,338147,3706550,1616670,178641,7820.3,3170.12,138822,34155,8301.98,10821.3
488879,304281,340477,1970350,1160390,206800,5755.34,1966.01,177619,48257.9,12902.3,16570.4
774219,455813,449539,2824020,1667380,273435,7174.46,2703.7,31076.1,35823,8288.63,24115.9
706477,454285,273598,1879240,1245270,182637,6723.25,4298.65,151239,45051.8,6718.18,16839.4
1318150,622395,608102,3210670,1487020,286911,12737.7,5758.81,12007.7,62622,10995.1,35266.2
