FSC-A,FSC-H,SSC-A,SSC-B-A,SSC-B-H,SSC-H,Comp-AF594-A,Comp-Alexa Fluor 647-A,Comp-Dylight 680-A,Comp-PE-Cy7-A,Comp-PerCP-eFluor 710-A,Comp-eFluor 450-A
508756,265931,343724,2209850,1205940,184863,17333.8,3362.09,25750.8,163342,12336.2,66127.3
954370,327039,533378,3898210,1593540,207618,25272.3,6481.62,8917.4,159003,12066.7,49600.5
605646,297132,390217,2263130,1271390,218791,9887.47,1197.25,62246.3,169775,14609.9,43072
340751,192015,340952,1926080,1461290,256144,2606.24,5827.21,314343,290906,9862.59,42217.7
411960,240283,402996,2871770,1770090,247170,15641.8,3949.21,125775,164573,6876.01,40015
778385,271092,255361,1434300,478372,90725,9468.61,3667.25,41970.2,121966,9066.67,30527.9
785607,417215,430617,2456670,1287340,224183,10325,5187.64,6983.82,53580.5,10400.9,55098.3
619691,378336,174027,1586450,990308,107137,21623.5,2063.72,20010.5,19539.1,8274.61,33393.3
765253,291090,359741,2933440,1034220,143534,20613.1,4250.03,33686.7,75891.1,13972.5,59881.4
414611,230645,290097,1895560,1173120,178752,12031.5,3941.88,8632.24,241238,7100.71,60094.7
916510,317403,366044,2950110,1308090,153951,19207.9,6193.73,49768.5,298781,13346,61483.1
373639,224340,218865,1518050,1035160,152671,17326.5,2746.2,8863.43,101954,7226.83,36366.9
452789,269332,179186,1159770,694898,111755,4677.59,3580.51,269319,111049,6425.11,12949.4
665671,333509,340039,2060970,1429860,235645,13816.2,4944.87,10115,174692,8291.8,70411.2
981970,513159,623634,3534300,2136120,370927,14895.4,1772.21,13243.3,469929,12628.7,45923.2
801407,477958,608200,4194300,2374060,342626,11156.5,3836,50220.8,123829,7388.31,28150.6
1197150,448970,644197,3640790,1112360,196227,11389.8,7166.24,22192.6,76551.4,13836.5,72728.7
942877,338682,651603,4180890,1314410,201712,17067.9,4225.48,13834.2,297597,11552.9,88068.3
428254,226350,307554,1710830,887632,170168,9562.1,2778.5,106228,297993,6540.1,34683.2
981908,351546,539514,3814860,1454460,222246,16272.6,6915.1,79766.1,78875.4,17737.4,81785.2
1229560,490428,589329,3892700,1609660,236602,16400.3,6233,156293,69712.8,21294.3,80950
484946,325912,239827,1312860,869860,164661,6161.63,2541.15,7572.48,15955.1,19786.8,23558.9
572712,334276,212799,1477680,1043670,150743,8298.5,2888.53,12158.4,32328.1,10612.2,29245.8
645558,368044,427982,2375270,1417720,260661,6071.53,2858.4,14840.8,491318,13816.9,55128.9
528345,299799,302298,1752490,1190170,204355,11647.5,6136.86,651604,372151,12924.5,45625.4
530563,268957,177865,1001410,514382,92745,5906.53,4754.52,447542,162201,11889.6,48313
921020,466970,486283,2985840,1677480,273907,15958.9,3602.87,15651.7,63910.9,17041.7,61840
538020,355370,204153,1105490,742283,136531,7651.63,2638.23,46193.8,39398.2,8389.01,45783.2
741777,455642,514260,2794540,1896590,351320,8137.14,1865.65,8947.76,47581.6,7918.71,45505
855951,493972,394035,2382100,1505980,253052,14970.4,4210.58,14067.6,174856,9332.13,58137.4
613324,182422,566576,3165420,1037030,191283,6457.38,866.168,10733.1,322104,8493.15,46758.2
1373000,590255,815911,4194300,2597980,389820,17382.6,3987.69,11075.8,65489.6,10225.4,46642.7
788296,317727,412724,2430180,825036,142993,16551.9,1766.18,20157.1,70070.8,11568,78242.8
807075,482330,392918,2634530,1878690,278152,20820.9,4221.11,39366.2,302964,7713.93,37081.9
656513,393656,226724,1622190,1115340,150704,10430.2,3331.35,128935,367975,6902.98,53592.8
928902,436387,330598,1906180,975362,169004,12655.5,6302.5,307249,70499.2,8128.61,69212.8
652446,439276,481634,3426790,2256480,316262,11152.3,3731.98,956808,252197,11786.4,81428.1
810491,492154,395875,2694270,1972150,287531,11076.4,2338.65,5804.01,59365.2,7854.84,49718.2
681110,437257,189742,1160730,848785,134269,6732.37,1965.96,51944.7,17940.8,9994.53,33288.1
595891,328723,300602,1760420,904061,157324,4902.39,2513,34671.9,103026,8298.08,33840.9
450630,257540,245164,1456140,850008,148642,12699.5,3571.9,29521.2,45608.4,9898.08,37036.8
513080,293282,237305,1474600,872316,145205,13293.9,4224.29,9166.08,38115.6,6884.71,41729.4
869940,559807,443749,2545370,1646300,292668,8726.01,7622.44,6885.74,40633.7,32484,30935.2
931075,428307,553671,3785300,1532700,228505,24515.4,3531.57,75959.8,110561,11083.1,82135.7
670211,250982,313916,2187440,1279380,173886,10473.3,4898.29,109827,96475.3,8837.33,48470.4
885800,499871,399754,2955640,1459260,199167,12001.1,2925.35,20530.7,33402.8,22138.1,48231
623923,385907,172907,1182810,790504,114540,9101.25,1964.28,11518.8,80538.6,11184.4,36339.2
543817,382190,354355,3008030,2034540,247962,11688.8,1999.54,12389.6,382758,6784.78,31993.1
409819,236204,298629,1840550,1187840,187378,13222.4,6156.88,42405.2,119294,9600.7,70817.8
