FSC-A,FSC-H,SSC-A,SSC-B-A,SSC-B-H,SSC-H,Comp-AF594-A,Comp-Alexa Fluor 647-A,Comp-Dylight 680-A,Comp-PE-Cy7-A,Comp-PerCP-eFluor 710-A,Comp-eFluor 450-A
547830,376029,263531,1767080,1381510,207819,7382.82,3778.13,626692,16294.4,10480.8,8007.86
593016,327965,331543,2005690,1053220,184827,16449.8,6580.38,51357,66725.1,14203.4,25435.9
481426,296229,193870,1177960,844135,138655,7742.1,2559.69,75424,31859.6,8053.38,14137.9
1094020,413422,540732,3377710,1352460,224091,18043.5,6583.49,523602,55538,8757.69,16532.7
570686,327853,200154,1238360,909005,145779,3674.96,2265.63,57551.5,19538.7,10148.2,7401.6
731668,357588,487567,4103240,2298800,264853,11207.8,3713.2,19375.9,42688.5,7246.48,18564
371229,217167,199686,1185580,827923,136827,18138.2,1745.19,30228.6,25337.3,7272.26,9966.83
602189,354959,247541,1648590,1016620,155613,26807.5,1693.81,10832.9,60460.6,10507.4,22864
461303,272720,475825,2634150,1576160,287513,10508.8,2372.2,149291,64700.2,6969.86,16148.7
445224,214977,186094,1277980,642295,93472,13034.1,2735.58,59477.6,36096.6,6807.89,9188.62
897732,539863,430627,2720190,2008280,320043,14356.7,1844.96,86326.9,28131.3,6490.47,8932.84
793662,373171,280151,1654500,898038,156657,16053.2,1726.9,10364.9,37400.5,17004.1,18245.7
1227170,494316,818496,4194300,3056920,400315,17288.3,4385,21010.7,84960.8,8943.06,53040.6
727176,325064,256075,1823850,961513,141356,7070.5,2958.01,178212,28063.6,7756.01,9238.8
582636,304763,301304,1959980,1066660,164961,8023.13,2222.83,33927.1,29674.1,12210.5,10234.2
736575,427270,303511,1823910,1059980,170659,6642.72,2676.3,20987.1,32496.5,17387.9,13302.2
918550,452005,413408,2573070,1657090,257019,14858,2426.45,36040.8,33313.3,9105.83,21393.8
914726,562756,400591,2871840,1801760,257717,9926.63,4236.62,33547.4,50051.4,8546.94,16444.6
622743,227074,431214,2446590,1045100,196204,10809.1,2036.7,7528.71,89713.9,14991,57084.1
714023,467461,320617,1989980,1307880,212163,17026.2,1946.66,16250.9,26024,8405.27,16780.2
629389,255032,226653,1307660,545134,95122,13379,2528.4,130822,30955.2,10804.5,11360
968005,492614,597855,3698030,1962560,322930,10821.9,6774.66,14949.9,198789,6577.48,29821
678159,427680,246580,1549000,1115590,172370,5844.3,1189.87,22800.5,15699.8,6533.12,13681.8
732732,452781,247483,1486330,786554,134704,12864.7,3390.58,46157.1,54486.6,19738.4,17174.1
516278,318209,226172,1465290,1062180,162932,13486.3,2422.38,34078.8,34487.2,12771.9,13835
1586090,822091,617469,4194300,2312980,319303,17065.9,5457.45,72411,188627,11519.7,23045.5
594466,405365,246049,1425770,1090510,189048,7625.35,2915.35,64025.5,46191,10109.5,11311.3
1066670,416183,568424,4194300,2103040,236714,25967.8,5577.61,19675.9,177998,12549.7,33228.2
613981,354738,297428,1884390,1153200,183982,10257.3,2137.8,5378.26,74476.4,15915,23061.4
444421,295752,180777,1108650,786280,127438,5685.99,1468.49,20472,13515.5,8020.99,6746.88
915186,365251,690731,4103680,1439740,253177,12460.9,3574.18,278034,151180,14664.4,47574
823201,414016,377585,2175040,1130880,196436,11521.6,5765.32,17242.5,53522.8,12847.6,26790.8
1422710,656660,815175,4194300,2646860,367239,21680.1,5666.67,8122.25,79144.8,12595.8,40400.2
621156,346487,364172,2301120,1373800,216888,11089.8,1275.5,15922,30651.4,10348.9,11894.5
922224,443627,339470,2121350,1245710,203973,9801.37,1571.66,12369.3,29174.1,7497.48,16341.3
