FSC-A,FSC-H,SSC-A,SSC-B-A,SSC-B-H,SSC-H,Comp-AF594-A,Comp-Alexa Fluor 647-A,Comp-Dylight 680-A,Comp-PE-Cy7-A,Comp-PerCP-eFluor 710-A,Comp-eFluor 450-A
1011270,364355,463736,2640420,916839,165272,20788.5,2318.76,18457.1,193103,11622.8,85308.5
767477,287594,310762,2081070,1110450,165965,14606.3,4321.96,66224.7,73611.6,35086.5,33192
1368520,600335,681599,4194300,2071910,305902,21624.6,2838.8,230539,75472.9,11189.9,74453
601995,347660,377121,2445410,1564780,239318,18407,3033.57,8701.43,333171,8948.62,76381.9
999124,402093,337515,2370250,1073040,163616,18016.6,2275.9,7008.39,90324.9,12053,75776
755413,426454,308357,2004020,1417340,211538,20237.4,2211.81,22708.9,176651,7801.82,52924.2
335875,172631,342816,1987830,1217640,210770,3708.01,1710.93,15559.4,59620.9,12027.6,34367
464160,255716,205163,1081330,614149,119393,7816.98,2379.18,43340.9,160705,7229.94,70004.2
581332,332126,375895,2211300,1450720,248022,4892.12,2004.12,591057,75778.6,12833.9,56071.2
365132,226886,163649,1053350,714668,113562,12563.5,3020.91,37776.2,36679.8,6491.79,42317.1
1527060,764333,632502,3528480,1809950,327904,19532,5731.53,7841.32,60768.1,10707.2,53810.3
685057,424569,306696,1774370,1253540,221893,13061.6,1219.75,21972.5,251660,7903.78,76440.8
619450,389863,232524,1246170,874098,165410,7483.14,3754.58,106897,26211.1,11460.7,64175.4
808260,379138,345642,2256580,1474340,226644,26470.6,4583.53,432739,106576,11729.5,74726.4
513052,306121,268696,1814880,1266690,186317,9506.67,4455.19,52495.4,61445.2,11776.1,56979.8
1428690,695635,824925,4194300,2773530,472052,16002.8,11122.2,5646.68,96302,13175.9,64166.6
1053500,445752,539212,3379050,1593610,246405,23823.2,8270.37,998835,123377,9352.43,88721.4
381122,248064,274319,1520960,1052790,191683,7064.18,1054.9,64635.8,133163,7475.8,55274.3
652920,407074,263057,1780610,1052060,149829,7475.05,4359.73,37875.8,72671.3,7895.5,54081.3
518662,304939,273578,2042000,1270550,171807,8316.72,3970.26,23844.9,51557.5,8386.13,53441.4
848412,429650,287960,1915440,1083900,163640,12364.5,3851.1,58441.6,49205.6,14313,56496.3
728995,334748,358025,1908480,798886,158190,3744.1,7234.12,1263140,274672,15153.7,61121.8
1152170,742433,497766,3350440,2299860,332370,8617.65,3070.85,18680.1,58601,6977.24,54358.7
1363290,664729,570944,4194300,2351230,317233,16017.3,10108.7,5250.55,81583.2,7863.31,55094.8
764875,445361,387323,2498600,1617610,253014,8727.94,5281.7,40485.1,39602,7246.05,44704.6
522480,287736,244740,1430020,809894,142050,8312.58,2730.85,255735,33164.6,7519.53,68884.3
640024,364929,285410,1643670,1045430,184756,12676.4,2474.72,9208.72,59543.8,13224.9,46513.4
515920,357275,245635,2407440,1776000,179707,7971.23,2004.34,38299.3,78608.5,15703.2,32035.2
752306,390159,419702,2997570,1821820,252319,12420.9,6232.3,208568,63585.4,7206.28,84948.9
612982,343937,215328,1319810,677959,106306,6738.79,2433.63,6942.87,32506.2,7950.61,71684.8
667148,372073,455001,2464400,1665230,301110,10212.7,2980.54,70409.5,75517.3,14653.9,68054.1
658592,409191,218189,1310470,797979,131383,9193.52,1491.29,49380.9,13449.2,9268.83,18264.6
877284,436546,538008,3186210,1818200,299730,20469.2,2327.71,7640.28,166783,10798.7,66400.2
1000470,535454,449356,3115090,1708510,251655,20402.8,5712.28,1701490,61873.4,24024.7,96705.3
878480,367725,689478,4194300,1607940,259094,21785.5,4602.22,219235,103904,6760.03,53550.9
1218760,605838,538543,3320410,1629070,266857,27527.9,5081.38,5943.12,88031.9,30625.6,83954.2
1241830,487046,593177,3464020,1469860,243875,4927.23,8614.23,1746510,62094.8,33776.9,48319.9
376727,268130,168749,1272130,765851,105562,18484.9,4230.94,143637,57154.4,10720.4,56468.3
457113,278453,308077,1811970,1163700,188990,11540.8,1631.74,20844.8,91282.8,7487.14,44517.3
1088480,554486,451817,2835070,1492950,234782,17246.9,1605.2,961319,104783,6551.19,105311
588784,329443,349955,2165540,1305970,215158,10114.4,5537.95,950266,276762,6510.84,94426.7
825570,362407,532436,2970590,1546310,284251,7966.98,7887.04,131919,100500,21552.2,19577.9
533580,302392,264457,1422430,989954,181915,12950.9,1666.84,26291.3,159436,8998.59,58919
604825,359303,287481,1915850,1188970,177488,7901.91,985.451,18697.2,17395.1,10122.8,57432.1
1449170,668431,880669,4194300,2386020,442109,25313.9,3696.51,311248,48097.4,12472.3,92219.4
465482,316068,202967,1263580,824372,132096,8402.14,1955.31,81437.9,47128.6,6366.79,42615.5
554527,339898,251707,1578620,1118880,182349,11503.1,3186.08,150000,47258.9,7500.29,43859.8
552807,268148,445377,2505630,1465320,259129,13205.8,3905.07,8451.69,123597,11244.6,106850
655941,386595,433177,2626650,1591050,267683,12830.1,2719.45,296361,170189,10151.4,95293.8
579838,287520,393537,2357930,1452330,235247,13024.4,2385.32,193183,209839,10393.7,61775.7
550308,290188,269076,1807140,1043970,151724,22479.9,1429.02,10144.9,51441.3,8582.81,38710.2
810872,454703,599162,3596140,2124470,350044,24666.3,2645.5,5406.39,389293,16237.8,30355.2
478345,278787,123709,756791,535905,82452,9557.89,2957.79,10336.5,73011.7,9303.73,15244.6
1047880,432803,638903,3956190,1732550,290096,24166.6,3536.79,147593,53582.6,9997.34,101961
1309410,534575,845947,4194300,2247810,363727,18332.2,10289.6,5420.85,131867,9635.44,59377.7
810379,407621,537195,3628760,1902480,281139,14137.4,2299.81,48362.3,83373.2,6926.72,69348
801011,384589,516321,3216550,2084290,330369,18044.7,5850.61,5544.96,60778.3,13481.5,31470.6
446541,273569,269788,1642990,1130150,181639,6497.42,1533.01,16187,39019.2,6390.94,47783.8
685204,428588,254269,1464360,948448,166665,8311.93,1890.88,15601.6,171294,12035.2,55512.3
813489,347668,290731,1697310,837030,144710,10686.6,2876.31,13580.2,37763.5,11882.1,58575.5
617655,407221,262937,1450620,1056900,191262,6979.46,3330.52,371736,224443,14861.4,62310.3
715281,365130,329462,1871130,1057050,185691,14745.8,5320.33,353706,43589.1,7997.83,96696.6
1103850,534090,500465,2967040,1785660,309154,10422.7,1727.38,29084.6,30160.5,9702.82,60274.5
