FSC-A,FSC-H,SSC-A,SSC-B-A,SSC-B-H,SSC-H,Comp-AF594-A,Comp-Alexa Fluor 647-A,Comp-Dylight 680-A,Comp-PE-Cy7-A,Comp-PerCP-eFluor 710-A,Comp-eFluor 450-A
1277250,507417,544252,3354030,1130630,191929,16096.4,6308.94,10111.3,118429,8306.13,96362.4
391625,212996,216784,1639800,1015680,132429,14370.5,6832.36,16450.4,80107.7,8028.45,49347
936931,638684,566269,3326200,2337910,411041,8868.75,4109.41,330268,370308,7918.74,43218.6
658849,286294,498223,3706420,1518110,213258,20205.3,6231.62,6029.32,70227.2,33048.5,36120.9
871390,361611,497981,3520760,1411740,206461,21058.1,8396.19,37719.7,135802,25969.6,108826
509791,341553,241820,1434610,1082430,177338,12532.1,2788.4,201883,387210,14632.9,62554.8
737071,353549,286230,1904050,1316090,191993,15385.9,4027.72,134002,57876,22585.3,36138.9
591977,381162,330487,2305170,1520240,223415,17207.9,2347.6,44387,56318.9,11073.3,64081.6
524888,305837,238534,1781080,1190200,162347,7132.52,3997.16,80637.1,27756.8,22289,54916.1
419198,265622,253892,1441200,949750,169943,8029.59,1471.91,26479.3,105337,7434.93,64966.4
641858,349138,301902,2127550,1409790,201737,30407.2,3878.15,150437,304002,12419.5,78288.2
987698,546693,578997,3713660,2439610,379390,30513.4,1206.43,5787.46,262190,10488.9,66304.6
1508790,695388,763188,4194300,2117800,354172,26953.6,3412.35,300474,231832,15093.3,115203
600012,357902,222451,1466590,1018860,152863,10380.7,4540.14,149611,22708.1,17362.9,53616.2
792606,453604,287120,1557030,1065730,198808,14078.8,3076.82,13184.3,54226.4,10395.5,66549
565912,309843,299223,1834810,1139600,197012,11807.4,3472.64,127469,356006,10137.6,47802
992050,361700,590982,3874510,1394740,223089,22393.1,8737.36,10168.2,73333.8,28088.2,48020.9
468798,226214,406992,2365410,1401020,237848,12586.3,2428.89,49851.1,132111,7120.62,34776.6
918262,379718,329619,2094930,1147010,173471,14314.6,3762.97,14611.7,113406,10436.5,91193.6
952270,515025,349961,3331930,1956070,202641,17908.3,3601.78,29501.7,52306.6,7745.83,24948.4
426942,268842,259300,2063550,1406820,180116,21113.5,1432.7,23498.7,30184.1,17473.1,46349.7
