FSC-A,FSC-H,SSC-A,SSC-B-A,SSC-B-H,SSC-H,Comp-AF594-A,Comp-Alexa Fluor 647-A,Comp-Dylight 680-A,Comp-PE-Cy7-A,Comp-PerCP-eFluor 710-A,Comp-eFluor 450-A
870731,357945,470925,2780470,1198010,208362,9133.22,4331.43,6340.73,187021,9807.76,46632.7
577619,295783,235146,1873340,936660,122595,12532.1,6091.42,17447.5,36458.5,9378.75,20234.5
522027,320986,333395,2082040,1389100,218574,10478,1240.89,81675.4,56436.7,10631.4,24276.6
665841,409212,145677,1110210,725908,96636,17787.2,5787.6,153315,39965.7,11989.7,14262.2
375710,288772,286963,1967320,1601370,238615,12921.6,8278.42,5311.19,1434.77,6525.79,3782.43
620926,260244,249500,1427200,534176,93369,8407.57,1460.27,14321.1,111436,8357.13,47671.8
657838,405789,295786,1743240,1130720,183589,7517.24,2191.48,19308.5,37281.9,9363.52,27205.4
1052620,455867,646822,4155350,1555030,247441,16974.4,6980.9,151638,85473.8,12099.2,54883.5
588916,350665,179706,978898,656828,121815,7368.98,2936.95,15420.7,77657,7618.67,30086.1
445182,266737,248940,1682750,1092330,159640,12339.9,1839.25,14376.2,104702,8442.57,36442.6
533469,327407,239277,1411540,915899,159258,10022.2,4640.08,13068.8,29338,14564.7,13839.6
381881,228928,218330,1252620,799583,136950,9285.1,2520.39,86267.1,55964.4,6652.1,26060
621467,317439,342406,1930230,910755,169415,9829.79,4620.26,138920,133512,6843.83,26894.9
783823,268924,421421,2464350,959234,162311,22459.8,6409.73,127941,238611,19702.5,50703.1
579662,306707,355292,1895190,1224240,229493,5841.68,3235.97,28806.9,74042.5,7470.16,37261.2
372263,207621,295728,1806910,1220640,198581,7725.83,2730.11,71718.7,21457.2,7190.86,17519.8
641986,328001,319140,1938560,955687,159508,12014.8,6048.72,48111.6,56574.6,8546.88,17160.9
564239,312953,331085,1782470,1119630,214178,5280.14,4132.35,167171,158284,7630.45,16859
706563,384816,311934,1791110,1069420,189879,16976.7,3423.14,100463,50581.1,9039.01,23175
900228,557366,392690,2294580,1658570,283019,9871.68,5424.81,66863.1,70387.9,17146.5,23064.1
610550,257485,133574,922046,431770,65675,11970.2,5749.98,99208.4,33873.3,11163.9,8725.12
600442,353042,551003,3466190,2429740,373797,15461.9,3751.76,34329.9,130891,7340.15,43597.5
1057260,419305,412188,2330430,955323,172020,10771.8,2411.96,10487.3,99214,9842.66,41937.5
749392,390558,395318,2560500,1361090,216678,8673.13,1834.8,10766.4,73265.6,7030.62,31103.5
828017,522661,348479,2077770,1431560,239649,20232.8,4331.51,89476.8,177754,15886.3,46333.8
513685,335525,266861,1550830,1106850,192881,8629.27,3191.06,47398.4,32749.6,7867.76,16751.9
757295,405913,398352,2430420,1368320,230229,8975.25,1340.5,44206.9,159894,9695.67,30507.7
