FSC-A,FSC-H,SSC-A,SSC-B-A,SSC-B-H,SSC-H,Comp-AF594-A,Comp-Alexa Fluor 647-A,Comp-Dylight 680-A,Comp-PE-Cy7-A,Comp-PerCP-eFluor 710-A,Comp-eFluor 450-A
508561,294772,289838,1828580,1153530,180956,10624,426.401,117359,19210.6,4871.8,5542.48
857960,445803,342761,2147580,1427340,221101,12067.3,225.011,2151.63,156176,18732.8,20025.7
532821,297831,400496,2906560,1655260,227482,8968.46,205.638,2268.11,63609.5,5442.27,31389.6
581694,287021,314099,1824950,947317,171043,7640.37,-162.092,1780.72,45466,5944.06,12330.7
497230,279954,506440,3778000,2495070,335002,13380.6,-104.266,2822.44,46851.2,8771.29,24060.9
423462,250857,410799,2352140,1473760,259667,8240.48,-162.805,1894.88,53442.8,8737.7,28260.4
488124,328856,333631,2180000,1595940,242140,917.838,-255.615,784.549,775.433,35.843,1237.3
812081,438868,393692,2391370,1288030,213194,6130.39,-141.109,1568.84,28385.9,7570.57,14815.5
706544,382242,342251,2031890,1233220,201451,8160.6,-355.943,2475.78,51220.7,4337.98,34723.8
476149,301289,173367,1492340,1021310,115761,5879.81,-160.74,1145.37,25101.4,4245.05,20923.5
550480,277376,373559,2505230,1554220,236361,10158.4,197.79,1659.66,76411.5,15398.8,11323.9
452515,261981,191947,1141040,739228,120207,7084.95,-348.176,1294.67,32185.8,3637.43,11421.6
668466,345182,393161,2897970,1526970,213971,8933.56,269.821,1459.28,43992.7,15260.6,24570.2
867975,465719,449956,3838240,2031730,240398,11055.3,182.67,2287.96,81043.5,7219.33,21008.2
835999,483391,445624,2911120,2122740,318421,6394.3,-199.99,2298.2,71220.3,4722.35,19743.2
411784,225678,242362,1586400,1052370,165700,4601.11,712.796,59452.7,22378.9,5172.5,6319.74
617603,352527,381928,2393360,1516040,243273,8105.83,230.429,3578.7,58736.6,4278.67,29819.9
451797,285024,266561,1530160,1067330,186796,10933.7,-79.5514,661.283,23013.9,3622.96,22193.9
488041,288828,196318,1082010,681207,121130,4226.81,-123.634,2405.47,33533.5,6526.93,24477.4
677599,406764,327120,1766980,1192630,224307,13468.1,73.9651,860.803,95556.7,10546.9,25632.6
356934,186430,245103,1773160,955875,134585,7243.81,257.557,1069.89,56236.3,5752.13,8429.71
918957,418039,501705,3132690,1371590,212148,11811.1,248.2,251133,52661.4,14497.5,16233.8
955489,435674,627778,3805990,1766280,291046,12949,-233.457,2998.61,77160.2,7741.5,44995.5
611225,353750,359122,2035830,1137660,209944,5472.5,-40.2683,1637.49,43028,3731.96,36246.3
799622,393724,414935,2503200,1170330,206082,6839.11,-305.196,2363.32,40821.7,3498.64,34039.9
541802,315054,385925,2605810,1603570,237602,6829.99,431.016,1028.06,81979,4977.2,36304
526220,325080,167812,984401,669985,116172,3851.87,175.951,1672.56,21333.6,10510.9,27720
803898,535396,499159,2873520,2129400,382008,7053.57,-160.76,1578.85,57293.3,6149.37,20318.8
689106,404357,356242,2265080,1448620,229491,9374.46,-172.441,2064.55,76316.3,8009.09,34213.4
631478,414694,280495,1761180,1070600,178607,6605.53,-147.354,1017.51,45519.6,6461.69,27147.8
693682,375735,224802,1375100,843315,139604,5615.43,-122.544,1489.11,30550.5,5105.27,9916.59
457694,251960,291269,1696460,1007470,177062,5172.46,-348.313,2127.19,102792,8636.77,21763.1
571362,324323,233920,1304570,741947,140576,3435.9,320.238,808.806,29750.3,2488.36,15477.7
716772,337159,445769,2494770,1692920,300572,8237.16,-145.865,2329.39,89453.9,4406.42,41812.1
545852,332947,268662,1581740,887707,153254,4846.57,-42.879,3059.34,31171.7,6990.87,12592.5
921378,407121,587489,3480420,1869190,312375,7652.66,-24.0856,2037.4,50287.1,6854.38,42959.4
713892,380835,609891,4194300,2163600,312288,14061.8,-31.8689,2393.04,508835,5404.25,60945.6
602155,308997,302633,1896330,1007160,164916,6259.28,-53.2597,1273.68,38712.1,4345.59,10601.1
525029,308682,422095,2506920,1743040,294759,13980.6,-62.6064,1486.42,30707.8,4873.4,9262.51
684730,335787,429376,2623290,1556040,263527,5143.08,-31.0838,1304.83,68690.3,2694.65,17161.1
340706,170981,193189,1093190,697188,121845,8167.11,90.513,565.563,80875.1,29929.4,12150.8
652864,349971,366012,2432580,1517420,226611,4652.58,-69.5213,1627.83,30013.2,1336.32,16962.2
863771,442451,511476,3324220,1519310,235652,8855.06,61.6515,2067.86,39483.7,9483.99,26786.2
915303,531775,459427,3029870,2096000,314173,6517.01,-214.759,1533.87,105384,3465.82,29320.3
