FSC-A,FSC-H,SSC-A,SSC-B-A,SSC-B-H,SSC-H,Comp-AF594-A,Comp-Alexa Fluor 647-A,Comp-Dylight 680-A,Comp-PE-Cy7-A,Comp-PerCP-eFluor 710-A,Comp-eFluor 450-A
548189,323641,333383,2242440,1434790,207737,6382.28,5002.82,-56.5547,49243.4,4750.35,33440.6
1203310,528157,651985,4160210,2057070,325012,9674.36,4951.28,479.98,42154.7,4148.43,21681.8
792002,406226,340700,2195880,1352300,209456,9196.83,4190.59,228.707,49871.9,4319.72,28771.8
511490,345865,169109,945611,648897,116487,11176.4,516.602,203.894,20959.2,2944.3,21518.6
808186,379952,360210,2348890,1256160,200028,5875.09,4169.28,31.4402,38336.4,4355.81,35824.7
383910,254787,139536,1020260,684015,95840,6635.98,602.566,-21.8958,34384.9,2180.25,4956.19
792221,413752,387776,2466940,1428120,225986,8632.95,5671.08,263.449,69721.7,6496.79,31262.1
1009380,593630,587817,4077050,2723320,393253,15430.3,4422.2,-171.39,104253,6278.08,29619.3
880886,329917,348558,3222790,1215560,161784,11568.3,6733.76,2.0047,64534.3,6431.97,31877.9
986442,361978,722085,4194300,1865820,249630,12870.4,4567.53,253.03,63799.9,7090.72,34429.7
1207530,491818,568434,4194300,1950880,283426,21375.2,13333.3,-440.735,132743,13407.4,47953.7
918965,544684,448261,3121410,1683340,255920,30107,3152.51,574.683,180702,15525.3,29640.4
1155600,449112,525320,3883740,1492000,214573,15167.8,13981.6,352.709,132779,9299.47,63186.1
543028,294662,302360,2057000,1367980,197080,12112,1400.73,-181.169,214978,4721.45,21318.4
1258200,570871,641722,4194300,2911190,305431,30877,5465.54,-77.7996,239199,13019,41219.9
631780,228218,454294,3726900,1528270,219399,16050.8,2368.81,-86.5845,58977.7,12965.5,15207
1028620,429245,683349,4194300,1490400,242431,15516.3,6547.17,-33.1237,183499,9394.74,47881.4
455975,262479,247762,1506330,1117750,180169,6984.34,1126.91,455.503,37330.1,2364.6,6788.62
701385,372222,252331,1493970,941617,158579,6035.57,2262.07,-17.3814,24990.5,5181.48,5935.06
1299200,691809,630935,4076460,2505140,384583,19052.4,7503.89,83.9853,162758,39192.7,41604.4
543287,272693,506091,2781570,1610230,288268,7335.4,6556.79,615.481,65107.3,5031.32,44039.5
337735,224696,151282,942733,726032,119199,5674.46,356.573,339.263,119912,2684.18,5780.15
1056610,462532,611024,3522040,1831070,311594,8715.3,8578.47,472.538,66686.5,5120.56,45259.4
