FSC-A,FSC-H,SSC-A,SSC-B-A,SSC-B-H,SSC-H,Comp-AF-A,Comp-AF594-A,Comp-Alexa Fluor 647-A,Comp-Dylight 680-A,Comp-PE-Cy7-A,Comp-PerCP-eFluor 710-A,Comp-eFluor 450-A
928363,370544,445687,2797860,1403600,226324,4733.67,703.834,-100.792,454.093,161.568,-113.428,160362
825158,414082,452722,2770910,1383630,216491,4011.49,304.645,-215.019,-159.022,-11.7385,-9.30197,135844
1056540,452508,601349,3553220,1213370,212677,7949.66,248.021,-260.811,-85.6226,-291.986,-100.984,151074
965150,381770,337158,2413130,1038540,140746,5464.56,-175.44,177.419,9.53436,491.806,-48.4958,65587.1
483634,272177,121197,814942,401554,61869,2214.96,-190.753,431.158,-275.795,-151.772,262.95,24738.3
685706,359842,242662,1898880,1177390,150004,3671.36,209.327,-17.0784,64.3858,179.33,-218.985,56545.8
691172,299062,277605,1603760,696351,123460,3797.97,-171.42,372.895,-288.453,-140.921,207.628,66666.5
332175,271184,231815,1465820,1297090,206799,12256,-184.65,-164.62,363.788,93.9962,-213.858,27179.1
468505,280713,205512,1392290,898898,133245,2801.25,222.165,-213.316,339.666,79.7679,22.1548,41182.4
902869,387856,344532,2320650,1084370,160644,3227.77,-116.575,-41.1872,130.267,-417.036,-8.55921,105678
1286560,535461,658259,4194300,3621230,343703,12197,986.336,134.275,676.452,-34.3505,37.6719,67072.6
404700,173900,204524,1161380,649722,110396,2913.94,-70.9795,84.4598,236.303,-243.727,-171.663,53403.1
408785,242067,150412,1064470,745009,103020,3248.77,39.0879,-152.471,-183.715,-8.4868,213.27,28222.7
1011240,474917,695938,4025440,2614180,447501,11986.5,167.975,-62.8808,-135.154,5.03023,143.429,135889
778195,519829,318481,2047540,1384550,216545,7407.23,57.571,-205.241,114.834,-403.138,136.772,35359.2
706501,393830,320512,2869440,1684180,188129,10722.5,277.566,-20.6486,61.2551,285.031,244.223,10085.3
1006020,565708,397546,2449600,1376130,227735,5487.85,-76.3798,-397.933,-8.88811,807.339,-3.34221,75242.7
756376,322948,289209,2258540,1061620,135348,3809.85,474.516,566.504,-503.437,10.3751,525.884,84029.8
1264590,540465,662327,4194300,2171440,265776,9793.12,739.039,149.584,-162.827,-56.4453,213.25,106524
1726760,924766,685230,4194300,2408780,366433,11064,579.215,559.524,-737.112,-80.3105,965.31,222577
825981,277562,296254,2128310,975320,142528,5827.97,505.602,-31.9149,-240.591,-77.2055,-18.9442,41148.7
688025,354390,339692,2069180,1344470,207828,8113.31,-55.7794,-61.4262,-428.644,76.3115,194.5,66360.9
437135,258319,262217,2070020,1077570,137691,3906.12,530.062,225.676,-170.526,-47.386,2.45601,28974.5
1068030,444384,463144,3333590,1404360,198069,6271.78,470.818,277.139,-227.121,55.9076,275.432,95425.4
875576,330754,401958,2425990,1223280,211778,31385.1,-1234.45,-1252.2,-49.1669,-421.77,45.1595,48184.7
1061410,514971,639443,4194300,2303240,322260,8657.52,553.835,-134.802,279.843,470.547,135.451,108344
631321,373327,201909,1248590,857987,137610,1462.77,290.781,-169.964,26.1448,197.898,46.2045,74456.8
642944,377826,233877,1399680,815296,139371,2409.2,236.701,452.076,-310.653,173.622,267.854,60194.2
627032,365900,285155,1700000,1233880,204083,4275.47,28.5401,350.456,22.3951,92.3863,-225.998,76073.8
761973,307248,394788,2341840,1167920,204995,10679.9,-505.975,92.626,181.035,383.686,-218.54,29348.2
455926,281432,390445,2395980,1511180,245435,4616.54,-474.763,467.157,-588.776,43.7015,378.694,49758.8
1211380,546581,773064,4194300,2041210,343900,10545.7,34.1241,-9.00442,108.668,-28.4528,-211.955,132925
530030,366351,229685,1476250,1134770,178537,4658.76,-342.105,-546.328,290.075,161.953,-138.364,48968.7
1071400,593640,446017,3689430,1960150,227500,8575.04,379.075,86.9809,6.63194,26.6986,365.675,70139.3
775628,276442,445251,2709120,919893,159486,7121.43,304.271,-172.287,144.322,182.848,-358.139,87363.8
823689,347090,299983,2212040,976879,135381,7344.45,62.6428,-357.138,166.888,216.468,-120.331,33505.4
1012680,544461,496490,4194300,2529860,263113,8644.29,707.037,-1.51077,-111.412,534.747,-21.7987,88043
1177990,628296,651203,4026710,2655640,429322,11545.2,657.623,42.703,-50.254,-8.20491,742.28,99378.8
690128,394854,307844,1952520,1242010,194183,3388.3,104.167,17.6096,-412.119,-151.625,204.749,67799.2
664466,408363,180266,1344860,982601,131363,1766.87,488.794,339.977,-183.229,23.931,-8.58446,62262.3
1384830,712455,846761,4194300,4026580,558821,46311.4,2766.71,-933.629,146.164,-138.683,141.094,115353
535072,248781,176054,1164590,509829,78640,3422.64,-76.4518,-177.816,378.792,262.161,135.424,43896.6
1068270,470110,510831,3554160,1608030,228508,6271.84,511.232,186.035,-199.667,-17.8449,-11.7728,129057
643557,399062,195102,1713500,1016100,113924,2414.16,547.912,173.742,-120.906,44.7703,340.762,65663.3
579472,400976,201227,1428320,1027420,146671,8608.96,-329.063,-260.631,184.359,-48.6547,-151.231,23763.3
757953,389659,301411,2453210,1445620,166144,6536.79,31.1552,-10.7795,-36.4158,233.523,175.811,46359.3
619123,396238,132218,729568,489152,90529,2883.22,115.776,-350.941,160.962,-287.957,-108.042,38554.4
1313150,685788,848983,4194300,2735740,504803,9417.44,-370.999,634.647,-476.459,-75.2757,-325.585,167098
542661,366436,186254,1135990,861476,141498,5170.09,107.696,120.953,221.576,-51.749,-434.849,14533.2
442861,255359,397053,2701010,1847900,266454,8771,-296.493,33.6307,222.002,189.114,-147.443,30720.4
798538,407983,315678,1934530,1094960,180632,6539.02,-1.21428,-251.225,-274.642,228.797,-74.5161,50407.7
979703,501574,654386,3774470,2091390,360125,32768.2,-24.6692,-446.451,-385.745,72.6641,-69.179,105395
501696,321764,173137,1182110,718490,103200,2729.68,-289.928,-413.828,17.4329,-227.779,268.971,57969.5
584339,338651,217955,1329000,1013700,163899,3294.79,-36.2166,-295.82,415.52,298.999,-453.89,63237.4
561531,241250,495263,2901770,1439220,249478,9068.44,16.9628,134.676,-507.248,-619.857,284.79,44462.8
805837,401157,218114,1480510,659984,94376,4638.76,-552.709,99.666,191.047,-274.934,-309.301,28775.6
857013,311725,296031,2077120,807626,124749,5422.89,254.89,-73.7974,-29.8341,163.803,-170.904,59716.9
