FSC-A,FSC-H,SSC-A,SSC-B-A,SSC-B-H,SSC-H,Comp-AF594-A,Comp-Alexa Fluor 647-A,Comp-Dylight 680-A,Comp-PE-Cy7-A,Comp-PerCP-eFluor 710-A,Comp-eFluor 450-A
694301,332873,413274,2860160,1739880,247064,50.9368,10675.5,1681.66,34510.2,6333.01,32630.5
469075,253205,280383,1969380,1253650,176885,-51.601,7274.58,2223.69,50730.6,4812.48,38532.8
765519,488877,198715,1142440,735343,135780,297.782,7457.11,1085880,13587.1,5248.31,13147.7
973388,386413,432352,3424650,1329030,149231,704.423,8929.15,5085.4,92462.3,15896.4,61553.9
373279,220649,308858,2178490,1034120,151843,146.5,346.448,1331.04,1597.97,1282.78,5749.25
546716,335036,287109,1699780,1231040,210892,343.95,6432.68,1336.21,39228.3,5969.45,16197.4
796048,381548,393203,2334570,1294020,220558,-27.2079,2640.02,1978.69,176400,8708.01,29674.5
362746,231658,229815,1577390,1075660,155314,-70.4098,5223.32,914.096,35775.8,7617.6,15023.9
464112,257992,318361,2034540,1294150,198199,245.256,7288.06,2819.54,77031.6,9206.13,49283.4
729466,395499,387305,2461600,1723740,269543,-243.742,4942.66,1723.35,24491.4,9114.09,51703.3
1004600,425613,503437,3260670,1516610,240426,50.7824,5285.71,3620.52,33424.7,5795.88,53841.6
533768,336668,147174,822626,534920,92097,-250.205,2563.73,1207.72,14204.4,4264.78,38230
988197,436696,517854,3640820,2323610,335959,789.218,-168.993,1647.68,41224.9,3196.13,38102.5
473002,276165,135032,1765660,1072440,82966,1206.36,3058.14,210.312,175697,6101.96,12020.3
616683,411060,192324,1349570,1036400,147386,473.605,42.8958,1169.13,1795.56,1182.74,12751.1
749934,421697,320065,2007530,1199990,195601,1312.6,10969.6,1903620,25969.5,19741.7,19154.7
1475700,656084,673657,4194300,2421490,343696,1580.83,28209.6,6523.71,187000,19604.6,102783
1506090,702523,811890,4194300,2394180,353689,-333.355,3780.31,3388.1,458281,10104,49038.7
350849,234736,178938,1294190,896352,122528,166.737,1651.83,35263.4,24885.3,2562.3,10602.3
982647,344802,313461,2049930,679508,109103,-222.69,5609.23,6294.12,34951,11143.4,28765.4
1205500,519922,700439,4049140,1830130,324041,-756.684,15859.4,4545.26,119290,11058.9,78578.8
464589,252105,312852,1789750,1056350,185408,-910.094,5274.35,5012.61,211761,5075.04,21205.8
691062,409533,473138,2950940,1614740,262334,391.692,4918.06,2676.66,40381.3,5374.18,54837.6
766414,504978,434949,2348040,1589580,296310,-4330.38,8888.27,934206,13053.8,22799.1,13983.8
527177,264219,281736,1731470,1200330,186354,-182.454,3414.79,385939,34227.6,4552.84,14399.9
740519,459625,285882,1908570,1279680,192290,337.875,2193.63,30531.5,26852.1,4751.04,18660.4
823393,457353,548482,3066050,1690330,300424,-456.514,9213.97,2465.68,37350,5794.31,29290.6
1032820,418200,285386,2384520,1738550,202656,962.518,-151.959,2546.79,3144.53,2767.03,7464.61
671908,366131,336315,2188910,1268540,195832,332.942,5667.09,2044.48,52208.7,4131.6,53115.9
536325,329849,247893,1529160,1049870,172388,-80.8401,-255.65,1402.71,6268.1,1563.18,28986
743451,402106,355332,2076290,1404440,240531,151.739,5487.46,1545.74,38341.6,4711.5,51606.9
769954,487948,300285,1956390,1306370,201400,323.011,1469.22,2648.74,42434.5,2939.63,17158.5
1188450,548805,777159,4194300,2430570,434190,-1370.95,13224.5,4358.75,172676,19659.9,110650
617630,387824,294576,2133640,1366450,195105,23.5995,7309.45,1301.4,32228,7411.64,47533.6
729815,378571,524232,3333210,1704630,277420,28.5915,6172.45,2615.55,68319.9,10434.1,57772.5
465152,289633,290813,2043370,1420140,202415,-49.9003,6390.72,2459,48725,5986.76,23862.2
669894,367682,421744,2879360,1703040,244294,542.674,10446,1903.04,56689,8452.97,27487.6
532895,327381,232141,1353900,951295,160966,-54.9719,3084.65,17908.7,277418,10181.4,23021.5
748360,444918,332132,2005060,1136070,191770,248.203,3375.32,1772.68,35951.2,4220.11,45666.9
688456,488582,207325,1330550,933179,151753,-181.082,22.9591,953.153,1800.3,965.33,7520.46
424771,248781,222376,1383090,917628,150091,-282.709,2649.63,48930.1,187995,10476.3,20771.6
919986,439080,620244,4194300,2276210,336651,1310.85,11887,4587.41,113775,11623.1,71449.1
764080,407330,477823,2732420,1646630,271566,-606.918,6787.55,1991.51,47243.6,10289.9,23206.9
613563,391199,226678,1463420,1151720,176880,661.965,6477.73,1080.41,43821.1,12187.1,45833.4
591407,386410,245662,1358240,968665,175385,-31.0388,2473.06,1557.72,28199.2,4289.77,18616.9
634617,350529,298858,1779200,1361340,218553,189.051,3361.24,2065.01,137977,23449.4,38814.5
742124,390706,447690,2847600,1838030,282898,868.03,9032.62,2549.11,80474.7,7263.14,43689.6
593938,362537,293005,1771490,1305190,210221,1080.33,3994.42,586442,21190.5,222.863,9697.58
1441110,714218,560704,3999580,1992640,285643,173.305,16170.1,4148.22,89782,19289,47945.6
738739,356346,417425,2700850,1130910,181424,349.25,5667.4,20714.5,38173.4,6069.07,85738.2
746833,244640,425647,2602640,970172,160133,-254.002,10623.7,2917.48,97584.4,14031.1,68644.5
531555,250992,252710,1611510,847670,133540,400.075,9288.5,3418.19,57047.3,9184.58,22352.7
700858,360415,348806,2294700,1106070,162710,55.4191,3664.18,2108.22,42167.7,4971.95,20161
499170,300697,312201,2245840,1479650,212512,-84.9883,4296.43,1928.67,210166,5273.75,34309.3
1018180,479100,449977,2392480,1228120,241288,-578.839,1124.44,5031,33583.2,2995.07,38996.1
727725,371603,341208,2006020,1054570,184132,185.826,5708.12,2381.05,36212.7,3900.29,56987.1
375995,152781,303193,1854180,1216980,196535,-63.1586,-304.201,9871.01,2886.14,866.503,13020
