FSC-A,FSC-H,SSC-A,SSC-B-A,SSC-B-H,SSC-H,Comp-AF594-A,Comp-Alexa Fluor 647-A,Comp-Dylight 680-A,Comp-PE-Cy7-A,Comp-PerCP-eFluor 710-A,Comp-eFluor 450-A
488644,288358,201557,1143400,800859,142174,6620.98,3176.66,1157.87,30363.9,8570.19,30686.4
1002840,488630,644298,4194300,2234860,327482,22588.1,13437.4,2037.22,105171,37594.7,70361.3
995003,358583,277754,1632670,550498,93512,18863.3,9999.67,2510.28,75883.3,21797.2,75288.5
859574,326656,438810,2536660,1033510,188096,22769.7,8185.69,3323.61,123837,11513.2,56911.3
449532,251431,413381,2925380,1531750,213360,13023.9,5068.23,2515.58,93474,7933.04,26780.3
619642,347655,198175,1453290,855005,120115,11514,5995.14,1706.21,62050,9437.7,35613.2
901528,490798,428345,3069430,1747150,261254,11862.7,4237.62,1092.88,33790.5,14447.1,46676.1
888014,374813,341645,2168930,965242,148565,15471.9,4731.78,2571.81,84224.7,8711.57,62135.2
968076,450150,368585,2452690,1069990,164148,15528.2,7969.11,2628.49,67166.3,14840.8,81758.8
985346,379378,591726,4194300,1448450,219097,20777.1,12629.5,2948.98,105820,18237.3,109008
679446,350041,305060,1768240,1056320,183925,13744.1,7031.27,2307.18,105594,12841.2,48883.5
530134,303134,279174,1742390,937267,154507,9846.6,5752.28,1219.52,39470.5,10998.1,58335.3
427104,247607,385935,2766930,1852610,248748,10587.6,6001.31,2211.08,63255.9,14318.4,28481.7
645386,338550,593837,3517480,1488640,258843,16127.2,9955.59,4550.45,87716.3,19276.8,60842.6
721374,391948,454560,2749880,1612450,280171,18222.3,7096.85,2567.39,91748.7,44054.4,52884.8
710190,227512,411507,2493000,867190,146315,8355.5,8128.12,1394.68,48158.5,9647.04,47953.8
571827,233570,191227,1410630,676108,93828,21959.1,3524.36,1896.45,82697.7,20466.8,34259.7
899929,519773,405884,2827500,1637420,236965,10648.2,3390.78,1907.45,21577.1,16996.1,36022.6
558574,353698,147275,946837,593919,89498,9114.23,2726.44,816.307,16364,9681.48,9299.11
672962,417512,325366,2403630,1517840,195862,13321.5,3898.59,1949.26,87169.1,7749.19,31853.8
658242,287932,278595,1671830,831542,143200,11706.3,9866.24,825.339,62451.5,20703.1,22614.3
855698,297012,310951,1794930,833537,144877,16819.4,4013.13,2009.01,96657.5,13871.7,54440.1
1002540,408277,596370,4124660,1604210,265750,31482.9,10263.2,4124,149137,15749.9,76178.7
673085,299040,245221,1519340,725052,123553,10577.9,2558.16,1791.75,24513.9,6924.95,19737.7
434136,293252,162032,1122040,892947,129468,15057.1,3266.83,1181.68,44566,26907,13844.7
696951,377210,286156,1771450,889837,150722,16462.8,8396.43,1919.52,69775.8,24248.6,64346.1
358691,228480,127650,901832,671558,94355,18703,3725.96,979.072,66127.4,8604.69,15836.1
692219,415966,534921,3332850,2359200,379669,10309,5492.15,2717.13,51421.3,7015.86,60979.8
737595,480470,307979,1796880,1308320,221666,17113.7,9414.79,1243.42,102148,14203.3,33035.2
1550820,827951,798781,4194300,2709530,401965,41062.8,13189.4,2621.53,149857,102333,56009.5
661224,369619,308178,2566380,1564840,178414,15669.5,4103.55,1033.52,64497.5,17251.2,51125.5
936593,375099,236745,1571510,851687,125465,26439.3,3676.78,2176.43,76173.1,24679.1,32738.5
443050,253764,324737,2344190,1486690,203269,9593.47,6848.73,1563.2,85647.8,8289.68,22655.7
686572,394333,273365,2308690,1352790,164687,21299,8835.45,2578.42,105534,19274.6,41704.4
642319,319985,401839,2243110,1128150,208389,16718.2,11202,2484.86,107109,17196.3,68979
879494,466855,294226,1672390,1122200,195086,35810.5,8457.27,1313.7,171111,27879.2,41249
1121970,439136,594957,3399400,1609640,285539,18909.8,13669.4,3608.44,145724,15347.6,73417.5
703498,319564,360077,2452260,1124530,163645,16416,4818.44,2175.31,90295.1,7136.48,76769.2
1152700,449765,733294,4194300,2031730,353996,13924.2,8496.47,3234.03,74651.5,7037.4,98526.4
789022,363270,428338,2609990,1225460,207651,14556.7,5667.6,1514.07,75141.8,29641.2,64678.3
1039290,452325,505360,3730210,1729740,228714,20570.4,9448.45,4817.5,97082.9,21547.3,62280.6
938990,361133,707965,4194300,1787160,281078,18685.9,10030.5,4169.71,84700.1,10316.7,35013.2
551503,280818,265058,1779560,990008,144955,17060.9,8315.2,1640.06,117795,10944.5,38214.4
1107820,561863,352063,2463470,1395190,193524,23099.2,8808.64,1551.92,89973,27619.3,30056.2
615970,276584,399630,2472960,1515370,248032,18321.5,9195.02,2004.82,102702,13358.3,59121.8
1202840,596679,674789,3822320,2189520,386804,25459.6,11934.6,2635.41,127777,62548.7,94711.1
1160430,460062,318363,1909610,933558,156636,18006.6,4717.12,1053.65,63748.4,12737.1,35775.1
658356,298318,279146,1700950,1026110,167622,13101.8,915.769,1607.68,55153.7,6384.36,36507.4
708880,341190,414194,2809740,1354900,191933,15124.3,8777.78,2529.66,77002.3,12890.5,48249.9
991054,438276,364736,2383580,1055120,168994,15835.1,5841.33,1780.25,61530.3,8922.97,53437
539933,367438,219883,1421830,996247,148246,11331.4,7522,1002.17,48646.1,39545.8,44875.8
1261270,517381,636266,3950940,2061400,346607,20210.2,3922.57,3125.69,137747,10961.1,42235.4
737601,393818,163664,1119540,655233,93888,7879.5,9672.65,1047.08,47115.1,18239.9,16395.7
502686,315697,111945,796665,588322,83080,10930.2,7164.11,974.444,66518.5,6635.25,28094.8
535520,340478,362430,2138230,1289790,224248,16218.4,8387.32,1600.36,85650.1,26674.2,51437.5
748517,402861,280741,1930680,1088920,163501,14461.6,3543.55,1251.22,29938,7367.06,89595.9
748917,375281,396820,3061660,1545390,195055,14784.1,8305.25,1647.44,63995.6,8212.59,45801.5
483082,337741,160899,1207560,946931,127542,10253.2,5978.06,884.849,49877.5,14048,13689
647408,295663,331886,2071210,1128520,188689,14397.8,8836.56,2107.7,99063.4,23221.2,79024.3
801005,358225,552423,3107950,1535440,276073,28348.4,6470.55,3350.05,119812,24387.9,98639.6
881207,368057,302671,1750870,830144,134760,13594.3,3200.54,1909.21,76560,8740.1,22483.1
711631,318000,296386,1808380,849467,147266,14690.9,5330.64,1045.81,56159.1,19535.8,75597.3
481240,235168,234028,1509280,967033,149996,10018.9,3602.11,1610.9,57512.1,7702.46,54388.7
1106010,629829,437608,2814100,1659800,261538,18995.3,8079.12,1875.94,68565.8,22408.4,63979.7
687378,405249,261011,1522980,877084,153639,14330.6,5172.51,2103.01,76101.8,18469.3,51673.5
1224310,487453,542632,3203140,1217310,207685,13499,2658.41,2911.29,63568.7,7338.67,42757.4
1016520,376549,355810,2326810,952493,149299,13592.3,4297.43,1632.52,44301.2,7174.9,62321.7
456682,210398,322950,1916500,916726,154565,8071.89,6502.63,931.456,72684.2,10488.2,66547.3
663553,284463,302778,1852270,1054470,170594,10587.6,5789.12,1564.62,77725.6,7481.56,38954.2
730427,275619,515976,2917670,1262680,217554,15436.5,9444.69,2221.17,81927.7,29112.1,61192.8
574429,220131,360439,2913200,1329060,167041,32381.4,3232.66,2611.6,118556,18082.4,50507.9
1044570,506598,442432,3026900,1671220,244484,16063.3,3453.63,3185.51,135351,6773.93,52463.6
615057,301674,370430,2873510,1532550,208225,16381.2,7243.23,2326.86,106615,9979.87,41817.5
1279220,575250,516548,3887050,2017720,263722,28346.1,17335.2,1381.34,112674,62479,60722.9
465082,291500,357252,2188650,1248000,205051,5848.14,5145.41,1719.21,48213.8,16208.5,24093.9
1266900,515095,689735,3935760,1918520,333114,22572.6,8927.89,2930.78,118481,21056.6,117599
435851,261432,227976,1452160,1053990,166327,7793.52,3040.32,1492.98,44902.6,6635.63,18206.9
704682,328583,326235,2611870,1211000,152022,27094.7,1946.83,2966.49,79070.3,12147.1,45798
721959,342427,326519,2587020,1282930,159483,17341.6,2504.78,2748.97,89090.9,8358.13,44812.7
667639,389452,239676,1593170,1047880,158234,7270.32,3602.4,1004.75,34595,9477.76,12626.9
1033260,380259,390428,2967380,1107330,161731,24789.4,9432.19,998.476,101989,67493.8,60279.7
550914,331358,245567,1453690,965455,160279,11843.8,4875.82,1394.83,43183.4,9551.33,56628.7
1185590,489671,574375,3156820,1460860,256983,15001.4,8943.73,2767.33,77733.4,9713.06,95201.4
1347150,761012,602252,3723850,2432470,385770,7504.69,2772.19,4250.58,36318.1,12458.7,29137.5
942013,390424,679230,4097190,1819580,310704,24382.5,10901.6,1503.38,122400,68877.4,58165
707161,373034,422615,3270170,1574240,202968,10438.7,8611.52,2198.76,76005.8,6780.76,53915.2
1230250,494033,478101,2953770,1458550,237451,18369.4,9166.92,3392.27,104987,19874.9,80990.1
1067580,571282,580802,3446510,1898440,321949,13993.3,8976.35,2871.42,61880.4,11578.4,93843.1
1235410,581587,537069,3673790,2152110,311106,19045,14392.6,2591.39,139164,28035.7,50421
700232,383798,376834,2315890,1420830,226141,13959.5,7515.24,2015.19,57403.4,12393,72975.9
549673,320283,409942,2431860,1470970,254840,6685.34,799.494,840.741,11597.5,13435.5,19519.1
949343,541344,330586,1988160,1292850,224920,14226.3,4695.36,1555.13,61975.4,7012.6,35618.3
957186,575514,522600,3367550,2024120,314804,15098,3208.74,2957.52,77194,10977.4,34218.8
676888,422146,206718,1075050,694911,135730,15227,7808.67,2374.09,98736.2,9048.78,34638.9
542138,319181,287752,1688110,1075810,183046,10208.5,5573.92,1305.53,66703.5,8981.61,57418.2
637208,326026,546031,3365780,1833450,298439,14395.3,8450.13,2744.89,88616.4,31894.7,42501.9
901010,475912,328740,2025250,1217420,210221,8270.12,4166.53,2334.27,20363.6,8228.46,46549.6
761058,471029,360930,2091080,1179390,206536,12320.2,1739.29,2175.82,311180,8106.04,48632.9
1144200,651197,820975,4194300,3216560,499609,29266.7,13973.8,1755.26,173192,79573.4,93889.7
715029,330045,238517,1473470,896195,138649,7687.54,6339.99,1101.93,56698.8,14707,36047
692736,417446,279095,1678110,1153680,186103,12851.1,7565.5,1796.9,69360,8523.01,69973
792768,423126,306449,1703210,915664,163413,19016.2,1326.79,2382.64,143637,10580.1,29287.1
986684,368461,427193,2634940,968945,165875,15422.6,1787.47,3281.16,69385.4,19627.1,26875.2
677418,357115,242072,1697480,993417,135284,17396.2,6459.01,2115.91,65532.7,15423.4,63215.1
752896,361283,347717,2027310,988530,173223,7487.16,9293.06,1784.33,56477.7,12098.6,24298.3
774708,380406,250071,1748100,882575,124903,9500.22,6316.37,1807.12,46985.8,9473.85,40419.2
1020500,419217,444135,2998640,1430300,215878,15592.8,15749.1,2958.33,80084.9,18461.6,63028.7
665755,381710,261950,1924020,1166540,154711,13533.6,4883,1765.82,69378.2,14106.5,54385
790945,453177,339554,2619240,1503070,196116,16356.1,5408.08,1419.4,81804.4,7974.59,40571.8
1038950,417393,339882,2183620,967765,153609,6757.49,3759.72,2368.28,30409.1,7542.51,43093.5
766691,464907,243035,2055650,1190110,134001,14971.5,8005.62,1833.47,41914.4,10985.4,75976.1
702683,331402,392032,2508180,1756780,270749,14529.5,6689.53,1205.71,71584.2,11628.2,55997.1
761970,390442,470111,3305140,1925960,285856,21372.8,943.967,3789.58,85231.8,6594.62,44950.6
