FSC-A,FSC-H,SSC-A,SSC-B-A,SSC-B-H,SSC-H,Comp-AF594-A,Comp-Alexa Fluor 647-A,Comp-Dylight 680-A,Comp-PE-Cy7-A,Comp-PerCP-eFluor 710-A,Comp-eFluor 450-A
1212300,495111,703957,4194300,2711680,426745,7540,9626.01,5789.64,46961.1,13500,58797.6
391360,193016,213159,1258770,694292,123089,5315,1364.56,11676.4,34876.7,10061.2,14656.5
517765,313042,184573,976530,629274,116612,8397.69,2128.99,16116.3,42759.7,7497,12271.1
782136,316077,382441,2179660,1080980,203104,18389.6,8082.96,300898,73828,9139.7,22474.4
521346,312481,471794,3290740,2100360,310456,11006.3,2864.09,8138.17,293855,8122.91,27378.9
822607,342615,320598,2257130,1041050,147675,14424.4,5085.19,6042.55,49587.8,23543.6,43186.5
616991,401616,222747,1539070,954196,140715,9944.4,4034.05,17176.4,58228,10694.5,23862.2
711483,468676,271648,1639070,1167220,187224,10981,3994.79,142641,42585.7,14553.8,14143.5
1370430,690136,707000,4194300,3156150,403030,27150.2,10354.5,149762,335505,25574.4,66323.2
719238,344100,401750,2454170,1323270,211550,7506.36,8616.18,233101,53812.4,8110.59,28889
759221,467876,388156,2483250,1515340,238109,8601.97,5722.53,12570,49781,13263.3,29324.9
670241,431596,186728,1090830,772654,133299,18102.8,3054.35,19809.4,51197.4,14520.5,18530.1
1079040,527211,655310,4178370,2411960,379622,13310.4,7414.61,39330.2,44788.8,16798,27954.1
766580,427888,277617,1675580,1036210,171683,21318.2,2227.24,6139.08,47778.3,8581.15,28903
697676,481850,259864,1716980,1213260,180101,9858.73,3941.53,223598,35000.2,6861.61,14531.2
1061430,386438,481742,4194300,1805460,252927,22244.7,5057.68,113822,135789,18011.2,46433.1
735226,487026,331170,1743850,1200080,237237,7157.73,3788.29,1151850,57655.8,14433.2,24643.7
646854,350558,392375,2694360,1833270,277210,18778.8,5038.77,50631.5,115212,14138.3,17176.7
857233,422009,524529,2938620,1491720,274250,14050.2,3992.35,14039.5,86955.6,27962.8,33548.6
557864,331466,264661,1625230,1018030,164499,4697.04,3765.07,167622,45466.5,8808.44,13718.1
481304,300507,234130,1627140,1163230,165541,15082.3,4691,7422.44,49794.4,9431.69,23656.6
1226740,646681,525850,3588850,1993550,292518,22980.4,5638.75,58507.7,72417.4,9981.8,35111.8
952735,473618,460509,2737060,1406180,245200,6496.38,5916.17,5844.42,41745.5,10836.7,53053.5
764175,391139,439675,2462990,1470800,267893,15092.1,2522.66,11281.4,333625,9629.8,35809.3
1030460,410363,364254,2610830,924762,135545,16742.6,6774.21,99912,93510.4,10267.3,28950
591467,361688,212836,1513040,896390,127702,11215.3,6156.15,12786.5,96346.9,10124.3,28408.7
899556,342908,521461,3602480,1716270,253926,15781.1,5948.97,307120,67410.8,28200.6,22347.4
983598,388820,444414,2953240,1280270,204288,19874.4,7925.47,53835.3,67458,24770.6,29304.4
873926,400395,484549,2774350,1320800,226772,17951.5,5269.74,5121.93,142400,9977.61,63803.4
1216620,471453,575544,3562080,1367760,220338,18666.6,4763.29,1198510,49553,10072.9,25545.2
1077240,480893,524162,4151620,2010830,277892,12480.4,6574.04,8588.64,56789.9,7234.74,44097.9
610315,334927,434591,2898730,1663820,257073,30443.4,9970.52,9793.1,133957,13899.9,54076.6
973778,406380,392343,2461060,989751,161681,14417.2,5033.24,198335,68502.3,9796.02,22458.7
662264,461294,226930,1392110,993794,161694,6315.33,1987.94,5843.51,25049.7,7306.75,19289.2
680043,423693,236152,1532640,1057720,166179,10382.9,4884.26,275783,41988.3,11933,14812.4
694364,392090,418438,3771400,2307030,255201,16211.2,1638.19,29575.2,62464.2,9307.19,14857.7
1274370,510968,340582,2979640,1454560,144022,16394,5099.38,8464,54679.2,13380.7,36057.4
685015,329583,233534,1722270,1025860,144434,23577,2654.89,34383.2,60302.6,10717.9,39308.7
656060,453192,458426,3937980,3017260,343894,15780.3,3241.24,248684,36339.9,9658.54,8898.54
1035630,444346,678141,4194300,2022380,350517,10854,3226.18,5658.51,62804.4,11018.9,55259.1
1242970,533718,788996,4194300,2547560,419706,20832.1,5053.33,7357.5,213004,10082.4,58921.7
795512,425963,311550,2025360,1166650,182023,19300.9,4874.88,295782,73489,12519.6,19986.1
832994,430826,276999,1638210,844216,141425,10042.9,3769.44,5174.55,35508.6,25094.3,32212
776030,321035,437584,3144540,1730600,244933,10512.9,4361.97,102869,67703.2,12266.3,14217.9
767438,369284,215711,1625140,788522,104835,20798.2,3882.23,269273,93686.5,8870.99,14536.9
786755,323701,550652,4194300,2435420,312458,31269.7,7140.54,8015.11,117068,13099,33254.1
431090,292898,244913,1326790,832928,149486,10575.5,5304.98,82798.1,47289.2,10987.3,15200.8
589059,394097,264487,1867360,1458330,202236,6278.28,2128,24367.9,14996.1,7237.2,11348.9
611428,296005,196369,1328080,605640,95414,15593.1,6419.58,563208,47363,8692.38,14243.7
642944,347668,160838,1150220,625804,85477,10604.6,1265.43,6675.75,38937.4,6941.99,16647
1042550,660727,670781,4194300,3305540,466860,8783.41,6610.14,5949.61,56774.7,11221.7,52765.5
426014,267621,179641,1626130,1015240,112941,11454.3,4305.64,6366.89,69500.9,12500.9,15102.1
770747,395889,430264,4194300,3764950,263459,20608.7,5698.62,38232,225965,10117.6,38648.8
776808,360727,485796,2827520,1161720,185288,10418.6,4525.62,100203,66483,13666.5,49793.2
957168,367395,363482,2556600,942906,124018,24931.1,10437.5,243119,99989.6,13508.2,35945
716190,456231,337063,3097150,1901140,203347,12882.3,5361.03,315913,90081.4,11525.6,13854.2
559317,328177,158610,1046490,698384,105081,21289.7,2261.68,54425,56211,12091.5,12219.1
1250790,520954,362158,2197990,1020360,169120,16890.2,5574.9,18023.7,71780,11484,29606.3
914821,556024,370864,2191440,1364680,225224,13501.2,5861.04,190080,63546.6,7368.51,20210.7
557323,365511,382000,2609930,1601660,243499,14619,4848.2,5323.99,83406.4,10343.4,42557.1
1251970,504091,498027,3077530,1485530,243549,20406.2,2733.59,5919.21,150911,10187.5,56737.2
585492,393645,264438,1790460,1300820,190377,7516.72,2578.78,5918.34,45409.8,7796.13,18717.6
749734,461123,223007,1320390,930868,159339,5944.95,4672.7,116965,35005.1,18413.3,14437
816027,479048,325345,2138890,1486240,218331,10459.5,3240.42,605296,63545.7,16012.7,17426.9
647550,353465,204975,1410190,858084,124039,11949.7,3765.82,20286.2,121055,9610.41,13370
672895,395991,235228,1509870,977774,152685,11402.2,4146.59,29068.6,46516.8,10234,20137.5
1421130,714596,639792,3813210,1924220,329007,31693.9,4866.85,69600.4,81656.2,20848.6,38345
614463,406025,288652,1683750,1191590,207002,7973.3,5910.9,74179.6,43205.4,8767.9,18844.1
781984,405323,463792,3569050,1879440,247253,23508.4,6366.45,12190.1,138103,20358.5,33364.8
525090,338519,152428,1059110,771919,112843,15655.3,1370.49,23504.1,56668.7,8358.82,14547.7
805484,452439,298415,2129690,1196190,162901,19156.4,4767.2,1025860,55851,12962.4,17402.5
716362,463139,343616,2143610,1517400,248742,7757.32,1799.45,67545.1,28018.3,7418.6,11565.1
572183,385956,213866,1241810,928812,163696,15561.6,6648.73,1257350,18840.4,26097.7,7020.09
1103460,659772,524985,4194300,3391410,355135,9142.23,1527.74,56337.3,26293.4,6975.24,9197.89
1083780,529313,574853,3539850,2179680,345861,19755.9,3960.28,48061.4,90395.6,13778.7,32320.9
811115,482227,318827,2051410,1404980,218115,11795.7,4066.93,12194.6,57856.2,8661.77,26535.1
337171,181367,332329,2654280,1694790,220341,10064.2,4818.32,9616.01,73842.3,12502.2,16209.9
