FSC-A,FSC-Width,SSC-A,HA,pAKT,pERK,GADPH,p38,pS6,pCREB,Time
654080,2000.05,228100,0.269986407126972,-0.0376711971108853,-0.0560979897822937,0,0.0103063204280593,-0.0627750838642492,-0.0852530616396928,5.82973
489874,1586.39,168329,0.431670201812304,0.00792675020273395,0.0118740665746739,0,-0.0027553308949415,-0.0620663709113589,0.000534286533837366,6.41782
530896,1688.69,192540,0.193500021519211,-0.0344854093611972,0.0288145439788354,0,0.0603032473172705,-0.131824301373845,-0.0199776308881169,7.02161
1162650,3504.33,347957,-0.0329962908419158,0.0023223478136262,0.00852191765632966,0,0.227743608939875,-0.122574636922391,-0.0571035936256482,7.72402
531138,2052.77,140071,0.288678771017477,-0.0669124128040288,-0.101488652024713,0,0.0859265097966769,-0.125412087441656,-0.0666108727964289,7.90417
423825,1530.91,130656,0.357953780940535,-0.0225322624585471,-0.0339928972778402,0,0.0954791687911808,-0.0639438846044857,-0.00877818401096538,8.20544
957147,2573.89,272486,0.100796039177383,-0.0912572115030725,-0.165346171033773,0,0.169282596753674,-0.221887983166906,-0.0544100615581498,8.27736
385544,1573.4,73992.8,0.372815679748606,-0.0464732582824665,0.049256308938042,0,0.120516230084786,-0.0983364505650462,0.0225933745386802,10.8428
661342,2291.04,250578,0.079942674914956,-0.0541314613767593,-0.0952058878561307,0,0.247185923730048,0.029623069986281,-0.105743268936233,10.881
519514,1924.57,150704,0.287159400547061,-0.0741709139255577,-0.187484130932233,0,0.0624504617385271,-0.171433180667682,-0.189312598333249,10.9448
783707,2645.07,251464,0.15756198796908,-0.00972052199471741,-0.0596633721263704,0,0.237972196483732,-0.112336884332273,0.0266730476937299,11.0021
521467,1650.42,161202,0.452922047548657,-0.0239435774178417,0.0358562899988336,0,0.0838516012769416,-0.0784445711792301,-0.0230221227066752,11.0033
515258,1953.64,126735,0.247132190756703,0.0180799719275331,-0.0759258419928416,0,0.16070445832367,-0.0921656808312157,-0.0775549058150173,11.0652
365112,1471.3,86763,0.327921788699942,-0.0685528425863495,-0.0611127384975407,0,0.0933877856132769,-0.0761749307601493,0.0952229569557276,11.13
737693,2430.43,294650,0.39944782881318,-0.0395044658986679,-0.109915713432515,0,0.266284100820083,-0.151502949798434,-0.0842433743212772,11.1709
623258,2240.36,140863,0.377336782095147,-0.0612777159971868,-0.0480543853342645,0,0.14377760084626,-0.145471665434443,-0.00997884849600158,11.2128
709759,2479.85,322994,-0.0357255278374408,-0.139561578570738,-0.238050152153536,0,0.110684893533316,-0.216664857755138,-0.157566973837435,11.7578
617702,2534.4,189448,0.139811209941282,-0.0822121059122012,-0.00173525863894816,0,0.209557465616501,-0.0987535653357993,-0.0653275920256221,12.0745
948106,3134.15,401154,0.0402455498125359,0.108577636988807,0.0596063111506041,0,0.319616001655963,-0.115413886486596,0.0251816807257226,12.4194
848561,2629.8,392478,0.00614394177330072,0.0443577321962507,-0.154306448022331,0,0.292800921695424,-0.236480271327269,-0.0780081175448858,13.8518
1080130,3945.67,364535,0.24947148740288,-0.0651127045888913,-0.178527586603204,0,0.27242780483934,-0.256840935742608,-0.157087917738229,14.5215
583360,2097.77,152998,0.146552455663452,-0.0935570169284463,-0.0142044801354482,0,0.158004513556313,-0.0559706275336086,-0.0505943522605978,14.6216
474161,1789.71,178632,0.249947062114638,0.0663628915416245,-0.00908909369854403,0,0.222180179929797,-0.097035384376883,0.0746147834152587,14.691
687242,2780.07,187410,0.132776779520021,-0.125733909414244,-0.165933297938786,0,0.10211537577449,-0.221673746653232,-0.0778885928228828,14.8624
471082,1634.9,218082,0.451801731806939,-0.0189831689566769,-0.0132466048844474,0,0.00985559792182096,-0.0752619176277948,-0.00913849839020926,14.916
1009650,2964.12,387193,-0.0362369773296921,0.00702098369057396,-0.177957385530617,0,0.251272501624995,-0.147934440785166,-0.135234820839998,15.1128
572316,2281.77,150849,0.250373611977709,0.00508591152152333,0.0133265866872957,0,0.200769935087607,-0.105963939778391,0.0198168554019919,15.3075
359109,1421.33,78669.3,0.288065830541516,-0.0123910127234572,-0.0579803366018586,0,0.175611873376262,-0.0646488463318916,-0.0231592397824078,15.3506
723757,2175.02,300472,0.33735280586638,-0.109906787598654,0.00918551271847816,0,0.0580204230946594,-0.0923557765563662,-0.0884881863110923,15.4377
616912,2159.22,167969,0.201653401032246,-0.0309154408655059,0.054195010593134,0,0.167296816981467,-0.0809552066017607,0.0380978974713214,15.9849
598558,1794.1,363972,0.150536119342264,-0.0424708788662653,-0.0218118206139665,0,0.209863584283689,-0.160572295764072,-0.0802023637853707,16.1164
831513,3242.26,305403,0.123900243919649,-0.0488296352787303,-0.106974885266504,0,0.220762376238247,-0.188670292917836,-0.102121337304448,16.1399
574800,1773.9,194102,0.316448307269619,-0.0637654972246934,-0.0803132908794974,0,0.0199664202080536,-0.140848187906564,-0.0460557519967127,16.8547
277814,1135.42,132839,0.315024986754236,-0.0539481107531144,-0.00351878647985278,0,0.0536984006272497,-0.0841291325424318,0.0164225796562814,17.0963
470419,1771.98,157521,0.169118951399906,-0.135484361724159,-0.00550144370383465,0,-0.00181020348385008,-0.0171634283020587,0.0190394793046113,17.2695
644904,2015.13,302613,0.162344453215906,-0.141119601283725,-0.0902101971235802,0,0.108629931265825,-0.117905136581821,-0.180780229232735,17.5519
