FSC-A,FSC-Width,SSC-A,HA,pAKT,pERK,GADPH,p38,pS6,pCREB,Time
414167,1571.65,237695,0.326886940533918,-0.0107992093333505,0.0248556427476889,0,0.0638426957297606,-0.0977361702164307,0.0367915120678471,3.4803
519603,1690.49,165225,0.298756492885809,-0.00344706980181562,-0.0820176164949837,0,0.0641745471313447,-0.0836157371311611,-0.0770428797275664,3.5733
721673,2434.74,264780,0.0642875637121586,0.0600619785297406,0.0652068815984164,0,0.231480980477536,0.143513322407637,-0.00406290537877349,4.15236
1103150,3318.9,309578,0.0397438611391473,0.0694602244010369,0.003522036634557,0,0.397362294625716,-0.0361236150298591,-0.0036680158161298,4.23388
414236,1417.67,131554,0.215919628866329,0.0690723319505086,-0.00399183717395952,0,0.0661837753946966,-0.0774077574894982,-0.00103613318134198,5.62285
1063260,3052.54,586431,0.181640114592801,-0.00737703944085284,0.0351004827731572,0,0.208237645946293,-0.252010575162537,-0.0411584050252879,5.67547
530733,1862.53,128637,0.382810606058074,0.0108530816425737,-0.0558249720707824,0,0.244169497113063,-0.118524895118705,-0.00884792287599258,5.68837
427101,1533.36,164608,0.209023900069302,0.0180954706068738,-0.0273953682687522,0,0.051406977806637,-0.0165611009895173,-0.0380242188186186,5.81772
1254180,3903.41,806675,0.102405657561683,-0.0238023364003441,-0.0615261750880234,0,0.0559998668524009,-0.157708874767465,-0.0345483754711644,7.13254
770492,2100.73,258318,0.270452541224527,-0.0459193337298505,-0.0759047306203065,0,0.191457401704646,-0.247918918071966,-0.0867948320105,7.40711
1039720,3152.74,591253,0.118863311656603,0.0438725990939937,-0.0368560648662122,0,0.299763286801354,-0.150612282321437,0.0111286661944348,7.50773
643704,2314.18,143908,0.162492533667057,-0.00800703476085888,-0.13253704346866,0,0.243952571893509,-0.12612492790177,-0.0568087549238661,7.88334
806430,2778.1,273452,0.180424156503424,0.0456902478896516,-0.042475042508202,0,0.32654564158055,-0.0422137413340918,0.0351447884624358,7.98483
1051240,2668.34,436891,0.0959725902261763,0.0830160243395917,-0.0157265401895238,0,0.336403748550078,-0.0205944634106266,-0.00559085223846203,10.3488
532039,1904.12,173956,0.257267598236742,0.00242204249849388,0.111087774103741,0,0.238541323688845,0.106521312388488,0.00520342327192755,10.3889
374373,1386.12,190489,0.399188096063385,-0.00293990611470502,0.0227118063337257,0,0.0410176674116987,-0.0499370563102851,-0.043356891110149,10.4346
460410,1591.91,309237,0.249744232662442,0.0536670435609308,0.0143811691488643,0,0.169991911745486,-0.0833779901112341,-0.00113383293470542,10.7009
625641,2540.91,343879,0.222633185165856,-0.0491136481741232,0.144992521591412,0,0.263682894322287,-0.10528762574295,0.131993380423677,10.7013
444905,1561.84,169316,0.415971854918726,0.00990432815829764,-0.0107722361988099,0,0.0918981870365346,-0.0742640819451409,-0.0880825063775038,10.7131
833592,2430.41,334242,0.111330249508389,0.0420951758308566,-0.0375110779915721,0,0.287940420933642,-0.0651473710203268,0.00793047359745516,10.7222
337383,1358.15,99386.1,0.242416872154649,-0.0197831028581779,-0.0180128716484199,0,0.0247394544315664,-0.0230559565539799,-0.0368708203359553,10.7264
1068950,2922.49,508469,0.289512435968341,0.00713886665574203,-0.0682883217378019,0,0.0431118905228351,-0.160172202802013,-0.012760434750187,10.7446
407747,1481.16,102072,0.298488615064147,0.0114098545253176,0.00379553840120376,0,0.0745038530394821,-0.0453995535093741,-0.0197436840690207,10.7694
773724,2284.53,410443,0.264523509443903,0.0559792150274984,-0.0861530721058036,0,0.198194253369882,-0.204509727992976,-0.0953102716806425,10.8022
302339,1222.58,84530.7,0.365484014930508,-0.030311395657887,-0.0464113619877769,0,0.0301104157812585,-0.0752954747218724,-0.0327814131925168,10.8273
433022,1647.01,178397,0.328116471556062,0.0450182033759737,0.0121466787276501,0,0.0757208717099586,-0.0615101879822281,-0.0114803027969808,11.0577
504575,1545.22,174739,0.305695531812181,-0.00285881587231596,-0.0659340944945716,0,0.00909765214206046,-0.0798017799908866,-0.0325919278399989,11.1811
680106,2455.18,269634,0.151387950108038,-0.00945087939731028,0.0218618383166803,0,0.249585738144588,-0.0572346294188249,-0.015652779975975,12.9845
992787,3029.1,440214,0.0923750652357348,0.156727959704748,0.0543604648900099,0,0.281906510299702,0.0199518956667317,0.0428935608302625,13.1104
1411550,3971.72,932741,0.0750534685917558,0.0769158098565466,-0.0162283124046628,0,0.41332890108678,-0.119927752292735,0.10542748484679,13.2127
697690,2282.89,706541,0.118648482486418,0.150600061164949,0.0305015672057697,0,0.269953765295753,-0.0452345689680931,-0.041743085649558,13.2395
553776,1941.31,179831,0.359468216751088,0.0399545084427185,0.0335786808787514,0,0.202815551134074,-0.0286640906191134,0.0282126952856609,13.2835
1010090,2715.34,362818,0.246214411989712,-0.00804803052357836,-0.0700914610546028,0,0.223543677481776,-0.0717500289708861,-0.00525388229677037,13.2914
890873,2710.85,521146,0.134396206548445,0.0426283145091665,0.0178963911183421,0,0.261711846746938,-0.0515486294639459,-0.0623639379546316,13.3003
1452160,4189.42,637822,0.0434364072058373,-0.0294101803898675,-0.0210735616327459,0,0.150199193172724,-0.0194389863307284,-0.0757914144717871,13.3169
414347,1676.72,125171,0.230280103015961,0.0204287946148571,0.0241740233042525,0,0.205749305759975,-0.0313170014615355,0.0124856492780277,13.3503
416544,1577.54,132465,0.176188174786606,0.024431507527311,-0.0257921525375742,0,0.193034242333405,-0.0474655339537052,-0.0249027585250336,13.351
320647,1310.68,91880.7,0.347724173719854,-0.0261815234831288,-0.014514302837267,0,0.0693686598890811,0.0123724602652721,0.0118880882243119,13.3549
698576,2353.1,183015,0.29284843256061,-0.00629358757892986,-0.017149352242208,0,0.251777427696321,-0.0688779850810764,-0.0195390670888038,13.4055
744388,2773.52,226795,0.103901469351818,-0.000311038182701704,0.0347596105183062,0,0.119643472890801,-0.127999735836059,0.0339152273481234,13.4605
415552,1572.57,112970,0.35887868022414,-0.0568607652670651,-0.0136380292489773,0,0.199012098987862,-0.0885208166866869,-0.0769335333238657,13.4841
356031,1414.44,89654.1,0.220651077309935,-0.0395873982077591,0.059240348577908,0,0.0701687718275383,0.102789141676329,0.00739371562218312,13.5274
469831,1771.48,255782,0.187303329661487,0.0622377982032717,0.109447085172611,0,0.261934423773223,-0.0576547109836951,0.0251731365526262,13.5842
878312,3160.64,444390,0.11504116810351,0.0857052893971324,-0.0504588912166769,0,0.291695464883454,-0.0628740901162085,-0.0271823494088524,13.6638
768110,2688.78,337157,0.297239276850405,0.0604494741196172,0.0462224935674827,0,0.305956406624158,-0.0925868757280875,0.0254248532858098,13.6951
754011,2415.79,252250,0.166424058669094,-0.020634505135255,-0.00377439813431614,0,0.182782778233638,-0.0547151970175011,-0.0270751156736414,13.9055
342503,1330.55,97119.6,0.263995576016578,0.0189629921530751,0.0368281124330597,0,0.1383661784699,-0.0991236757409769,-0.0416570635847259,14.0545
640980,2066.32,188720,0.204881660702881,0.0285611494540918,-0.00390293836470713,0,0.277613657194154,-0.033421275773988,0.0353487745270992,14.1141
1326890,3760.55,849246,0.306011588490112,0.087617043682302,-0.0851240548051445,0,0.148699828123073,-0.224533366051009,-0.0273255231649924,14.1425
455262,1653.71,149908,0.276311102714182,-0.00913019290505479,-0.0543741393467677,0,0.063557760675549,-0.103342100281678,-0.0546000507588395,14.1691
602554,1950.55,203258,0.287040676896953,0.0359062579892298,-0.0326987673173792,0,0.204984007380325,0.0571553674350449,0.0094486216901897,14.2718
