FSC-A,FSC-Width,SSC-A,HA,pAKT,pERK,GADPH,p38,pS6,pCREB,Time
889425,2662.89,381259,0.690821958172767,-0.168685811224116,-0.127213714921366,0,0.0856511656535254,-0.285902898953364,-0.211000450885014,1.49396
273020,1122.02,98765.9,0.304703977811846,0.0147781939254576,0.0213724704259263,0,0.122247632145536,-0.0798395806745078,-0.00410154342015326,1.59549
333000,1302.53,158666,0.55603509669598,-0.00157235058401661,-0.034119329972137,0,0.125528203661868,-0.0591462053160848,-0.0160737154082223,1.67747
592641,2232.83,339614,0.194524897714248,-0.126718451279834,-0.108572795298657,0,0.0139442794204344,-0.164958596253369,-0.0783657790949846,2.18312
691402,2123.05,234025,0.238308550654712,0.00980767821377661,0.00887982651696916,0,0.236871968699254,-0.186935787554662,0.0210142412588248,2.23842
910681,2744.76,268767,0.692673224031431,0.0817577726239667,0.00374410706243297,0,0.298116842202889,-0.223948078117176,-0.0216140528282249,2.25369
506104,1811.36,363123,0.0702277931710706,-0.149294380015914,-0.178317331569312,0,-0.0979433895622684,-0.262381545711328,-0.181799486000152,2.29957
651650,2342.75,132736,0.269541097078504,-0.209533482670714,-0.286980943547789,0,0.0421867422306439,-0.25881079260528,-0.191329178135935,2.31642
1365850,3873.46,495742,0.102657064984686,-0.0440222121440537,-0.160453847006161,0,-0.0111849393148026,-0.209557048296153,-0.104578289510264,2.32396
422403,1566.95,82372.5,0.500898840644742,-0.0377547559973355,-0.00408988391368576,0,0.11077842453868,-0.00722781228940913,0.0683706292117725,2.61259
1012650,2501.05,620755,0.229635748059347,0.0397978355075104,-0.00737414561044093,0,0.136646242589711,-0.206548906737756,-0.0392892643798186,2.65639
429487,1498.02,135690,0.889513247109802,-0.0462173682568226,-0.00351634421782125,0,-0.0132934943851691,-0.126680034500055,-0.0467646028947008,2.73761
384301,1446.22,192074,0.216121208424213,-0.0730098044102187,-0.056886021756325,0,0.0914725993840813,-0.127159180155514,0.023329816700946,2.87808
534430,1764.34,186508,0.287902481580089,0.0618157583844075,-0.00681873365416524,0,0.232451575611271,-0.0621886447922355,0.015812522969636,3.17048
346320,1370.55,272479,0.447317032926915,0.0302579085620948,-0.0129805430687221,0,0.0486498847621253,-0.027741667400868,0.0196292225675745,3.17056
483728,1764.27,214497,0.356964332285875,0.0175513103209216,-0.0484740242375247,0,0.0581282598134875,-0.0674113844860467,-0.0608678675010736,3.21494
963398,2496.25,263917,0.452476123535468,0.0403967970402265,-0.124970323917484,0,0.239398155594444,-0.161237653897393,-0.0144931564651623,3.21544
1501780,3937.55,599586,0.484596466045915,0.0202012190612538,-0.0919003894409923,0,0.288059938784803,-0.125061955868221,-0.105398779196545,3.23671
587190,2092.2,245542,0.395416068169861,0.0685319037690239,-0.0843219437002476,0,0.306084520568893,-0.0995583074811046,-0.0441240208759831,3.24406
559654,1661.54,246074,0.354915681182237,-0.0384034624336166,-0.0911188854638224,0,0.173062719860518,-0.15257400481391,-0.126708067889001,3.26237
490054,1965,112841,0.189600355748533,-0.127368159406113,-0.067579228540175,0,0.101510471293384,-0.129684940051493,-0.120163573122754,3.2898
