FSC-A,FSC-H,SSC-A,SSC-B-A,SSC-B-H,SSC-H,Comp-AF594-A,Comp-Alexa Fluor 647-A,Comp-Dylight 680-A,Comp-PE-Cy7-A,Comp-PerCP-eFluor 710-A,Comp-eFluor 450-A
398731,312915,183168,996318,804042,147422,-225.325,-305.304,-65.1054,249.958,-400.578,95.7795
595665,317267,281256,1738440,1106170,178736,11634.8,4712.46,55905.8,54573.2,3777.59,-69.7476
974281,430165,415379,2483450,1469810,249934,7038.68,10559.1,2853.97,50973.2,3514.26,-373.509
672671,454097,153612,1064140,768891,113769,4164.01,536.997,880.04,244.008,552.883,-393.584
696605,402826,349401,2606200,1570970,211185,16695.4,8008.51,3054.62,75861.5,5123.9,85.4052
625355,354771,203430,1398620,811933,119995,8698.92,7539.6,4038.17,48616,4246.77,-224.901
450642,181408,187943,3594590,2092820,136585,1786.35,54.8707,-159.479,396.653,1088.2,-981.551
811490,260384,400074,2667120,942802,143070,22728.1,15732.6,279521,247867,8552.87,325.449
697060,340821,274959,1831390,996591,148529,10455.5,7582.51,1664.82,49365,4517.93,-122.942
632416,402339,191755,1179430,802706,134254,8603.4,13027.5,1652,60574.8,7331.21,213.967
477008,314203,262405,1578050,1099550,186835,5594.46,8144.29,1732.81,37019.6,3079.86,187.687
472614,272095,329961,2923550,1942220,231564,-482.424,216.311,-634.799,298.237,332.581,-736.957
375577,156600,256736,1619960,805207,119980,1789.09,-398.594,1772.9,1247.03,943.161,-181.838
621113,340281,322631,1996140,1355040,213486,11088.1,8720.5,2192.35,68516.1,7705.28,-240.047
712530,370561,352873,2117490,1078510,187758,9869.69,11866.6,1574.89,83499,6403.44,-510.651
395880,230082,264044,1379640,874275,171573,8203.43,9346.64,1729.82,61042.9,7740.92,-475.549
628716,355176,345764,2417210,1503640,215198,13577.9,14430.8,4891.57,87150.3,7891.77,-102.906
514926,311444,178532,993858,706359,129201,14111.9,4075.56,2059.13,50890,5760.21,-759.708
701158,407016,532255,3352860,1946120,313579,14418.8,21648.9,2803.93,94190.9,8222.36,-640.445
628642,369478,240658,1452540,967732,155570,7931.9,4568.26,15776.9,28886.4,5370.45,440.881
594498,299648,377804,2361120,1129790,183799,15232.3,11025.2,4452.17,66614.5,6855.32,-204.15
785401,377200,310024,1806950,1114970,192702,12864.5,15320.6,2733.99,86074.6,8461.01,-363.431
879568,494673,397689,2584400,1529770,240726,16364.7,11545.4,2692.61,68093.4,7101.2,323.417
585464,383753,180558,1234650,794919,117416,16710.1,4208.89,1402.99,31092.4,4091.42,-8.33394
534345,330050,312304,2196150,1419830,200514,16232.7,923.794,1854.47,26304.3,3637.93,-51.8932
470897,247667,229063,1476460,800979,124115,8303.83,15607.2,1693.13,44915.8,5966.38,-456.384
1297990,641405,480426,2999610,1660700,272847,21618.3,21222.9,3010.38,159999,8525.04,-782.645
826751,326598,499467,3119930,1493710,241755,11160.2,2967.47,3013.12,18280.4,3750.78,-307.089
620575,279517,418155,2511790,1194040,193170,11799.3,11693.5,2604.33,86523.6,10979.9,-324.805
794677,530186,266612,1713890,1316640,198903,17120.8,9617.49,1778.76,29527,5053.98,-304.556
509400,307467,390393,2134230,1371870,248035,13346.1,8860.67,2375.3,102483,8617.05,-227.462
858852,433921,574638,3431490,2127320,354569,11578.7,14897.4,3069.18,96270.1,7698.06,-410.045
1274620,645296,693464,3887940,1947980,352660,16952.7,17497.8,3626.74,68562.6,16520.9,-740.989
828535,324323,409229,2795280,1414890,206663,17235.7,14612.8,3523.47,194062,12915.3,421.231
513123,267597,297186,1856740,1115950,176127,8438.58,9757.16,961.859,45384.2,6919.71,-108.771
364492,271992,143321,946275,788854,119388,4921.99,3064.82,1063.76,12967,6017.65,-77.707
374244,270244,192297,1151030,865503,144177,3842.94,1193,5629.19,405.287,1909.69,268.633
826087,418508,391224,2812640,1681180,236754,14261.7,15082.7,3881.5,172485,7268.95,-2.59037
713831,354933,406825,2579330,1227740,199214,8779.6,14105,2278.11,49975.8,4024.43,-85.9815
493770,294447,331126,2182620,1352530,214291,11841.1,5138.72,2060.83,44273.7,4756.35,189.455
527407,240224,264157,1533730,722335,129482,9514.62,11061.7,1301.98,54206.9,9673.14,-564.288
701618,368845,295455,2213400,1346530,173312,14965.8,9305.73,77481.1,57466,10003.1,167.288
512679,337652,238038,1903420,1168440,142178,8976.53,11488.6,2188.3,46994.6,8066.11,-426.16
760971,390284,535692,3243240,1683920,276335,12281.7,15328.6,2983.57,78281.6,7375.79,-517.51
1286330,658484,630588,4095050,2494310,398518,24527.7,4149.52,55744.8,103085,7326.96,-547.846
620695,380190,222143,1492510,1026760,150047,9283.37,4464.26,65858.2,28100.4,3116.33,-400.229
1329910,697972,696418,4123640,2158510,368312,13731.3,17903.5,4209.97,270513,10464.4,-994.216
513931,234870,300514,1827910,913260,140384,13242.3,12297.2,1491.24,57209.5,9620.31,-211.997
463539,262353,318465,2058920,1304370,196317,83013.3,2667.71,2777.82,180795,24004.6,278.403
565479,353645,296152,1751850,1151420,192571,5868.47,8855.97,1111.46,44218.9,3992.23,-466.927
934403,543041,542787,3140440,1848210,315715,10794.1,17678,3148.06,85413.6,8767.01,-463.273
428890,218679,350314,1986260,1063380,178841,8619.24,6820.23,1488.81,54681.9,5386.44,-545.921
545831,286666,293497,1549210,951497,181431,10775.7,2187.32,4683.54,43200.6,12208.9,272.594
