FSC-A,FSC-H,SSC-A,SSC-B-A,SSC-B-H,SSC-H,Comp-AF594-A,Comp-Alexa Fluor 647-A,Comp-Dylight 680-A,Comp-PE-Cy7-A,Comp-PerCP-eFluor 710-A,Comp-eFluor 450-A
725623,366315,271333,1886030,1098450,151872,10276.3,3225.61,40295.4,48886.1,14554.8,13309.9
1096590,515254,584484,4194300,1987900,257065,18255.4,5298.89,19003.9,77153.2,9311.28,30659.4
781421,511966,258101,1911140,1269200,167480,9082.68,9374.69,491945,63634.4,14885.7,13539.2
507854,342844,186543,1669840,1184150,130923,11543.4,2988.2,146592,58668.4,8099.21,13192.8
959296,383483,565404,3113850,1061200,201133,16264.2,7870.8,114963,87686.4,15430.2,32580.5
503578,273522,229148,1178730,698498,137115,5751.76,3729.93,41643.1,26539.6,11144.8,16688
661931,392687,399083,2182080,1525980,282831,10138.4,1680.49,130300,121478,12849.2,14002.1
832818,476130,272823,1743570,994401,158255,17090,3319.34,363991,68791.7,6563.84,16927.9
743699,307030,250812,1331080,784335,149521,9584.02,3123.43,116945,74494.5,8398.17,16731.3
609985,294725,252108,1633610,886875,141439,20200.3,3322.89,16618.1,67737,10599.5,22323.9
458400,237089,265319,1683680,1131120,183238,14275.5,753.23,6569.41,56918.2,8465.32,16994.5
716598,386998,331495,2221020,1308410,195180,14672,2246.57,21112.8,70582.7,12535.8,24496.3
382521,242256,168238,1095760,763477,111580,8175.1,878.278,14888,29386.1,11686.9,8612.64
561722,367694,174029,1081100,781427,125918,6398.54,1476.55,10525.6,35606.6,6598.5,14165.4
908557,451276,375563,2516300,1371520,199017,10936.5,1648.51,22503.5,243154,7161.61,23338
718455,394679,322008,2125140,1160990,174577,13709.7,6522.67,684830,52873.3,12675.6,12170.7
559268,312631,317223,1729230,1144310,213706,11529.5,6536.36,117525,58110,9087.46,18617.7
832629,426407,548508,3143800,2282970,400868,12654.3,2211.03,7174.9,53363.9,11101.9,20904.9
741584,435344,368527,2199170,1162480,202083,10037,1693.45,46160.9,58402.4,6341.96,18418.3
531731,314586,285709,2086730,1317350,177378,23449.9,3089.39,55365.3,80706.4,10807.8,41792.9
563185,393168,147799,798483,609297,113443,3127.32,3712.58,583680,12486.1,6999.93,9289.67
546658,290849,311276,2014560,1225100,189052,7457.42,1199.78,27845.2,39955.7,7912.9,14160.6
608268,299252,166493,1241830,710903,92477,14805.9,3507.34,263976,37039.4,9525.68,10968.7
770015,497473,272007,1644240,1114770,183756,12098,7784.18,1125990,57048.8,8911.23,15318.1
610333,408187,203630,1246860,776080,123799,9426.4,2628.23,5840.21,54246.3,8489.49,16537.1
1133360,441586,463189,2765480,1214130,200425,7839.05,2478.45,7811.72,43152.1,8107.23,22596.2
741465,378991,220465,1526580,984502,138969,10247.2,2909.24,862889,31062.4,9335.02,14371.1
905397,455754,422781,2651440,1470880,239749,11702.9,4213.04,8985.71,45607.4,6953.89,48997.9
1036160,458341,431360,3145220,2032040,274961,26986.3,9330.59,84280.2,102099,17596.2,22892.1
709578,446444,236410,1443590,1083940,176196,10293.4,2524.79,36045,138479,11256.8,21077.3
730026,435873,374810,2403750,1646620,257956,6482.98,5010.86,200702,37407.8,14867,13858.4
1129330,437011,420675,2317910,1056620,191052,21060.8,6024.02,285500,94735.1,12917,37095.7
817831,324881,287726,1588940,673469,121899,14193.8,2693.76,111189,36924.7,6849.36,14588.4
