FSC-A,FSC-H,SSC-A,SSC-B-A,SSC-B-H,SSC-H,Comp-AF594-A,Comp-Alexa Fluor 647-A,Comp-Dylight 680-A,Comp-PE-Cy7-A,Comp-PerCP-eFluor 710-A,Comp-eFluor 450-A
644608,372269,217834,1279390,831238,140984,13968.9,1038.29,12517.9,75546.8,6384.37,54928.3
525232,271811,257909,1916260,1084630,145451,17061.4,3565.44,381135,94497.5,14176,84381.2
599999,361166,262289,1729380,1052420,161681,13453.4,5498.15,39014.7,51220.9,11193.7,61872.4
779106,379327,431325,2728870,1449100,231278,16510.2,6877.01,280556,231010,8760.02,99769.8
594580,382188,227572,1302560,912431,158893,6418.86,1919.03,56558.2,50948.2,7767.05,54160.3
490708,228215,232963,1556450,829316,128444,22593.6,7918.06,247399,38187.1,20986,87499.5
945426,522675,578374,3740000,2270320,339399,9060.64,8132.82,131570,111164,6565.44,84695.1
579810,331948,338453,2163310,1399760,221915,8546.18,5048.59,269974,50518.3,7253.97,69736
669575,294134,489566,2829990,1484280,259313,16558.4,6312.11,24811.8,100830,34355.5,45483.8
574897,330538,344887,2413860,1613810,229986,11907,9595.12,1202710,76262.1,15034.4,43103.1
644010,334471,327351,1872540,954486,172218,5877.79,3797.63,18909.7,265259,10945.5,59016.5
482463,305919,210705,1494160,980740,135186,13051.9,10881.3,1128450,136116,7120.73,48819
1266160,549140,725017,4194300,2163150,340991,18697.8,9574.67,21637.6,110635,21939.2,105570
610288,350726,284393,1785330,1099470,175051,10626.7,2518.54,97881.8,193073,6878.98,68124.9
455330,328484,189602,1190960,906371,146711,6906.55,2344.12,27725.7,28667.3,8987.29,43677.4
811002,444594,449259,2791520,1566900,260484,8993.76,2709.98,653808,233906,10178.3,89511
1272770,702781,738441,4194300,2408610,407505,31104.9,8320.3,75274.7,363269,24341.1,86221.9
948896,384565,396225,2482540,951712,157804,18306.1,6478.68,126888,349496,13234.4,98180.6
572860,364109,336552,2395120,1533140,213875,11738.1,2131.62,42953,53410.8,6341.32,53922.7
861538,473325,554648,3346030,2248150,369402,17140,9562.62,6383.86,121336,8933.8,47408.4
952081,390722,586542,4009800,1998000,281757,12116.7,6007.04,223724,351450,16630,88843.8
700065,318728,419735,2554290,1696100,274346,2672.93,3307.02,1814560,63807.2,21694,33666.8
680952,410086,415320,2452530,1752660,295985,10459.1,9761,5613.06,58413.5,12742.8,54126.3
579451,323677,228994,1584520,889388,127459,10004.6,3311.09,23872.4,49426.8,7716.5,23505
795079,393181,595394,4194300,2575660,354919,20299.8,11332.8,20233.6,3052.87,8659.8,6077.66
920364,355823,557549,3129620,1433870,250195,10857.1,9110.93,450091,98948.1,20345.7,98404.1
794883,455557,483612,2990590,1756970,274967,11601,4097.5,21391.4,129733,10829.6,66300.1
622134,368334,393570,2302560,1391370,235484,17274.9,5373.53,829158,214307,12085.4,108443
1013850,402623,599481,3516300,1470830,259825,26791.6,4338.05,279626,187032,17424.5,107952
370218,251639,316004,1801960,1249000,216897,7388.95,4615.11,32482.8,79709.3,8449.86,76589.5
1023480,489598,642282,4175920,1969680,293739,15576.9,11029.7,8542.61,178591,12475.4,80854.5
945487,503537,543920,3506110,1908840,295592,13624.2,4659.46,21924.3,89518.5,11803.2,74378.9
1225100,645919,714365,4194300,2743110,432481,9442.25,4713.19,6151.27,53936.2,6703.7,66478.6
505638,278605,177259,1031590,615669,106383,12493.2,3108.18,15968.7,55960.3,13563.4,23660
987372,533767,527528,2840320,1532270,276746,11205.9,8483.11,5831.74,49545.3,19263.3,34107.4
570853,364385,281584,1731540,1097290,181068,14920,3226.84,64617.4,72499.8,10149.5,74822.5
997296,514036,525733,3037110,1798770,303983,8411.07,5697.92,7487.18,131142,7019.48,66857.9
657754,411514,312461,1764430,1179420,211051,6274.67,2343.9,35329.9,310385,7879.58,71360.9
562870,306423,448955,2886930,1874430,281351,12749.2,3009.38,169066,154642,9245.76,89711.7
953519,333756,309139,2342900,937574,117234,17744.2,3665.05,7900.74,61873.6,13484.4,80175.4
805433,419385,450389,2492700,1297720,239725,6852.61,3107.36,271853,224512,9397.47,63294.7
424137,283046,244868,1546140,1017460,163766,14707.4,1073.22,26556.7,147070,7016.28,38899.6
625333,393722,229162,1454520,972888,157452,14371.8,1589.72,7274.43,78022.9,7780.09,45226.6
748193,471103,529262,3217480,2323350,390468,15824.3,819.599,29793.6,69993.9,7534.18,51594.2
1207020,656744,765261,4194300,2486300,426147,17717.3,11587.2,13586.7,110171,20146,69592.9
991635,522371,518287,2988940,1701470,296734,17138.6,3099.52,58906.1,84545.1,12294.7,85759.9
723160,410287,461125,2636250,1474100,272758,9919.08,3374.34,16527.3,113238,7738.28,70451.1
443729,239977,208069,1396640,775834,117922,7172.79,4170.96,152656,32184.6,7571.21,18441
453104,266447,226271,1813090,1138960,138623,19192.3,2097.86,40357.2,282990,11724.3,34882.1
1090660,485235,552947,3204770,1612060,271659,9644.26,6992.14,6824.38,127381,8417.5,80947.8
574149,367319,335654,2070300,1374260,221736,8525.58,2395.95,265035,144460,9160.89,74592.5
566193,368662,303777,1950730,1220130,185720,8639.03,1948.47,5650.24,52489.2,8679.05,62862.8
1255280,558121,364976,2396410,1275300,195803,24515.7,3096,7023.6,94488,12426.4,39286
838603,566171,310953,1876070,1357820,220273,18597.6,9919.56,720114,44272.4,6994.56,40336.4
536892,325362,209992,1348980,870352,134277,13495.3,1747.52,30647.1,40600.6,7869.03,55578.9
676469,371523,348998,1982140,1299730,237575,5828.93,1703.91,88369.6,40334.7,6791.49,69488.9
854119,458448,431265,2658120,1854960,302417,14269.5,2130.91,116823,182994,13891.3,76491.5
735803,379432,604522,3762490,2182420,343233,9704.37,7139.35,5972.42,75993.5,8141.31,52103.3
671713,313791,400141,2418860,1347010,226880,6438.39,5394.18,129715,97562.5,8989.41,86584.5
881765,617633,298852,1785480,1341200,219011,9929.85,7585.83,1670860,19172.6,26061.2,46330.8
680753,316835,339562,2096330,1275800,206264,23231,3770.99,60669.5,243396,16056.9,78638.3
990170,493682,365775,2211180,1254980,205457,25412.8,3160.18,30631.8,302290,14080.5,85919.8
707684,349807,314360,1890710,926196,157663,12837.2,2611.66,5699.41,83168.1,7469.4,44207.4
764155,422174,602548,3531770,1966100,338158,10299.9,3907.1,10238.9,86838.8,7352.99,51763.5
935194,408620,607270,3453750,1477250,254014,22752.2,5979.24,47786.6,152089,33729.5,65958.5
